Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Paul Richardson,WR,Redskins,"$40,000,000","$8,000,000","$12,500,000","$2,500,000",31.30%,paul-richardson/2984/
Marvin Jones,WR,Lions,"$40,000,000","$8,000,000","$13,000,000","$2,600,000",32.50%,marvin-jones/194/
Bobby Massie,RT,Bears,"$32,000,000","$8,000,000","$15,800,000","$3,950,000",49.40%,bobby-massie/384/
Clelin Ferrell,43DE,Raiders,"$31,360,816","$7,840,204","$31,360,816","$7,840,204",100.00%,clelin-ferrell/7795/
Saquon Barkley,RB,Giants,"$31,194,750","$7,798,688","$31,194,750","$7,798,688",100.00%,saquon-barkley/6887/
Julian Edelman,WR,Patriots,"$15,500,000","$7,750,000","$12,000,000","$6,000,000",77.40%,julian-edelman/864/
Nigel Bradham,43OLB,Eagles,"$31,000,000","$7,750,000","$4,000,000","$1,000,000",12.90%,nigel-bradham/248/
T.J. Carrie,CB,Browns,"$31,000,000","$7,750,000","$10,000,000","$2,500,000",32.30%,t-j-carrie/3158/
La'el Collins,RT,Cowboys,"$15,400,000","$7,700,000","$9,500,000","$4,750,000",61.70%,lael-collins/4105/
Cameron Wake,34OLB,Titans,"$23,000,000","$7,666,667","$7,250,000","$2,416,667",31.50%,cameron-wake/673/
Myles Garrett,43DE,Browns,"$30,412,254","$7,603,064","$30,412,254","$7,603,064",100.00%,myles-garrett/5585/
Sam Darnold,QB,Jets,"$30,247,694","$7,561,924","$30,247,694","$7,561,924",100.00%,sam-darnold/6888/
Jared Cook,TE,Saints,"$15,000,000","$7,500,000","$8,000,000","$4,000,000",53.30%,jared-cook/65/
Mike Pouncey,C,Chargers,"$15,000,000","$7,500,000","$10,000,000","$5,000,000",66.70%,mike-pouncey/709/
Trent Murphy,43DE,Bills,"$22,500,000","$7,500,000","$7,875,000","$2,625,000",35.00%,trent-murphy/2986/
Pierre Desir,CB,Colts,"$22,500,000","$7,500,000","$9,000,000","$3,000,000",40.00%,pierre-desir/3066/
Avery Williamson,ILB,Jets,"$22,500,000","$7,500,000","$16,000,000","$5,333,333",71.10%,avery-williamson/3090/
Mario Addison,43DE,Panthers,"$22,500,000","$7,500,000","$9,000,000","$3,000,000",40.00%,mario-addison/1185/
Case Keenum,QB,Redskins,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",100.00%,case-keenum/1651/
Jerick McKinnon,RB,49ers,"$30,000,000","$7,500,000","$11,700,000","$2,925,000",39.00%,jerick-mckinnon/3035/
Robert Alford,CB,Cardinals,"$22,500,000","$7,500,000","$8,950,000","$2,983,333",39.80%,robert-alford/2269/
Tashaun Gipson,S,Texans,"$22,500,000","$7,500,000","$11,250,000","$3,750,000",50.00%,tashaun-gipson/307/
Matt Kalil,LT,Texans,"$7,500,000","$7,500,000","$2,250,000","$2,250,000",30.00%,matt-kalil/1793/
Eric Reid,S,Panthers,"$22,050,000","$7,350,000","$9,000,000","$3,000,000",40.80%,eric-reid/2199/
Devin White,ILB,Buccaneers,"$29,315,814","$7,328,954","$29,315,814","$7,328,954",100.00%,devin-white/7796/
Chris Hubbard,RT,Browns,"$36,500,000","$7,300,000","$9,000,000","$1,800,000",24.70%,chris-hubbard/2708/
