Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Deone Bucannon,ILB,Buccaneers,"$2,500,000","$2,500,000","$1,450,000","$1,450,000",58.00%,deone-bucannon/2966/
Jarius Wright,WR,Panthers,"$7,500,000","$2,500,000","$2,000,000","$666,667",26.70%,jarius-wright/1782/
Dustin Colquitt,P,Chiefs,"$7,500,000","$2,500,000","$2,965,000","$988,333",39.50%,dustin-colquitt/608/
Kenny Wiggins,RG,Lions,"$5,000,000","$2,500,000","$750,000","$375,000",15.00%,kenny-wiggins/1912/
Theo Riddick,RB,Broncos,"$2,500,000","$2,500,000","$1,000,000","$1,000,000",40.00%,theo-riddick/1864/
Nate Ebner,S,Patriots,"$5,000,000","$2,500,000","$1,200,000","$600,000",24.00%,nate-ebner/1234/
Garrett Celek,TE,49ers,"$10,000,000","$2,500,000","$3,500,000","$875,000",35.00%,garrett-celek/70/
Steve McLendon,34DT,Jets,"$2,500,000","$2,500,000","$750,000","$750,000",30.00%,steve-mclendon/1444/
Mike Remmers,RG,Giants,"$2,500,000","$2,500,000","$1,000,000","$1,000,000",40.00%,mike-remmers/362/
Erik Harris,S,Raiders,"$5,000,000","$2,500,000","$1,075,000","$1,075,000",21.50%,erik-harris/4698/
Jonotthan Harrison,C,Jets,"$5,000,000","$2,500,000","$2,500,000","$1,250,000",50.00%,jonotthan-harrison/3388/
Adarius Taylor,43OLB,Browns,"$5,000,000","$2,500,000","$1,000,000","$500,000",20.00%,adarius-taylor/3280/
Matt Slater,WR,Patriots,"$5,000,000","$2,500,000","$1,000,000","$500,000",20.00%,matt-slater/1231/
Russell Bodine,C,Bills,"$5,000,000","$2,500,000","$2,150,000","$1,075,000",43.00%,russell-bodine/3050/
Mike Pennel,43DT,Patriots,"$5,000,000","$2,500,000","$500,000","$250,000",10.00%,mike-pennel/3372/
Zach Kerr,34DT,Broncos,"$5,000,000","$2,500,000","$600,000","$300,000",12.00%,zach-kerr/3391/
Josh Bellamy,WR,Jets,"$5,000,000","$2,500,000","$2,750,000","$1,375,000",55.00%,josh-bellamy/515/
Cody Davis,S,Jaguars,"$5,000,000","$2,500,000","$2,500,000","$1,250,000",50.00%,cody-davis/2587/
Allen Hurns,WR,Dolphins,"$2,500,000","$2,500,000","$500,000","$500,000",20.00%,allen-hurns/3408/
Laquon Treadwell,WR,Vikings,"$9,934,980","$2,483,745","$9,280,210","$2,320,053",93.40%,laquon-treadwell/4736/
Jack Crawford,43DT,Falcons,"$9,900,000","$2,475,000","$3,000,000","$1,000,000",30.30%,jack-crawford/1267/
Mike Hughes,CB,Vikings,"$9,867,484","$2,466,871","$8,689,994","$2,172,499",88.10%,mike-hughes/6915/
Arik Armstead,43DE,49ers,"$9,842,628","$2,460,657","$9,842,628","$2,460,657",100.00%,arik-armstead/3865/
William Jackson III,CB,Bengals,"$9,705,642","$2,426,411","$8,712,145","$2,178,036",89.80%,william-jackson-iii/4737/
Jarrod Wilson,S,Jaguars,"$7,250,000","$2,416,667","$1,450,000","$483,333",20.00%,jarrod-wilson/5004/
Sony Michel,RB,Patriots,"$9,626,694","$2,406,674","$8,389,710","$2,097,428",87.20%,sony-michel/6916/
Artie Burns,CB,Steelers,"$9,590,984","$2,397,746","$7,833,122","$1,958,281",81.70%,artie-burns/4738/
Marcus Peters,CB,Rams,"$9,584,160","$2,396,040","$9,584,160","$2,396,040",100.00%,marcus-peters/3866/
David Njoku,TE,Browns,"$9,525,345","$2,381,336","$8,191,434","$2,047,859",86.00%,david-njoku/5613/
Lamar Jackson,QB,Ravens,"$9,471,652","$2,367,913","$8,055,062","$2,013,766",85.00%,lamar-jackson/6917/
Ben Watson,TE,Patriots,"$2,350,000","$2,350,000","$600,000","$600,000",25.50%,ben-watson/1483/
Nelson Agholor,WR,Eagles,"$9,377,372","$2,344,343","$8,777,566","$2,194,392",93.60%,nelson-agholor/3868/
Kenny Clark,34DT,Packers,"$9,361,642","$2,340,411","$7,635,055","$1,908,764",81.60%,kenny-clark/4739/
Joshua Garnett,RG,49ers,"$9,304,310","$2,326,078","$7,585,541","$1,896,385",81.50%,joshua-garnett/4740/
T.J. Watt,34OLB,Steelers,"$9,258,810","$2,314,703","$7,933,745","$1,983,436",85.70%,t-j-watt/5614/
Andre Roberts,WR,Bills,"$4,600,000","$2,300,000","$3,000,000","$1,500,000",65.20%,andre-roberts/378/
Chandler Catanzaro,K,Jets,"$2,300,000","$2,300,000","$500,000","$500,000",21.70%,chandler-catanzaro/3218/
Chris Banjo,S,Saints,"$6,900,000","$2,300,000","$2,650,000","$883,333",38.40%,chris-banjo/2172/
Chris Conley,WR,Jaguars,"$4,595,000","$2,297,500","$1,000,000","$500,000",21.80%,chris-conley/3924/
Austin Reiter,C,Chiefs,"$4,550,000","$2,275,000","$1,000,000","$500,000",22.00%,austin-reiter/4070/
Reuben Foster,ILB,Redskins,"$9,035,568","$2,258,892","$7,677,444","$1,919,361",85.00%,reuben-foster/5615/
Greg Zuerlein,K,Rams,"$6,750,000","$2,250,000","$2,375,000","$791,667",35.20%,greg-zuerlein/1322/
Kendall Lamm,RT,Browns,"$4,500,000","$2,250,000","$600,000","$300,000",13.30%,kendall-lamm/4194/
PJ Williams,CB,Saints,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",100.00%,pj-williams/3926/
Al Woods,43DT,Seahawks,"$2,250,000","$2,250,000","$400,000","$400,000",17.80%,al-woods/1577/
Vinny Curry,43DE,Eagles,"$2,250,000","$2,250,000","$2,000,000","$2,000,000",88.90%,vinny-curry/786/
DJ Humphries,LT,Cardinals,"$8,912,112","$2,228,028","$7,961,824","$1,990,456",89.30%,dj-humphries/3872/
Ryan Ramczyk,RT,Saints,"$8,891,810","$2,222,953","$7,432,291","$1,858,073",83.60%,ryan-ramczyk/5616/
Shaq Thompson,43OLB,Panthers,"$8,808,726","$2,202,181","$7,172,535","$1,793,134",81.40%,shaq-thompson/3873/
Chris Jones,P,Cowboys,"$8,700,000","$2,175,000","$2,500,000","$625,000",28.70%,chris-jones/612/
Byron Jones,CB,Cowboys,"$8,601,938","$2,150,485","$6,993,947","$1,748,487",81.30%,byron-jones/3875/
Tyler Larsen,C,Panthers,"$4,300,000","$2,150,000","$1,400,000","$700,000",32.60%,tyler-larsen/3439/
Rashaan Melvin,CB,Lions,"$2,150,000","$2,150,000","$700,000","$700,000",32.60%,rashaan-melvin/2504/
Peyton Barber,RB,Buccaneers,"$2,125,000","$2,125,000","$1,000,000","$1,000,000",47.10%,peyton-barber/5023/
Tre Boston,S,Panthers,"$2,125,000","$2,125,000","$500,000","$500,000",23.50%,tre-boston/3067/
Randy Bullock,K,Bengals,"$4,205,000","$2,102,500","$750,000","$375,000",17.80%,randy-bullock/1682/
Marcedes Lewis,TE,Packers,"$2,100,000","$2,100,000","$500,000","$500,000",23.80%,marcedes-lewis/946/
Patrick DiMarco,FB,Bills,"$8,400,000","$2,100,000","$3,300,000","$825,000",39.30%,patrick-dimarco/2462/
Vernon Butler,43DT,Panthers,"$8,396,516","$2,099,129","$6,801,536","$1,700,384",81.00%,vernon-butler/4742/
John Simon,43DE,Patriots,"$4,150,000","$2,075,000","$1,650,000","$825,000",39.80%,john-simon/2297/
Germain Ifedi,RT,Seahawks,"$8,265,106","$2,066,277","$6,688,045","$1,672,011",80.90%,germain-ifedi/4743/
Craig Robertson,43OLB,Saints,"$4,100,000","$2,050,000","$2,300,000","$1,150,000",56.10%,craig-robertson/272/
Quinton Spain,LG,Bills,"$2,050,000","$2,050,000","$200,000","$200,000",9.80%,quinton-spain/4612/
Donald Penn,LT,Redskins,"$2,030,000","$2,030,000","$250,000","$250,000",12.30%,donald-penn/338/
Jordan Lucas,S,Chiefs,"$2,025,000","$2,025,000",$0,$0,0.00%,jordan-lucas/4917/
Ken Crawley,CB,Saints,"$2,025,000","$2,025,000",$0,$0,0.00%,ken-crawley/5096/
Quinton Jefferson,43DE,Seahawks,"$2,025,000","$2,025,000",$0,$0,0.00%,quinton-jefferson/4860/
Xavier Grimble,TE,Steelers,"$2,025,000","$2,025,000",$0,$0,0.00%,xavier-grimble/3492/
Alex Erickson,WR,Bengals,"$4,050,000","$2,025,000","$500,000","$250,000",12.30%,alex-erickson/5255/
Rashard Higgins,WR,Browns,"$2,025,000","$2,025,000",$0,$0,0.00%,rashard-higgins/4885/
Rashod Hill,RT,Vikings,"$2,025,000","$2,025,000",$0,$0,0.00%,rashod-hill/4999/
Matthias Farley,S,Colts,"$2,025,000","$2,025,000",$0,$0,0.00%,matthias-farley/5064/
Trevor Williams,CB,Chargers,"$2,025,000","$2,025,000",$0,$0,0.00%,trevor-williams/4995/
Brennan Scarlett,34OLB,Texans,"$2,025,000","$2,025,000",$0,$0,0.00%,brennan-scarlett/5273/
Brandon Dunn,34DT,Texans,"$2,025,000","$2,025,000",$0,$0,0.00%,brandon-dunn/3288/
Evan Boehm,RG,Colts,"$2,025,000","$2,025,000",$0,$0,0.00%,evan-boehm/4841/
Josh Gordon,WR,Patriots,"$2,025,000","$2,025,000",$0,$0,0.00%,josh-gordon/290/
Carl Davis,43DT,Browns,"$2,000,000","$2,000,000","$400,000","$400,000",20.00%,carl-davis/3938/
Adrian Phillips,S,Chargers,"$2,000,000","$2,000,000","$1,250,000","$1,250,000",62.50%,adrian-phillips/3667/
Timmy Jernigan,43DT,Eagles,"$2,000,000","$2,000,000","$1,000,000","$1,000,000",50.00%,timmy-jernigan/2987/
Robert Griffin III,QB,Ravens,"$4,000,000","$2,000,000","$2,000,000","$1,000,000",50.00%,robert-griffin-iii/1459/
Jamie Collins,43OLB,Patriots,"$2,000,000","$2,000,000","$250,000","$250,000",12.50%,jamie-collins/2280/
Morris Claiborne,CB,Chiefs,"$2,000,000","$2,000,000","$250,000","$250,000",12.50%,morris-claiborne/649/
Andy Lee,P,Cardinals,"$4,000,000","$2,000,000","$1,000,000","$500,000",25.00%,andy-lee/54/
Frank Gore,RB,Bills,"$2,000,000","$2,000,000","$500,000","$500,000",25.00%,frank-gore/94/
Matt Barkley,QB,Bills,"$4,000,000","$2,000,000","$600,000","$300,000",15.00%,matt-barkley/2272/
Damion Square,43DT,Chargers,"$2,000,000","$2,000,000","$500,000","$500,000",25.00%,damion-square/2538/
Seth Roberts,WR,Ravens,"$2,000,000","$2,000,000","$1,000,000","$1,000,000",50.00%,seth-roberts/3762/
Adrian Clayborn,43DE,Falcons,"$2,000,000","$2,000,000","$750,000","$750,000",37.50%,adrian-clayborn/316/
Bashaud Breeland,CB,Chiefs,"$2,000,000","$2,000,000","$1,150,000","$1,150,000",57.50%,bashaud-breeland/3041/
Jordan Matthews,WR,49ers,"$2,000,000","$2,000,000","$300,000","$300,000",15.00%,jordan-matthews/2981/
Max Garcia,LG,Cardinals,"$2,000,000","$2,000,000","$400,000","$400,000",20.00%,max-garcia/3981/
LaAdrian Waddle,LT,Bills,"$2,000,000","$2,000,000","$400,000","$400,000",20.00%,laadrian-waddle/2557/
Trevor Siemian,QB,Jets,"$2,000,000","$2,000,000","$1,000,000","$1,000,000",50.00%,trevor-siemian/4098/
Justin Bethel,CB,Ravens,"$4,000,000","$2,000,000","$1,000,000","$500,000",25.00%,justin-bethel/401/
Michael Thomas,S,Giants,"$4,000,000","$2,000,000","$1,500,000","$750,000",37.50%,michael-thomas/1915/
Vontaze Burfict,ILB,Raiders,"$2,000,000","$2,000,000","$300,000","$300,000",15.00%,vontaze-burfict/208/
Daren Bates,ILB,Titans,"$6,000,000","$2,000,000","$1,000,000","$333,333",16.70%,daren-bates/2586/
Charles Clay,TE,Cardinals,"$2,000,000","$2,000,000","$350,000","$350,000",17.50%,charles-clay/675/
Byron Murphy,CB,Cardinals,"$7,989,498","$1,997,375","$6,133,278","$1,533,320",76.80%,byron-murphy/7824/
Rock Ya-Sin,CB,Colts,"$7,916,454","$1,979,114","$6,008,310","$1,502,078",75.90%,rock-ya-sin/7825/
Damarious Randall,S,Browns,"$7,915,728","$1,978,932","$6,401,310","$1,600,328",80.90%,damarious-randall/3878/
Jawaan Taylor,RT,Jaguars,"$7,843,422","$1,960,856","$5,722,577","$1,430,644",73.00%,jawaan-taylor/7826/
Mike Glennon,QB,Raiders,"$1,950,000","$1,950,000","$1,400,000","$1,400,000",71.80%,mike-glennon/2224/
Deebo Samuel,WR,49ers,"$7,697,356","$1,924,339","$5,226,791","$1,306,698",67.90%,deebo-samuel/7827/
Jeff Heath,S,Cowboys,"$7,671,000","$1,917,750","$1,800,000","$450,000",23.50%,jeff-heath/2525/
Greg Little,LT,Panthers,"$7,638,924","$1,909,731","$5,012,804","$1,253,201",65.60%,greg-little/7828/
Rontez Miles,S,Jets,"$1,907,000","$1,907,000",$0,$0,0.00%,rontez-miles/2555/
Matt Schaub,QB,Falcons,"$3,780,000","$1,890,000","$750,000","$375,000",19.80%,matt-schaub/1677/
Austin Corbett,C,Browns,"$7,518,394","$1,879,599","$5,678,642","$1,419,661",75.50%,austin-corbett/6918/
Cody Ford,RT,Bills,"$7,507,470","$1,876,868","$4,811,225","$1,202,806",64.10%,cody-ford/7829/
Eric Kush,RG,Browns,"$3,750,000","$1,875,000","$700,000","$350,000",18.70%,eric-kush/2330/
Brett Hundley,QB,Cardinals,"$1,875,000","$1,875,000","$750,000","$750,000",40.00%,brett-hundley/3995/
Will Hernandez,LG,Giants,"$7,450,740","$1,862,685","$5,568,294","$1,392,074",74.70%,will-hernandez/6919/
Brandon Bolden,RB,Patriots,"$3,700,000","$1,850,000","$2,000,000","$1,000,000",54.10%,brandon-bolden/1202/
Jordan Berry,P,Steelers,"$3,700,000","$1,850,000","$750,000","$375,000",20.30%,jordan-berry/3847/
Cassius Marsh,43DE,Seahawks,"$1,850,000","$1,850,000","$600,000","$600,000",32.40%,cassius-marsh/3047/
Derek Carrier,TE,Raiders,"$5,550,000","$1,850,000","$1,900,000","$633,333",34.20%,derek-carrier/743/
Nevin Lawson,CB,Raiders,"$1,850,000","$1,850,000","$1,555,000","$1,555,000",84.10%,nevin-lawson/3072/
Nick Chubb,RB,Browns,"$7,383,094","$1,845,774","$5,297,114","$1,324,279",71.70%,nick-chubb/6920/
Sean Bunting,S,Buccaneers,"$7,375,998","$1,844,000","$4,709,633","$1,177,408",63.90%,sean-bunting/7830/
L.J. Fort,ILB,Eagles,"$5,500,000","$1,833,333","$1,900,000","$633,333",34.50%,l-j-fort/295/
Trayvon Mullen,CB,Raiders,"$7,259,146","$1,814,787","$4,619,341","$1,154,835",63.60%,trayvon-mullen/7831/
Darius Leonard,43OLB,Colts,"$7,247,808","$1,811,952","$4,828,495","$1,207,124",66.60%,darius-leonard/6921/
Denzelle Good,LG,Raiders,"$1,800,000","$1,800,000","$500,000","$500,000",27.80%,denzelle-good/4103/
Joe Dahl,LG,Lions,"$3,600,000","$1,800,000","$1,470,000","$735,000",40.80%,joe-dahl/4864/
Jamize Olawale,FB,Cowboys,"$5,400,000","$1,800,000","$2,800,000","$933,333",51.90%,jamize-olawale/1269/
James Develin,FB,Patriots,"$3,600,000","$1,800,000","$600,000","$300,000",16.70%,james-develin/1216/
Joe Thomas,ILB,Cowboys,"$3,600,000","$1,800,000","$600,000","$300,000",16.70%,joe-thomas/3376/
Braden Smith,RG,Colts,"$7,193,688","$1,798,422","$4,598,758","$1,149,690",63.90%,braden-smith/6922/
Dalton Risner,LG,Broncos,"$7,142,282","$1,785,571","$4,529,037","$1,132,259",63.40%,dalton-risner/7832/
Kevin King,CB,Packers,"$7,080,850","$1,770,213","$5,276,565","$1,319,141",74.50%,kevin-king/5619/
Ronald Jones II,RB,Buccaneers,"$7,071,926","$1,767,982","$3,223,220","$805,805",45.60%,ronald-jones-ii/6923/
Cam Robinson,LT,Jaguars,"$7,018,128","$1,754,532","$5,173,098","$1,293,275",73.70%,cam-robinson/5620/
Drew Lock,QB,Broncos,"$7,010,820","$1,752,705","$4,427,450","$1,106,863",63.20%,drew-lock/7833/
Sherrick McManis,CB,Bears,"$3,500,000","$1,750,000","$1,100,000","$550,000",31.40%,sherrick-mcmanis/152/
Christian Covington,43DT,Cowboys,"$1,750,000","$1,750,000","$750,000","$750,000",42.90%,christian-covington/4064/
Rodney Gunter,34DT,Cardinals,"$1,750,000","$1,750,000","$1,600,000","$1,600,000",91.40%,rodney-gunter/3964/
Brandon King,43OLB,Patriots,"$3,500,000","$1,750,000","$800,000","$400,000",22.90%,brandon-king/4466/
Pat O'Donnell,P,Bears,"$3,500,000","$1,750,000","$1,750,000","$875,000",50.00%,pat-odonnell/3130/
Tavon Austin,WR,Cowboys,"$1,750,000","$1,750,000","$500,000","$500,000",28.60%,tavon-austin/2189/
Brandon Copeland,34OLB,Jets,"$1,750,000","$1,750,000","$500,000","$500,000",28.60%,brandon-copeland/2768/
Roosevelt Nix,FB,Steelers,"$6,975,000","$1,743,750","$1,750,000","$437,500",25.10%,roosevelt-nix/3240/
James Daniels,LG,Bears,"$6,950,156","$1,737,539","$3,930,576","$982,644",56.60%,james-daniels/6924/
Jahlani Tavai,ILB,Lions,"$6,893,968","$1,723,492","$4,337,158","$1,084,290",62.90%,jahlani-tavai/7834/
Courtland Sutton,WR,Broncos,"$6,841,930","$1,710,483","$4,326,945","$1,081,736",63.20%,courtland-sutton/6925/
Budda Baker,S,Cardinals,"$6,829,970","$1,707,493","$4,472,705","$1,118,176",65.50%,budda-baker/5622/
Elgton Jenkins,C,Packers,"$6,782,618","$1,695,655","$4,251,113","$1,062,778",62.70%,elgton-jenkins/7835/
Zay Jones,WR,Bills,"$6,779,798","$1,694,950","$4,308,933","$1,077,233",63.60%,zay-jones/5623/
Harold Landry,34OLB,Titans,"$6,733,690","$1,683,423","$4,243,305","$1,060,826",63.00%,harold-landry/6926/
Forrest Lamp,RG,Chargers,"$6,686,906","$1,671,727","$4,221,701","$1,055,425",63.10%,forrest-lamp/5624/
Dekoda Watson,34OLB,Broncos,"$5,000,000","$1,666,667","$1,000,000","$333,333",20.00%,dekoda-watson/333/
Joejuan Williams,CB,Patriots,"$6,626,656","$1,656,664","$4,130,596","$1,032,649",62.30%,joejuan-williams/7836/
Mike Gesicki,TE,Dolphins,"$6,611,924","$1,652,981","$4,149,214","$1,037,304",62.80%,mike-gesicki/6927/
Emmanuel Ogbah,43DE,Chiefs,"$6,609,640","$1,652,410","$3,457,012","$864,253",52.30%,emmanuel-ogbah/4745/
Malcolm Brown,RB,Rams,"$3,300,000","$1,650,000","$2,100,000","$2,100,000",63.60%,malcolm-brown/4363/
Marcus Maye,S,Jets,"$6,554,012","$1,638,503","$4,134,462","$1,033,616",63.10%,marcus-maye/5625/
Kerryon Johnson,RB,Lions,"$6,503,698","$1,625,925","$4,065,583","$1,016,396",62.50%,kerryon-johnson/6928/
Terrence Brooks,S,Patriots,"$3,250,000","$1,625,000","$1,305,000","$652,500",40.20%,terrence-brooks/3018/
Brooks Reed,34OLB,Cardinals,"$1,625,000","$1,625,000","$250,000","$250,000",15.40%,brooks-reed/1648/
Greedy Williams,CB,Browns,"$6,458,676","$1,614,669","$2,717,220","$679,305",42.10%,greedy-williams/7837/
Curtis Samuel,WR,Panthers,"$6,453,660","$1,613,415","$4,056,920","$1,014,230",62.90%,curtis-samuel/5626/
Brian Hoyer,QB,Patriots,"$4,815,000","$1,605,000","$1,510,000","$503,333",31.40%,brian-hoyer/625/
Dante Pettis,WR,49ers,"$6,400,562","$1,600,141","$3,985,887","$996,472",62.30%,dante-pettis/6929/
Kevin Pamphile,RG,Titans,"$1,600,000","$1,600,000","$350,000","$350,000",21.90%,kevin-pamphile/3088/
Blaine Gabbert,QB,Buccaneers,"$1,600,000","$1,600,000","$500,000","$500,000",31.30%,blaine-gabbert/913/
Dwayne Harris,WR,Raiders,"$1,600,000","$1,600,000","$275,000","$275,000",17.20%,dwayne-harris/626/
Tom Compton,RG,Jets,"$1,600,000","$1,600,000","$400,000","$400,000",25.00%,tom-compton/1465/
TJ Yeldon,RB,Bills,"$3,200,000","$1,600,000","$500,000","$250,000",15.60%,tj-yeldon/3884/
Hunter Henry,TE,Chargers,"$6,380,308","$1,595,077","$4,030,238","$1,007,560",63.20%,hunter-henry/4748/
Dalvin Cook,RB,Vikings,"$6,353,310","$1,588,328","$3,979,375","$994,844",62.60%,dalvin-cook/5627/
Myles Jack,43OLB,Jaguars,"$6,334,438","$1,583,610","$3,994,793","$998,698",63.10%,myles-jack/4749/
Mark Nzeocha,ILB,49ers,"$4,750,000","$1,583,333","$1,250,000","$416,667",26.30%,mark-nzeocha/4084/
Josh Jackson,CB,Packers,"$6,256,100","$1,564,025","$3,874,260","$968,565",61.90%,josh-jackson/6930/
Marcus Williams,S,Saints,"$6,240,410","$1,560,103","$3,892,135","$973,034",62.40%,marcus-williams/5628/
Tress Way,P,Redskins,"$7,800,000","$1,560,000","$1,850,000","$370,000",23.70%,tress-way/2677/
Marquise Blair,S,Seahawks,"$6,236,648","$1,559,162","$3,829,228","$957,307",61.40%,marquise-blair/7838/
Chris Jones,43DT,Chiefs,"$6,231,240","$1,557,810","$3,890,050","$972,513",62.40%,chris-jones/4750/
Ray-Ray Armstrong,43OLB,Browns,"$1,550,000","$1,550,000","$400,000","$400,000",25.80%,ray-ray-armstrong/2589/
Sidney Jones,CB,Eagles,"$6,140,068","$1,535,017","$3,814,598","$953,650",62.10%,sidney-jones/5629/
Breeland Speaks,43DE,Chiefs,"$6,100,516","$1,525,129","$3,754,036","$938,509",61.50%,breeland-speaks/6931/
Dennis Kelly,RT,Titans,"$3,050,000","$1,525,000","$400,000","$200,000",13.10%,dennis-kelly/742/
Nick Dzubnar,ILB,Chargers,"$3,050,000","$1,525,000","$795,000","$397,500",26.10%,nick-dzubnar/4304/
Erik McCoy,LG,Saints,"$6,090,582","$1,522,646","$3,716,357","$929,089",61.00%,erik-mccoy/7839/
Gerald Everett,TE,Rams,"$6,044,448","$1,511,112","$3,740,708","$935,177",61.90%,gerald-everett/5630/
Noah Spence,43DE,Buccaneers,"$6,036,312","$1,509,078","$3,764,422","$941,106",62.40%,noah-spence/4752/
Keith Smith,FB,Raiders,"$3,000,000","$1,500,000","$1,400,000","$700,000",46.70%,keith-smith/3333/
Aaron Lynch,34OLB,Bears,"$1,500,000","$1,500,000","$1,250,000","$1,250,000",83.30%,aaron-lynch/3089/
Kevin White,WR,Cardinals,"$1,500,000","$1,500,000","$400,000","$400,000",26.70%,kevin-white/3855/
Bradley Sowell,LT,Bears,"$3,000,000","$1,500,000","$850,000","$425,000",28.30%,bradley-sowell/543/
C.J. Anderson,RB,Lions,"$1,500,000","$1,500,000","$450,000","$450,000",30.00%,c-j-anderson/2471/
Darren Fells,TE,Texans,"$1,500,000","$1,500,000","$100,000","$100,000",6.70%,darren-fells/2426/
Neville Hewitt,ILB,Jets,"$1,500,000","$1,500,000","$500,000","$500,000",33.30%,neville-hewitt/4176/
Chris Milton,CB,Colts,"$1,500,000","$1,500,000","$600,000","$600,000",40.00%,chris-milton/5084/
Zach Brown,ILB,Eagles,"$1,500,000","$1,500,000","$1,400,000","$1,400,000",93.30%,zach-brown/262/
Stefen Wisniewski,LG,Eagles,"$1,500,000","$1,500,000","$250,000","$250,000",16.70%,stefen-wisniewski/1298/
Cody Latimer,WR,Giants,"$1,500,000","$1,500,000","$400,000","$400,000",26.70%,cody-latimer/2995/
Julian Stanford,ILB,Bills,"$3,000,000","$1,500,000","$550,000","$275,000",18.30%,julian-stanford/942/
Russell Shepard,WR,Giants,"$1,500,000","$1,500,000","$700,000","$700,000",46.70%,russell-shepard/2502/
Chris Reed,C,Dolphins,"$2,975,000","$1,487,500","$500,000","$250,000",16.80%,chris-reed/4491/
Ben Banogu,43DE,Colts,"$5,944,506","$1,486,127","$3,603,481","$900,870",60.60%,ben-banogu/7840/
Adam Shaheen,TE,Bears,"$5,910,516","$1,477,629","$3,637,216","$909,304",61.50%,adam-shaheen/5631/
Christian Kirk,WR,Cardinals,"$5,894,874","$1,473,719","$3,595,129","$898,782",61.00%,christian-kirk/6932/
Reggie Ragland,ILB,Chiefs,"$5,841,370","$1,460,343","$3,613,785","$903,446",61.90%,reggie-ragland/4754/
Ryan Griffin,QB,Buccaneers,"$2,900,000","$1,450,000","$450,000","$225,000",15.50%,ryan-griffin/2862/
Chris Hogan,WR,Panthers,"$1,450,000","$1,450,000","$300,000","$300,000",20.70%,chris-hogan/216/
Irv Smith Jr.,TE,Vikings,"$5,798,444","$1,449,611","$3,490,614","$872,654",60.20%,irv-smith-jr/7841/
Quincy Wilson,CB,Colts,"$5,766,262","$1,441,566","$3,525,747","$881,437",61.10%,quincy-wilson/5632/
Uchenna Nwosu,43OLB,Chargers,"$5,759,578","$1,439,895","$3,490,583","$872,646",60.60%,uchenna-nwosu/6933/
Kamalei Correa,34OLB,Titans,"$5,749,638","$1,437,410","$3,542,903","$885,726",61.60%,kamalei-correa/4755/
Austin Johnson,34DT,Titans,"$5,662,228","$1,415,557","$3,475,358","$868,840",61.40%,austin-johnson/4756/
A.J. Brown,WR,Titans,"$5,652,368","$1,413,092","$3,377,738","$844,435",59.80%,a-j-brown/7842/
Dallas Goedert,TE,Eagles,"$5,624,282","$1,406,071","$3,386,037","$846,509",60.20%,dallas-goedert/6934/
Kerry Wynn,43DE,Bengals,"$1,400,000","$1,400,000","$300,000","$300,000",21.40%,kerry-wynn/3493/
Matt LaCosse,TE,Patriots,"$2,800,000","$1,400,000","$500,000","$500,000",17.90%,matt-lacosse/4575/
Josh Mauro,43DE,Raiders,"$1,400,000","$1,400,000","$400,000","$400,000",28.60%,josh-mauro/3534/
Anthony Levine,S,Ravens,"$4,200,000","$1,400,000","$1,300,000","$433,333",31.00%,anthony-levine/2445/
Brent Qvale,LT,Jets,"$1,400,000","$1,400,000","$550,000","$550,000",39.30%,brent-qvale/3505/
Akeem King,S,Seahawks,"$1,400,000","$1,400,000","$400,000","$400,000",28.60%,akeem-king/4097/
Tyus Bowser,34OLB,Ravens,"$5,575,506","$1,393,877","$3,378,326","$844,582",60.60%,tyus-bowser/5633/
Drew Sample,TE,Bengals,"$5,506,296","$1,376,574","$2,769,866","$692,467",50.30%,drew-sample/7843/
Kyle Wilber,43OLB,Raiders,"$2,750,000","$1,375,000","$1,400,000","$700,000",50.90%,kyle-wilber/640/
Daniel McCullers,34DT,Steelers,"$2,750,000","$1,375,000","$250,000","$125,000",9.10%,daniel-mccullers/3154/
Connor Williams,LG,Cowboys,"$5,488,996","$1,372,249","$3,281,496","$820,374",59.80%,connor-williams/6935/
Joe Mixon,RB,Bengals,"$5,450,162","$1,362,541","$2,816,487","$704,122",51.70%,joe-mixon/5634/
Derrick Henry,RB,Titans,"$5,407,930","$1,351,983","$3,278,855","$819,714",60.60%,derrick-henry/4758/
Tramaine Brock,CB,Cardinals,"$1,350,000","$1,350,000","$500,000","$500,000",37.00%,tramaine-brock/2158/
Jermaine Kearse,WR,Lions,"$1,350,000","$1,350,000","$350,000","$350,000",25.90%,jermaine-kearse/1548/
Ben Braunecker,TE,Bears,"$2,700,000","$1,350,000","$550,000","$275,000",20.40%,ben-braunecker/5381/
Malcolm Smith,43OLB,49ers,"$1,350,000","$1,350,000",$0,$0,0.00%,malcolm-smith/1556/
Walt Aikens,S,Dolphins,"$2,700,000","$1,350,000","$1,300,000","$650,000",48.10%,walt-aikens/3064/
A.Q. Shipley,C,Cardinals,"$2,700,000","$1,350,000","$710,000","$355,000",26.30%,a-q-shipley/541/
Kyle Love,43DT,Panthers,"$1,350,000","$1,350,000","$200,000","$200,000",14.80%,kyle-love/1829/
Miles Sanders,RB,Eagles,"$5,360,230","$1,340,058","$3,151,995","$787,999",58.80%,miles-sanders/7844/
Anthony Miller,WR,Bears,"$5,353,700","$1,338,425","$3,176,950","$794,238",59.30%,anthony-miller/6936/
