"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"Saquon Barkley","NYG","RB",1,1.2,0.6,5,1,1.1,0.4,4,1,1.8,,,,,1.2,8,1,1.7,1,5,1,2.2,1.7,14,1,2,1.1,9,2019-09-05
"Christian McCaffrey","CAR","RB",1,3,1.3,6,1,2.3,0.8,5,1,2.7,,,,,1.4,15,1,2.4,1,8,1,2.2,1.3,8,1,2.1,1,5,2019-09-05
"Ezekiel Elliott","DAL","RB",2,5.6,2.5,10,2,3.6,0.8,7,1,3.2,,,,,1.4,6,1,3,1.2,6,1,17.5,13.7,44,1,8.6,4.5,18,2019-09-05
"Darius Leonard","IND","LB",,,,,,,,,1,3.3,,,,,6.6,78,1,1.3,0.6,38,1,1.6,0.5,3,1,1.4,0.5,3,2019-09-05
"Alvin Kamara","NOS","RB",2,4.7,1.3,8,2,3,0.5,4,1,3.3,,,,,1.5,13,1,2.9,1,6,1,2.7,1.3,9,1,2.5,0.9,6,2019-09-05
"Bobby Wagner","SEA","LB",,,,,,,,,1,4.1,,,,,1.2,7,1,2.9,1.1,5,1,6.4,2,12,1,4.4,2.1,7,2019-09-05
"Luke Kuechly","CAR","LB",,,,,,,,,2,5,,,,,2.3,35,2,3.4,1,6,2,3,0.6,4,2,3,0.8,5,2019-09-05
"Aaron Donald","LAR","DL",,,,,,,,,1,5.7,,,,,4.3,101,1,1.8,1.2,9,1,7.4,1.6,21,1,1.3,0.5,4,2019-09-05
"Davante Adams","GBP","WR",4,7.7,1.9,15,1,4,1.2,7,4,6.1,,,,,2.7,24,1,2.1,1.5,11,4,10.9,4.3,23,1,4.5,2.2,12,2019-09-05
"Deion Jones","ATL","LB",,,,,,,,,3,6.3,,,,,2.5,39,2,4.4,1,7,4,4.8,0.4,11,4,4.4,0.5,6,2019-09-05
"DeAndre Hopkins","HOU","WR",1,3.7,1.4,9,1,1.4,0.6,4,4,6.3,,,,,1.9,18,1,2.1,1,8,4,5.8,1.1,13,1,1.9,0.6,7,2019-09-05
