"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","ScrapeDate"
"DJ Chark","JAC","WR",101,182.3,27.2,249,37,80.8,10.8,101,133,160.5,,,,,23.1,195,54,62,5.5,68,2019-09-13
"Donte Moncrief","PIT","WR",113,157.5,18.3,197,40,63.6,5.9,88,134,161.8,,,,,32.9,218,55,62.3,7.6,75,2019-09-13
"Jalen Richard","OAK","RB",125,194.5,35.3,278,40,63.7,8.3,87,103,162,,,,,42.5,223,43,58.8,10.4,72,2019-09-13
"Darren Sproles","PHI","RB",333,360.5,27.5,388,80,106.1,10.2,125,129,163.3,,,,,26.3,193,50,59,6.4,64,2019-09-13
"Darrell Henderson","LAR","RB",56,101.7,29.9,170,20,36.6,12.7,82,145,166.8,4,10.2,3.6,17,24.8,208,55,60.3,5.2,68,2019-09-13
"Anthony Miller","CHI","WR",66,99.6,21.3,154,25,43.7,6.6,68,117,167.8,,,,,49.8,231,47,61,13.9,79,2019-09-13
"Dante Pettis","SFO","WR",52,86,18.2,144,25,38.4,6.4,73,130,167.8,,,,,38.6,217,52,61.3,9.6,74,2019-09-13
"Albert Wilson","MIA","WR",113,181.4,25.3,246,46,80.8,14,116,139,168.3,,,,,29.2,216,58,64.8,5.5,73,2019-09-13
"Chicago","CHI","DST",139,217.4,40.2,301,1,1,0,3,169,169,,,,,0,169,,,,,2019-09-13
"Matthew Stafford","DET","QB",113,149.7,26.4,217,12,19.9,2.3,27,157,170,,,,,17,199,20,22,1.9,25,2019-09-13
"Frank Gore","BUF","RB",209,285,12.2,300,64,90.6,12,119,153,170.8,,,,,27.9,219,57,60.8,5.9,71,2019-09-13
"Terry McLaurin","WAS","WR",94,175.6,41.8,339,46,75,19.2,129,128,170.8,13,25.2,5.9,42,44.5,231,51,62.3,11.7,78,2019-09-13
"Jimmy Garoppolo","SFO","QB",81,127.7,23.6,183,10,15.5,1.8,23,157,171.8,,,,,20,206,20,22.3,2.3,26,2019-09-13
"Minnesota","MIN","DST",144,225.1,30.9,262,3,5,2.1,10,170,172,,,,,1.6,174,,,,,2019-09-13
"Jacksonville","JAC","DST",151,203.7,32,253,2,2.8,1,10,170,173,,,,,2.1,175,,,,,2019-09-13
"New England","NEP","DST",212,242.3,43,316,11,15.6,1.7,17,170,173,,,,,2.2,176,,,,,2019-09-13
"Nyheim Hines","IND","RB",92,131.5,16.5,165,37,47.2,5.3,67,129,173.3,,,,,40.8,225,50,60.5,9.8,73,2019-09-13
"Los Angeles","LAR","DST",174,242.4,37.9,289,2,5.2,1.2,6,170,173.8,,,,,2.6,177,,,,,2019-09-13
"Dare Ogunbowale","TBB","RB",167,251.1,56,365,60,78.8,8,92,141,173.8,,,,,24.4,201,54,61,4.9,67,2019-09-13
"Los Angeles","LAC","DST",145,243.3,41.1,280,2,7.4,2.3,11,171,174.3,,,,,2.9,179,,,,,2019-09-13
"Ty Montgomery","NYJ","RB",185,255.3,49.7,380,48,77.4,11.9,103,153,174.3,,,,,20.4,208,57,62.8,3.9,68,2019-09-13
"Trey Quinn","WAS","WR",156,198.5,20.5,252,62,87.7,12.3,120,152,175.5,,,,,33.5,233,62,67.3,6.9,79,2019-09-13
"Cleveland","CLE","DST",162,223.6,59.6,296,3,10.4,4,14,172,175.8,,,,,2.5,178,,,,,2019-09-13
"New Orleans","NOS","DST",195,257,37.9,295,7,9.4,1.7,15,173,176,,,,,1.9,178,,,,,2019-09-13
"Andy Dalton","CIN","QB",122,205,37.8,275,25,29,2.1,34,157,178,,,,,20,198,20,22.3,1.8,24,2019-09-13
"Damien Harris","NEP","RB",56,114.1,23.1,215,20,39.4,7.9,66,153,178,10,16.7,3,25,29.2,219,57,63,5.9,71,2019-09-13
"Greg Zuerlein","LAR","K",169,243.9,31,281,1,2.3,0.5,7,181,181.3,,,,,0.4,182,,,,,2019-09-13
"Harrison Butker","KCC","K",179,255.7,33.9,302,1,5.8,3.6,14,181,183,,,,,1.4,185,,,,,2019-09-13
"Justin Tucker","BAL","K",157,218.3,27.1,263,1,1.2,0.4,3,182,183.3,,,,,1.3,185,,,,,2019-09-13
"Stephen Gostkowski","NEP","K",186,240.7,21.2,261,2,3.2,0.9,7,182,183.3,,,,,0.8,184,,,,,2019-09-13
"Sam Darnold","NYJ","QB",90,122.8,21.8,172,9,15.4,3.2,23,155,184,,,,,24.1,215,19,23.5,3,27,2019-09-13
"Wil Lutz","NOS","K",198,262.5,27.2,291,5,5.8,0.9,15,183,184.3,,,,,0.8,185,,,,,2019-09-13
"Baltimore","BAL","DST",182,257.5,32.7,305,1,8.8,2.6,12,171,185,,,,,20.4,220,,,,,2019-09-13
"Ted Ginn","NOS","WR",210,252.2,19.7,284,81,105.3,10.9,135,134,185.5,,,,,31.2,218,55,66.5,7.3,75,2019-09-13
"AJ Brown","TEN","WR",44,91.5,29.2,173,22,39.9,10.5,70,147,185.5,3,7.9,2.5,16,61,291,59,71,17.4,101,2019-09-13
"Kaimi Fairbairn","HOU","K",217,237.3,14.8,252,4,11.7,5.9,27,186,186.5,,,,,0.5,187,,,,,2019-09-13
"Kaare Vedvik",,"K",,,,,16,22,6,28,187,187,,,,,0,187,,,,,2019-09-13
"Ito Smith","ATL","RB",84,160.7,48.2,315,39,52.1,10,92,150,188.5,,,,,23.6,214,56,63.8,5,70,2019-09-13
"Mason Crosby","GBP","K",208,249.8,36.9,317,4,7.3,1.7,11,188,189,,,,,1.2,191,,,,,2019-09-13
"Jake Elliott","PHI","K",229,241.5,9.7,254,3,12.8,4.2,20,188,189,,,,,0.7,190,,,,,2019-09-13
"Brett Maher","DAL","K",235,252,12.6,265,9,13.3,2.9,17,187,189.8,,,,,1.8,192,,,,,2019-09-13
"Trey Burton","CHI","TE",85,134.5,19.5,186,10,16.1,2.8,23,142,190.8,,,,,28.3,211,14,17.3,1.9,19,2019-09-13
"Adam Humphries","TEN","WR",148,186.3,21.7,232,59,82.9,10.5,99,137,191,,,,,45.9,238,57,70.5,10.7,81,2019-09-13
"Cairo Santos","TEN","K",260,316.7,48.3,378,12,19.7,5.1,30,192,192,,,,,0,192,,,,,2019-09-13
"Chase Edmonds","ARI","RB",109,191.6,54.5,371,39,63.8,11.7,98,161,192.8,,,,,31.8,226,60,66.5,6.5,74,2019-09-13
"Buffalo","BUF","DST",204,239.5,44,314,13,16,1.7,18,174,193.5,,,,,18.5,212,,,,,2019-09-13
"Houston","HOU","DST",153,242.9,42.9,286,3,5.6,1.5,10,179,194.8,,,,,15.4,213,,,,,2019-09-13
"Darwin Thompson","KCC","RB",79,161.1,51.6,341,30,50.8,11.9,94,141,195.3,8,25.2,5.3,34,32.6,226,54,66,7.5,74,2019-09-13
"Dallas","DAL","DST",192,231.5,48.1,313,8,13.4,5.3,23,176,195.5,,,,,30.9,249,,,,,2019-09-13
"Jamaal Williams","GBP","RB",112,187.8,31.1,260,45,63.1,10,98,164,196,,,,,22.1,226,62,66.8,4.5,74,2019-09-13
"Jacoby Brissett","IND","QB",105,232.6,64.1,404,19,29.7,4.7,40,165,196,,,,,18.9,215,22,24.8,1.9,27,2019-09-13
"Derek Carr","OAK","QB",113,173.7,37.7,259,18,25.2,2.8,31,167,196.5,,,,,18.1,215,23,25,1.6,27,2019-09-13
"Raheem Mostert","SFO","RB",235,353.5,118.5,472,74,104.8,19.7,134,114,196.5,,,,,51.3,253,46,66.8,13.7,84,2019-09-13
"Mecole Hardman","KCC","WR",91,133.6,28.3,207,41,56.2,9.4,84,139,198.3,11,18.5,4.6,32,38,242,58,70.8,9.1,83,2019-09-13
"TreQuan Smith","NOS","WR",82,130.2,24.3,182,41,58.9,6.2,80,156,198.5,,,,,24.8,218,64,70.8,4.1,75,2019-09-13
"Gus Edwards","BAL","RB",149,227.4,30.1,286,55,74.6,9.3,92,145,199.5,,,,,32.4,230,55,67.5,7.7,76,2019-09-13
"Eric Ebron","IND","TE",77,113.1,22.3,170,8,12.3,3,22,142,200,,,,,35,233,14,18,2.7,21,2019-09-13
"Denver","DEN","DST",158,248.8,27.9,279,2,5,2.4,13,172,201.8,,,,,27,236,,,,,2019-09-13
"Marcus Mariota","TEN","QB",109,187,34.6,266,19,26,3.2,34,199,204.8,,,,,6.6,215,25,25.8,0.8,27,2019-09-13
"Robbie Gould","SFO","K",239,245.3,8.3,257,10,14,4,20,186,205.5,,,,,27.5,253,,,,,2019-09-13
"Randall Cobb","DAL","WR",177,224.3,41.4,330,68,90.7,14.3,123,154,206.8,,,,,51.7,281,63,75.8,13.9,98,2019-09-13
"Matt Bryant","ATL","K",235,302.3,58.2,377,12,17.7,4.5,25,188,207,,,,,30,259,,,,,2019-09-13
"Seattle","SEA","DST",194,281,39.2,355,7,15.4,2.6,19,180,208.3,,,,,16.6,220,,,,,2019-09-13
"DeAndre Washington","OAK","RB",274,375,101,476,65,100.6,17.6,135,209,209,,,,,0,209,69,69,0,69,2019-09-13
"Marquise Goodwin","SFO","WR",100,175.6,24.2,251,42,78.1,10.3,97,202,209,,,,,8.2,222,70,72,2.4,76,2019-09-13
"Jordan Reed","WAS","TE",100,181.5,23.2,240,16,23.5,3.8,31,151,210.5,,,,,38,246,16,19.3,2.8,22,2019-09-13
