Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Todd GurleyT. Gurley LAR,RB1,,1,7,1.6,0.8
2,,Saquon BarkleyS. Barkley NYG,RB2,,1,4,1.9,0.8
3,,Ezekiel ElliottE. Elliott DAL,RB3,,1,4,2.6,0.6
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,7,3.9,0.5
5,,Alvin KamaraA. Kamara NO,RB5,,3,7,5.0,0.6
6,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,11,6.8,1.4
7,,Melvin GordonM. Gordon LAC,RB6,,5,10,7.0,0.9
8,,Davante AdamsD. Adams GB,WR2,,6,16,8.3,1.5
9,,Julio JonesJ. Jones ATL,WR3,,6,12,9.6,1.5
10,,Michael ThomasM. Thomas NO,WR4,,8,25,11.2,2.2
Tier 2,
11,,Travis KelceT. Kelce KC,TE1,,13,22,13.5,1.2
12,,Nick ChubbN. Chubb CLE,RB7,,9,21,13.8,4.3
13,,James ConnerJ. Conner PIT,RB8,,9,23,14.0,3.3
14,,Antonio BrownA. Brown PIT,WR5,,8,30,14.4,4.5
15,,Odell Beckham Jr.O. Beckham NYG,WR6,,9,25,15.4,2.7
16,,Le'Veon BellL. Bell PIT,RB9,,9,27,16.7,2.9
17,,Joe MixonJ. Mixon CIN,RB10,,14,21,17.2,1.3
18,,Zach ErtzZ. Ertz PHI,TE2,,13,26,17.5,3.6
19,,Tyreek HillT. Hill KC,WR7,,12,25,17.6,3.7
Tier 3,
20,,David JohnsonD. Johnson ARI,RB11,,9,31,19.9,2.9
21,,Dalvin CookD. Cook MIN,RB12,,9,31,20.1,2.4
22,,George KittleG. Kittle SF,TE3,,15,33,21.6,3.7
23,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,6,32,21.7,4.7
Tier 4,
24,,Mike EvansM. Evans TB,WR9,,16,33,24.8,1.9
25,,Aaron JonesA. Jones GB,RB13,,17,51,25.0,6.1
26,,A.J. GreenA. Green CIN,WR10,,23,36,25.2,1.8
27,,T.Y. HiltonT. Hilton IND,WR11,,25,33,29.2,1.4
28,,Amari CooperA. Cooper DAL,WR12,,21,37,29.8,2.6
29,,Patrick MahomesP. Mahomes KC,QB1,,27,50,30.5,5.7
30,,Keenan AllenK. Allen LAC,WR13,,25,35,31.3,1.4
31,,Sony MichelS. Michel NE,RB14,,23,52,32.2,5.7
32,,Leonard FournetteL. Fournette JAC,RB15,,17,52,32.6,8.1
33,,Stefon DiggsS. Diggs MIN,WR14,,26,36,33.3,1.4
34,,Adam ThielenA. Thielen MIN,WR15,,24,39,33.4,2.4
35,,Brandin CooksB. Cooks LAR,WR16,,27,39,34.7,1.4
36,,Robert WoodsR. Woods LAR,WR17,,32,50,35.6,1.3
