Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Stephen GostkowskiS. Gostkowski NE,,1,5,3.9,0.6
2,,Greg ZuerleinG. Zuerlein LAR,,1,2,1.1,0.3
3,,Justin TuckerJ. Tucker BAL,,1,3,2.0,0.5
4,,Harrison ButkerH. Butker KC,,2,6,3.5,0.9
Tier 2,
5,,Ka'imi FairbairnK. Fairbairn HOU,,3,6,4.9,0.3
6,,Wil LutzW. Lutz NO,,3,7,6.3,0.4
7,,Matt BryantM. Bryant FA,,3,10,7.1,1.2
8,,Mason CrosbyM. Crosby GB,,8,16,9.6,1.7
9,,Matt PraterM. Prater DET,,8,14,10.1,1.3
Tier 3,
10,,Jake ElliottJ. Elliott PHI,,9,19,10.5,1.6
11,,Brett MaherB. Maher DAL,,7,18,13.1,2.9
12,,Graham GanoG. Gano CAR,,8,19,13.1,2.1
13,,Robbie GouldR. Gould SF,,7,23,13.6,1.3
14,,Aldrick RosasA. Rosas NYG,,8,36,17.7,4.5
15,,Michael BadgleyM. Badgley LAC,,8,20,12.1,2.6
16,,Dan BaileyD. Bailey MIN,,11,22,15.4,1.5
17,,Adam VinatieriA. Vinatieri IND,,11,26,15.8,4.2
18,,Ryan SuccopR. Succop TEN,,10,23,18.7,2.5
19,,Jason MyersJ. Myers NYJ,,11,35,17.0,3.4
Tier 4,
20,,Brandon McManusB. McManus DEN,,16,22,18.0,1.1
21,,Sebastian JanikowskiS. Janikowski SEA,,9,30,19.4,2.2
22,,Chris BoswellC. Boswell PIT,,8,23,18.3,4.4
23,,Josh LamboJ. Lambo JAC,,7,28,23.9,2.1
24,,Cody ParkeyC. Parkey CHI,,5,30,22.3,3.3
25,,Steven HauschkaS. Hauschka BUF,,6,26,24.3,0.7
26,,Daniel CarlsonD. Carlson OAK,,4,33,26.4,1.9
27,,Cairo SantosC. Santos TB,,3,28,25.0,4.0
28,,Greg JosephG. Joseph CLE,,2,27,23.3,2.4
Tier 5,
29,,Dustin HopkinsD. Hopkins WAS,,21,31,28.0,1.5
30,,Jason SandersJ. Sanders MIA,,21,38,30.8,6.3
31,,Chandler CatanzaroC. Catanzaro CAR,,17,32,24.5,7.5
32,,Randy BullockR. Bullock CIN,,29,35,31.3,2.5
33,,Kai ForbathK. Forbath JAC,,27,28,27.5,0.5
34,,Zane GonzalezZ. Gonzalez ARI,,31,36,33.0,2.2
35,,Phil DawsonP. Dawson ARI,,29,33,31.0,2.0
36,,Giorgio TavecchioG. Tavecchio ATL,,31,34,32.5,1.5
