Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
91,,Ted GinnT. Ginn NO,,54,111,86.3,5.3
92,,Rashard HigginsR. Higgins CLE,,67,118,89.3,11.1
Tier 9,
93,,J'Mon MooreJ. Moore GB,,87,165,99.4,17.3
94,,Pierre GarconP. Garcon SF,,73,100,91.6,3.6
95,,Cameron MeredithC. Meredith NO,,83,146,95.8,2.7
96,,Cole BeasleyC. Beasley DAL,,81,106,96.4,2.1
97,,Kendrick BourneK. Bourne SF,,85,114,96.8,4.5
98,,Jake KumerowJ. Kumerow GB,,76,167,99.0,11.2
99,,Deon CainD. Cain IND,,85,110,100.4,2.9
100,,Danny AmendolaD. Amendola MIA,,95,105,100.9,3.3
101,,Cordarrelle PattersonC. Patterson NE,,92,113,101.8,4.9
102,,Jermaine KearseJ. Kearse NYJ,,98,134,104.3,6.2
103,,Phillip DorsettP. Dorsett NE,,100,121,105.3,4.4
104,,Breshad PerrimanB. Perriman CLE,,78,127,97.7,7.2
105,,Trent TaylorT. Taylor SF,,101,125,106.3,2.7
106,,Chester RogersC. Rogers IND,,102,120,108.6,2.3
107,,Rishard MatthewsR. Matthews NYJ,,89,106,101.7,3.1
108,,Allen HurnsA. Hurns DAL,,93,142,107.4,4.7
109,,Keith KirkwoodK. Kirkwood NO,,78,117,107.7,4.1
110,,Laquon TreadwellL. Treadwell MIN,,93,128,109.9,3.5
Tier 10,
111,,Dontrelle InmanD. Inman IND,,79,122,106.0,17.0
112,,Mike WallaceM. Wallace PHI,,86,126,106.8,17.1
113,,Corey ColemanC. Coleman NYG,,99,148,119.2,17.4
114,,Jordan MatthewsJ. Matthews PHI,,91,122,108.0,12.6
115,,Travis BenjaminT. Benjamin LAC,,103,123,113.0,7.2
116,,Ryan SwitzerR. Switzer PIT,,94,143,124.6,18.1
117,,Jaron BrownJ. Brown SEA,,104,128,115.0,8.8
118,,Chad WilliamsC. Williams ARI,,103,130,117.3,11.5
119,,Brice ButlerB. Butler MIA,,116,119,117.3,1.3
120,,Jakeem GrantJ. Grant MIA,,93,132,108.3,17.0
121,,Trey QuinnT. Quinn WAS,,80,147,123.5,27.0
122,,Jarius WrightJ. Wright CAR,,110,137,123.8,9.8
123,,Isaiah McKenzieI. McKenzie BUF,,85,142,112.7,23.3
124,,Tim PatrickT. Patrick DEN,,113,141,126.0,10.6
125,,Martavis BryantM. Bryant OAK,,96,133,113.3,15.2
126,,Cody LatimerC. Latimer NYG,,121,135,128.0,5.4
127,,J.J. NelsonJ. Nelson ARI,,102,161,128.5,21.1
128,,Andre RobertsA. Roberts NYJ,,107,181,132.5,28.7
129,,Dan ArnoldD. Arnold NO,,95,154,117.3,26.1
130,,Tajae SharpeT. Sharpe TEN,,105,155,131.5,21.4
131,,Mack HollinsM. Hollins PHI,,113,157,138.4,14.5
132,,Zach PascalZ. Pascal IND,,108,160,132.5,20.9
133,,Torrey SmithT. Smith CAR,,108,150,122.0,19.8
134,,Seth RobertsS. Roberts OAK,,109,137,123.3,11.4
135,,Aldrick RobinsonA. Robinson MIN,,109,145,124.3,15.2
136,,Trent SherfieldT. Sherfield ARI,,118,136,125.7,7.6
137,,Bruce EllingtonB. Ellington DET,,120,134,127.3,5.7
138,,Tavon AustinT. Austin DAL,,106,114,110.0,4.0
139,,Chris MooreC. Moore BAL,,130,133,131.3,1.2
140,,Demarcus RobinsonD. Robinson KC,,97,132,114.5,17.5
141,,Austin CarrA. Carr NO,,126,158,140.8,11.4
Tier 11,
142,,Russell ShepardR. Shepard NYG,,112,124,118.0,6.0
143,,Josh GordonJ. Gordon NE,,85,152,118.5,33.5
144,,Terrance WilliamsT. Williams DAL,,99,182,140.7,33.9
145,,Marcell AtemanM. Ateman OAK,,119,146,135.7,11.9
146,,Cody CoreC. Core CIN,,133,140,137.0,2.9
147,,Kevin WhiteK. White CHI,,112,180,147.8,25.4
148,,TJ JonesT. Jones DET,,119,130,124.5,5.5
149,,Josh BellamyJ. Bellamy CHI,,123,158,138.7,14.5
150,,Justin WatsonJ. Watson TB,,104,150,127.0,23.0
151,,Brandon LaFellB. LaFell OAK,,126,156,141.0,12.2
152,,Richie JamesR. James SF,,114,162,141.3,20.2
153,,Terrelle PryorT. Pryor FA,,110,153,131.5,21.5
154,,Justin HardyJ. Hardy ATL,,126,139,132.5,6.5
155,,DeAndre CarterD. Carter HOU,,125,142,133.5,8.5
156,,Leonte CarrooL. Carroo MIA,,129,156,145.3,11.7
157,,Noah BrownN. Brown DAL,,137,137,137.0,0.0
158,,Alex EricksonA. Erickson CIN,,132,163,151.5,11.7
159,,Deonte ThompsonD. Thompson BUF,,122,162,147.0,17.8
160,,Bennie FowlerB. Fowler NYG,,136,158,148.3,9.2
161,,Charone PeakeC. Peake NYJ,,131,164,149.3,13.7
162,,Michael FloydM. Floyd WAS,,120,172,146.0,26.0
163,,De'Anthony ThomasD. Thomas KC,,129,160,144.5,15.5
164,,Marvin HallM. Hall ATL,,134,173,154.0,15.9
165,,Josh MaloneJ. Malone CIN,,132,159,145.5,13.5
Tier 12,
166,,Maurice HarrisM. Harris WAS,,135,160,147.5,12.5
167,,Amara DarbohA. Darboh SEA,,136,159,147.5,11.5
168,,Jaleel ScottJ. Scott BAL,,144,152,148.0,4.0
169,,Damiere ByrdD. Byrd CAR,,143,154,148.5,5.5
170,,Jordan LasleyJ. Lasley BAL,,146,151,148.5,2.5
171,,Auden TateA. Tate CIN,,149,149,149.0,0.0
172,,Shelton GibsonS. Gibson PHI,,143,156,149.5,6.5
173,,Braxton BerriosB. Berrios NE,,147,155,151.0,4.0
174,,Cam BatsonC. Batson TEN,,139,164,151.5,12.5
175,,Daurice FountainD. Fountain IND,,150,153,151.5,1.5
176,,Brandon PowellB. Powell DET,,152,152,152.0,0.0
177,,Vyncint SmithV. Smith HOU,,144,166,157.7,9.7
178,,Darius JenningsD. Jennings TEN,,147,162,154.5,7.5
179,,Trevor DavisT. Davis GB,,144,170,157.0,13.0
180,,Allen LazardA. Lazard GB,,153,169,161.0,8.0
181,,Justin HunterJ. Hunter PIT,,159,171,165.0,6.0
182,,Khadarel HodgeK. Hodge LAR,,165,179,172.0,7.0
