Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
82,,Will FullerW. Fuller HOU,WR34,,62,146,74.7,5.1
83,,Robby AndersonR. Anderson NYJ,WR35,,47,99,75.4,7.6
84,,Ben RoethlisbergerB. Roethlisberger PIT,QB11,,50,105,94.6,2.4
85,,LeSean McCoyL. McCoy BUF,RB31,,60,119,81.4,5.0
86,,Courtland SuttonC. Sutton DEN,WR36,,72,96,81.6,2.2
87,,Dante PettisD. Pettis SF,WR37,,65,96,82.4,2.1
88,,Kenyan DrakeK. Drake MIA,RB32,,59,93,83.9,3.0
89,,Baker MayfieldB. Mayfield CLE,QB12,,59,114,101.6,5.0
90,,Golden TateG. Tate PHI,WR38,,55,98,86.6,4.4
91,,Christian KirkC. Kirk ARI,WR39,,79,101,89.4,4.0
92,,Sterling ShepardS. Shepard NYG,WR40,,80,112,89.9,7.6
93,,Rashaad PennyR. Penny SEA,RB33,,83,115,91.1,8.1
94,,Rob GronkowskiR. Gronkowski NE,TE9,,65,135,91.7,8.0
Tier 8,
95,,Matt BreidaM. Breida SF,RB34,,60,123,93.2,8.8
96,,Philip RiversP. Rivers LAC,QB13,,62,117,111.4,5.8
97,,Carson WentzC. Wentz PHI,QB14,,73,118,111.4,11.9
98,,Curtis SamuelC. Samuel CAR,WR41,,79,122,97.1,3.6
99,,Elijah McGuireE. McGuire NYJ,RB35,,83,125,98.4,8.9
100,,Keke CouteeK. Coutee HOU,WR42,,88,146,100.8,8.6
101,,Anthony MillerA. Miller CHI,WR43,,88,159,102.0,7.6
102,,Royce FreemanR. Freeman DEN,RB36,,71,142,102.2,10.8
103,,Lamar JacksonL. Jackson BAL,QB15,,69,158,118.9,8.2
104,,Dede WestbrookD. Westbrook JAC,WR44,,87,124,103.1,6.8
105,,Emmanuel SandersE. Sanders DEN,WR45,,43,184,103.4,25.3
106,,Kenneth DixonK. Dixon BAL,RB37,,79,134,104.9,8.5
107,,Tom BradyT. Brady NE,QB16,,71,131,121.4,5.1
108,,Michael GallupM. Gallup DAL,WR46,,96,113,105.7,3.9
109,,Jay AjayiJ. Ajayi PHI,RB38,,85,152,107.8,8.1
110,,Adam HumphriesA. Humphries TB,WR47,,86,242,109.9,7.9
111,,Mitch TrubiskyM. Trubisky CHI,QB17,,95,127,109.9,5.8
