PLAYERID,DRAFTYEAR,POSITION,NAME,COLLEGE,ROUND,PICK,TEAM,NOTES,ATRAS,RAS,,"NOTE: RAS WILL BE INCORRECT FOR MOST 2019 PROSPECTS DUE TO RECENT UPDATES, THIS WILL EVEN OUT OVER TIME"
15297,2018,DT,Arie Anderson,Idaho,,,,,1.97,2.03,,
15298,2018,RB,Arkeel Newsome,Connecticut,,,,,0.92,0.93,,
15299,2018,OC,Armani Garrick,Stony Brook,,,,No 40 due to hamstring injury.,0.7,0.69,,
15300,2018,CB,Armani Watts,Texas A&M,4,124,Chiefs,,3.97,4.08,,
15301,2018,WR,Armanti Foreman,Texas,,,,,5.54,5.6,,
15302,2018,CB,Armond Hawkins,Idaho,,,,,2.22,2.27,,
15303,2018,OT,Arnaud Gendron-Dumouchel,Montreal,,,,CFL Regional Combine,1.35,1.41,,
15304,2018,CB,Arrion Springs,Oregon,,,,,5.76,5.8,,
15305,2018,CB,Artrel Foster,Temple,,,,,2.74,2.76,,
15306,2018,FS,Asantay Brown,Western Michigan,,,,,8.85,8.94,,
15307,2018,LB,Ashari Goins,McNeese State,,,,,0.17,0.16,,
15308,2018,WR,Ashton Grant,Assumption,,,,,4.26,4.28,,
15309,2018,RB,Atlee Simon,Regina,,,,CFL Combine,0.09,0.08,,
15310,2018,WR,Auden Tate,Florida State,7,253,Bengals,,1.81,1.84,,
15311,2018,LB,Auggie Sanchez,South Florida,,,,,2.1,2.09,,
15312,2018,QB,Austin Allen,Arkansas,,,,,4.22,4.23,,
15313,2018,P,Austin Barnes,Eastern Michigan,,,,,,,,
15314,2018,OG,Austin Corbett,Nevada,2,33,Browns,,8.34,8.4,,
15315,2018,OC,Austin Davis,Duke,,,,,7.98,8.08,,
15316,2018,OT,Austin Fleer,Colorado Mesa,,,,,4.84,4.89,,
15317,2018,OC,Austin Golson,Auburn,,,,,8.16,8.24,,
15318,2018,RB,Austin Harper,Fresno State,,,,,1.59,1.62,,
15319,2018,QB,Austin Howard,Southern,,,,No Mez,,,,
15320,2018,WR,Austin Johnson,Alabama,,,,UNOFFICIAL PD,,,,
15321,2018,CB,Austin Jupe,UTSA,,,,,2.11,2.12,,
15322,2018,OC,Austin Kuhnert,North Dakota State,,,,,0.92,0.87,,
15323,2018,DE,Austin Larkin,Purdue,,,,,3.02,3.04,,
15324,2018,DT,Austin Maloata,Austin Peay,,,,No Mez,,,,
15325,2018,OT,Austin Olsen,Southern Illinois,,,Cardinals,,1,1.02,,
15326,2018,LB,Austin Paulhus,Nevada,,,,,1.4,1.38,,
15327,2018,OC,Austin Pratt,UTSA,,,,,4.93,4.97,,
15328,2018,WR,Austin Proehl,North Carolina,7,255,Bills,,3.61,3.63,,
15329,2018,FB,Austin Ramesh,Wisconsin,,,Cardinals,,8.36,8.35,,
15330,2018,TE,Austin Roberts,UCLA,,,,,3.26,3.27,,
15331,2018,OC,Austin Schlottman,Texas Christian,,,Broncos,,9.66,9.7,,
15332,2018,QB,Austin Wilson,Coastal Carolina,,,,,1.11,1.14,,
15333,2018,WR,Austin Wolf,Akron,,,,,7.06,7.1,,
15334,2018,OG,Avery Jordan,New Mexico,,,,,8.33,8.34,,
15335,2018,CB,Avonte Maddox,Pittsburgh,4,125,Eagles,,8.84,8.87,,
15336,2018,LB,Azeem Victor,Washington,6,216,Raiders,,6.1,6.14,,
15337,2018,OG,Azell Mitchell,Tiffin,,,,No Mez,,,,
15338,2018,CB,B.J. Clay,Georgia State,,,,,5.65,5.69,,
15339,2018,DT,B.J. Hill,North Carolina State,3,69,Giants,,8.74,8.76,,
15340,2018,RB,Baffour Osei,Vanderbilt,,,,,0.49,0.48,,
15341,2018,QB,Baker Mayfield,Oklahoma,1,1,Browns,,4.65,4.72,,
15342,2018,DE,Baker Pritchard,Oregon State,,,,,2.77,2.78,,
15343,2018,DT,Baron Poole,Troy,,,,Pulled hamstring on first 40 time.,2.02,2.07,,
15344,2018,OG,Beau Nunn,Appalachian State,,,Lions,,8.11,8.1,,
15345,2018,WR,Ben Guarino,Kean,,,,UNOFFICIAL PD,8.3,8.35,,
15346,2018,DT,Ben Hughes,Oklahoma State,,,,,0.78,0.76,,
15347,2018,OG,Ben Huss,Duquesne,,,,,2.7,2.75,,
15348,2018,TE,Ben Johnson,Kansas,,,,,2.77,2.84,,
15349,2018,OG,Ben Koczwara,Waterloo,,,,CFL Regional Combine,0.37,0.34,,
15350,2018,LB,Ben Niemann,Iowa,,,,,4.86,4.94,,
15351,2018,CB,Bennie Braswell,Mississippi State,,,,,0.93,0.93,,
15352,2018,OT,Bentley Spain,North Carolina,,,,No workout due to ankle injury,,,,
15353,2018,DT,Bijhon Jackson,Arkansas,,,,,1.19,1.22,,
15354,2018,DT,Bilal Nichols,Delaware,5,145,Bears,,9.7,9.74,,
15355,2018,SS,Billy Nicoe Hurst,Youngstown State,,,,,1.18,0.92,,
15356,2018,OC,Billy Price,Ohio State,1,21,Bengals,Partially torn pectoral during bench press.,,,,
15357,2018,DT,Blaine Woodson,Delaware,,,,,6.09,6.14,,
15358,2018,OC,Blaise Fountain,New Mexico,,,,,2.78,2.81,,
15359,2018,CB,Blaise Taylor,Arkansas State,,,,,3.34,3.37,,
15360,2018,WR,Blake Bone,Kentucky,,,,,0.84,0.83,,
15361,2018,WR,Blake Holder,Bemidji State,,,,No Mez,,,,
15362,2018,TE,Blake Mack,Arkansas State,,,,,5.43,5.43,,
15363,2018,LB,Blake Nelson,Colorado Mesa,,,,,4.12,4.17,,
15364,2018,DE,Bo Banner,Central Washington,,,,CFL Combine,1.5,1.5,,
15365,2018,LB,Bo Bower,Iowa,,,,,5.7,5.78,,
15366,2018,RB,Bo Scarbrough,Alabama,7,236,Cowboys,,9.25,9.26,,
15367,2018,RB,Boaffour Osei,Vanderbilt,,,,,0.49,0.48,,
15368,2018,WR,Bob Pugh,Indiana State,,,,,1.73,1.72,,
15369,2018,CB,Bobby Fulp,East Carolina,,,,,6.15,6.17,,
15370,2018,DE,Bobby Gruenloh,Northwest Missouri State,,,,No Mez,,,,
15371,2018,LB,Bobby Jones,Northern Illinois,,,,,2.4,2.38,,
15372,2018,OT,Boone Myers,Iowa,,,,,1.11,1.21,,
15373,2018,LB,Boston Rowe,Calgary,,,,CFL Combine,0.12,0.1,,
15374,2018,RB,Boston Scott,Louisiana Tech,6,201,Saints,,8.84,8.87,,
15375,2018,LB,Brad Herbst,Saint Mary's,,,,CFL Regional Combine,0.14,0.14,,
15376,2018,OC,Brad Lundblade,Oklahoma State,,,,,1.7,1.67,,
15377,2018,CB,Brad Muhammad,Florida International,,,,,3.52,3.56,,
15378,2018,FB,Braden Meints,Simpson College,,,,No Mez,,,,
15379,2018,OG,Braden Smith,Auburn,2,37,Colts,,9.69,9.71,,
15380,2018,OC,Bradley Bozeman,Alabama,6,215,Ravens,,1.23,1.19,,
15381,2018,DE,Bradley Chubb,North Carolina State,1,5,Broncos,|10.0SACKS-2018|7.5SACK-2018|,9.49,9.52,,
15382,2018,WR,Bradley Hargis,Trinity International,,,,No Mez,,,,
15383,2018,OG,Bradley North,Northwestern,,,,,5.76,5.82,,
15384,2018,WR,Brady Jones,UTSA,,,,,0.64,0.65,,
15385,2018,RB,Brady Mangarelli,South Dakota State,,,,,0.37,0.36,,
15386,2018,WR,Braelon Roberts,Utah State,,,,,2.14,2.15,,
15387,2018,CB,Brandon Addison,Old Dominion,,,,,0.21,0.22,,
15388,2018,FS,Brandon Arnold,Oregon State,,,,,4.69,4.62,,
15389,2018,WR,Brandon Bean,Grand Valley State,,,,,2.18,2.16,,
15390,2018,K,Brandon Brown,Fort Hays State,,,,,10,10,,
15391,2018,QB,Brandon Cox,Hampton,,,,No Mez,,,,
15392,2018,CB,Brandon Facyson,Virginia Tech,,,,,7.08,7.14,,
15393,2018,LS,Brandon Godsey,South Dakota,,,,,6.83,7.05,,
15394,2018,QB,Brandon Harris,North Carolina,,,,,3.87,3.91,,
15395,2018,DT,Brandon Hayashi,Montana State,,,,UNOFFICIAL PD,0.86,0.9,,
15396,2018,OG,Brandon Hodges,Pittsburgh,,,,,4.51,4.53,,
15397,2018,SS,Brandon Jenning,Acadia,,,,CFL Combine,0.65,0.44,,
15398,2018,TE,Brandon Lingen,Minnesota,,,,No Mez,,,,
15399,2018,WR,Brandon Lynch,Virginia State,,,,No Mez,,,,
15400,2018,CB,Brandon McDowelll,Houston,,,,,1.52,1.51,,
15401,2018,FS,Brandon Moss,UTEP,,,,,1.64,1.67,,
15402,2018,WR,Brandon Norwood,Florida A&M,,,,No Mez,,,,
15403,2018,OT,Brandon Parker,North Carolina A&T,3,65,Raiders,,6.65,6.68,,
15404,2018,OT,Brandon Pertile,Virginia,,,,,1.83,1.81,,
15405,2018,WR,Brandon Powell,Florida,,,Lions,,2.5,2.5,,
15406,2018,OG,Brandon Ray,Western Kentucky,,,,No Mez,,,,
15407,2018,OT,Brandon Schindler,Bemidji State,,,,No Mez,,,,
15408,2018,WR,Brandon Shed,Hobart,,,,UNOFFICIAL PD,4.68,4.71,,
15409,2018,QB,Brandon Silvers,Troy,,,,,0.85,0.86,,
15410,2018,LB,Brandon Smith,Penn State,,,,,2.01,2.01,,
15411,2018,OT,Brandon Smith,East Carolina,,,,,3.24,3.29,,
15412,2018,TE,Brandon Whaley,Delaware,,,,,2.51,2.53,,
15413,2018,WR,Brandt Van Roekel,South Dakota,,,,,2.67,2.71,,
15414,2018,OG,Brant Morris,Toledo,,,Cardinals,No Mez,,,,
15415,2018,OT,Brant Weiss,Toledo,,,,,5.54,5.58,,
15416,2018,WR,Braxton Berrios,Miami,6,210,Patriots,,5.62,5.69,,
15417,2018,DT,Breeland Speaks,Mississippi,2,46,Chiefs,,8.95,8.97,,
15418,2018,OG,Brendan Mahon,Penn State,,,Panthers,,5.75,5.79,,
15419,2018,OT,Brett Kendrick,Tennessee,,,Lions,,4.08,4.13,,
15420,2018,K,Brett Scanlon,Michigan State,,,,,7.14,7.14,,
15421,2018,LB,Brett Taylor,Western Illinois,,,,,,,,
15422,2018,TE,Brett Thompson,Tennessee-Martin,,,,,3.05,3.07,,
15423,2018,OT,Brett Toth,Army,,,,,5.97,6.02,,
15424,2018,DE,Brett Wade,Calgary,,,,CFL Combine,0.41,0.4,,
15425,2018,OC,Brian Allen,Michigan State,4,111,Rams,,4.06,4.07,,
15426,2018,OG,Brian Bobek,Iowa State,,,,UNOFFICIAL PD,4.58,4.6,,
15427,2018,OG,Brian Carter,Temple,,,,,0.92,0.9,,
15428,2018,LB,Brian Keyes,UNLV,,,,,1.32,1.31,,
15429,2018,DE,Brian Nance,Baylor,,,,,0.07,0.07,,
15430,2018,OT,Brian O'Neill,Pittsburgh,2,62,Vikings,,9.59,9.6,,
15431,2018,WR,Brian Williams,Louisiana-Monroe,,,,,0.93,0.93,,
15432,2018,DE,Brian Womac,Rice,,,,,4.31,4.33,,
15433,2018,QB,Brice Ramsey,Georgia,,,,No Mez,,,,
15434,2018,WR,Brock Barr,Boise State,,,,,2.89,2.91,,
15435,2018,WR,Brock Makaric,Michigan State,,,,CFL Regional Combine,0.71,0.71,,
15436,2019,TE,Caleb Wilson,UCLA,,,,2019COMBINE,6.88,6.88,,
