PLAYERID,DRAFTYEAR,POSITION,NAME,COLLEGE,ROUND,PICK,TEAM,NOTES,ATRAS,RAS,,"NOTE: RAS WILL BE INCORRECT FOR MOST 2019 PROSPECTS DUE TO RECENT UPDATES, THIS WILL EVEN OUT OVER TIME"
1,1987,SS,Adrian White,Florida,2,55,Giants,,,,,
2,1987,LB,Al Smith,Utah State,6,147,Texans,|ProBowl|,4.14,6.45,,
3,1987,WR,Albert Bell,Alabama,,,,,0.4,0,,
4,1987,TE,Albert Reese,Southern Methodist,,,,,1.45,2.35,,
5,1987,LB,Alex Gordon,Cincinnati,2,42,Jets,,2.38,1.94,,
6,1987,RB,Alfred Jenkins,Arizona,9,248,Redskins,,2.56,6.09,,
7,1987,FB,Alonzo Highsmith,Miami,1,3,Texans,,,,,
8,1987,RB,Alonzo Williams,Mesa,12,326,Rams,,,,,
9,1987,WR,Alvin Blount,Eastern Kentucky,9,235,Cowboys,,4.5,7.37,,
10,1987,CB,Anthony Anderson,Grambling State,10,256,Chargers,,1.41,1.05,,
11,1987,OT,Archie Harris,William & Mary,7,193,Bears,,8.07,7.89,,
12,1987,TE,Arthur Wells,Grambling State,11,290,Saints,,1.04,0,,
13,1987,OC,Ben Tamburello,Auburn,3,65,Eagles,,6.79,5,,
14,1987,DT,Bill Berthusen,Iowa State,12,321,Giants,,,,,
15,1987,QB,Bill Ransdell,Kentucky,12,327,Jets,,1.82,4.62,,
16,1987,P,Bill Smith,Mississippi,7,191,Packers,,,,,
17,1987,RB,Bo Jackson,Auburn,7,183,Raiders,|ProBowl|,,,,
18,1987,LB,Bob Ontko,Penn State,9,247,Colts,,3.93,4.52,,
19,1987,FB,Bob Perryman,Michigan,3,79,Patriots,,2.03,6,,
20,1987,OT,Bob Riley,Indiana,10,267,Vikings,,5.42,8.95,,
21,1987,LB,Bob White,Penn State,6,162,49ers,,,,,
22,1987,RB,Bobby Morse,Michigan State,12,316,Eagles,,2.01,4.78,,
23,1987,SS,Bobby Taylor,Notre Dame,10,266,Dolphins,,,,,
24,1987,DT,Bobby White,Penn State,,,,,6.62,7.14,,
25,1987,RB,Brent Fullwood,Auburn,1,4,Packers,|ProBowl|,,,,
26,1987,QB,Brent Pease,Montana,11,295,Vikings,,,,,
27,1987,LB,Brian Bosworth,Oklahoma,1,,Seahawks,,,,,
28,1987,CB,Brian Davis,Nebraska,2,30,Redskins,,7.14,9.47,,
29,1987,TE,Brian Siverling,Penn State,11,286,Lions,,1.5,1.18,,
30,1987,OT,Brian Williams,Central Michigan,7,177,Eagles,,0.36,1.58,,
31,1987,OT,Bruce Armstrong,Louisville,1,23,Patriots,|ProBowl|,5.19,9.47,,
32,1987,WR,Bruce Hill,Arizona State,4,106,Buccaneers,|1kREC-1988|,3.9,5,,
33,1987,LB,Bruce Holmes,Minnesota,12,325,Chiefs,,0.64,0.65,,
34,1987,DT,Bruce Mesner,Maryland,8,209,Bills,,,,,
35,1987,SS,Bruce Plummer,Mississippi State,9,250,Broncos,,6.35,10,,
36,1987,OT,Bruce Wilkerson,Tennessee,2,52,Raiders,,,,,
37,1987,LB,Byron Evans,Arizona,4,93,Eagles,,2.97,4.19,,
38,1987,WR,Calvin Nicholas,Grambling State,11,301,49ers,,4.03,6.32,,
39,1987,RB,Carl Woods,Vanderbilt,,,,,1.98,2.61,,
40,1987,K,Carlos Reveiz,Tennessee,11,302,Patriots,,,,,
41,1987,RB,Chad Stark,North Dakota State,12,329,Giants,,,,,
42,1987,DE,Charles Buchanan,Tennessee State,8,205,Steelers,,,,,
43,1987,LB,Charles Faucette,Maryland,,,,,2.64,3.55,,
44,1987,SS,Charles Glaze,South Carolina State,,,,,4.36,5,,
45,1987,WR,Charles Lockett,Long Beach State,3,66,Steelers,,3.25,5.26,,
46,1987,CB,Charles Wright,Tulsa,10,257,Cardinals,,,,,
47,1987,OT,Chris Conlin,Penn State,5,132,Dolphins,,1.86,3.16,,
48,1987,OT,Chris Gambol,Iowa,3,58,Colts,,7.03,10,,
49,1987,CB,Chris Goode,Alabama,10,253,Colts,,2.54,2.63,,
50,1987,TE,Chris Kelley,Akron,7,178,Steelers,,1.86,3.53,,
51,1987,RB,Chris McLemore,Colorado,11,288,Raiders,,,,,
52,1987,QB,Chris Miller,Oregon,1,13,Falcons,|ProBowl|,6.95,7.69,,
53,1987,DT,Chris Pike,Tulsa,6,158,Eagles,,,,,
54,1987,DE,Chris Spachman,Nebraska,,,,,1.87,3.57,,
55,1987,OG,Chris Thatcher,Lafayette,7,188,Bengals,,,,,
56,1987,RB,Christian Okoye,Azusa Pacific,2,35,Chiefs,|ProBowl|,,,,
57,1987,LB,Chuck Faucette,Maryland,10,279,Giants,,,,,
58,1987,CB,Chuckie Miller,UCLA,8,200,Colts,,,,,
59,1987,CB,Clarence Vaughn,Northern Illinois,8,219,Redskins,,,,,
60,1987,CB,Cliff Hicks,Oregon,3,74,Rams,,3.23,5.26,,
61,1987,QB,Cody Carlson,Baylor,3,64,Texans,,5.9,6.92,,
62,1987,DE,Colin Scotts,Hawaii,3,70,Cardinals,,5.11,9.29,,
63,1987,LB,Cornelius Bennett,Alabama,1,2,Colts,|ProBowl|7.5SACK-1987;1988;1991|,,,,
64,1987,LB,Craig Raddatz,Wisconsin,9,242,Bengals,,,,,
65,1987,WR,Craig Richardson,Eastern Washington,11,298,Chiefs,,4.48,7.89,,
66,1987,WR,Cris Carter,Ohio State,4,,Eagles,|HOF|ProBowl|1.25kREC-1994;1995;2000|1kREC-1993;1994;1995;1996;1997;1998;1999;2000|750REC-1988;1991;1993;1994;1995;1996;1997;1998;1999;2000;2001|,,,,
67,1987,DT,Curt Jarvis,Alabama,7,169,Buccaneers,,1.28,0,,
68,1987,WR,Curtis Duncan,Northwestern,10,258,Texans,|ProBowl|750REC-1990;1992|,3.31,6.84,,
69,1987,LB,Curtis Taliaferro,Virginia Tech,8,208,Falcons,,,,,
70,1987,RB,D.J. Dozier,Penn State,1,14,Vikings,,,,,
71,1987,LB,Dale Jones,Tennessee,10,262,Cowboys,,0.49,0,,
72,1987,OG,Dan Morgan,Penn State,8,222,Broncos,,3.52,6.92,,
73,1987,DT,Dan Saleaumua,Arizona State,7,175,Lions,|ProBowl|,,,,
74,1987,DT,Dan Sileo,Miami,3,,Buccaneers,,,,,
75,1987,RB,Dana Wright,Findlay,9,251,Giants,,,,,
76,1987,LB,Danny Lockett,Arizona,6,148,Lions,,4.61,6.77,,
77,1987,DT,Danny Noonan,Nebraska,1,12,Cowboys,,9.66,10,,
78,1987,OT,Danny Villa,Arizona State,5,113,Patriots,,1.93,3.68,,
79,1987,SS,Darryl Holmes,Fort Valley State,,,,,2.44,3.33,,
80,1987,RB,Darryl Oliver,Miami,11,297,Seahawks,,0.8,2.17,,
81,1987,OT,Dave Croston,Iowa,3,61,Packers,,0.6,2.11,,
82,1987,QB,Dave Walter,Michigan Tech,11,307,Giants,,,,,
83,1987,LB,Dave Wyman,Stanford,,,,,5.69,8.06,,
84,1987,RB,David Adams,Arizona,12,309,Colts,,,,,
85,1987,OC,David Alexander,Tulsa,5,121,Eagles,,7.76,8.33,,
86,1987,LB,David Brandon,Memphis,3,60,Bills,,1.45,0.97,,
87,1987,LB,David Dudley,Arkansas,,,,,3.57,3.87,,
88,1987,LB,David Grayson,Fresno State,8,217,49ers,,,,,
89,1987,FB,David Mccluskey,Georgia,10,269,Bengals,,1.35,0,,
90,1987,LB,David Smith,Northern Arizona,10,272,Rams,,,,,
91,1987,LB,David Wyman,Stanford,2,45,Seahawks,,,,,
92,1987,CB,Delton Hall,Clemson,2,38,Steelers,,2.95,4.21,,
93,1987,LB,Dennis Gibson,Iowa State,8,203,Lions,,,,,
94,1987,TE,Derek Tennell,UCLA,7,185,Seahawks,,5.23,8.82,,
95,1987,SS,Derrick Beasley,Winston-Salem State,4,102,Patriots,,,,,
96,1987,DT,Dick Chapura,Missouri,10,277,Bears,,,,,
97,1987,LB,Don Graham,Penn State,4,85,Buccaneers,,4.05,6.13,,
98,1987,QB,Don Majkowski,Virginia,10,255,Packers,|ProBowl|,7.17,8.46,,
99,1987,RB,Don Smith,Mississippi State,2,51,Buccaneers,,3.18,6.96,,
100,1987,DT,Donald Evans,Winston-Salem State,2,47,Rams,,8.96,9.29,,
101,1987,LB,Doug Bartlett,Northern Illinois,4,91,Rams,,8.89,9.68,,
102,1987,RB,Doug Dubose,Nebraska,,,,,,,,
103,1987,QB,Doug Hudson,Nicholls State,7,186,Chiefs,,1.78,3.85,,
104,1987,OT,Doug Riesenberg,California,6,168,Giants,,5.73,6.84,,
105,1987,OT,Ed Simmons,Eastern Washington,6,164,Redskins,,2.77,4.74,,
106,1987,RB,Eddie Hunter,Virginia Tech,8,196,Jets,,,,,
107,1987,RB,Edwin Simmons,Texas,,,,,7.79,10,,
108,1987,SS,Elbert Shelley,Arkansas State,11,292,Falcons,|ProBowl|,,,,
109,1987,RB,Elgin Davis,Central Florida,12,330,Patriots,,,,,
110,1987,CB,Elton Slater,Southwestern Louisiana,,,,,1.93,2.11,,
111,1987,CB,Eric Jeffries,Texas,12,333,Bears,,,,,
112,1987,CB,Eric Thomas,Tulane,2,49,Bengals,|ProBowl|,6.2,8.42,,
113,1987,WR,Everett Gay,Texas,5,124,Cowboys,,5.81,7.11,,
114,1987,OC,Frank Winters,Western Illinois,10,276,Browns,|ProBowl|,3.88,3.33,,
115,1987,WR,Frankie Neal,Fort Hays State,3,71,Packers,,6.59,8.95,,
116,1987,WR,Fred Lane,Georgia,,,,,1.17,1.05,,
117,1987,DE,Fred Stokes,Georgia Sotuhern,12,332,Rams,,,,,
118,1987,CB,Freddie Robinson,Alabama,6,142,Colts,,,,,
119,1987,CB,Garland Rivers,Michigan,4,92,Lions,,,,,
120,1987,WR,Gary Lee,Georgia Tech,12,315,Lions,,2.95,5.53,,
121,1987,CB,Gary Moss,Georgia,,,,,,,,
122,1987,FS,Gene Atkins,Florida A&M,7,179,Saints,,3.02,10,,
123,1987,WR,Gene Taylor,Frenso State,6,163,Patriots,,5.12,7.63,,
124,1987,RB,George Swarn,Miami,5,118,Cardinals,,5.77,8.26,,
125,1987,TE,Gerald Bayless,Bowling Green,,,,,1.81,4.12,,
126,1987,DT,Gerald Nichols,Florida State,7,187,Jets,,6.04,6.43,,
127,1987,FB,Gerald White,Michigan,,,,,,,,
128,1987,K,Greg Davis,The Citadel,9,246,Buccaneers,,,,,
129,1987,P,Greg Horne,Arkansas,5,139,Bengals,,,,,
130,1987,LB,Greg Lloyd,Fort Valley State,6,150,Steelers,|ProBowl|10SACKS-1994|7.5SACK-1991;1994|,,,,
131,1987,WR,Greg Richardson,Alabama,6,156,Vikings,,2.72,3.16,,
132,1987,OG,Gregg Harris,Wake Forest,9,228,Packers,,,,,
133,1987,OC,Gregg Rakoczy,Miami,2,32,Browns,,3.16,0,,
134,1987,LB,Hardy Nickerson,California,5,122,Steelers,|ProBowl|,2.77,2.26,,
135,1987,OC,Harris Barton,North Carolina,1,22,49ers,|ProBowl|,9.04,10,,
136,1987,OT,Harry Swayne,Rutgers,7,190,Buccaneers,,,,,
137,1987,WR,Haywood Jeffires,North Carolina State,1,20,Texans,|ProBowl|1kREC-1990;1991|750REC-1990;1991;1992;1993;1994|,,,,
138,1987,LB,Henry Rolling,Nevada Las Vegas,5,135,Buccaneers,,7.33,8.71,,
139,1987,DT,Henry Thomas,Louisiana State,3,72,Vikings,|ProBowl|10SACKS-1995|7.5SACK-1989;1990;1991;1993;1995|,3.39,4.29,,
140,1987,OT,Howard Ballard,Alabama A&M,11,283,Bills,|ProBowl|,,,,
141,1987,LB,Ilia Jarostchuk,New Hampshire,5,127,Cardinals,,4.81,7.74,,
142,1987,RB,Ira Valentine,Texas A&M,12,314,Texans,,,,,
143,1987,WR,James Brim,Wake Forest,,,,,4.66,8.42,,
144,1987,RB,James Evans,Southern,10,271,Chiefs,,,,,
145,1987,OT,James Hansen,Utah,,,,,6.81,8.42,,
146,1987,WR,Jamie Holland,Ohio State,7,173,Chargers,,,,,
147,1987,FB,Jamie Mueller,Benedictine,3,78,Bills,,8.18,10,,
148,1987,DE,Jason Buck,Brigham Young,1,17,Bengals,,,,,
149,1987,WR,Jason Stargel,Cincinnati,,,,,2.27,3.42,,
150,1987,OG,Jeff Bregel,Southern California,2,37,49ers,,4.67,5.38,,
151,1987,DT,Jeff Drost,Iowa,8,198,Packers,,,,,
152,1987,K,Jeff Jaeger,Washington,3,82,Browns,|ProBowl|,,,,
153,1987,TE,Jeff Modesitt,Delaware,,,,,1.72,4.71,,
154,1987,WR,Jeff Tiefenthaler,South Dakota State,,,,,0.75,0.53,,
155,1987,QB,Jeff Van Raaphorst,Arizona State,,,,,2.54,5.38,,
156,1987,K,Jeff Ward,Texas,11,291,Cowboys,,,,,
157,1987,OG,Jeff Zimmerman,Florida,3,68,Cowboys,,4.95,4.62,,
158,1987,DT,Jerome Brown,Miami,1,9,Eagles,|ProBowl|10SACKS-1989|7.5SACK-1989;1991|,6.68,7.86,,
159,1987,DT,Jerry Ball,Southern Methodist,3,63,Lions,|ProBowl|7.5SACK-1989|,1.44,1.43,,
160,1987,TE,Jerry Reese,Illinois,10,264,Falcons,,1.52,2.94,,
161,1987,LB,Jim Ellis,Boise State,10,273,Raiders,,,,,
162,1987,QB,Jim Harbaugh,Michigan,1,26,Bears,|ProBowl|,,,,
163,1987,QB,Jim Karsatos,Ohio State,12,322,Dolphins,,,,,
164,1987,DE,Jim Reynosa,Arizona State,11,281,Colts,,,,,
165,1987,TE,Jim Riggs,Clemson,4,103,Bengals,,3.42,7.06,,
166,1987,OT,Jim Warne,Arizona State,11,296,Bengals,,0.67,0,,
167,1987,FB,Joe Armentrout,Wisconsin,9,224,Buccaneers,,6.23,8,,
168,1987,OC,Joe Goebel,UCLA,11,284,Chargers,,,,,
169,1987,OT,Joe Macesker,UTEP,8,199,Chargers,,5.22,7.37,,
170,1987,DT,Joe McGrail,Delaware,12,311,Bills,,,,,
171,1987,OG,Joe Onosai,Hawaii,6,151,Cowboys,,,,,
172,1987,TE,Joel Williams,Notre Dame,8,210,Dolphins,,,,,
173,1987,WR,Joey Clinkscales,Tennessee,9,233,Steelers,,3.02,3.95,,
174,1987,OC,John Adickes,Baylor,6,154,Bears,,7.26,6.67,,
175,1987,DE,John Bosa,Boston College,1,16,Dolphins,,6.24,10,,
176,1987,P,John Bruno,Penn State,5,126,Cardinals,,,,,
177,1987,OT,John Clay,Missouri,1,15,Raiders,,1.85,2.63,,
178,1987,OG,John Davis,Georgia Tech,11,287,Texans,,0.53,0,,
179,1987,OT,John Gesek,Cal State Sacramento,10,265,Raiders,,4.02,5.26,,
180,1987,RB,John Holifield,West Virginia,12,328,Bengals,,5.67,9.13,,
181,1987,FS,John Little,Georgia,,,,,2.26,5,,
182,1987,QB,John Paye,Stanford,10,275,49ers,,,,,
183,1987,RB,John Settle,Appalachian State,,,,|ProBowl|1kRUSH-1988|750RUSH-1988|,0.07,0,,
184,1987,LB,Johnny Holland,Texas A&M,2,41,Packers,,5.1,7.1,,
185,1987,CB,Johnny Thomas,Baylor,7,192,Redskins,,,,,
186,1987,TE,Jon Embree,Colorado,6,166,Rams,,,,,
187,1987,WR,Jon Horton,Arizona,,,,,1.39,2.11,,
188,1987,CB,Jonathan Shelley,Mississippi,9,245,49ers,,,,,
189,1987,WR,Karl Dorrell,UCLA,,,,,0.71,1.58,,
190,1987,DE,Karl Wilson,Louisiana State,3,59,Chargers,,2.49,5,,
191,1987,TE,Keith Mckeller,Jacksonville State,9,227,Bills,,2.44,7.65,,
192,1987,WR,Keith Paskett,Western Kentucky,,,,,2.3,3.68,,
193,1987,DT,Keith Williams,Florida,12,323,Vikings,,,,,
194,1987,QB,Kelly Stouffer,Colorado State,1,6,Cardinals,,2.66,6.15,,
195,1987,WR,Kelvin Martin,Boston College,4,95,Cowboys,,2.1,2.63,,
196,1987,QB,Ken Lambiotte,William & Mary,9,232,Eagles,,,,,
197,1987,RB,Kenneth Flowers,Clemson,,,,,5.53,9.57,,
198,1987,RB,Kenny Flowers,Clemson,2,31,Falcons,,,,,
199,1987,RB,Kerry Porter,Washington State,7,171,Bills,,6.09,8.7,,
200,1987,OG,Kevin Gogan,Washington,8,206,Cowboys,|ProBowl|,1.77,1.54,,
201,1987,QB,Kevin Sweeney,Fresno State,7,180,Cowboys,,,,,
202,1987,CB,Kirby Jackson,Mississippi State,5,129,Jets,,,,,
203,1987,LB,Kirk Timmer,Montana State,11,300,Jets,,,,,
204,1987,WR,Kitrick Taylor,Washington State,5,128,Chiefs,,3.77,6.05,,
205,1987,RB,Lakei Heimuli,Brigham Young,9,249,Bears,,0.65,1.74,,
206,1987,LB,Lance Sellers,Boise State,6,155,Dolphins,,,,,
207,1987,WR,Laron Brown,Texas,11,304,Redskins,,,,,
208,1987,CB,Larry Brewton,Temple,11,303,Browns,,,,,
209,1987,RB,Larry Emery,Wisconsin,12,320,Falcons,,,,,
210,1987,RB,Larry Emory,Wisconsin,,,,,2.58,5.65,,
211,1987,LB,Larry Kelm,Texas A&M,4,108,Rams,,3.36,5.81,,
212,1987,CB,Len Bell,Indiana,3,76,Bengals,,,,,
213,1987,DE,Leon Seals,Jackson State,4,109,Bills,,0.31,1.43,,
214,1987,SS,Leonard Bell,Indiana,,,,,3.26,6.67,,
215,1987,FS,Leonard Jones,Texas Tech,9,239,Vikings,,1.08,3.75,,
216,1987,WR,Lonzell Hill,Washington,2,40,Saints,,3.3,4.21,,
217,1987,QB,Loren Snyder,Northern Colorado,,,,,0.7,2.31,,
218,1987,DT,Lorenzo Freeman,Pittsburgh,4,89,Packers,,,,,
219,1987,CB,Lou Brock,Southern California,2,53,Chargers,,,,,
220,1987,WR,Louis Clark,Mississippi State,10,270,Seahawks,,,,,
221,1987,WR,Lyneal Alston,Southern Mississippi,,,,,1.42,2.37,,
222,1987,LB,M.L. Johnson,Hawaii,9,243,Seahawks,,,,,
223,1987,RB,Marc Logan,Kentucky Wesleyan,5,130,Bengals,,,,,
224,1987,LB,Marc Munford,Nebraska,4,111,Broncos,,3.3,4.84,,
225,1987,FB,Marcus Greenwood,UCLA,12,310,Chargers,,5.12,5,,
226,1987,TE,Mario Perry,Mississippi,11,294,Raiders,,,,,
227,1987,WR,Mark Bellini,Brigham Young,7,170,Colts,,,,,
228,1987,WR,Mark Carrier,Nicholls State,3,57,Buccaneers,|ProBowl|1.25kREC-1989|1kREC-1989;1995|750REC-1988;1989;1990;1993;1995|,2.95,5.79,,
229,1987,OT,Mark Dennis,Illinois,8,212,Dolphins,,3.68,5.79,,
230,1987,LB,Mark Dusbabek,Minnesota,4,105,Texans,,,,,
231,1987,DT,Mark Garalczyk,Western Michigan,6,146,Cardinals,,6.37,5.71,,
232,1987,WR,Mark Ingram,Michigan State,1,28,Giants,|750REC-1991|,4.95,9.47,,
233,1987,FS,Mark Moore,Oklahoma State,4,104,Seahawks,,1.58,0,,
234,1987,DT,Mark Mraz,Utah State,5,125,Falcons,,7.75,8.57,,
235,1987,QB,Mark Vlasic,Iowa,4,88,Chargers,,,,,
236,1987,RB,Maurice Williams,Virginia Tech,,,,,0.22,1.3,,
237,1987,FB,Merril Hoge,Idaho State,10,261,Steelers,|750RUSH-1990|,2,2,,
238,1987,CB,Michael Adams,Arkansas State,3,67,Saints,,,,,
239,1987,LB,Michael Brooks,Louisiana State,3,84,Broncos,|ProBowl|,,,,
240,1987,TE,Michael Clemons,William & Mary,8,218,Chiefs,,2.62,5.88,,
241,1987,WR,Michael James,Washington State,,,,,5.56,9.21,,
242,1987,LB,Michael Reid,Wisconsin,7,181,Falcons,,,,,
243,1987,SS,Michael Stewart,Fresno State,8,213,Rams,,,,,
244,1987,WR,Michel James,Washington State,8,202,Texans,,,,,
245,1987,CB,Mike Adams,Arizona State,,,,,5.02,7.37,,
246,1987,LB,Mike Junkin,Duke,1,5,Browns,,,,,
247,1987,LB,Mike Reid,Wisconsin,,,,,2.31,2.58,,
248,1987,P,Mike Rice,Montana,8,214,Jets,,,,,
249,1987,QB,Mike Shula,Alabama,12,313,Buccaneers,,0.14,1.54,,
250,1987,OG,Mike Simmonds,Indiana State,10,252,Buccaneers,,6,10,,
251,1987,CB,Milton Mack,Alcorn State,5,123,Saints,,4.46,6.32,,
252,1987,SS,Najee Mustafaa,Georgia Tech,4,100,Vikings,,,,,
253,1987,CB,Nate Odomes,Wisconsin,2,29,Bills,|ProBowl|,6.02,7.89,,
254,1987,FS,Nelson Jones,North Carolina State,5,115,Chargers,,3,2.5,,
255,1987,CB,Norman Jefferson,Louisiana State,12,335,Packers,,,,,
256,1987,WR,Odessa Turner,Northwestern State,4,112,Giants,,6.14,10,,
257,1987,LB,Onzy Elam,Tennessee State,3,75,Jets,,3.53,5.16,,
258,1987,WR,Patrick Scott,Grambling State,11,282,Packers,,0.69,1.32,,
259,1987,DT,Paul Carberry,Oregon State,10,260,Eagles,,,,,
260,1987,WR,Paul Jokisch,Michigan,5,134,49ers,,,,,
261,1987,OG,Paul Kiser,Wake Forest,6,153,Falcons,,4.28,7.69,,
262,1987,LB,Paul Migliazzo,Oklahoma,8,221,Bears,,,,,
263,1987,OG,Paul O'Connor,Miami,5,140,Giants,,1.51,2.31,,
264,1987,OC,Paul Oswald,Kansas,11,289,Steelers,,,,,
265,1987,RB,Paul Palmer,Temple,1,19,Chiefs,,3.48,6.52,,
266,1987,CB,Perry Williams,Clemson,,,,,2.68,3.68,,
267,1987,OG,Phil Pettey,Missouri,,,,,4.63,6.15,,
268,1987,LB,Rafe Wilkinson,Richmond,10,278,Broncos,,,,,
269,1987,OT,Ralph Van Dyke,Southern Illinois,4,97,Falcons,,3.08,4.21,,
270,1987,OG,Randy Dixon,Pittsburgh,4,86,Colts,,1.88,3.08,,
271,1987,DE,Randy Watts,Catawba,9,244,Chiefs,,,,,
272,1987,LB,Ray Berry,Baylor,2,44,Vikings,,1.56,1.29,,
273,1987,WR,Ray Brown,South Carolina,10,259,Lions,,,,,
274,1987,OC,Ray Hitchcock,Minnesota,12,331,Redskins,,,,,
275,1987,DE,Reggie Rogers,Washington,1,7,Lions,,3.74,6.43,,
276,1987,RB,Reggie Taylor,Cincinnati,11,280,Buccaneers,,,,,
277,1987,QB,Rich Gannon,Delaware,4,98,Patriots,|ProBowl|,7.28,9.23,,
278,1987,RB,Rick Calhoun,Fullerton State,9,230,Lions,,,,,
279,1987,FB,Rick Fenney,Washington,8,211,Vikings,,5.71,7,,
280,1987,LB,Rick Graf,Wisconsin,2,43,Dolphins,,9.45,10,,
281,1987,WR,Ricky Nattiel,Florida,1,27,Broncos,,4.64,8.68,,
282,1987,CB,Ricky Reynolds,Washington State,2,36,Buccaneers,,6.46,8.95,,
283,1987,SS,Rob Harrison,Sacramento State,10,254,Raiders,,,,,
284,1987,TE,Robert Awalt,San Diego State,3,62,Cardinals,,3.06,6.47,,
285,1987,DT,Robert Banks,Notre Dame,7,176,Texans,,5.86,2.86,,
286,1987,WR,Robert Clark,North Carolina Central,10,263,Saints,,0.98,0.79,,
287,1987,RB,Rod Bernstine,Texas A&M,1,24,Chargers,|750RUSH-1993|,3.79,7.39,,
288,1987,TE,Rod Jones,Washington,8,223,Giants,,1.02,1.76,,
289,1987,DE,Rod Saddler,Texas A&M,4,90,Cardinals,,3.61,7.14,,
290,1987,CB,Rod Woodson,Purdue,1,10,Steelers,|HOF|ProBowl|,9.7,10,,
291,1987,FB,Roger Vick,Texas A&M,1,21,Jets,,8.7,9,,
292,1987,DE,Roland Barbay,Louisiana State,7,184,Seahawks,,0.11,0,,
293,1987,CB,Roland Mitchell,Texas Tech,2,33,Bills,,5.32,6.84,,
294,1987,DT,Ron Bohm,Illinois,,,,,3.33,2.14,,
295,1987,LB,Ron Brown,Southern California,8,204,Chargers,,,,,
296,1987,CB,Ron Francis,Baylor,2,39,Cowboys,,3.39,4.74,,
297,1987,TE,Ron Hall,Hawaii,4,87,Buccaneers,,6.42,9.41,,
298,1987,DE,Ron Mclean,Cal-State Fullerton,9,241,Jets,,2.03,5.71,,
299,1987,WR,Ron Morris,Southern Methodist,2,54,Bears,,2.04,4.74,,
300,1987,LB,Ron Moten,Florida,6,149,Eagles,,,,,
301,1987,LB,Ronnie Moten,Florida,,,,,4.27,7.42,,
302,1987,WR,Roy Banks,Eastern Illinois,5,114,Colts,,3.23,6.58,,
303,1987,P,Ruben Rodriguez,Arizona,5,131,Seahawks,,,,,
304,1987,QB,Sammy Garza,UTEP,8,216,Seahawks,,,,,
305,1987,LB,Scott Armstrong,Florida,12,318,Cowboys,,,,,
306,1987,DT,Scott Cooper,Kearney State,12,308,Buccaneers,,,,,
307,1987,TE,Scott Eccles,Eastern New Mexico,9,238,Raiders,,8.58,10,,
308,1987,LB,Scott Leach,Ohiot State,9,234,Saints,,,,,
309,1987,DT,Scott Mersereau,Southern Connecticut,5,136,Rams,,,,,
310,1987,WR,Scott Schwedes,Syracuse,2,56,Dolphins,,6.28,9.74,,
311,1987,LB,Scott Stephen,Arizona State,3,69,Packers,,,,,
312,1987,DE,Sean Smith,Grambling State,4,101,Bears,,,,,
313,1987,LB,Shane Conlan,Penn State,1,8,Bills,|ProBowl|,,,,
314,1987,QB,Shawn Halloran,Boston College,,,,,0.76,3.08,,
315,1987,DE,Shawn Knight,Brigham Young,1,11,Saints,,,,,
316,1987,FS,Sid Lewis,Penn State,10,268,Jets,,,,,
317,1987,DE,Skip Mcclendon,Arizona State,3,77,Bengals,,1.72,4.29,,
318,1987,CB,Solomon Wilcots,Colorado,8,215,Bengals,,1.52,3.16,,
319,1987,FS,Sonny Gordon,Ohio State,6,157,Bengals,,2.68,6.25,,
320,1987,RB,Spencer Tillman,Oklahoma,5,133,Texans,,3.76,5.22,,
321,1987,WR,Stacey Mobley,Jackson State,,,,,1.71,2.89,,
322,1987,DT,Stan Mataele,Arizona,8,197,Buccaneers,,,,,
323,1987,OG,Stan Parker,Nebraska,9,225,Giants,,,,,
324,1987,WR,Stephen Baker,Frenso State,3,83,Giants,,1.48,1.84,,
325,1987,CB,Stephen Braggs,Texas,6,165,Browns,,0.6,0,,
326,1987,DE,Steve Alvord,Washington,8,201,Cardinals,,4.6,8.57,,
327,1987,RB,Steve Bartalo,Colorado State,6,143,Buccaneers,,1.62,3.48,,
328,1987,QB,Steve Beuerlein,Notre Dame,4,110,Raiders,|ProBowl|,0.43,0,,
329,1987,DE,Steve Bryan,Oklahoma,5,120,Bears,,,,,
330,1987,LB,Steve Bullitt,Texas A&M,8,220,Browns,,,,,
331,1987,K,Steve DeLine,Colorado State,7,189,49ers,,,,,
332,1987,SS,Steve Gage,Tulsa,6,144,Redskins,,,,,
333,1987,DE,Steve Roberts,Washington,11,299,Broncos,,,,,
334,1987,RB,Steve Smith,Penn State,3,81,Raiders,,,,,
335,1987,OG,Steve Trapilo,Boston College,4,96,Saints,,4.7,8.46,,
336,1987,WR,Ted Wilson,Central Florida,10,274,Redskins,,,,,
337,1987,LB,Terence Mack,Clemson,,,,,,,,
338,1987,DT,Terence Mann,Southern Methodist,11,293,Dolphins,,,,,
339,1987,FS,Terrence Anthony,Iowa State,9,236,Falcons,,,,,
340,1987,RB,Terrence Flagler,Clemson,1,25,49ers,,4.51,7.83,,
341,1987,TE,Theo Young,Arkansas,12,317,Steelers,,1.91,5.29,,
342,1987,FS,Thomas Everett,Baylor,4,94,Steelers,|ProBowl|,3.56,7.5,,
343,1987,WR,Thomas Henley,Stanford,6,152,Saints,,3.23,4.47,,
344,1987,DE,Thomas Mchale,Cornell,,,,,0.97,2.14,,
345,1987,RB,Thomas Wilcher,Michigan,9,226,Chargers,,,,,
346,1987,RB,Tim Jessie,Auburn,11,305,Bears,,,,,
