PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
7722,4.79,2.75,1.64,19,33,904,4.31,7.2,,
7723,,,,,,,,,,
7724,,,,,,,,,,
7725,,,,,,,,,,
7726,4.74,2.72,1.62,11,,,,,,
7727,,,,,,907,4.26,,,
7728,4.43,2.58,1.52,,39.5,1001,4.33,7.13,32.25,10
7729,,,,,,,,,,
7730,,,,,42.5,1107,,,36,9.75
7731,,,,33,,,,,34,10.25
7732,4.41,2.52,1.49,,,,,6.99,30,10
7733,4.69,2.72,1.59,,34.5,910,4.46,7,,
7734,,,,,,,,,31,8.875
7735,4.49,2.58,1.52,,,,,,33.25,9.125
7736,,,,,,,,,,
7737,5.41,3.07,1.92,14,28,804,,,,
7738,5.03,2.88,1.68,23,27.5,806,4.64,7.58,,
7739,4.61,2.65,1.58,,,909,4.22,7.11,,
7740,,,,,,,,,,
7741,4.52,2.62,1.55,,36,907,4.08,,31,9.25
7742,5.48,3.07,1.82,,27,,4.7,7.97,,
7743,,,,,,,,,,
7744,,,,,,,,,,
7745,,,,,,,,,,
7746,4.78,2.82,1.65,,33.5,903,4.34,7.21,33.375,9.625
7747,5.14,2.92,1.71,25,29,804,4.83,7.36,,
7748,5.26,2.96,1.77,,30,805,4.74,8.19,32.25,9.875
7749,4.57,2.62,1.56,36,30.5,906,4.15,,,
7750,,,,,,,,,,
7751,,,,,29,805,,,32,10
7752,4.66,2.69,1.63,21,,1000,4.43,7.2,,
7753,,,,,,,,,,
7754,4.55,2.64,1.56,,35,1007,,,33,9.5
7755,4.53,2.61,1.53,,,,4.1,,,
7756,4.41,2.54,1.49,,,1001,,,,
7757,4.72,,,16,36,907,4.3,6.96,32.25,9.5
7758,4.6,2.72,1.55,,,,,,31.75,9.25
7759,4.57,2.58,1.54,,33,906,,,,
7760,4.79,2.78,1.63,25,,907,4.52,6.97,,
7761,,,,,26.5,,4.64,7.67,,
7762,,,,,,,,,,
7763,5.25,2.97,1.76,28,33,906,4.58,7.66,,
7764,4.78,,,,36.5,908,4.38,,,
7765,,,,,,,,,,
7766,4.61,2.64,1.57,25,35,1001,,6.96,,
7767,4.56,2.65,1.55,,,,4.36,7.03,,
7768,,,,,,910,4.21,6.91,32.25,9.375
7769,4.47,2.54,1.51,15,39.5,1105,,,,
7770,4.56,2.63,1.53,,,,,,31.375,9.25
7771,4.38,2.49,1.46,16,38,1005,4.08,6.56,,
7772,4.54,2.64,1.54,12,36,909,4.52,7.04,30.25,9.625
7773,,,,,32.5,,,6.69,,
7774,,,,,,,,,,
7775,,,,,,,,,,
7776,,,,,,,,,,
7777,,,,,,,,,,
7778,4.56,2.65,1.55,,,,4.36,7.03,,
7779,,,,,,,,,,
7780,,,,,,,,,,
7781,,,,,,,,,30.125,10
7782,,,,,,,,,30.5,8.75
7783,,,,18,,,4.37,7.26,31,9.625
7784,4.81,2.78,1.6,,32.5,904,4.65,7.14,,
7785,4.64,2.69,1.6,,,,4.31,,,
7786,,,,,,,,,,
7787,5.21,2.98,1.76,,,,4.53,7.47,,
7788,5.2,2.98,1.75,,,,,,,
7789,,,,,,,,,30.25,9
7790,4.4,2.5,1.49,,,,4.33,7.05,,
7791,4.42,2.56,1.52,,38,1001,,,,
7792,,,,,,,,,,
7793,4.4,2.52,1.52,,,,,,,
7794,4.62,2.64,1.58,,36.5,1001,4.2,7.28,,
7795,,,,,,,,,31.375,10
7796,4.73,2.75,1.62,,,,4.46,7.39,,
7797,4.48,2.62,1.53,,,,,7.21,,
7798,,,,,,,,,,
7799,5.37,3.05,1.82,,,,4.93,8.1,,
7800,4.53,2.55,1.52,,36.5,1002,,,,
7801,,,,,35,906,,,,
7802,,,,,,,,,,
7803,,,,,,,,,,
7804,,,,,,,4.37,,,
7805,,,,,,,,,,
7806,,,,21,,,,,,
7807,4.39,2.51,1.46,,,,,,29.5,9.125
7808,,,,,,,,,,
7809,,,,,,,4.12,6.97,32.875,10.125
7810,,,,,,,,,,
7811,,,,,37.5,911,4.41,,32.625,10.25
7812,4.73,2.72,1.64,21,32.5,811,4.51,7.84,,
7813,4.69,2.7,1.58,,32,905,4.36,6.98,,
7814,,,,,,,4.54,7.65,,
7815,,,,,,,,,,
7816,4.85,2.83,1.73,,35,906,4.62,7.31,,
7817,,,,,,,,,32,9
7818,4.64,2.74,1.65,,34.5,1000,4.28,7,,
7819,4.42,2.55,1.52,19,41,1011,4.11,6.54,30.5,9
7820,5.18,2.96,1.81,27,25,806,4.6,7.84,,
7821,,,,,,,,,33.125,10
7822,4.5,2.58,1.52,,,,,,31,9.375
7823,4.93,2.82,1.62,26,30.5,810,4.64,7.58,,
7824,4.75,2.73,1.59,22,32.5,908,4.22,6.88,,
7825,4.83,2.78,1.67,,,,,,,
7826,4.77,2.77,1.64,15,35,900,4.24,7.12,,
7827,4.58,2.62,1.49,21,35,1006,,,32,9.125
7828,,,,25,,,,,35,10.25
7829,,,,,,,4.39,7.22,,
7830,4.98,2.86,1.7,15,32,,4.49,7.12,35.25,9.625
7831,,,,,,,,,,
7832,4.61,2.64,1.58,,,,4.43,6.83,,
7833,4.7,2.68,,,,,4.41,7.21,,
7834,,,,,,,,,,
7835,,,,,,,,,31.5,10
7836,4.67,2.7,1.59,18,35,911,4.17,6.78,,
7837,5.07,2.9,1.73,24,,,4.53,7.48,,
7838,4.74,2.7,1.59,,,,,,,
7839,4.9,2.84,1.69,,,,4.63,7.26,,
7840,,,,,,,,,,
7841,,,,,31.5,,,,32,9.25
7842,4.42,2.55,1.54,,,,,,,
7843,4.61,2.7,1.56,,36,,,6.73,,
7844,,,,,31,902,,,,
7845,4.92,2.82,1.61,22,30.5,806,4.72,,35.5,9.875
7846,4.54,2.6,1.55,20,33.5,1000,4.25,7.12,,
7847,4.91,2.83,1.61,,34,905,,7.29,,
7848,,,,,31,808,4.8,7.88,,
7849,4.76,2.74,1.63,,,,4.38,6.96,,
7850,4.79,2.73,1.64,,32,904,4.4,7.09,33.875,10
7851,,,,,,,,,32.5,9.75
7852,,,,,,,4.1,6.81,,
7853,,,,,,,,,32,9
7854,4.37,2.5,1.46,10,40,1006,4.11,6.79,,
7855,4.38,2.48,1.47,12,40,1008,4.09,,31.625,9.25
7856,5.05,2.93,1.73,,,,4.36,7.12,,
7857,4.48,2.56,1.51,,36.5,1004,,,,
7858,4.45,2.58,1.49,16,40.5,1003,4.34,7.07,,
7859,,,,,,,,,,
7860,4.59,2.62,1.54,27,38,1004,4.32,6.91,,
7861,,,,,36,910,,,,
7862,,,,,,,,,,
7863,4.52,2.59,1.57,7,35.5,,4.27,,,
7864,4.45,2.58,1.49,16,40.5,1003,4.34,7.07,32.5,8.5
7865,4.44,2.56,1.48,8,,1006,,,,
7866,4.72,,,17,32.5,901,4.69,,,
7867,,,,,,,,,31.25,10.125
7868,,,,,,,,,34,9.875
7869,,,,,,,,,,
7870,4.47,2.56,1.5,22,35,1004,4.35,6.99,30.25,9.25
7871,4.97,2.86,1.69,,32.5,900,4.4,7.21,,
7872,,,,,,,4.26,,,
7873,5.29,3.08,1.83,17,30,809,4.97,7.79,,
7874,,,,,,,,,33.5,9.75
7875,,,,,,,,,,
7876,,,,,31,,,,,
7877,4.75,2.72,1.58,,30.5,,,,,
7878,,,,,,,,,,
7879,,,,,,,,,,
7880,4.9,2.84,1.65,16,35,907,4.28,7.45,,
7881,4.58,2.65,1.56,,39,1000,4.15,6.94,32,9
7882,4.58,2.63,1.56,15,,,,,,
7883,4.75,2.71,1.62,20,31,1000,4.34,7,,
7884,4.66,2.72,1.55,14,33.5,902,4.49,7.11,,
7885,5.38,3.08,1.81,,28,805,4.71,7.49,,
7886,,,,,,,,,32.75,10.25
7887,4.85,2.81,1.65,,,,,,,
7888,4.7,2.69,1.58,,33.5,904,,,,
7889,,,,,,,,,32.125,9.875
7890,4.61,2.65,1.58,,,,4.38,6.99,,
7891,,,,17,,,,,,
7892,,,,,,,4.34,6.91,,
7893,4.71,2.71,1.63,15,35.5,1000,,,33.25,10.25
7894,,,,,,,,,33.125,9.625
7895,4.53,2.61,1.54,,,900,4.34,,,
7896,4.72,,,,33.5,906,,,,
7897,4.53,2.62,1.53,,,,4.42,,,
7898,4.69,2.7,1.56,23,31,909,4.22,6.8,,
7899,4.74,2.72,1.65,29,38.5,909,4.42,,,
7900,,,,,38,1006,4.36,7.11,,
7901,4.88,2.81,1.66,,,906,4.52,7.47,,
7902,,,,,,,,,30.75,9
7903,4.63,2.69,1.56,,,,4.34,,,
7904,,,,,,910,4.2,6.73,32.25,10.625
7905,,,,,,,,,,
7906,4.71,2.71,1.63,,,,4.62,7.21,,
7907,4.75,2.76,1.64,15,,907,,7.08,,
7908,,,,,,,4.73,7.63,,
7909,,,,,,,,,,
7910,,,,,,,4.37,7.04,30.625,9
7911,,,,,,,,,,
7912,,,,,,,,,,
7913,5.24,2.97,1.76,,32,,,,,
7914,,,,,25,,,7.99,,
7915,,,,,,,,,,
7916,4.48,2.56,1.51,11,36,1004,4.26,6.86,,
7917,,,,,36.5,1008,,,,
7918,,,,,,,,,,
7919,5.23,2.97,1.75,,26.5,805,4.81,8.03,,
7920,,,,,,,,,,
7921,,,,,,,,,,
7922,5.15,2.88,1.69,23,27,805,4.58,7.36,,
7923,,,,,,,,,,
7924,4.67,2.65,1.54,19,34.5,907,,,33.5,10
7925,4.79,2.74,1.63,,32,908,4.42,7.31,,
7926,4.52,,,,,906,,,,
7927,,,,,,,,,,
7928,4.9,2.86,1.68,,31.5,811,,6.69,,
7929,,,,,,,,,34.5,10.25
7930,5.11,2.96,1.74,,30.5,810,4.5,7.41,,
7931,,,,,,,,6.82,,
7932,5.19,3.03,1.81,,31,811,4.71,7.59,,
7933,,,,,,,4.38,7.37,,
7934,,,,,,,,,30.75,9
7935,4.49,2.59,1.54,,,,,,,
7936,4.4,2.52,1.51,,39.5,,,,30.75,9.75
7937,4.53,2.62,1.53,20,33,811,4.25,7.16,30,8.5
7938,4.53,2.61,1.53,18,35.5,909,4.11,7.08,,
7939,,,,,,,,,,
7940,4.7,2.67,1.6,22,31.5,902,4.46,7.49,,
7941,4.65,2.66,1.54,,,1001,4.54,7.25,,
7942,,,,,,,,,,
7943,4.87,2.84,1.62,31,33,900,4.53,7.5,,
7944,,,,,,,,,,
7945,5.5,3.14,1.78,26,30,803,4.73,7.77,,
7946,,,,21,,,,,,
7947,4.48,2.61,1.47,,36,1007,4.05,6.27,,
7948,,,,,,,,,32,9.25
7949,4.93,2.88,1.67,,33,811,4.52,7.47,,
7950,4.46,2.59,1.52,,36,903,4.49,7.41,,
7951,,,,,,,,,,
7952,5.47,3.06,1.82,,,709,4.85,7.9,,
7953,,,,,,,,,34.5,9.625
7954,,,,,,,,,,
7955,,,,19,31,904,,,,
7956,4.67,2.7,1.61,31,33,907,,,,
7957,4.81,2.76,1.63,22,33,906,4.43,7.22,,
7958,5.72,3.31,1.9,,,,5,8.25,,
7959,4.37,2.54,1.52,,,,4.37,7.1,,
7960,,,,,,,,,,
7961,4.58,2.61,1.53,,,,,,,
7962,5.02,2.86,1.69,,30.5,,4.53,7.77,,
7963,4.49,2.58,1.51,,37,1007,,,31.75,9.75
7964,4.65,2.68,1.57,21,35.5,911,4.31,7.12,,
7965,4.77,2.75,1.63,,31,902,4.45,7.34,,
7966,4.75,2.72,1.6,,,,,,,
7967,,,,,,,,,,
7968,,,,23,,,,,,
7969,5.05,2.93,1.73,,31.5,808,4.78,7.95,,
7970,4.65,2.69,1.56,,30,904,4.34,7.2,,
7971,4.46,2.59,1.54,,,911,4.52,7.55,,
7972,,,,,,,,,,
7973,4.46,2.59,1.53,14,34.5,1007,,,,
7974,4.88,2.77,1.62,,29,906,4.97,7.41,,
7975,,,,,,,,,,
7976,4.57,2.62,1.53,17,35.5,1001,4,6.75,,
7977,4.35,2.51,1.46,,35,1006,4.15,6.67,,
7978,4.41,2.52,1.49,,37.5,1008,4.19,,,
7979,4.54,2.61,1.56,,,,,7.25,,
7980,4.41,2.52,1.5,19,37.5,1003,4.13,6.65,33,9.625
7981,4.69,2.68,1.56,26,,,4.27,,,
7982,,,,25,,,,,,
7983,,,,,,,,,,
7984,4.96,2.88,1.71,,28.5,,4.62,8.09,,
7985,4.58,2.6,1.47,,,,,,,
7986,,,,,,,,,30.5,8.875
7987,4.49,2.59,1.52,,,,,,32,9.25
7988,4.43,2.55,1.5,,,,,,30,8.25
7989,4.61,2.65,1.57,,36,,4.34,,,
7990,,,,,,,,,,
7991,4.87,2.81,1.67,17,32,901,4.22,7.12,34.375,10.125
7992,5.11,2.95,1.74,22,30,807,4.73,,,
7993,4.58,2.65,1.56,,,,,,,
7994,,,,,,,,,31.125,10.125
7995,4.4,2.56,1.5,14,38.5,1001,4.3,6.82,,
7996,4.64,2.68,1.58,,,,,,,
7997,5.38,3.05,1.89,,30,711,5.16,7.77,,
7998,,,,,,,,,,
7999,,,,,,,4.31,,33.75,9.75
8000,,,,,,,,,,
8001,4.74,2.72,1.6,,,,,,,
8002,4.55,2.62,1.53,,36.5,1004,4.17,7.05,30,9
8003,4.77,,,,,,4.47,7.44,,
8004,4.49,2.59,1.54,,34,,,,33.375,9.75
8005,5.24,2.96,1.75,,,801,4.76,7.47,,
8006,4.42,2.54,1.56,,,,,,,
8007,4.38,2.48,1.47,,,,,,29.5,8.75
8008,4.6,2.7,1.53,,36,1002,4.42,7.28,,
8009,,,,,,,,,,
8010,5.38,3.12,1.84,19,,,4.67,7.72,,
8011,4.46,2.54,1.49,,,1006,4.28,6.9,,
8012,,,,,,,,,,
8013,4.68,2.72,1.6,,31.5,902,4.72,7.39,,
8014,4.88,2.8,1.62,,,,,,,
8015,,,,,,,,,,
8016,4.48,2.62,1.48,,,,,,,
8017,4.74,2.67,1.65,,,,,,32.625,9.125
8018,5.14,2.88,1.67,21,30.5,900,,,,
8019,4.72,2.73,1.6,,36.5,1002,4.23,6.93,32,10.125
8020,4.48,2.56,1.51,,35.5,1009,4.17,6.74,,
8021,,,,,,,,,,
8022,4.9,2.8,1.69,17,33.5,903,4.4,7.06,,
8023,,,,,,,,,,
8024,4.78,2.78,1.65,,29,809,4.4,7.11,32.5,9.25
8025,4.55,2.66,1.54,9,37.5,1005,4.03,6.84,,
8026,4.65,2.68,1.54,,30,,,7.02,,
8027,,,,,27.5,801,,,33.25,9.375
8028,4.39,2.51,1.46,15,43,1011,4.31,6.65,,
8029,,,,,,,,,,
8030,,,,18,32,901,,7.72,,
8031,4.57,2.62,1.55,18,35,1005,3.99,6.56,,
8032,4.48,2.55,1.51,16,38.5,910,4.15,6.89,,
8033,,,,24,34,903,,,,
8034,,,,,32.5,,,,,
8035,4.78,2.73,1.65,22,33.5,905,4.22,7.16,,
8036,,,,,,,,,,
8037,,,,,,,,,,
8038,4.7,2.69,1.57,,,,4.47,7.43,,
8039,4.72,2.73,1.61,16,,,4.36,,33.25,10.25
8040,,,,,,,4.03,,,
8041,,,,,,,,,,
8042,4.68,2.68,1.57,,37.5,905,,,,
8043,4.75,2.69,1.56,16,33.5,,,,,
8044,4.55,2.64,1.53,,36,,,,30.875,9
8045,,,,,,,,,32.5,9.25
8046,,,,,,,,,,
8047,,,,,,,,,,
8048,4.7,2.72,1.58,23,29,904,,,,
8049,4.55,2.65,1.53,17,36,1000,4.51,7.46,,
8050,4.7,2.67,1.59,,35,909,4.4,7.1,,
8051,,,,18,36.5,,,,,
8052,5,2.95,1.68,,28.5,808,4.45,7.78,,
8053,4.85,2.78,1.65,,27.5,901,4.33,7.28,,
8054,4.34,2.52,1.53,9,38,906,4.03,6.81,32.875,9.25
8055,,,,,,,,,,
8056,4.77,2.79,1.65,,34.5,1004,4.57,7.38,,
8057,4.38,2.62,1.45,,34.5,1101,,,,
8058,5.35,3.04,1.81,26,27.5,,,,34.625,9.625
8059,5.08,2.95,1.74,18,29.5,900,4.34,7.01,,9.875
8060,,,,,36,,,7.07,,
8061,,,,,,,,,,
8062,4.42,2.52,1.47,,,,,,,
8063,,,,,,,,,32,10.5
8064,,,,,,,,,,
8065,4.9,2.83,1.72,,28.5,901,4.56,7.37,32.5,9.5
8066,4.55,2.62,1.55,,34,908,4.5,7.56,,
8067,,,,,,,,,,9
8068,4.6,2.61,1.53,18,32.5,910,4.71,7.3,33.75,8.625
8069,,,,,36.5,,4.27,7.22,,
8070,,,,,,,,,33.625,10.125
8071,4.4,2.49,1.47,,36.5,1000,4.29,7.05,,
8072,4.43,2.57,1.47,,35,1004,4.19,6.8,,
8073,,,,,,,,,,
8074,4.54,2.6,1.53,,,,4.08,6.72,,
8075,4.98,2.85,1.76,,32,905,4.84,7.91,33,10
8076,4.62,2.61,1.58,16,34.5,1000,,6.78,,
8077,,,,,26.5,,,,35,10.875
8078,,,,,,,,,,
8079,4.57,2.64,1.53,,34,906,4.26,7.03,,
8080,4.69,2.66,1.56,,,,4.51,,,9.75
8081,4.66,2.66,1.51,,35,,4.18,6.96,,
8082,4.29,2.51,1.42,,40,1010,4.36,6.86,,
8083,4.78,2.74,1.59,,32,911,,,,
8084,4.56,2.62,1.54,,35,1002,4.18,6.54,,
8085,5,2.88,1.73,24,31.5,905,4.57,7.33,,
8086,4.65,2.67,1.56,,36.5,909,4.31,7.2,,
8087,5,2.88,1.72,,34.5,,4.63,7.19,,
8088,,,,,,,,,32.5,9.5
8089,,,,,,,,,,
8090,4.69,2.69,1.62,24,39.5,1001,4.54,7.4,,
8091,5,2.9,1.71,25,27.5,,4.62,7.64,34.5,10
8092,4.43,2.56,1.47,8,32.5,911,4.34,6.94,,
8093,,,,,,,,,,9
8094,5.26,3.05,1.87,,29,809,4.57,7.63,,
8095,,,,,35.5,1000,4.48,7.35,,
8096,4.38,2.53,1.46,,37.5,,,,,
8097,4.9,2.83,1.6,,31,,,,,
8098,4.45,2.53,1.51,18,36,911,4.58,7.53,,
8099,4.38,2.52,1.46,,43,1003,4.25,6.84,32.5,9.625
8100,,,,,,,,,,
8101,4.57,2.64,1.56,,40,1000,,,,
8102,,,,,28,,4.84,8.07,,
8103,4.67,2.71,1.56,,34.5,906,4.09,6.87,,
8104,,,,,,,,,,
8105,,,,22,30.5,,,,,
8106,,,,,,,,,,
8107,4.5,2.63,1.57,28,36.5,1006,4.15,6.75,32,8.5
8108,,,,,32,911,,,,
8109,,,,,,,,,30.25,9.5
8110,,,,,,,,,,
8111,,,,,,,,,,
8112,,,,,36.5,,4.31,,,
8113,5.17,2.98,1.78,,,,,,33.375,9.875
8114,,,,,,,,,31.375,8.75
8115,5.16,2.97,1.77,,29,808,,,,
8116,4.58,2.62,1.54,13,34.5,903,3.99,6.71,,
8117,,,,,35.5,,,,,
8118,4.63,2.61,1.57,10,35,910,4.19,,,
8119,,,,,32.5,906,,,,
8120,,,,,34,,,,,
8121,4.6,2.6,1.54,,,1001,4.46,6.78,,
8122,4.67,2.65,1.55,,32,904,4.54,7.52,33,8.75
8123,4.55,2.64,1.53,,32.5,909,,,,
8124,4.6,2.51,1.56,,31,908,4.3,,,
8125,4.57,2.63,1.54,9,35.5,907,4.24,7.16,,
8126,,,,,37.5,1000,,,,
8127,4.67,2.7,1.58,21,35,907,4.25,6.78,32.75,9.5
8128,4.58,2.67,1.56,,31.5,,,,33.375,9.375
8129,4.72,2.75,1.63,22,39,1000,4.63,7.17,,
8130,4.38,2.5,1.44,20,38,1001,4.2,7.03,,
8131,4.46,2.54,1.47,,,,4.32,,,
8132,4.48,2.56,1.47,,37,1010,,,,
8133,,,,,,,,,,
8134,4.76,2.74,1.6,18,34.5,,4.21,,,
8135,,,,13,35.5,,4.1,6.86,31,9.75
8136,,,,25,29,,4.63,7.51,34.875,9.875
8137,4.69,2.71,1.6,20,37.5,810,4.45,7.27,,
8138,,,,,38.5,,,,,
8139,,,,,,,,,33.375,9.5
8140,4.6,2.66,1.59,17,32.5,907,4.28,7.15,33,10.25
8141,4.65,2.68,1.59,,34.5,908,4.19,6.86,,
8142,5.1,2.87,1.72,,28,810,4.72,7.15,33.75,10.25
8143,,,,,,,,,,
8144,,,,,,,,,,
8145,,,,,,,,,,
8146,,,,,,,,,,
8147,4.88,2.82,1.63,,33,907,,,,
8148,,,,,,,,,,
8149,,,,,34.5,1002,4.19,6.82,,
8150,5.34,3.03,1.84,,25.5,807,,,,
8151,,,,16,33,,,,33.625,9.875
8152,,,,11,30.5,,4.15,6.96,31.875,9.375
8153,,,,,,,,,,
8154,,,,,37.5,1011,4.14,6.63,,
8155,,,,,29.5,,,,,
8156,4.34,2.51,1.47,,37.5,1006,3.91,6.3,,
8157,4.95,2.81,1.62,,30.5,902,4.75,7.43,,
8158,4.44,2.56,1.51,,,,,6.51,,
8159,,,,,,,,,33,10
8160,,,,23,26.5,,,,,
8161,5.03,2.9,1.71,24,32.5,900,4.55,7.54,,
8162,,,,,,,,,,
8163,4.65,2.67,1.63,,34.5,,4.29,7,,
8164,,,,,41,,3.94,,,
8165,4.55,2.65,1.55,,38,1002,,7.01,,
8166,,,,,32,,,,,
8167,4.59,2.64,1.56,,34.5,906,4.55,7.34,,
8168,,,,,,,,,31,9.5
8169,,,,,,,,,32.25,9.125
8170,,,,25,33,,4.29,,,
8171,,,,,,,,,,
8172,,,,,,,,,,
8173,4.67,2.68,1.62,19,35,,,,33.375,10.5
8174,,,,13,34.5,,,,32,8.25
8175,,,,,,,,,,
8176,5.27,3.02,1.83,,27.5,,4.66,,,
8177,,,,27,,,,,,
8178,4.68,2.8,1.56,,33,908,4.68,7.36,,
8179,,,,,,,,,,
8180,,,,16,40,,4.33,,,
8181,4.67,2.64,1.59,,31.5,,4.33,,32.25,9.5
8182,,,,,,,,,,
8183,5.12,2.98,1.74,27,25.5,804,4.8,7.52,,
8184,5,2.89,1.72,,,,4.71,7.83,34,11
8185,4.51,2.57,1.52,11,35.5,,4.12,6.86,,
8186,4.55,2.65,1.53,20,34.5,1000,4.33,6.93,,
8187,4.58,2.64,1.59,,,,,,32.5,9.25
8188,,,,,,,,,,
8189,,,,,,,,,,
8190,4.32,2.51,1.46,,41,1006,4.21,6.61,,
8191,,,,,29,,,,30.375,8.375
8192,,,,,,,,,,
8193,,,,,,,,,,
8194,,,,,41.5,,4.44,6.94,30.25,9.375
8195,,,,,,,,,,
8196,,,,,,,,,,
8197,4.73,2.74,1.64,,32.5,1002,,,,
8198,,,,,,,,,,
8199,,,,,37,,,,,
8200,,,,,,,,,,
8201,5.03,2.89,1.69,27,32.5,900,4.53,7.25,,
8202,4.79,2.72,1.58,,32,900,4.5,6.86,,
8203,,,,,,,,,,
8204,,,,,30.5,,,,,
8205,4.59,2.64,1.57,8,34,906,,,,
8206,5.02,2.92,1.72,25,35,907,4.18,7.16,34,9.75
8207,4.52,2.63,1.56,,35,,,,31.75,8.75
8208,5.28,3.03,1.79,25,,,,,,
8209,,,,,37,,4.45,7.28,,
8210,4.84,2.8,1.67,,,,,,,
8211,,,,,,,,,33,9.875
8212,,,,,,,,7.07,,
8213,,,,,,,,,,
8214,4.66,2.78,1.63,,,,,,,
8215,,,,22,40.5,,,,32.25,9.875
8216,4.74,2.72,1.62,,36,907,4.33,7.17,30.75,8.75
8217,,,,,41.5,,,,33,8.125
8218,,,,,,,,,,
8219,4.94,2.8,1.67,22,31.5,,4.57,7.18,,
8220,,,,,,,,,,9.625
8221,,,,,,,,,32.5,9.875
8222,4.79,2.8,1.69,19,31.5,1008,4.31,,,
8223,,,,,,,,,,
8224,4.72,2.74,1.67,,35.5,,,,,
8225,,,,,,,,,30.25,8.5
8226,5.16,2.97,1.7,,32,,4.63,7.78,33.5,10
8227,,,,,,,,,33,10.625
8228,4.83,2.75,1.68,,29.5,,,,,
8229,4.85,2.8,1.59,,33,904,4.45,7.05,,
8230,,,,,35.5,,,,31.5,10.375
8231,,,,,39,900,4.44,7.07,,
8232,,,,,,,,,32.625,9.375
8233,,,,,35,1000,4.41,7.17,,
8234,4.54,2.64,1.54,,37,,,,,
8235,4.63,2.63,1.58,12,34.5,,4.51,6.78,,
8236,,,,,,,,,34.125,10.125
8237,,,,,,,,,,
8238,,,,,,,,,,
8239,4.46,2.58,1.49,14,40.5,1000,4.29,7.06,32.25,9
8240,5.2,2.96,1.76,28,,900,4.5,7.55,,
8241,4.62,2.62,1.51,,31,909,4.46,7.15,,
8242,4.59,2.66,1.56,,33.5,1002,4.05,6.85,,
8243,,,,,37.5,,4.34,6.91,,
8244,4.6,2.69,1.65,,33.5,907,4.38,7.25,,
8245,4.41,2.52,1.48,,,,,,,
8246,4.66,2.68,1.59,,,,4.25,7.15,,
8247,,,,,,,,,,
8248,,,,,,,,,,
8249,4.54,2.65,1.56,,42,1007,4.38,,,
8250,5.19,2.96,1.74,26,32,809,,,33.75,9.625
8251,,,,,34,,,,,
8252,,,,,31,905,,,,
8253,,,,,,,,,,
8254,,,,,31.5,711,4.29,6.97,,
8255,4.77,2.77,1.68,,35.5,908,4.67,7.53,,
8256,,,,,,,,,,
8257,,,,,34,,,,,
8258,5.11,2.99,1.8,,,,,,,
8259,,,,,,,,,,8.875
8260,4.65,2.68,1.61,,33,910,4.47,6.81,30.625,9.125
8261,4.47,2.57,1.54,15,33.5,,,,,
8262,5.26,3.01,1.81,20,30,,5.12,8.05,33.25,9.625
8263,5.01,2.87,1.71,,31.5,804,4.59,7.67,34,9.875
8264,,,,,,,,,,
8265,,,,,,,,,,
8266,4.57,2.67,1.62,,33.5,902,4.38,7.11,,
8267,4.75,2.76,1.64,,35,909,4.3,6.83,,
8268,4.84,2.8,1.67,,31,805,4.42,6.97,,
8269,4.56,2.66,1.65,19,38.5,910,4.31,7.11,,
8270,,,,,,,,,,
8271,4.65,2.66,1.55,,,,,,,
8272,4.47,2.56,1.49,,33.5,1000,4.24,6.95,,
8273,,,,,34.5,,,,,
8274,,,,,,,,,,
8275,,,,,38.5,1005,,,,
8276,5.2,2.96,1.79,,30,810,4.5,7.41,33,10
8277,4.66,2.72,1.61,,36.5,1003,4.03,6.93,33.375,10
8278,4.5,2.62,1.53,,37.5,1008,4.33,7.14,32.875,9.375
8279,,,,,,,,,,
8280,4.89,2.81,1.62,13,34,1003,4.33,6.98,,
8281,5.25,2.99,1.76,26,28.5,901,4.56,7.47,,
8282,4.68,2.73,1.62,,32,909,4.24,7,32.5,9.25
8283,4.42,2.55,1.51,,36.5,906,4.26,7.2,,
8284,5.14,3,1.76,21,31.5,903,4.56,7.28,,
8285,4.51,2.57,1.54,12,37.5,1005,4.19,,,
8286,,,,,29,900,4.54,7.55,32,9.625
8287,,,,,38,1006,4.33,7.05,,
8288,,,,,36,911,,,,
8289,4.41,2.55,1.48,,36,,,,32,9.75
8290,4.54,2.63,1.56,,29,903,,,29.625,8.375
8291,,,,,,,,,,
8292,4.55,2.65,1.53,7,37,1001,4.1,6.9,,
8293,4.42,2.56,1.5,,35,,4.38,,32.25,10.25
8294,4.53,2.6,1.59,,35,,,,31.25,8.25
8295,,,,,,,,,,
8296,,,,,,,,,,
8297,,,,,,,,,,
8298,,,,,,,,,,9.25
8299,,,,,,,,,,
8300,,,,,,,,,,9.5
8301,4.67,2.71,1.61,24,32.5,1000,4.59,7.18,34,9
8302,4.44,2.59,1.57,11,33,1001,4.4,7.31,31.75,9.5
8303,5.28,3.01,1.76,20,29,809,4.92,8.04,,
8304,4.49,2.6,1.57,,36,1002,,,,
8305,,,,,,,,,,
8306,,,,,36,910,,,,
8307,5.15,2.94,1.73,,29.5,,4.63,,,
8308,,,,,32,,4.33,6.91,30.75,9.5
8309,4.68,2.79,1.64,20,38,1002,4.19,7,,
8310,,,,,,,,,,
8311,,,,,28.5,,,,,
8312,,,,,,,,,,
8313,,,,,28,903,,,,
8314,,,,,,,,,,
8315,,,,,,,,,,
8316,,,,,,,,,,
