PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
213,,,,,,,,,32.25,9
214,,,,,,,,,30.5,8.75
215,,,,,,,,,30.75,8.5
216,,,,,,,,,30.75,8.75
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,33,10
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,30.5,9
225,,,,,,,,,30.75,9.25
226,,,,,,,,,,
227,,,,,,,,,30,9
228,,,,,,,,,30.75,9.25
229,,,,,,,,,34,10.25
230,,,,,,,,,,
231,,,,,,,,,31.75,10.75
232,,,,,,,,,30.25,9
233,,,,,,,,,30.5,9
234,,,,,,,,,31,9.5
235,,,,,,,,,,
236,,,,,,,,,31,7.5
237,,,,,,,,,30,8.5
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,28.25,8.25
241,,,,,,,,,30.25,9.75
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,30.5,8.5
246,,,,,,,,,,
247,,,,,,,,,30.25,9.75
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,32.5,9.5
251,,,,,,,,,30,9.75
252,,,,,,,,,,
253,,,,,,,,,30.75,9
254,,,,,,,,,32,9.5
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,30.75,9
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,30.75,9.5
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,29.75,9.75
266,,,,,,,,,30.5,8
267,,,,,,,,,31.75,9.75
268,,,,,,,,,,
269,,,,,,,,,32.75,9
270,,,,,,,,,33.25,9.5
271,,,,,,,,,,
272,,,,,,,,,31,9.25
273,,,,,,,,,,
274,,,,,,,,,,
275,,,,,,,,,34.25,9.5
276,,,,,,,,,,
277,,,,,,,,,30,9.5
278,,,,,,,,,,
279,,,,,,,,,31.5,9.75
280,,,,,,,,,32,9.5
281,,,,,,,,,,
282,,,,,,,,,29.5,8.75
283,,,,,,,,,,
284,,,,,,,,,30.75,9.5
285,,,,,,,,,31.5,8.5
286,,,,,,,,,29.75,9.5
287,,,,,,,,,32.25,10
288,,,,,,,,,32.5,10
289,,,,,,,,,31.5,9.75
290,,,,,,,,,31,10.5
291,,,,,,,,,31,10.5
292,,,,,,,,,32.5,10
293,,,,,,,,,31.5,9.5
294,,,,,,,,,31.25,8.75
295,,,,,,,,,,
296,,,,,,,,,30,8.5
297,,,,,,,,,32,10
298,,,,,,,,,32.25,9.5
299,,,,,,,,,,
300,,,,,,,,,,
301,,,,,,,,,30.25,9.5
302,,,,,,,,,32,9.5
303,,,,,,,,,,
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,,,,,,,,,31.75,9.25
308,,,,,,,,,,
309,,,,,,,,,,
310,,,,,,,,,,
311,,,,,,,,,,
312,,,,,,,,,,
313,,,,,,,,,,
314,,,,,,,,,31.25,10.25
315,,,,,,,,,32.25,9.25
316,,,,,,,,,,
317,,,,,,,,,33.25,9
318,,,,,,,,,30.75,8.5
319,,,,,,,,,31.25,9
320,,,,,,,,,29,9.25
321,,,,,,,,,,
322,,,,,,,,,,
323,,,,,,,,,,
324,,,,,,,,,30.25,8.25
325,,,,,,,,,29.75,9.75
326,,,,,,,,,34,8.75
