Rank,WSIT,Overall (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
71,,Dak PrescottD. Prescott DAL,QB5,,26,51,95,72.1,4.2
72,,Derrius GuiceD. Guice WAS,RB26,,22,41,100,72.8,9.3
73,,Kyler MurrayK. Murray ARI,QB6,,22,51,85,73.9,6.4
74,,Darren WallerD. Waller OAK,TE8,,27,46,112,74.6,13.7
75,,Brandin CooksB. Cooks LAR,WR35,,26,50,87,75.1,7.4
76,,N'Keal HarryN. Harry NE,WR36,,22,47,110,75.5,17.9
77,,Will FullerW. Fuller HOU,WR37,,25,51,108,76.0,11.3
78,,A.J. GreenA. Green CIN,WR38,,31,57,103,78.5,6.6
79,,Curtis SamuelC. Samuel CAR,WR39,,23,61,103,80.8,7.9
80,,Sony MichelS. Michel NE,RB27,,25,76,123,87.4,9.2
81,,David JohnsonD. Johnson ARI,RB28,,28,63,135,88.5,15.8
82,,Rashaad PennyR. Penny SEA,RB29,,24,78,119,89.3,6.4
83,,Carson WentzC. Wentz PHI,QB7,,27,61,138,89.5,8.0
84,,T.J. HockensonT. Hockenson DET,TE9,,22,58,124,90.4,15.1
85,,Sterling ShepardS. Shepard NYG,WR40,,27,78,108,91.2,7.6
86,,John BrownJ. Brown BUF,WR41,,29,64,127,91.5,10.1
87,,Julian EdelmanJ. Edelman NE,WR42,,33,69,109,91.6,10.4
88,,James WhiteJ. White NE,RB30,,28,63,112,92.3,9.5
89,,Mecole HardmanM. Hardman KC,WR43,,21,68,130,93.0,14.3
90,,Robby AndersonR. Anderson NYJ,WR44,,26,60,123,94.8,14.8
91,,Noah FantN. Fant DEN,TE10,,22,54,117,94.8,16.8
92,,Devonta FreemanD. Freeman ATL,RB31,,27,64,139,95.5,15.7
93,,Josh AllenJ. Allen BUF,QB8,,23,62,113,96.2,8.7
94,,Royce FreemanR. Freeman DEN,RB32,,24,72,164,96.2,11.1
95,,Dallas GoedertD. Goedert PHI,TE11,,24,47,127,97.4,9.5
96,,Baker MayfieldB. Mayfield CLE,QB9,,24,65,137,98.4,14.9
97,,Aaron RodgersA. Rodgers GB,QB10,,36,71,138,99.2,13.0
98,,Anthony MillerA. Miller CHI,WR45,,24,74,136,100.8,16.3
99,,Marvin JonesM. Jones DET,WR46,,29,68,124,102.8,15.5
100,,Damien WilliamsD. Williams KC,RB33,,27,65,165,103.3,16.4
101,,Matt RyanM. Ryan ATL,QB11,,34,66,120,104.3,9.7
102,,Tevin ColemanT. Coleman SF,RB34,,26,90,134,104.7,12.3
103,,Tarik CohenT. Cohen CHI,RB35,,24,92,126,105.8,8.8
104,,Darius SlaytonD. Slayton NYG,WR47,,23,80,174,108.5,24.3
105,,Raheem MostertR. Mostert SF,RB36,,27,43,177,108.9,18.1
106,,Diontae JohnsonD. Johnson PIT,WR48,,23,82,129,110.2,11.5
107,,Sammy WatkinsS. Watkins KC,WR49,,26,83,145,112.5,16.2
108,,Dede WestbrookD. Westbrook JAC,WR50,,26,64,155,112.8,23.2
109,,Alshon JefferyA. Jeffery PHI,WR51,,30,94,170,113.7,17.4
110,,Corey DavisC. Davis TEN,WR52,,25,92,157,114.8,19.2
111,,Alexander MattisonA. Mattison MIN,RB37,,21,70,162,115.8,14.8
112,,Jameis WinstonJ. Winston TB,QB12,,26,63,133,115.9,10.4
113,,O.J. HowardO. Howard TB,TE12,,25,60,139,116.1,14.8
114,,Darrell HendersonD. Henderson LAR,RB38,,22,61,159,118.0,21.5
115,,Justice HillJ. Hill BAL,RB39,,22,69,151,119.4,19.1
116,,Jared GoffJ. Goff LAR,QB13,,25,97,152,119.9,14.0
117,,James WashingtonJ. Washington PIT,WR53,,23,89,149,120.0,15.9
118,,Ronald Jones IIR. Jones TB,RB40,,22,44,161,120.2,19.9
119,,Mike GesickiM. Gesicki MIA,TE13,,24,76,159,120.3,20.5
120,,Parris CampbellP. Campbell IND,WR54,,22,87,144,122.5,9.2
121,,Golden TateG. Tate NYG,WR55,,31,102,148,122.8,12.9
122,,Matt BreidaM. Breida SF,RB41,,25,95,172,122.9,19.1
123,,David NjokuD. Njoku CLE,TE14,,23,90,148,123.2,15.3
124,,Andy IsabellaA. Isabella ARI,WR56,,23,90,148,123.4,19.3
125,,Tyler HigbeeT. Higbee LAR,TE15,,27,66,149,124.2,20.9
126,,Matthew StaffordM. Stafford DET,QB14,,32,83,158,125.2,17.3
127,,Sam DarnoldS. Darnold NYJ,QB15,,22,93,154,126.7,12.0
128,,Tony PollardT. Pollard DAL,RB42,,22,74,158,127.0,18.9
129,,Preston WilliamsP. Williams MIA,WR57,,22,100,171,127.4,21.9
130,,Tyrell WilliamsT. Williams OAK,WR58,,28,92,156,130.5,16.3
131,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,WR59,,23,88,197,131.3,26.9
132,,Jamison CrowderJ. Crowder NYJ,WR60,,26,104,157,131.7,9.3
133,,Jimmy GaroppoloJ. Garoppolo SF,QB16,,28,101,168,133.5,15.6
134,,Mark Ingram IIM. Ingram BAL,RB43,,30,52,95,78.8,9.8
135,,Irv Smith Jr.I. Smith MIN,TE16,,21,101,168,135.7,15.5
136,,Cam NewtonC. Newton CAR,QB17,,30,103,183,136.8,17.3
137,,John RossJ. Ross CIN,WR61,,25,96,175,137.2,17.1
138,,Latavius MurrayL. Murray NO,RB44,,30,88,191,137.7,16.4
139,,Emmanuel SandersE. Sanders SF,WR62,,32,108,171,140.0,14.7
140,,Duke JohnsonD. Johnson HOU,RB45,,26,107,171,141.3,15.5
