Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,3,1.4,0.5,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,6,2.6,1.2,2.0,0.0
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,2,9,3.6,1.5,4.0,+1.0
4,,Alvin KamaraA. Kamara NO,RB4,9,2,11,3.6,1.1,3.0,-1.0
5,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,13,6.8,2.3,5.0,0.0
6,,Melvin GordonM. Gordon LAC,RB5,12,5,17,7.1,2.2,6.0,0.0
Tier 2,
7,,Davante AdamsD. Adams GB,WR2,11,5,20,9.4,3.4,8.0,+1.0
8,,Todd GurleyT. Gurley LAR,RB6,9,1,31,9.8,7.3,7.0,-1.0
9,,Julio JonesJ. Jones ATL,WR3,9,5,20,10.5,1.9,17.0,+8.0
10,,Odell Beckham Jr.O. Beckham CLE,WR4,7,5,26,11.8,4.9,12.0,+2.0
11,,Michael ThomasM. Thomas NO,WR5,9,6,30,12.3,5.6,11.0,0.0
12,,Travis KelceT. Kelce KC,TE1,12,12,17,12.5,0.5,14.0,+2.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,4,40,12.8,4.5,9.0,-4.0
14,,David JohnsonD. Johnson ARI,RB8,12,4,46,14.6,5.9,13.0,-1.0
15,,James ConnerJ. Conner PIT,RB9,7,7,31,15.4,5.0,10.0,-5.0
16,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,7,30,16.7,6.1,16.0,0.0
17,,Joe MixonJ. Mixon CIN,RB10,9,4,40,16.9,3.8,15.0,-2.0
18,,Antonio BrownA. Brown OAK,WR7,6,10,26,18.6,4.3,22.0,+4.0
19,,George KittleG. Kittle SF,TE2,4,15,53,19.9,3.5,24.0,+5.0
20,,Zach ErtzZ. Ertz PHI,TE3,10,15,63,20.8,10.1,23.0,+3.0
21,,Nick ChubbN. Chubb CLE,RB11,7,5,51,20.9,6.6,21.0,0.0
22,,Dalvin CookD. Cook MIN,RB12,12,9,46,21.4,3.7,18.0,-4.0
Tier 3,
23,,Mike EvansM. Evans TB,WR8,7,16,33,23.8,4.4,20.0,-3.0
24,,A.J. GreenA. Green CIN,WR9,9,12,36,26.5,3.5,33.0,+9.0
25,,T.Y. HiltonT. Hilton IND,WR10,6,10,34,28.0,4.1,27.0,+2.0
26,,Keenan AllenK. Allen LAC,WR11,12,20,35,28.2,3.1,26.0,0.0
27,,Amari CooperA. Cooper DAL,WR12,8,24,37,28.4,2.4,28.0,+1.0
Tier 4,
28,,Leonard FournetteL. Fournette JAC,RB13,10,17,66,31.2,9.4,30.0,+2.0
29,,Adam ThielenA. Thielen MIN,WR13,12,26,43,32.4,2.8,25.0,-4.0
30,,Marlon MackM. Mack IND,RB14,6,17,57,32.8,9.4,34.0,+4.0
31,,Stefon DiggsS. Diggs MIN,WR14,12,30,38,32.9,1.6,29.0,-2.0
32,,Patrick MahomesP. Mahomes KC,QB1,12,24,54,34.0,10.9,19.0,-13.0
33,,Brandin CooksB. Cooks LAR,WR15,9,30,43,35.6,2.2,39.0,+6.0
34,,Sony MichelS. Michel NE,RB15,10,19,59,36.0,9.8,31.0,-3.0
35,,Robert WoodsR. Woods LAR,WR16,9,32,65,36.2,3.2,44.0,+9.0
36,,Aaron JonesA. Jones GB,RB16,11,18,60,36.8,10.6,36.0,0.0
37,,Kenny GolladayK. Golladay DET,WR17,5,32,48,37.6,2.8,40.0,+3.0
38,,Damien WilliamsD. Williams KC,RB17,12,14,114,38.2,20.1,32.0,-6.0
39,,Julian EdelmanJ. Edelman NE,WR18,10,31,74,40.8,8.5,49.0,+10.0
40,,Cooper KuppC. Kupp LAR,WR19,9,34,73,41.4,7.3,47.0,+7.0
Tier 5,
41,,Andrew LuckA. Luck IND,QB2,6,24,78,44.2,11.1,45.0,+4.0
42,,Allen RobinsonA. Robinson CHI,WR20,6,35,67,44.3,7.5,68.0,+26.0
43,,Alshon JefferyA. Jeffery PHI,WR21,10,36,62,46.5,4.9,70.0,+27.0
44,,Phillip LindsayP. Lindsay DEN,RB18,10,18,60,48.9,8.4,42.0,-2.0
45,,Aaron RodgersA. Rodgers GB,QB3,11,24,70,48.9,3.5,48.0,+3.0
46,,Chris GodwinC. Godwin TB,WR22,7,34,96,50.0,13.7,57.0,+11.0
47,,Derrick HenryD. Henry TEN,RB19,11,23,71,50.2,11.8,35.0,-12.0
48,,Chris CarsonC. Carson SEA,RB20,11,27,83,50.2,11.9,52.0,+4.0
49,,Jarvis LandryJ. Landry CLE,WR23,7,32,74,51.0,11.8,55.0,+6.0
50,,Devonta FreemanD. Freeman ATL,RB21,9,21,85,51.2,11.8,41.0,-9.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,D.J. MooreD. Moore CAR,WR24,7,38,88,52.0,8.1,58.0,+7.0
52,,Corey DavisC. Davis TEN,WR25,11,36,79,53.0,12.9,74.0,+22.0
53,,Kerryon JohnsonK. Johnson DET,RB22,5,40,89,54.0,8.6,38.0,-15.0
54,,Deshaun WatsonD. Watson HOU,QB4,10,24,87,55.0,7.3,51.0,-3.0
55,,Calvin RidleyC. Ridley ATL,WR26,9,37,73,56.4,9.1,54.0,-1.0
56,,Tarik CohenT. Cohen CHI,RB23,6,19,85,57.3,11.0,43.0,-13.0
57,,O.J. HowardO. Howard TB,TE4,7,15,78,60.0,7.5,56.0,-1.0
58,,Tyler LockettT. Lockett SEA,WR27,11,39,97,60.0,8.7,71.0,+13.0
59,,Sammy WatkinsS. Watkins KC,WR28,12,34,141,60.0,13.8,77.0,+18.0
Tier 6,
60,,Mark IngramM. Ingram BAL,RB24,8,36,89,62.6,11.3,50.0,-10.0
61,,Hunter HenryH. Henry LAC,TE5,12,15,106,64.6,7.0,67.0,+6.0
62,,Baker MayfieldB. Mayfield CLE,QB5,7,47,95,66.0,12.9,53.0,-9.0
63,,Derrius GuiceD. Guice WAS,RB25,10,40,126,66.5,15.7,46.0,-17.0
64,,James WhiteJ. White NE,RB26,10,51,115,66.9,10.3,64.0,0.0
65,,Tyler BoydT. Boyd CIN,WR29,9,41,109,67.6,14.1,62.0,-3.0
66,,Evan EngramE. Engram NYG,TE6,11,53,92,68.1,7.6,59.0,-7.0
67,,Mike WilliamsM. Williams LAC,WR30,12,48,82,68.4,7.6,65.0,-2.0
68,,Russell WilsonR. Wilson SEA,QB6,11,54,91,70.4,9.0,66.0,-2.0
69,,Robby AndersonR. Anderson NYJ,WR31,4,41,99,70.6,11.2,82.0,+13.0
70,,Kenyan DrakeK. Drake MIA,RB27,5,44,98,72.9,11.9,63.0,-7.0
71,,Lamar MillerL. Miller HOU,RB28,10,57,100,73.3,9.4,84.0,+13.0
72,,Matt RyanM. Ryan ATL,QB7,9,54,103,74.8,12.4,73.0,+1.0
