"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"Maxx Williams","ARI","TE",,,,,50,75.3,6.5,84,345,370.5,,,,,25.5,396,54,68.4,11.3,91,,,,,,,,,2019-08-18
"Budda Baker","ARI","DB",,,,,,,,,29,41.9,,,,,7.5,54,4,8.3,2.6,19,,,,,,,,,2019-08-18
"Kyler Murray","ARI","QB",50,90.1,15.6,134,4,8.8,2.8,23,69,112.3,1,9.9,4.1,19,31.7,287,4,11.9,4.1,24,,,,,1,17,4.5,23,2019-08-18
"Pharoh Cooper","ARI","WR",,,,,,,,,,,,,,,,,180,194.8,23.3,235,,,,,,,,,2019-08-18
"Rodney Gunter","ARI","DL",,,,,,,,,,,,,,,,,58,78,20,98,,,,,,,,,2019-08-18
"Larry Fitzgerald","ARI","WR",137,167.3,23.8,241,56,70,6.6,94,45,90.7,,,,,18,131,23,38.3,6.5,53,40,56,4.4,64,23,32.9,2.3,40,2019-08-18
"Christian Kirk","ARI","WR",48,65.9,11.1,121,17,29.7,3.2,48,45,76.6,,,,,15.7,108,20,32.5,5.9,44,61,66.2,0.7,67,29,37.6,1.6,39,2019-08-18
"Chad Williams","ARI","WR",285,308,27.7,347,105,144.8,24.6,197,334,371.5,,,,,37.5,409,131,146.4,9.6,162,,,,,,,,,2019-08-18
"David Johnson","ARI","RB",9,15.6,4,27,4,8.3,1.8,14,1,7.9,,,,,4.3,21,1,5.2,1.6,11,5,9.5,2.1,22,4,6.7,1.8,11,2019-08-18
"Chandler Jones","ARI","LB",,,,,,,,,72,115.5,,,,,43.5,159,35,46.3,6.8,59,,,,,,,,,2019-08-18
"TJ Logan","ARI","RB",,,,,118,122.5,4.5,127,273,359.7,,,,,32.8,394,90,120.1,10.9,136,,,,,,,,,2019-08-18
"Haason Reddick","ARI","LB",,,,,,,,,71,86.5,,,,,16,112,33,46,10.6,65,,,,,,,,,2019-08-18
"Chase Edmonds","ARI","RB",134,199.2,55.9,367,50,66.9,13.3,98,114,192.1,,,,,35.5,273,45,64.3,8.4,89,193,210,6.8,224,63,68.7,1.9,75,2019-08-18
