Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,5,2.2,0.6
3,,Michael ThomasM. Thomas NO,WR1,,3,4,3.1,0.2
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.4,0.7
5,,Dalvin CookD. Cook MIN,RB4,,2,6,4.8,0.8
Tier 2,
6,,Alvin KamaraA. Kamara NO,RB5,,4,16,7.1,2.0
7,,DeAndre HopkinsD. Hopkins HOU,WR2,,7,15,9.6,1.8
8,,Aaron JonesA. Jones GB,RB6,,7,22,9.8,3.6
9,,Derrick HenryD. Henry TEN,RB7,,4,23,9.9,3.8
10,,Tyreek HillT. Hill KC,WR3,,6,15,11.4,2.6
11,,Davante AdamsD. Adams GB,WR4,,6,16,11.5,1.6
12,,Joe MixonJ. Mixon CIN,RB8,,4,27,11.8,5.4
Tier 3,
13,,Julio JonesJ. Jones ATL,WR5,,8,21,12.7,1.5
14,,Chris GodwinC. Godwin TB,WR6,,7,24,13.9,1.7
15,,Nick ChubbN. Chubb CLE,RB9,,7,29,16.6,6.0
16,,Mike EvansM. Evans TB,WR7,,12,25,16.6,2.9
17,,Travis KelceT. Kelce KC,TE1,,9,25,17.7,0.5
18,,Leonard FournetteL. Fournette JAC,RB10,,7,42,18.7,5.3
19,,George KittleG. Kittle SF,TE2,,9,53,18.9,6.7
Tier 4,
20,,Josh JacobsJ. Jacobs OAK,RB11,,14,37,21.7,3.4
21,,Lamar JacksonL. Jackson BAL,QB1,,19,38,22.6,7.2
22,,Amari CooperA. Cooper DAL,WR8,,16,33,22.8,3.3
23,,Austin EkelerA. Ekeler LAC,RB12,,6,44,23.0,7.4
24,,Kenny GolladayK. Golladay DET,WR9,,16,33,23.5,3.7
25,,D.J. MooreD. Moore CAR,WR10,,16,53,27.7,3.4
26,,Odell Beckham Jr.O. Beckham CLE,WR11,,15,48,29.4,4.5
27,,Miles SandersM. Sanders PHI,RB13,,20,42,29.4,5.5
28,,Todd GurleyT. Gurley LAR,RB14,,14,57,29.4,6.9
29,,Allen RobinsonA. Robinson CHI,WR12,,21,56,31.0,2.8
Tier 5,
