Rank,WSIT,Rookies (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
67,,Omar BaylessO. Bayless Arkansas State,WR31,,,46,65,59.3,7.8
68,,Aaron FullerA. Fuller Washington,WR32,,,36,64,53.3,12.4
69,,Jeff ThomasJ. Thomas Miami,WR33,,,44,74,60.0,11.5
70,,Darius AndersonD. Anderson TCU,RB21,,,53,75,64.2,9.2
71,,Levante BellamyL. Bellamy W Michigan,RB22,,,52,80,64.6,9.8
72,,Colby ParkinsonC. Parkinson Stanford,TE9,,,49,71,61.5,8.7
73,,Jacob BreelandJ. Breeland Oregon,TE10,,,44,67,58.3,10.2
74,,Cole McDonaldC. McDonald Hawaii,QB9,,,41,55,48.0,7.0

75,,Raymond CalaisR. Calais Louisiana,RB23,,,40,62,51.0,11.0
76,,Tavien FeasterT. Feaster South Carolina,RB24,,,47,72,62.0,10.8
77,,Rico DowdleR. Dowdle South Carolina,RB25,,,38,74,56.0,18.0
78,,Reggie CorbinR. Corbin Illinois,RB26,,,42,78,65.0,16.3
79,,Juwan JohnsonJ. Johnson Oregon,WR34,,,66,78,71.3,5.0
80,,Ty'Son WilliamsT. Williams BYU,RB27,,,74,79,77.0,2.2
81,,Jauan JenningsJ. Jennings Tennessee,WR35,,,77,82,79.5,2.5
