Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
92,,Steven SimsS. Sims WAS,,62,112,91.3,11.5
93,,Phillip DorsettP. Dorsett SEA,,76,110,92.5,8.2
94,,Keke CouteeK. Coutee HOU,,70,144,92.7,12.8
95,,Josh ReynoldsJ. Reynolds LAR,,57,122,95.4,10.6
96,,CeeDee LambC. Lamb FA,,34,116,56.0,24.8
97,,Jerry JeudyJ. Jeudy FA,,36,117,57.1,25.1
98,,Russell GageR. Gage ATL,,75,114,98.3,10.0
99,,Greg WardG. Ward PHI,,78,126,100.3,10.6

100,,Keelan ColeK. Cole JAC,,92,120,100.3,6.2
101,,Demaryius ThomasD. Thomas FA,,83,131,101.9,12.1
102,,Kendrick BourneK. Bourne SF,,85,116,104.6,5.9
103,,Henry Ruggs IIIH. Ruggs FA,,51,120,74.5,20.4
104,,Geronimo AllisonG. Allison DET,,89,128,102.9,7.8
105,,Ted GinnT. Ginn NO,,82,133,106.3,9.3
106,,Tee HigginsT. Higgins FA,,54,118,74.5,20.6
107,,Justin JeffersonJ. Jefferson FA,,37,119,75.7,21.9
108,,Justin WatsonJ. Watson TB,,93,115,105.6,5.9
109,,Dante PettisD. Pettis SF,,78,120,106.0,5.6
110,,Marquise GoodwinM. Goodwin SF,,84,121,110.3,4.9
111,,Zay JonesZ. Jones LV,,83,152,111.8,11.0
112,,KeeSean JohnsonK. Johnson ARI,,80,140,109.7,10.6
113,,Laviska Shenault Jr.L. Shenault FA,,58,121,82.7,17.6
114,,Quincy EnunwaQ. Enunwa NYJ,,82,123,112.0,5.5
115,,Josh GordonJ. Gordon FA,,61,134,111.1,13.1
Tier 10,
116,,Paul Richardson Jr.P. Richardson FA,,100,148,114.6,12.4
117,,Jalen ReagorJ. Reagor FA,,44,122,81.3,24.4
118,,Denzel MimsD. Mims FA,,57,119,83.2,20.7
119,,Michael Pittman Jr.M. Pittman FA,,76,91,86.6,5.6
120,,Brandon AiyukB. Aiyuk FA,,79,96,87.3,6.1
121,,Tyler JohnsonT. Johnson FA,,56,132,91.8,27.2
122,,Hakeem ButlerH. Butler ARI,,81,125,103.4,11.9
123,,Riley RidleyR. Ridley CHI,,86,129,104.6,14.0
124,,Scott MillerS. Miller TB,,82,135,104.8,17.9
125,,Tim PatrickT. Patrick DEN,,91,136,112.0,14.8
126,,Tajae SharpeT. Sharpe MIN,,96,127,112.6,11.5
127,,Allen HurnsA. Hurns MIA,,99,130,115.4,10.7
128,,Olabisi JohnsonO. Johnson MIN,,77,133,118.6,13.5
129,,Donovan Peoples-JonesD. Peoples-Jones FA,,84,118,101.7,13.9
130,,KJ HamlerK. Hamler FA,,93,121,103.7,12.4
131,,Chase ClaypoolC. Claypool FA,,98,117,106.3,7.9
132,,Damiere ByrdD. Byrd NE,,104,189,131.4,29.5
133,,Antonio Gandy-GoldenA. Gandy-Golden FA,,106,109,107.3,1.2
Tier 11,
134,,Cordarrelle PattersonC. Patterson CHI,,108,177,130.4,24.4
135,,Rashard HigginsR. Higgins FA,,108,187,133.8,28.7
136,,Marqise LeeM. Lee JAC,,109,138,124.8,13.4
137,,Bryan EdwardsB. Edwards FA,,93,133,117.7,17.6
138,,Byron PringleB. Pringle KC,,97,151,130.8,15.2
139,,Trey QuinnT. Quinn WAS,,109,201,142.2,30.1
140,,Robert FosterR. Foster BUF,,120,145,131.8,8.4
141,,Jake KumerowJ. Kumerow GB,,111,149,129.3,16.1
142,,Malik TurnerM. Turner SEA,,87,185,136.7,40.0
143,,Deon CainD. Cain PIT,,113,176,137.3,24.9
144,,Jakeem GrantJ. Grant MIA,,115,167,135.8,20.0
145,,Lynn Bowden Jr.L. Bowden FA,,103,128,115.5,12.5
146,,Taywan TaylorT. Taylor CLE,,122,143,132.3,7.9
147,,Chris HoganC. Hogan FA,,123,173,142.5,19.8
148,,Van JeffersonV. Jefferson FA,,113,146,129.5,16.5
149,,Richie JamesR. James SF,,126,169,147.5,21.5
150,,Alex EricksonA. Erickson CIN,,129,146,137.5,8.5
151,,Justin HardyJ. Hardy FA,,136,183,159.5,23.5
