Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,3,2.1,0.3
3,,Michael ThomasM. Thomas NO,WR1,,4,4,4.0,0.0
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,5,4.1,1.0
Tier 2,
5,,Dalvin CookD. Cook MIN,RB4,,2,13,5.7,2.1
6,,DeAndre HopkinsD. Hopkins HOU,WR2,,6,11,7.3,1.6
7,,Tyreek HillT. Hill KC,WR3,,6,12,8.4,2.6
8,,Davante AdamsD. Adams GB,WR4,,6,17,8.9,2.0
9,,Alvin KamaraA. Kamara NO,RB5,,3,16,9.6,3.6
Tier 3,
10,,Julio JonesJ. Jones ATL,WR5,,7,17,10.6,0.9
11,,Chris GodwinC. Godwin TB,WR6,,7,19,13.7,3.2
12,,Mike EvansM. Evans TB,WR7,,10,19,14.0,2.6
13,,Joe MixonJ. Mixon CIN,RB6,,3,23,14.4,4.7
14,,Aaron JonesA. Jones GB,RB7,,8,21,14.7,2.7
15,,Travis KelceT. Kelce KC,TE1,,9,25,15.9,7.9
16,,Leonard FournetteL. Fournette JAC,RB8,,13,21,16.0,2.7
17,,Derrick HenryD. Henry TEN,RB9,,13,26,16.3,4.0
Tier 4,
18,,George KittleG. Kittle SF,TE2,,9,48,18.1,7.9
19,,Nick ChubbN. Chubb CLE,RB10,,14,29,18.6,3.2
20,,Amari CooperA. Cooper DAL,WR8,,17,28,20.0,3.2
21,,Kenny GolladayK. Golladay DET,WR9,,18,30,20.6,2.5
22,,Austin EkelerA. Ekeler LAC,RB11,,8,40,22.6,7.2
23,,Josh JacobsJ. Jacobs OAK,RB12,,21,37,23.9,1.4
24,,D.J. MooreD. Moore CAR,WR10,,19,53,25.0,4.6
25,,Odell Beckham Jr.O. Beckham CLE,WR11,,12,32,25.4,4.8
26,,Todd GurleyT. Gurley LAR,RB13,,16,42,25.6,7.4
Tier 5,
27,,Keenan AllenK. Allen LAC,WR12,,17,32,26.9,3.4
28,,Allen RobinsonA. Robinson CHI,WR13,,24,56,30.9,5.9
29,,Miles SandersM. Sanders PHI,RB14,,21,38,32.9,2.9
