Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,11,1,4,1.8,0.8,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,8,1,9,2.1,1.2,3.0,+1.0
3,,Christian McCaffreyC. McCaffrey CAR,7,1,6,3.0,1.1,2.0,-1.0
4,,Alvin KamaraA. Kamara NO,9,1,6,3.6,1.0,4.0,0.0
Tier 2,
5,,Melvin GordonM. Gordon LAC,12,2,11,6.0,1.2,5.0,0.0
6,,David JohnsonD. Johnson ARI,12,3,17,6.5,2.6,6.0,0.0
7,,Le'Veon BellL. Bell NYJ,4,4,16,8.5,2.4,7.0,0.0
8,,Joe MixonJ. Mixon CIN,9,6,20,9.0,1.9,10.0,+2.0
9,,James ConnerJ. Conner PIT,7,6,19,9.4,2.3,8.0,-1.0
Tier 3,
10,,Todd GurleyT. Gurley LAR,9,1,23,10.5,4.1,9.0,-1.0
11,,Dalvin CookD. Cook MIN,12,7,19,10.7,1.9,11.0,0.0
12,,Nick ChubbN. Chubb CLE,7,5,21,11.7,3.0,12.0,0.0
13,,Leonard FournetteL. Fournette JAC,10,5,23,15.1,2.9,13.0,0.0
14,,Damien WilliamsD. Williams KC,12,6,54,15.3,5.3,14.0,0.0
15,,Aaron JonesA. Jones GB,11,5,27,15.6,3.8,16.0,+1.0
16,,Marlon MackM. Mack IND,6,6,31,16.0,3.3,18.0,+2.0
Tier 4,
17,,Devonta FreemanD. Freeman ATL,9,3,28,17.5,3.7,15.0,-2.0
18,,Kerryon JohnsonK. Johnson DET,5,9,35,19.1,3.7,19.0,+1.0
19,,Derrick HenryD. Henry TEN,11,13,35,20.1,3.6,20.0,+1.0
20,,Josh JacobsJ. Jacobs OAK,6,9,71,21.2,8.0,17.0,-3.0
21,,Phillip LindsayP. Lindsay DEN,10,10,33,22.8,3.5,21.0,0.0
22,,Kenyan DrakeK. Drake MIA,5,10,48,23.3,5.8,25.0,+3.0
23,,Sony MichelS. Michel NE,10,10,39,24.5,4.8,22.0,-1.0
24,,Mark IngramM. Ingram BAL,8,12,41,24.7,4.3,23.0,-1.0
25,,Tarik CohenT. Cohen CHI,6,16,43,24.8,4.1,26.0,+1.0
26,,James WhiteJ. White NE,10,14,41,24.9,4.8,27.0,+1.0
27,,Chris CarsonC. Carson SEA,11,9,40,25.2,4.7,28.0,+1.0
Tier 5,
28,,David MontgomeryD. Montgomery CHI,6,9,72,26.3,10.2,24.0,-4.0
29,,Lamar MillerL. Miller HOU,10,19,53,29.1,3.5,32.0,+3.0
30,,Derrius GuiceD. Guice WAS,10,11,48,31.1,4.8,29.0,-1.0
31,,Tevin ColemanT. Coleman SF,4,21,46,31.2,3.4,30.0,-1.0
32,,Rashaad PennyR. Penny SEA,11,20,48,33.7,4.0,34.0,+2.0
33,,Latavius MurrayL. Murray NO,9,19,52,35.1,6.0,36.0,+3.0
34,,LeSean McCoyL. McCoy BUF,6,26,53,36.6,5.8,37.0,+3.0
Tier 6,
35,,Jerick McKinnonJ. McKinnon SF,4,22,62,38.3,7.4,41.0,+6.0
36,,Royce FreemanR. Freeman DEN,10,25,51,38.6,3.7,40.0,+4.0
37,,Jordan HowardJ. Howard PHI,10,22,63,39.6,6.8,35.0,-2.0
