Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,4,1.8,0.8,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,11,2.2,1.6,3.0,+1.0
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,1,8,3.2,1.3,2.0,-1.0
4,,Alvin KamaraA. Kamara NO,RB4,9,1,6,3.7,1.2,4.0,0.0
5,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,39,6.4,2.0,5.0,0.0
6,,Davante AdamsD. Adams GB,WR2,11,5,16,7.3,2.3,8.0,+2.0
7,,Melvin GordonM. Gordon LAC,RB5,12,2,19,8.3,3.0,6.0,-1.0
8,,Julio JonesJ. Jones ATL,WR3,9,5,29,10.0,3.2,11.0,+3.0
9,,David JohnsonD. Johnson ARI,RB6,12,3,42,10.3,6.9,7.0,-2.0
10,,Michael ThomasM. Thomas NO,WR4,9,9,28,11.2,3.0,10.0,0.0
11,,Travis KelceT. Kelce KC,TE1,12,12,17,12.3,0.9,17.0,+6.0
12,,Odell Beckham Jr.O. Beckham CLE,WR5,7,5,30,13.2,4.9,12.0,0.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,4,40,14.5,5.6,9.0,-4.0
14,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,5,30,16.1,5.6,16.0,+2.0
15,,Joe MixonJ. Mixon CIN,RB8,9,8,51,16.2,5.4,14.0,-1.0
16,,James ConnerJ. Conner PIT,RB9,7,8,46,16.7,5.9,13.0,-3.0
Tier 2,
17,,Dalvin CookD. Cook MIN,RB10,12,11,46,19.3,5.2,20.0,+3.0
18,,Todd GurleyT. Gurley LAR,RB11,9,1,59,19.5,11.4,15.0,-3.0
19,,Antonio BrownA. Brown OAK,WR7,6,10,29,19.8,4.1,18.0,-1.0
20,,George KittleG. Kittle SF,TE2,4,15,63,20.2,5.9,28.0,+8.0
21,,Nick ChubbN. Chubb CLE,RB12,7,6,52,21.9,8.1,21.0,0.0
22,,Zach ErtzZ. Ertz PHI,TE3,10,15,53,22.1,10.7,24.0,+2.0
23,,Mike EvansM. Evans TB,WR8,7,13,34,23.2,4.3,19.0,-4.0
24,,Keenan AllenK. Allen LAC,WR9,12,16,74,27.4,3.1,22.0,-2.0
25,,T.Y. HiltonT. Hilton IND,WR10,6,7,36,27.9,3.1,26.0,+1.0
26,,A.J. GreenA. Green CIN,WR11,9,20,58,29.3,4.8,33.0,+7.0
27,,Amari CooperA. Cooper DAL,WR12,8,9,41,29.4,3.5,29.0,+2.0
Tier 4,
28,,Adam ThielenA. Thielen MIN,WR13,12,20,75,31.6,3.6,25.0,-3.0
29,,Stefon DiggsS. Diggs MIN,WR14,12,25,39,31.8,2.9,31.0,+2.0
30,,Leonard FournetteL. Fournette JAC,RB13,10,5,57,32.4,9.9,27.0,-3.0
31,,Aaron JonesA. Jones GB,RB14,11,6,71,34.3,13.1,34.0,+3.0
32,,Patrick MahomesP. Mahomes KC,QB1,12,24,87,34.4,12.1,23.0,-9.0
33,,Damien WilliamsD. Williams KC,RB15,12,8,163,35.0,18.6,30.0,-3.0
34,,Brandin CooksB. Cooks LAR,WR15,9,29,81,35.5,2.5,39.0,+5.0
35,,Robert WoodsR. Woods LAR,WR16,9,25,49,36.0,3.0,41.0,+6.0
36,,Marlon MackM. Mack IND,RB16,6,8,84,36.4,11.3,36.0,0.0
37,,Julian EdelmanJ. Edelman NE,WR17,10,20,96,36.6,6.6,40.0,+3.0
38,,Kenny GolladayK. Golladay DET,WR18,5,28,90,39.5,7.8,42.0,+4.0
39,,Devonta FreemanD. Freeman ATL,RB17,9,3,79,41.7,12.3,32.0,-7.0
40,,Cooper KuppC. Kupp LAR,WR19,9,34,86,42.2,7.0,47.0,+7.0
41,,Chris GodwinC. Godwin TB,WR20,7,28,97,46.1,12.1,51.0,+10.0
42,,Tyler LockettT. Lockett SEA,WR21,11,32,90,47.2,10.3,52.0,+10.0
43,,Alshon JefferyA. Jeffery PHI,WR22,10,33,73,47.2,9.2,68.0,+25.0
44,,Kerryon JohnsonK. Johnson DET,RB18,5,17,112,47.3,13.5,37.0,-7.0
45,,Andrew LuckA. Luck IND,QB2,6,24,82,47.8,10.7,45.0,0.0
46,,Deshaun WatsonD. Watson HOU,QB3,10,24,68,49.5,9.7,50.0,+4.0
47,,Derrick HenryD. Henry TEN,RB19,11,27,98,49.6,11.2,38.0,-9.0
48,,Aaron RodgersA. Rodgers GB,QB4,11,24,77,50.8,8.1,53.0,+5.0
49,,D.J. MooreD. Moore CAR,WR23,7,34,90,51.3,9.5,61.0,+12.0
50,,Allen RobinsonA. Robinson CHI,WR24,6,34,99,51.8,13.4,72.0,+22.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
Tier 5,
51,,Calvin RidleyC. Ridley ATL,WR25,9,37,79,53.9,8.4,55.0,+4.0
52,,Sammy WatkinsS. Watkins KC,WR26,12,30,102,54.4,13.2,60.0,+8.0
53,,Phillip LindsayP. Lindsay DEN,RB20,10,18,89,56.2,12.0,43.0,-10.0
54,,Jarvis LandryJ. Landry CLE,WR27,7,32,113,57.0,13.4,63.0,+9.0
55,,O.J. HowardO. Howard TB,TE4,7,15,136,57.4,9.7,59.0,+4.0
56,,Kenyan DrakeK. Drake MIA,RB21,5,18,143,59.6,18.8,54.0,-2.0
57,,Sony MichelS. Michel NE,RB22,10,18,112,61.2,15.7,44.0,-13.0
58,,Tyler BoydT. Boyd CIN,WR28,9,39,102,61.6,11.9,65.0,+7.0
59,,Josh JacobsJ. Jacobs OAK,RB23,6,17,243,56.8,36.0,35.0,-24.0
60,,Tarik CohenT. Cohen CHI,RB24,6,34,123,62.7,13.7,58.0,-2.0
61,,Mark IngramM. Ingram BAL,RB25,8,21,119,63.0,14.6,46.0,-15.0
62,,James WhiteJ. White NE,RB26,10,27,119,63.4,15.4,57.0,-5.0
63,,Hunter HenryH. Henry LAC,TE5,12,15,94,63.9,11.4,66.0,+3.0
64,,Chris CarsonC. Carson SEA,RB27,11,17,115,64.4,15.5,56.0,-8.0
65,,Mike WilliamsM. Williams LAC,WR29,12,37,90,65.8,11.2,67.0,+2.0
66,,Robby AndersonR. Anderson NYJ,WR30,4,37,111,66.3,13.3,76.0,+10.0
67,,Corey DavisC. Davis TEN,WR31,11,36,138,66.8,16.0,82.0,+15.0
68,,Baker MayfieldB. Mayfield CLE,QB5,7,24,131,67.1,13.8,69.0,+1.0
69,,Evan EngramE. Engram NYG,TE6,11,22,108,70.1,12.9,62.0,-7.0
Tier 6,
70,,Matt RyanM. Ryan ATL,QB6,9,52,120,73.9,14.6,70.0,0.0
71,,Marvin JonesM. Jones DET,WR32,5,48,111,76.1,10.2,95.0,+24.0
72,,Lamar MillerL. Miller HOU,RB28,10,46,161,76.6,12.2,73.0,+1.0
73,,David MontgomeryD. Montgomery CHI,RB29,6,17,272,72.1,44.5,49.0,-24.0
74,,Will FullerW. Fuller HOU,WR33,10,43,169,77.4,11.2,81.0,+7.0
75,,Russell WilsonR. Wilson SEA,QB7,11,24,169,78.0,17.8,83.0,+8.0
76,,Dante PettisD. Pettis SF,WR34,4,49,184,78.5,15.8,80.0,+4.0
77,,Sterling ShepardS. Shepard NYG,WR35,11,48,148,81.8,13.4,85.0,+8.0
78,,Eric EbronE. Ebron IND,TE7,6,22,153,81.9,14.9,75.0,-3.0
79,,Golden TateG. Tate NYG,WR36,11,41,138,82.1,15.4,98.0,+19.0
80,,Derrius GuiceD. Guice WAS,RB30,10,19,143,82.6,15.7,64.0,-16.0
81,,Jared CookJ. Cook NO,TE8,9,47,142,83.9,16.7,77.0,-4.0
82,,Christian KirkC. Kirk ARI,WR37,12,50,151,84.0,13.7,88.0,+6.0
83,,Cam NewtonC. Newton CAR,QB8,7,50,154,85.3,15.5,91.0,+8.0
84,,Tevin ColemanT. Coleman SF,RB31,4,55,132,85.6,12.2,71.0,-13.0
85,,Drew BreesD. Brees NO,QB9,9,54,162,87.3,18.2,87.0,+2.0
86,,David NjokuD. Njoku CLE,TE9,7,15,139,89.3,17.6,89.0,+3.0
87,,Carson WentzC. Wentz PHI,QB10,10,50,157,90.6,18.0,86.0,-1.0
88,,Courtland SuttonC. Sutton DEN,WR38,10,48,128,90.9,12.5,104.0,+16.0
89,,Rashaad PennyR. Penny SEA,RB32,11,51,143,92.4,14.9,79.0,-10.0
90,,Dede WestbrookD. Westbrook JAC,WR39,10,39,156,93.5,18.6,105.0,+15.0
91,,Larry FitzgeraldL. Fitzgerald ARI,WR40,12,48,208,96.5,21.1,97.0,+6.0
92,,Latavius MurrayL. Murray NO,RB33,9,40,156,96.8,19.7,92.0,0.0
93,,Keke CouteeK. Coutee HOU,WR41,10,62,166,96.8,20.4,113.0,+20.0
94,,Jameis WinstonJ. Winston TB,QB11,7,47,125,97.5,13.8,114.0,+20.0
95,,Curtis SamuelC. Samuel CAR,WR42,7,45,173,97.9,15.3,118.0,+23.0
96,,LeSean McCoyL. McCoy BUF,RB34,6,66,168,101.3,19.4,96.0,0.0
97,,Jared GoffJ. Goff LAR,QB12,9,68,155,102.2,12.2,101.0,+4.0
Tier 7,
98,,Jerick McKinnonJ. McKinnon SF,RB35,4,57,190,105.7,26.0,107.0,+9.0
99,,Vance McDonaldV. McDonald PIT,TE10,7,69,191,108.2,22.8,93.0,-6.0
100,,Anthony MillerA. Miller CHI,WR43,6,74,220,108.9,21.4,146.0,+46.0
101,,Royce FreemanR. Freeman DEN,RB36,10,61,149,109.5,12.1,103.0,+2.0
102,,Geronimo AllisonG. Allison GB,WR44,11,58,189,110.7,20.2,116.0,+14.0
103,,Jordan HowardJ. Howard PHI,RB37,10,57,193,111.6,24.7,84.0,-19.0
104,,Austin HooperA. Hooper ATL,TE11,9,63,161,112.2,21.2,109.0,+5.0
105,,Ben RoethlisbergerB. Roethlisberger PIT,QB13,7,77,161,113.2,15.4,106.0,+1.0
106,,Delanie WalkerD. Walker TEN,TE12,11,69,258,114.6,23.7,127.0,+21.0
107,,Dak PrescottD. Prescott DAL,QB14,8,54,156,114.6,16.5,110.0,+3.0
108,,Dion LewisD. Lewis TEN,RB38,11,76,182,115.9,21.1,133.0,+25.0
109,,Kyler MurrayK. Murray ARI,QB15,12,56,202,116.0,30.0,100.0,-9.0
110,,Ronald Jones IIR. Jones TB,RB39,7,52,235,116.4,26.6,99.0,-11.0
111,,Philip RiversP. Rivers LAC,QB16,12,68,168,117.1,16.5,121.0,+10.0
112,,Trey BurtonT. Burton CHI,TE13,6,63,178,119.9,15.2,141.0,+29.0
113,,Nyheim HinesN. Hines IND,RB40,6,60,245,120.2,20.9,120.0,+7.0
114,,Lamar JacksonL. Jackson BAL,QB17,8,68,178,122.7,22.2,136.0,+22.0
115,,Michael GallupM. Gallup DAL,WR45,8,86,226,123.4,29.6,155.0,+40.0
116,,Austin EkelerA. Ekeler LAC,RB41,12,85,185,124.1,18.1,108.0,-8.0
117,,Miles SandersM. Sanders PHI,RB42,10,40,316,111.2,52.6,74.0,-43.0
118,,Jack DoyleJ. Doyle IND,TE14,6,69,258,125.7,27.0,164.0,+46.0
119,,N'Keal HarryN. Harry NE,WR46,10,33,270,116.9,42.6,102.0,-17.0
120,,DeSean JacksonD. Jackson PHI,WR47,10,90,231,127.0,27.1,130.0,+10.0
121,,Chris Herndon IVC. Herndon NYJ,TE15,4,69,178,129.4,16.8,147.0,+26.0
122,,Mitch TrubiskyM. Trubisky CHI,QB18,6,56,171,130.3,16.1,132.0,+10.0
123,,Matt BreidaM. Breida SF,RB43,4,61,199,132.2,25.5,158.0,+35.0
124,,DaeSean HamiltonD. Hamilton DEN,WR48,10,65,198,132.7,32.0,165.0,+41.0
125,,Emmanuel SandersE. Sanders DEN,WR49,10,75,210,133.2,33.5,115.0,-10.0
126,,Josh AllenJ. Allen BUF,QB19,6,91,196,135.8,19.1,148.0,+22.0
127,,Devin FunchessD. Funchess IND,WR50,6,79,229,136.6,31.9,152.0,+25.0
128,,Ito SmithI. Smith ATL,RB44,9,83,261,136.8,21.8,138.0,+10.0
129,,Kirk CousinsK. Cousins MIN,QB20,12,103,200,137.1,20.0,129.0,0.0
130,,Jordan ReedJ. Reed WAS,TE16,10,105,232,137.9,13.4,168.0,+38.0
Tier 8,
131,,Kenny StillsK. Stills MIA,WR51,5,65,254,139.2,26.2,183.0,+52.0
132,,Darrell HendersonD. Henderson LAR,RB45,9,31,378,126.8,61.9,78.0,-54.0
133,,John BrownJ. Brown BUF,WR52,6,48,206,139.9,21.9,221.0,+88.0
134,,James WashingtonJ. Washington PIT,WR53,7,65,268,140.5,41.0,112.0,-22.0
135,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR54,11,62,225,141.5,29.8,137.0,+2.0
136,,Robert FosterR. Foster BUF,WR55,6,74,263,141.6,33.2,205.0,+69.0
137,,D'Onta ForemanD. Foreman HOU,RB46,10,89,265,142.3,26.1,117.0,-20.0
138,,Duke JohnsonD. Johnson CLE,RB47,7,93,235,143.5,19.6,201.0,+63.0
139,,Greg OlsenG. Olsen CAR,TE17,7,94,258,144.1,21.7,154.0,+15.0
140,,Tom BradyT. Brady NE,QB21,10,87,178,144.2,17.0,123.0,-17.0
141,,Kyle RudolphK. Rudolph MIN,TE18,12,106,209,145.2,17.5,140.0,-1.0
142,,Tyreek HillT. Hill KC,WR56,12,5,285,116.2,75.6,48.0,-94.0
143,,Jimmy GrahamJ. Graham GB,TE19,11,104,258,147.8,26.7,150.0,+7.0
144,,Jimmy GaroppoloJ. Garoppolo SF,QB22,4,91,178,147.8,17.1,145.0,+1.0
145,,Carlos HydeC. Hyde KC,RB48,12,83,296,150.3,31.6,125.0,-20.0
146,,Jamison CrowderJ. Crowder NYJ,WR57,4,99,223,146.7,25.9,207.0,+61.0
147,,Adrian PetersonA. Peterson WAS,RB49,10,89,259,153.8,34.0,144.0,-3.0
148,,Kareem HuntK. Hunt CLE,RB50,7,85,237,155.2,32.4,94.0,-54.0
149,,Peyton BarberP. Barber TB,RB51,7,83,272,156.4,40.8,124.0,-25.0
150,,Tyrell WilliamsT. Williams OAK,WR58,6,67,241,157.5,36.7,149.0,-1.0
151,,Donte MoncriefD. Moncrief PIT,WR59,7,64,241,158.1,35.7,160.0,+9.0
152,,D.K. MetcalfD. Metcalf SEA,WR60,11,38,296,154.3,43.7,111.0,-41.0
153,,Marquise GoodwinM. Goodwin SF,WR61,4,101,261,164.0,41.3,204.0,+51.0
154,,Chris ThompsonC. Thompson WAS,RB52,10,101,256,163.1,25.3,206.0,+52.0
155,,Adam HumphriesA. Humphries TEN,WR62,11,97,240,163.3,38.3,210.0,+55.0
156,,Matthew StaffordM. Stafford DET,QB23,5,114,202,164.8,15.5,174.0,+18.0
157,,Kalen BallageK. Ballage MIA,RB53,5,107,238,171.3,25.1,163.0,+6.0
158,,Sam DarnoldS. Darnold NYJ,QB24,4,113,254,168.0,19.5,172.0,+14.0
159,,Devante ParkerD. Parker MIA,WR63,5,65,219,172.2,27.9,182.0,+23.0
160,,Derek CarrD. Carr OAK,QB25,6,114,253,174.3,21.8,176.0,+16.0
161,,Jamaal WilliamsJ. Williams GB,RB54,11,110,243,174.4,25.5,185.0,+24.0
162,,Chicago (CHI)CHI DST,DST1,6,138,246,143.7,19.6,90.0,-72.0
163,,Mark AndrewsM. Andrews BAL,TE20,8,108,303,177.1,41.9,212.0,+49.0
164,,Dallas GoedertD. Goedert PHI,TE21,10,121,273,170.3,30.0,197.0,+33.0
165,,Mohamed SanuM. Sanu ATL,WR64,9,107,265,177.6,29.3,209.0,+44.0
Tier 9,
166,,Quincy EnunwaQ. Enunwa NYJ,WR65,4,109,247,180.4,28.1,273.0,+107.0
167,,T.J. HockensonT. Hockenson DET,TE22,5,92,319,166.2,42.1,134.0,-33.0
168,,C.J. AndersonC. Anderson DET,RB55,5,132,257,178.3,26.1,190.0,+22.0
169,,Albert WilsonA. Wilson MIA,WR66,5,79,263,178.4,34.9,226.0,+57.0
170,,Andy DaltonA. Dalton CIN,QB26,9,131,241,179.4,19.5,214.0,+44.0
171,,Mecole HardmanM. Hardman KC,WR67,12,64,313,169.6,45.2,119.0,-52.0
172,,Marqise LeeM. Lee JAC,WR68,10,99,285,185.9,30.4,240.0,+68.0
173,,Jaylen SamuelsJ. Samuels PIT,RB56,7,66,309,168.0,38.0,128.0,-45.0
174,,Parris CampbellP. Campbell IND,WR69,6,67,333,177.0,44.4,135.0,-39.0
175,,Mike GesickiM. Gesicki MIA,TE23,5,121,335,184.3,38.1,230.0,+55.0
176,,Jacksonville (JAC)JAC DST,DST2,10,144,247,153.8,16.9,131.0,-45.0
177,,Tre'Quan SmithT. Smith NO,WR70,9,99,247,188.6,28.3,180.0,+3.0
178,,Noah FantN. Fant DEN,TE24,10,78,305,179.8,44.6,159.0,-19.0
179,,Los Angeles (LAR)LAR DST,DST3,9,145,255,161.0,19.1,122.0,-57.0
180,,Damien HarrisD. Harris NE,RB57,10,51,381,181.3,62.2,139.0,-41.0
181,,Marcus MariotaM. Mariota TEN,QB27,11,125,254,193.5,20.8,219.0,+38.0
182,,Mike DavisM. Davis CHI,RB58,6,89,283,190.7,33.2,202.0,+20.0
183,,Baltimore (BAL)BAL DST,DST4,8,143,249,165.2,24.5,156.0,-27.0
184,,Minnesota (MIN)MIN DST,DST5,12,152,254,165.5,16.9,151.0,-33.0
185,,Taylor GabrielT. Gabriel CHI,WR71,6,147,285,195.3,22.1,280.0,+95.0
186,,Rex BurkheadR. Burkhead NE,RB59,10,115,316,182.3,38.4,256.0,+70.0
187,,Jalen RichardJ. Richard OAK,RB60,6,89,284,186.8,39.1,213.0,+26.0
188,,David MooreD. Moore SEA,WR72,11,124,263,201.5,28.8,272.0,+84.0
189,,Elijah McGuireE. McGuire NYJ,RB61,4,98,280,189.1,38.0,271.0,+82.0
190,,Zay JonesZ. Jones BUF,WR73,6,90,286,199.3,35.2,238.0,+48.0
191,,Antonio CallawayA. Callaway CLE,WR74,7,111,293,197.0,31.8,239.0,+48.0
192,,Los Angeles (LAC)LAC DST,DST6,12,145,256,168.1,18.6,142.0,-50.0
193,,Houston (HOU)HOU DST,DST7,10,152,279,173.3,22.6,162.0,-31.0
194,,Giovani BernardG. Bernard CIN,RB62,9,120,310,192.1,31.3,203.0,+9.0
195,,Greg ZuerleinG. Zuerlein LAR,K1,9,169,247,174.1,12.8,126.0,-69.0
196,,Nick FolesN. Foles JAC,QB28,10,153,328,206.4,28.0,215.0,+19.0
197,,Kenneth DixonK. Dixon BAL,RB63,8,93,344,191.6,54.5,298.0,+101.0
198,,Gerald EverettG. Everett LAR,TE25,9,135,267,199.0,31.8,282.0,+84.0
199,,Devin SingletaryD. Singletary BUF,RB64,6,119,324,199.9,47.1,157.0,-42.0
200,,Deebo SamuelD. Samuel SF,WR75,4,88,343,193.6,48.6,178.0,-22.0
201,,Cleveland (CLE)CLE DST,DST8,7,152,257,185.9,20.3,173.0,-28.0
202,,A.J. BrownA. Brown TEN,WR76,11,74,304,199.1,35.1,224.0,+22.0
203,,Justin TuckerJ. Tucker BAL,K2,8,170,252,184.9,15.2,143.0,-60.0
204,,Marquise BrownM. Brown BAL,WR77,8,64,340,200.0,51.4,167.0,-37.0
205,,Randall CobbR. Cobb DAL,WR78,8,148,286,213.5,25.5,200.0,-5.0
206,,Tyler EifertT. Eifert CIN,TE26,9,133,293,211.4,38.4,220.0,+14.0
207,,Harrison ButkerH. Butker KC,K3,12,179,262,187.6,12.4,153.0,-54.0
208,,Stephen GostkowskiS. Gostkowski NE,K4,10,171,261,192.4,13.3,171.0,-37.0
209,,New Orleans (NO)NO DST,DST9,9,152,258,193.5,17.2,177.0,-32.0
210,,Gus EdwardsG. Edwards BAL,RB65,8,112,359,208.8,47.9,235.0,+25.0
211,,John RossJ. Ross CIN,WR79,9,99,346,209.9,34.1,286.0,+75.0
212,,Justice HillJ. Hill BAL,RB66,8,27,393,208.2,68.0,166.0,-46.0
213,,Theo RiddickT. Riddick DET,RB67,5,126,337,215.7,41.5,255.0,+42.0
Tier 10,
214,,Denver (DEN)DEN DST,DST10,10,165,250,201.5,14.9,169.0,-45.0
215,,Nelson AgholorN. Agholor PHI,WR80,10,128,297,220.8,21.8,248.0,+33.0
216,,Wil LutzW. Lutz NO,K5,9,183,263,204.6,12.6,161.0,-55.0
217,,Andy IsabellaA. Isabella ARI,WR81,12,99,346,214.6,49.5,187.0,-30.0
218,,Chase EdmondsC. Edmonds ARI,RB68,12,126,283,222.7,34.5,258.0,+40.0
219,,T.J. YeldonT. Yeldon BUF,RB69,6,118,331,216.5,40.9,254.0,+35.0
220,,Josh DoctsonJ. Doctson WAS,WR82,10,128,333,226.1,26.4,287.0,+67.0
221,,Buffalo (BUF)BUF DST,DST11,6,164,314,213.9,22.0,186.0,-35.0
222,,Ted GinnT. Ginn NO,WR83,9,122,350,231.3,32.8,245.0,+23.0
223,,Dallas (DAL)DAL DST,DST12,8,159,307,214.7,18.4,181.0,-42.0
224,,New England (NE)NE DST,DST13,10,165,234,211.8,10.8,179.0,-45.0
225,,Frank GoreF. Gore BUF,RB70,6,144,325,226.4,36.9,269.0,+44.0
226,,Cameron BrateC. Brate TB,TE27,7,163,342,233.7,32.7,285.0,+59.0
227,,Paul RichardsonP. Richardson WAS,WR84,10,148,328,230.0,31.8,309.0,+82.0
228,,D.J. CharkD. Chark JAC,WR85,10,79,271,233.1,24.2,281.0,+53.0
229,,Mason CrosbyM. Crosby GB,K6,11,212,264,221.1,9.8,195.0,-34.0
230,,Jake ElliottJ. Elliott PHI,K7,10,204,268,225.6,8.3,194.0,-36.0
231,,Seattle (SEA)SEA DST,DST14,11,176,278,225.8,14.2,223.0,-8.0
232,,Ka'imi FairbairnK. Fairbairn HOU,K8,10,182,287,216.7,18.8,175.0,-57.0
233,,Hayden HurstH. Hurst BAL,TE28,8,163,325,241.4,29.7,279.0,+46.0
234,,Philadelphia (PHI)PHI DST,DST15,10,152,266,227.1,14.8,188.0,-46.0
235,,Trey QuinnT. Quinn WAS,WR86,10,107,379,223.9,55.1,261.0,+26.0
236,,Equanimeous St. BrownE. St. GB,WR87,11,138,304,233.2,30.8,291.0,+55.0
237,,Pittsburgh (PIT)PIT DST,DST16,7,166,307,236.2,23.4,222.0,-15.0
238,,Brett MaherB. Maher DAL,K9,8,215,281,230.6,13.2,199.0,-39.0
239,,Joe FlaccoJ. Flacco DEN,QB29,10,178,336,252.6,34.1,231.0,-8.0
240,,Matt PraterM. Prater DET,K10,5,204,309,231.3,16.4,192.0,-48.0
241,,Ricky Seals-JonesR. Seals-Jones ARI,TE29,12,127,345,243.3,30.1,295.0,+54.0
242,,Tennessee (TEN)TEN DST,DST17,11,207,303,231.0,16.7,233.0,-9.0
243,,Willie SneadW. Snead BAL,WR88,8,137,289,240.2,28.8,305.0,+62.0
244,,Robbie GouldR. Gould SF,K11,4,212,288,234.6,12.8,184.0,-60.0
245,,Eli ManningE. Manning NYG,QB30,11,180,326,251.6,22.9,242.0,-3.0
246,,Malcolm BrownM. Brown LAR,RB71,9,143,388,241.1,42.5,229.0,-17.0
247,,Josh ReynoldsJ. Reynolds LAR,WR89,9,196,384,245.6,31.6,383.0,+136.0
248,,Indianapolis (IND)IND DST,DST18,6,159,307,244.2,25.6,191.0,-57.0
249,,Michael BadgleyM. Badgley LAC,K12,12,215,288,238.6,14.2,196.0,-53.0
250,,Kansas City (KC)KC DST,DST19,12,159,329,248.6,31.6,211.0,-39.0
251,,Ian ThomasI. Thomas CAR,TE30,7,172,360,252.3,33.1,270.0,+19.0
252,,Adam VinatieriA. Vinatieri IND,K13,6,204,253,242.4,10.8,193.0,-59.0
253,,Dwayne HaskinsD. Haskins WAS,QB31,10,156,385,261.1,47.3,216.0,-37.0
254,,Josh RosenJ. Rosen MIA,QB32,5,182,334,262.6,29.9,259.0,+5.0
255,,Demaryius ThomasD. Thomas NE,WR90,10,39,373,242.0,43.3,198.0,-57.0
256,,Alexander MattisonA. Mattison MIN,RB72,12,120,364,229.5,56.1,170.0,-86.0
257,,Justin JacksonJ. Jackson LAC,RB73,12,182,329,251.4,29.3,276.0,+19.0
258,,Danny AmendolaD. Amendola DET,WR91,5,155,343,255.0,34.1,265.0,+7.0
259,,Ryquell ArmsteadR. Armstead JAC,RB74,10,125,365,234.7,58.4,217.0,-42.0
260,,Cole BeasleyC. Beasley BUF,WR92,6,147,326,255.6,32.3,249.0,-11.0
261,,Doug MartinD. Martin OAK,RB75,6,143,353,248.6,44.3,299.0,+38.0
262,,Jason WittenJ. Witten DAL,TE31,8,92,325,235.8,48.7,225.0,-37.0
263,,Jason MyersJ. Myers SEA,K14,11,200,292,254.8,15.4,228.0,-35.0
