Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
92,,Dontrell HilliardD. Hilliard CLE,,76,113,91.3,6.9
93,,Jeff WilsonJ. Wilson SF,,82,122,94.8,7.6
94,,Reggie BonnafonR. Bonnafon CAR,,74,106,95.3,4.5
Tier 9,
95,,Corey ClementC. Clement PHI,,75,103,96.3,2.4
96,,Kyle JuszczykK. Juszczyk SF,,78,94,91.0,3.4
97,,C.J. AndersonC. Anderson FA,,64,101,96.1,4.2
98,,Kerrith Whyte Jr.K. Whyte PIT,,85,126,101.6,6.8
99,,Devontae BookerD. Booker DEN,,77,134,101.9,11.6
100,,Trayveon WilliamsT. Williams CIN,,88,123,100.3,6.6
Tier 10,
101,,Jonathan WilliamsJ. Williams IND,,76,86,82.0,4.3
102,,Spencer WareS. Ware KC,,90,128,104.3,14.3
103,,Rodney AndersonR. Anderson CIN,,77,82,79.5,2.5
104,,Isaiah CrowellI. Crowell OAK,,80,84,82.0,2.0
105,,Wendell SmallwoodW. Smallwood WAS,,94,109,103.7,6.8
106,,Ameer AbdullahA. Abdullah MIN,,95,118,106.0,9.4
107,,C.J. ProsiseC. Prosise SEA,,86,100,93.0,7.0
108,,Theo RiddickT. Riddick DEN,,90,99,94.5,4.5
109,,J.D. McKissicJ. McKissic DET,,77,117,97.0,20.0
110,,Jordan ScarlettJ. Scarlett CAR,,87,138,115.3,21.2
111,,Brandon BoldenB. Bolden NE,,83,132,107.5,24.5
112,,Josh AdamsJ. Adams NYJ,,100,131,120.3,14.4
113,,Javorius AllenJ. Allen NYG,,88,131,109.5,21.5
114,,John KellyJ. Kelly LAR,,96,135,115.5,19.5
115,,Trey EdmundsT. Edmunds PIT,,107,135,121.0,14.0
116,,Dalyn DawkinsD. Dawkins TEN,,110,141,125.5,15.5
Tier 11,
117,,Dwayne WashingtonD. Washington NO,,123,133,128.0,5.0
118,,Kenjon BarnerK. Barner ATL,,119,142,130.5,11.5
119,,Troymaine PopeT. Pope LAC,,127,140,133.5,6.5
120,,T.J. LoganT. Logan TB,,134,137,135.5,1.5
121,,Tyler ErvinT. Ervin GB,,138,139,138.5,0.5
