Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
69,,Zay JonesZ. Jones BUF,6,44,95,72.0,9.1,70.0,+1.0
70,,D.K. MetcalfD. Metcalf SEA,11,41,105,69.0,14.9,44.0,-26.0
71,,John RossJ. Ross CIN,9,54,89,69.3,8.5,87.0,+16.0
72,,Antonio CallawayA. Callaway CLE,7,51,89,69.1,8.7,74.0,+2.0
73,,Mecole HardmanM. Hardman KC,12,26,91,63.6,13.2,54.0,-19.0
74,,Randall CobbR. Cobb DAL,8,28,98,75.9,9.7,88.0,+14.0
75,,David MooreD. Moore SEA,11,51,91,76.9,7.4,102.0,+27.0
76,,Deebo SamuelD. Samuel SF,4,46,112,71.5,15.3,57.0,-19.0
77,,Demaryius ThomasD. Thomas NE,10,18,120,79.5,15.3,71.0,-6.0
78,,A.J. BrownA. Brown TEN,11,52,104,72.7,11.7,58.0,-20.0
79,,Nelson AgholorN. Agholor PHI,10,41,110,79.9,9.4,77.0,-2.0
80,,Marquise BrownM. Brown BAL,8,48,116,73.4,15.7,62.0,-18.0
81,,Doug BaldwinD. Baldwin FA,,13,148,56.3,28.8,46.0,-35.0
82,,Equanimeous St. BrownE. St. GB,11,49,113,81.7,10.8,106.0,+24.0
83,,Ted GinnT. Ginn NO,9,64,125,86.1,10.7,86.0,+3.0
84,,Josh DoctsonJ. Doctson WAS,10,62,103,83.1,7.9,95.0,+11.0
85,,Taywan TaylorT. Taylor TEN,11,70,111,84.4,10.1,113.0,+28.0
86,,Josh ReynoldsJ. Reynolds LAR,9,71,106,82.5,7.7,108.0,+22.0
87,,D.J. CharkD. Chark JAC,10,54,97,84.4,6.8,100.0,+13.0
88,,Tyreek HillT. Hill KC,12,8,98,57.8,29.2,18.0,-70.0
89,,Paul RichardsonP. Richardson WAS,10,65,99,87.1,6.3,101.0,+12.0
Tier 9,
90,,Willie SneadW. Snead BAL,8,71,100,87.7,7.8,90.0,0.0
91,,Danny AmendolaD. Amendola DET,5,61,114,92.7,12.3,109.0,+18.0
92,,Andy IsabellaA. Isabella ARI,12,40,116,79.9,16.6,67.0,-25.0
93,,Keelan ColeK. Cole JAC,10,48,116,93.9,7.3,91.0,-2.0
94,,Cole BeasleyC. Beasley BUF,6,58,114,95.2,9.9,96.0,+2.0
95,,Chris ConleyC. Conley JAC,10,74,106,94.2,5.9,133.0,+38.0
96,,Chris HoganC. Hogan CAR,7,26,107,95.4,6.4,104.0,+8.0
97,,Trey QuinnT. Quinn WAS,10,49,104,85.8,13.5,93.0,-4.0
98,,Hakeem ButlerH. Butler ARI,12,58,108,86.1,12.2,59.0,-39.0
99,,Phillip DorsettP. Dorsett NE,10,58,122,96.1,12.8,92.0,-7.0
100,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,10,53,122,89.8,14.0,82.0,-18.0
101,,Rashard HigginsR. Higgins CLE,7,87,130,101.4,8.5,115.0,+14.0
102,,Cameron MeredithC. Meredith NO,9,54,111,102.5,4.8,155.0,+53.0
103,,Ryan GrantR. Grant OAK,6,74,118,100.2,7.6,,
104,,Michael CrabtreeM. Crabtree FA,,24,143,96.7,16.1,105.0,+1.0
105,,Cordarrelle PattersonC. Patterson CHI,6,69,133,101.0,10.9,124.0,+19.0
106,,Breshad PerrimanB. Perriman TB,7,75,127,104.5,10.3,135.0,+29.0
107,,Jake KumerowJ. Kumerow GB,11,77,148,107.8,13.8,123.0,+16.0
108,,Deon CainD. Cain IND,6,94,116,105.1,6.0,94.0,-14.0
109,,Keith KirkwoodK. Kirkwood NO,9,91,127,111.5,8.1,121.0,+12.0
110,,J'Mon MooreJ. Moore GB,11,91,158,111.5,13.8,160.0,+50.0
Tier 10,
111,,Chester RogersC. Rogers IND,6,86,128,112.1,7.3,112.0,+1.0
112,,Kendrick BourneK. Bourne SF,4,84,128,108.5,10.8,119.0,+7.0
113,,Trent TaylorT. Taylor SF,4,95,129,113.1,8.3,127.0,+14.0
114,,Jordan MatthewsJ. Matthews SF,4,84,126,115.6,5.8,130.0,+16.0
115,,Kelvin BenjaminK. Benjamin FA,,53,150,111.8,17.7,154.0,+39.0
116,,Jermaine KearseJ. Kearse FA,,69,151,117.8,13.7,,
117,,Laquon TreadwellL. Treadwell MIN,12,101,156,117.9,15.2,138.0,+21.0
118,,Pierre GarconP. Garcon FA,,35,152,111.3,17.3,,
119,,Demarcus RobinsonD. Robinson KC,12,58,145,106.1,24.3,89.0,-30.0
120,,Dez BryantD. Bryant FA,,83,149,106.1,20.0,157.0,+37.0
121,,Rishard MatthewsR. Matthews FA,,46,147,120.3,13.1,,
122,,Tim PatrickT. Patrick DEN,10,69,152,110.6,19.4,143.0,+21.0
123,,Bruce EllingtonB. Ellington FA,,85,145,118.2,13.1,148.0,+25.0
124,,Diontae JohnsonD. Johnson PIT,7,65,133,105.5,22.1,84.0,-40.0
125,,Justin WatsonJ. Watson TB,7,83,144,114.3,18.5,118.0,-7.0
126,,Allen HurnsA. Hurns DAL,8,42,158,120.7,15.2,147.0,+21.0
127,,Ryan SwitzerR. Switzer PIT,7,43,149,120.7,15.2,145.0,+18.0
128,,Corey ColemanC. Coleman NYG,11,107,160,127.0,14.9,146.0,+18.0
129,,Terry McLaurinT. McLaurin WAS,10,76,126,105.2,17.6,103.0,-26.0
Tier 11,
130,,Josh GordonJ. Gordon FA,,22,99,71.7,35.2,79.0,-51.0
131,,Jaron BrownJ. Brown SEA,11,96,136,123.7,10.7,128.0,-3.0
132,,Jarius WrightJ. Wright CAR,7,113,136,124.2,7.6,126.0,-6.0
133,,Riley RidleyR. Ridley CHI,6,98,130,116.0,14.4,98.0,-35.0
134,,Miles BoykinM. Boykin BAL,8,70,127,104.3,22.9,97.0,-37.0
135,,Jalen HurdJ. Hurd SF,4,99,133,119.6,9.1,116.0,-19.0
136,,Jakeem GrantJ. Grant MIA,5,123,140,130.7,5.6,161.0,+25.0
137,,Travis BenjaminT. Benjamin LAC,12,86,137,126.0,8.8,129.0,-8.0
138,,Kelvin HarmonK. Harmon WAS,10,80,137,116.0,21.5,76.0,-62.0
139,,Dontrelle InmanD. Inman NE,10,79,157,127.8,26.5,107.0,-32.0
140,,Chad WilliamsC. Williams ARI,12,115,143,127.8,9.7,140.0,0.0
141,,Tavon AustinT. Austin DAL,8,79,145,119.5,25.5,,
142,,KeeSean JohnsonK. Johnson ARI,12,97,186,135.2,34.3,111.0,-31.0
