Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
64,,Mike WilliamsM. Williams LAC,WR28,12,39,100,65.8,12.5,61.0,-3.0
65,,Hunter HenryH. Henry LAC,TE6,12,34,120,66.2,13.5,65.0,0.0
66,,Lamar MillerL. Miller HOU,RB29,10,51,163,69.3,13.5,69.0,+3.0
67,,Kenyan DrakeK. Drake MIA,RB30,5,14,160,69.7,19.2,68.0,+1.0
68,,A.J. GreenA. Green CIN,WR29,9,42,134,70.5,18.7,52.0,-16.0
69,,Robby AndersonR. Anderson NYJ,WR30,4,35,110,70.6,12.9,70.0,+1.0
Tier 7,
70,,Latavius MurrayL. Murray NO,RB31,9,42,138,76.2,12.7,101.0,+31.0
71,,Christian KirkC. Kirk ARI,WR31,12,49,108,77.5,15.2,79.0,+8.0
72,,Miles SandersM. Sanders PHI,RB32,10,40,250,78.1,29.8,77.0,+5.0
73,,Baker MayfieldB. Mayfield CLE,QB4,7,54,281,79.1,14.7,59.0,-14.0
74,,Corey DavisC. Davis TEN,WR32,11,35,131,80.1,17.9,84.0,+10.0
75,,Rashaad PennyR. Penny SEA,RB33,11,40,145,80.9,15.2,81.0,+6.0
76,,Sammy WatkinsS. Watkins KC,WR33,12,43,136,81.1,14.4,76.0,0.0
77,,Andrew LuckA. Luck IND,QB5,6,38,277,81.3,19.3,71.0,-6.0
78,,Matt RyanM. Ryan ATL,QB6,9,36,278,82.1,18.2,74.0,-4.0
79,,Austin EkelerA. Ekeler LAC,RB34,12,42,141,82.8,18.5,73.0,-6.0
80,,Josh GordonJ. Gordon NE,WR34,10,44,147,83.3,20.9,114.0,+34.0
81,,Will FullerW. Fuller HOU,WR35,10,43,175,85.8,15.5,75.0,-6.0
82,,Curtis SamuelC. Samuel CAR,WR36,7,49,182,87.4,17.6,98.0,+16.0
83,,Derrius GuiceD. Guice WAS,RB35,10,23,146,87.8,19.5,78.0,-5.0
84,,Sterling ShepardS. Shepard NYG,WR37,11,49,139,87.9,14.8,93.0,+9.0
85,,Dede WestbrookD. Westbrook JAC,WR38,10,39,154,87.9,20.6,94.0,+9.0
86,,Marvin JonesM. Jones DET,WR39,5,55,207,88.6,13.9,96.0,+10.0
87,,Royce FreemanR. Freeman DEN,RB36,10,60,134,89.5,15.2,97.0,+10.0
88,,Dante PettisD. Pettis SF,WR40,4,47,149,90.8,16.8,83.0,-5.0
89,,Jared CookJ. Cook NO,TE7,9,48,142,90.8,20.5,72.0,-17.0
90,,Larry FitzgeraldL. Fitzgerald ARI,WR41,12,45,133,92.3,18.1,89.0,-1.0
91,,Vance McDonaldV. McDonald PIT,TE8,7,55,246,92.8,25.6,82.0,-9.0
92,,Cam NewtonC. Newton CAR,QB7,7,36,280,92.8,17.5,92.0,0.0
93,,Carson WentzC. Wentz PHI,QB8,10,54,279,94.9,18.1,86.0,-7.0
94,,Russell WilsonR. Wilson SEA,QB9,11,63,282,98.6,16.7,95.0,+1.0
95,,David NjokuD. Njoku CLE,TE9,7,48,235,100.0,25.3,90.0,-5.0
Tier 8,
96,,Jordan HowardJ. Howard PHI,RB37,10,61,195,101.4,25.8,85.0,-11.0
97,,Drew BreesD. Brees NO,QB10,9,62,285,104.5,18.6,87.0,-10.0
98,,Courtland SuttonC. Sutton DEN,WR42,10,62,160,104.8,15.7,99.0,+1.0
99,,Eric EbronE. Ebron IND,TE10,6,52,211,105.4,26.6,80.0,-19.0
100,,Dion LewisD. Lewis TEN,RB38,11,71,186,106.1,22.1,135.0,+35.0
