Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,9,1,12,1.3,0.6,1.0,0.0
2,,Justin TuckerJ. Tucker BAL,8,1,14,2.7,1.4,2.0,0.0
3,,Harrison ButkerH. Butker KC,12,1,6,2.9,1.0,3.0,0.0
4,,Stephen GostkowskiS. Gostkowski NE,10,1,13,4.2,1.5,4.0,0.0
Tier 2,
5,,Wil LutzW. Lutz NO,9,1,7,4.8,1.0,5.0,0.0
6,,Ka'imi FairbairnK. Fairbairn HOU,10,2,16,6.4,2.3,6.0,0.0
7,,Mason CrosbyM. Crosby GB,11,5,14,8.5,2.1,9.0,+2.0
8,,Jake ElliottJ. Elliott PHI,10,4,14,8.7,1.8,8.0,0.0
Tier 3,
9,,Michael BadgleyM. Badgley LAC,12,5,18,10.4,2.5,10.0,+1.0
10,,Robbie GouldR. Gould SF,4,4,19,10.6,2.6,7.0,-3.0
11,,Brett MaherB. Maher DAL,8,6,19,10.7,2.3,13.0,+2.0
12,,Matt PraterM. Prater DET,5,5,25,12.1,3.5,11.0,-1.0
13,,Jason MyersJ. Myers SEA,11,6,22,14.3,3.0,15.0,+2.0
14,,Adam VinatieriA. Vinatieri IND,6,5,29,14.5,3.3,12.0,-2.0
15,,Chris BoswellC. Boswell PIT,7,6,26,16.6,3.1,16.0,+1.0
16,,Matt BryantM. Bryant ATL,9,3,30,14.2,5.9,14.0,-2.0
Tier 4,
17,,Dan BaileyD. Bailey MIN,12,5,31,17.0,3.5,17.0,0.0
18,,Aldrick RosasA. Rosas NYG,11,7,30,17.8,4.1,18.0,0.0
19,,Brandon McManusB. McManus DEN,10,10,28,20.3,2.7,19.0,0.0
20,,Josh LamboJ. Lambo JAC,10,11,30,20.9,3.0,25.0,+5.0
21,,Steven HauschkaS. Hauschka BUF,6,13,29,22.8,2.6,20.0,-1.0
22,,Ryan SuccopR. Succop TEN,11,7,33,19.5,3.4,23.0,+1.0
23,,Daniel CarlsonD. Carlson OAK,6,11,31,24.3,2.8,36.0,+13.0
Tier 5,
24,,Austin SeibertA. Seibert CLE,7,8,35,22.6,6.1,22.0,-2.0
25,,Dustin HopkinsD. Hopkins WAS,10,14,32,25.5,2.9,26.0,+1.0
26,,Matt GayM. Gay TB,7,10,34,23.5,5.6,28.0,+2.0
27,,Joey SlyeJ. Slye CAR,7,10,33,23.7,5.3,27.0,0.0
28,,Zane GonzalezZ. Gonzalez ARI,12,15,32,26.5,3.2,35.0,+7.0
29,,Eddy PineiroE. Pineiro CHI,6,13,32,25.2,5.1,24.0,-5.0
30,,Cairo SantosC. Santos FA,,18,32,24.9,3.2,51.0,+21.0
31,,Randy BullockR. Bullock CIN,9,20,32,27.9,2.8,32.0,+1.0
32,,Greg JosephG. Joseph FA,,10,34,23.0,4.2,38.0,+6.0
33,,Jason SandersJ. Sanders MIA,5,18,33,30.1,2.2,29.0,-4.0
34,,Giorgio TavecchioG. Tavecchio FA,,8,37,22.3,6.8,21.0,-13.0
35,,Kaare VedvikK. Vedvik FA,,17,35,29.0,4.0,39.0,+4.0
Tier 6,
36,,Chandler CatanzaroC. Catanzaro FA,,18,34,27.8,2.5,53.0,+17.0
37,,Cody ParkeyC. Parkey TEN,11,21,35,26.9,4.4,33.0,-4.0
38,,Taylor BertoletT. Bertolet FA,,25,36,28.5,3.8,31.0,-7.0
39,,Andrew JacasA. Jacas SF,4,26,34,31.6,3.0,,
40,,Andrew WellockA. Wellock CAR,7,32,35,33.2,1.2,,
41,,Elliott FryE. Fry FA,,31,37,33.5,2.2,,
