Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
83,,Marquise BrownM. Brown BAL,WR36,,65,107,84.0,6.5
84,,Sterling ShepardS. Shepard NYG,WR37,,79,113,85.0,7.2
85,,Tarik CohenT. Cohen CHI,RB32,,72,168,87.4,6.3
86,,Mike WilliamsM. Williams LAC,WR38,,79,97,87.7,4.8
87,,Drew BreesD. Brees NO,QB9,,61,122,89.2,12.8
88,,Robby AndersonR. Anderson NYJ,WR39,,79,128,92.3,5.2
89,,David JohnsonD. Johnson ARI,RB33,,47,126,93.0,13.1
90,,Aaron RodgersA. Rodgers GB,QB10,,70,116,94.1,7.3
91,,Matt RyanM. Ryan ATL,QB11,,70,113,95.1,8.6
92,,Emmanuel SandersE. Sanders SF,WR40,,79,113,95.7,7.6
93,,Sony MichelS. Michel NE,RB34,,44,110,96.2,9.2
94,,Jared CookJ. Cook NO,TE9,,69,133,96.2,11.2
95,,Carlos HydeC. Hyde HOU,RB35,,71,132,96.2,8.0
96,,Tyler HigbeeT. Higbee LAR,TE10,,69,139,96.7,11.1
97,,Alshon JefferyA. Jeffery PHI,WR41,,75,131,96.8,8.6
98,,Carson WentzC. Wentz PHI,QB12,,70,114,97.8,8.6
99,,Raheem MostertR. Mostert SF,RB36,,40,110,82.7,19.0
100,,Anthony MillerA. Miller CHI,WR42,,75,122,100.7,6.4
101,,Marvin JonesM. Jones DET,WR43,,74,148,100.8,9.1
102,,Will FullerW. Fuller HOU,WR44,,82,138,103.7,12.3
103,,Darius SlaytonD. Slayton NYG,WR45,,82,147,105.1,13.6
Tier 9,
104,,Matthew StaffordM. Stafford DET,QB13,,70,157,107.7,8.8
105,,Jamaal WilliamsJ. Williams GB,RB37,,98,177,107.8,6.9
106,,Noah FantN. Fant DEN,TE11,,69,142,108.9,13.7
107,,Duke JohnsonD. Johnson HOU,RB38,,72,144,110.0,11.4
108,,Dallas GoedertD. Goedert PHI,TE12,,94,236,110.1,9.9
109,,Curtis SamuelC. Samuel CAR,WR46,,96,137,110.8,8.7
110,,Latavius MurrayL. Murray NO,RB39,,77,120,111.5,5.9
111,,Brandin CooksB. Cooks LAR,WR47,,86,155,113.4,17.6
112,,Royce FreemanR. Freeman DEN,RB40,,99,177,115.0,4.9
113,,Preston WilliamsP. Williams MIA,WR48,,64,148,115.6,13.2
114,,Cam NewtonC. Newton CAR,QB14,,70,162,115.7,11.0
115,,Ryan TannehillR. Tannehill TEN,QB15,,87,150,116.2,11.1
116,,Tevin ColemanT. Coleman SF,RB41,,83,143,116.5,9.8
117,,Diontae JohnsonD. Johnson PIT,WR49,,97,147,116.8,11.5
118,,Jamison CrowderJ. Crowder NYJ,WR50,,80,155,119.6,8.0
119,,Alexander MattisonA. Mattison MIN,RB42,,91,181,120.0,9.4
120,,Kirk CousinsK. Cousins MIN,QB16,,114,159,121.6,10.2
121,,Golden TateG. Tate NYG,WR51,,81,147,122.2,10.0
122,,Matt BreidaM. Breida SF,RB43,,98,156,124.8,10.6
123,,Mike GesickiM. Gesicki MIA,TE13,,92,163,126.4,12.7
124,,T.J. HockensonT. Hockenson DET,TE14,,108,163,126.5,6.3
125,,Tony PollardT. Pollard DAL,RB44,,73,227,126.7,15.8
126,,DeSean JacksonD. Jackson PHI,WR52,,86,212,130.8,11.9
127,,Jordan HowardJ. Howard PHI,RB45,,84,181,131.1,16.8
