Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,DeAndre HopkinsD. Hopkins HOU,10,1,6,1.6,0.9,1.0,0.0
2,,Davante AdamsD. Adams GB,11,1,6,2.6,1.4,2.0,0.0
3,,Julio JonesJ. Jones ATL,9,1,10,3.2,1.3,4.0,+1.0
4,,Michael ThomasM. Thomas NO,9,2,10,4.2,1.3,3.0,-1.0
5,,Odell Beckham Jr.O. Beckham CLE,7,1,12,5.0,1.8,6.0,+1.0
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,7,1,12,5.4,1.7,5.0,-1.0
Tier 2,
7,,Antonio BrownA. Brown OAK,6,5,13,7.4,1.5,8.0,+1.0
8,,Mike EvansM. Evans TB,7,5,28,8.5,1.8,7.0,-1.0
Tier 3,
9,,Keenan AllenK. Allen LAC,12,6,17,10.0,2.0,10.0,+1.0
10,,T.Y. HiltonT. Hilton IND,6,4,29,10.6,2.5,11.0,+1.0
11,,A.J. GreenA. Green CIN,9,6,27,11.5,2.4,14.0,+3.0
12,,Amari CooperA. Cooper DAL,8,8,21,12.0,2.4,12.0,0.0
13,,Adam ThielenA. Thielen MIN,12,7,18,12.5,2.4,9.0,-4.0
14,,Stefon DiggsS. Diggs MIN,12,8,18,13.6,2.1,13.0,-1.0
15,,Julian EdelmanJ. Edelman NE,10,9,30,16.3,4.1,17.0,+2.0
16,,Robert WoodsR. Woods LAR,9,10,30,16.7,2.8,18.0,+2.0
17,,Brandin CooksB. Cooks LAR,9,11,26,17.2,2.6,15.0,-2.0
Tier 4,
18,,Kenny GolladayK. Golladay DET,5,7,40,18.4,2.8,16.0,-2.0
19,,Chris GodwinC. Godwin TB,7,10,41,20.9,3.6,21.0,+2.0
20,,Cooper KuppC. Kupp LAR,9,14,35,21.1,2.9,19.0,-1.0
21,,Tyler LockettT. Lockett SEA,11,13,34,22.7,4.2,23.0,+2.0
22,,Alshon JefferyA. Jeffery PHI,10,15,30,22.8,2.7,29.0,+7.0
23,,Sammy WatkinsS. Watkins KC,12,6,44,24.0,5.1,24.0,+1.0
24,,D.J. MooreD. Moore CAR,7,18,40,24.7,3.7,22.0,-2.0
25,,Allen RobinsonA. Robinson CHI,6,15,41,25.7,5.9,30.0,+5.0
26,,Calvin RidleyC. Ridley ATL,9,13,45,26.1,3.7,20.0,-6.0
Tier 5,
27,,Jarvis LandryJ. Landry CLE,7,13,49,28.3,5.9,25.0,-2.0
28,,Tyler BoydT. Boyd CIN,9,16,44,28.3,5.7,26.0,-2.0
29,,Robby AndersonR. Anderson NYJ,4,19,48,29.7,5.5,31.0,+2.0
30,,Corey DavisC. Davis TEN,11,17,53,30.7,5.4,33.0,+3.0
31,,Mike WilliamsM. Williams LAC,12,20,41,31.3,3.9,28.0,-3.0
32,,Marvin JonesM. Jones DET,5,26,45,33.7,3.6,40.0,+8.0
33,,Will FullerW. Fuller HOU,10,21,45,34.5,4.4,32.0,-1.0
34,,Sterling ShepardS. Shepard NYG,11,24,61,36.3,5.8,37.0,+3.0
35,,Dante PettisD. Pettis SF,4,26,66,36.6,5.9,34.0,-1.0
36,,Golden TateG. Tate NYG,11,22,53,36.7,5.5,39.0,+3.0
37,,Christian KirkC. Kirk ARI,12,27,81,38.1,5.4,35.0,-2.0
38,,Dede WestbrookD. Westbrook JAC,10,17,72,38.8,7.9,46.0,+8.0
Tier 6,
39,,Courtland SuttonC. Sutton DEN,10,28,54,40.1,4.5,38.0,-1.0
40,,Larry FitzgeraldL. Fitzgerald ARI,12,22,88,40.5,8.8,41.0,+1.0
41,,Keke CouteeK. Coutee HOU,10,30,69,42.7,6.9,48.0,+7.0
42,,Curtis SamuelC. Samuel CAR,7,26,78,44.0,6.1,49.0,+7.0
43,,Geronimo AllisonG. Allison GB,11,28,87,46.9,9.2,45.0,+2.0
44,,N'Keal HarryN. Harry NE,10,14,87,47.9,13.0,36.0,-8.0
45,,Anthony MillerA. Miller CHI,6,34,82,48.6,10.9,51.0,+6.0
46,,DeSean JacksonD. Jackson PHI,10,27,86,51.3,6.6,52.0,+6.0
47,,Michael GallupM. Gallup DAL,8,38,75,51.5,8.4,65.0,+18.0
48,,Kenny StillsK. Stills MIA,5,30,95,54.8,10.6,64.0,+16.0
49,,DaeSean HamiltonD. Hamilton DEN,10,27,86,52.2,9.8,56.0,+7.0
50,,John BrownJ. Brown BUF,6,23,79,55.0,8.2,67.0,+17.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Devin FunchessD. Funchess IND,6,36,84,55.1,9.7,53.0,+2.0
52,,James WashingtonJ. Washington PIT,7,28,94,55.6,14.8,43.0,-9.0
Tier 7,
53,,Emmanuel SandersE. Sanders DEN,10,33,77,53.1,10.8,47.0,-6.0
54,,Tyrell WilliamsT. Williams OAK,6,25,85,59.0,11.4,54.0,0.0
55,,Robert FosterR. Foster BUF,6,26,90,56.5,12.9,60.0,+5.0
56,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,11,30,96,60.9,12.6,55.0,-1.0
57,,D.K. MetcalfD. Metcalf SEA,11,29,112,61.9,13.4,44.0,-13.0
58,,Jamison CrowderJ. Crowder NYJ,4,42,106,58.0,10.9,68.0,+10.0
59,,Parris CampbellP. Campbell IND,6,27,85,62.9,11.0,50.0,-9.0
60,,Donte MoncriefD. Moncrief PIT,7,27,91,63.0,10.7,63.0,+3.0
61,,Mohamed SanuM. Sanu ATL,9,31,96,63.7,9.2,72.0,+11.0
62,,Marquise GoodwinM. Goodwin SF,4,46,94,63.3,12.9,69.0,+7.0
63,,Adam HumphriesA. Humphries TEN,11,37,129,64.1,15.3,70.0,+7.0
64,,Marqise LeeM. Lee JAC,10,38,91,65.1,10.6,81.0,+17.0
65,,Quincy EnunwaQ. Enunwa NYJ,4,47,89,66.0,8.8,84.0,+19.0
66,,Devante ParkerD. Parker MIA,5,45,92,66.0,8.0,62.0,-4.0
67,,Albert WilsonA. Wilson MIA,5,33,100,66.6,13.1,74.0,+7.0
68,,Mecole HardmanM. Hardman KC,12,27,99,62.0,13.0,42.0,-26.0
69,,Tre'Quan SmithT. Smith NO,9,47,98,69.6,9.5,59.0,-10.0
70,,Taylor GabrielT. Gabriel CHI,6,57,98,71.2,8.1,93.0,+23.0
71,,Deebo SamuelD. Samuel SF,4,48,107,69.3,12.2,58.0,-13.0
Tier 8,
72,,Marquise BrownM. Brown BAL,8,29,97,68.8,14.0,57.0,-15.0
73,,David MooreD. Moore SEA,11,51,92,74.3,8.8,90.0,+17.0
74,,Zay JonesZ. Jones BUF,6,43,102,74.6,13.1,66.0,-8.0
75,,A.J. BrownA. Brown TEN,11,29,96,69.9,10.6,71.0,-4.0
76,,Antonio CallawayA. Callaway CLE,7,52,100,74.8,8.8,75.0,-1.0
77,,Randall CobbR. Cobb DAL,8,61,104,78.9,7.8,83.0,+6.0
78,,Nelson AgholorN. Agholor PHI,10,64,106,81.5,8.0,80.0,+2.0
79,,John RossJ. Ross CIN,9,53,115,79.2,11.8,87.0,+8.0
80,,Andy IsabellaA. Isabella ARI,12,43,103,77.3,12.9,61.0,-19.0
81,,Tyreek HillT. Hill KC,12,10,185,65.7,34.9,27.0,-54.0
82,,Ted GinnT. Ginn NO,9,49,117,83.2,11.6,89.0,+7.0
83,,Josh DoctsonJ. Doctson WAS,10,51,106,82.0,9.2,92.0,+9.0
84,,Paul RichardsonP. Richardson WAS,10,56,113,84.5,12.1,104.0,+20.0
85,,D.J. CharkD. Chark JAC,10,32,102,84.5,8.9,82.0,-3.0
86,,Equanimeous St. BrownE. St. GB,11,58,108,86.2,11.4,91.0,+5.0
87,,Willie SneadW. Snead BAL,8,54,106,86.1,7.9,106.0,+19.0
88,,Danny AmendolaD. Amendola DET,5,60,117,90.5,11.6,113.0,+25.0
89,,Josh ReynoldsJ. Reynolds LAR,9,69,128,92.2,13.3,107.0,+18.0
90,,Demaryius ThomasD. Thomas NE,10,62,128,89.6,15.0,79.0,-11.0
91,,Hakeem ButlerH. Butler ARI,12,32,132,87.9,15.8,77.0,-14.0
92,,Cole BeasleyC. Beasley BUF,6,55,115,91.3,12.2,88.0,-4.0
93,,Trey QuinnT. Quinn WAS,10,46,126,80.4,17.2,86.0,-7.0
94,,Keelan ColeK. Cole JAC,10,49,124,92.5,12.1,96.0,+2.0
Tier 9,
95,,Phillip DorsettP. Dorsett NE,10,59,125,95.5,9.5,94.0,-1.0
96,,Taywan TaylorT. Taylor TEN,11,71,143,95.7,14.4,134.0,+38.0
97,,Chris HoganC. Hogan CAR,7,63,118,99.5,7.6,105.0,+8.0
98,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,10,62,151,94.0,15.9,76.0,-22.0
99,,Chris ConleyC. Conley JAC,10,76,124,99.4,9.3,124.0,+25.0
100,,Breshad PerrimanB. Perriman TB,7,73,134,102.5,11.2,112.0,+12.0
101,,Rashard HigginsR. Higgins CLE,7,83,137,104.5,10.6,125.0,+24.0
102,,Ryan GrantR. Grant OAK,6,74,140,104.7,11.9,,
103,,Cameron MeredithC. Meredith NO,9,87,164,109.5,14.8,143.0,+40.0
104,,Demarcus RobinsonD. Robinson KC,12,56,140,90.3,19.2,73.0,-31.0
105,,Cordarrelle PattersonC. Patterson CHI,6,69,147,108.1,12.6,,
106,,Keith KirkwoodK. Kirkwood NO,9,87,178,113.3,14.9,110.0,+4.0
107,,Jake KumerowJ. Kumerow GB,11,77,169,113.8,17.0,109.0,+2.0
108,,Deon CainD. Cain IND,6,65,165,115.1,18.1,100.0,-8.0
