Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Travis KelceT. Kelce KC,12,1,2,1.0,0.0,1.0,0.0
2,,George KittleG. Kittle SF,4,1,6,2.5,0.6,3.0,+1.0
3,,Zach ErtzZ. Ertz PHI,10,2,4,2.6,0.5,2.0,-1.0
Tier 2,
4,,Evan EngramE. Engram NYG,11,2,13,5.0,1.5,5.0,+1.0
5,,O.J. HowardO. Howard TB,7,2,11,5.0,1.1,4.0,-1.0
6,,Hunter HenryH. Henry LAC,12,2,10,5.6,1.0,6.0,0.0
7,,Jared CookJ. Cook NO,9,4,19,8.7,2.1,7.0,0.0
8,,Vance McDonaldV. McDonald PIT,7,6,20,9.8,3.0,10.0,+2.0
9,,Eric EbronE. Ebron IND,6,5,18,9.8,2.9,8.0,-1.0
Tier 3,
10,,David NjokuD. Njoku CLE,7,5,22,10.3,3.0,9.0,-1.0
11,,Austin HooperA. Hooper ATL,9,4,18,11.3,2.7,11.0,0.0
12,,Delanie WalkerD. Walker TEN,11,6,35,13.4,3.5,12.0,0.0
13,,Trey BurtonT. Burton CHI,6,8,21,14.2,2.7,13.0,0.0
14,,Jordan ReedJ. Reed WAS,10,6,24,15.3,3.4,17.0,+3.0
15,,Jack DoyleJ. Doyle IND,6,6,29,15.4,3.7,22.0,+7.0
16,,Mark AndrewsM. Andrews BAL,8,7,38,16.1,4.4,18.0,+2.0
Tier 4,
17,,Kyle RudolphK. Rudolph MIN,12,10,24,17.5,3.3,15.0,-2.0
18,,Greg OlsenG. Olsen CAR,7,8,46,18.1,4.5,14.0,-4.0
19,,Jimmy GrahamJ. Graham GB,11,7,34,18.1,4.1,19.0,0.0
20,,Chris Herndon IVC. Herndon NYJ,4,11,30,21.3,3.8,21.0,+1.0
21,,Dallas GoedertD. Goedert PHI,10,13,33,21.9,3.5,23.0,+2.0
22,,T.J. HockensonT. Hockenson DET,5,8,49,20.7,5.9,16.0,-6.0
23,,Noah FantN. Fant DEN,10,6,37,22.0,4.6,20.0,-3.0
24,,Mike GesickiM. Gesicki MIA,5,6,38,24.9,4.9,26.0,+2.0
25,,Tyler EifertT. Eifert CIN,9,12,43,26.0,5.0,25.0,0.0
Tier 5,
26,,Gerald EverettG. Everett LAR,9,13,39,26.8,4.0,29.0,+3.0
27,,Cameron BrateC. Brate TB,7,22,47,31.4,5.2,35.0,+8.0
28,,Jason WittenJ. Witten DAL,8,9,89,30.2,9.4,24.0,-4.0
29,,Ricky Seals-JonesR. Seals-Jones ARI,12,19,68,33.4,7.3,38.0,+9.0
30,,Ian ThomasI. Thomas CAR,7,15,52,31.8,6.5,31.0,+1.0
31,,Hayden HurstH. Hurst BAL,8,23,53,32.8,5.4,37.0,+6.0
32,,Darren WallerD. Waller OAK,6,11,55,25.6,7.1,27.0,-5.0
33,,Nick VannettN. Vannett SEA,11,25,61,37.5,7.8,49.0,+16.0
34,,Charles ClayC. Clay ARI,12,26,64,39.9,7.4,52.0,+18.0
35,,Will DisslyW. Dissly SEA,11,22,51,33.8,7.6,34.0,-1.0
Tier 6,
36,,Irv Smith Jr.I. Smith MIN,12,20,61,38.1,7.4,28.0,-8.0
37,,Jonnu SmithJ. Smith TEN,11,18,59,38.1,7.0,51.0,+14.0
38,,Matt LaCosseM. LaCosse NE,10,25,79,35.7,11.8,30.0,-8.0
39,,Jordan ThomasJ. Thomas HOU,10,22,86,36.0,12.1,41.0,+2.0
40,,Vernon DavisV. Davis WAS,10,28,64,40.4,6.7,63.0,+23.0
41,,Benjamin WatsonB. Watson NE,10,22,64,38.3,8.3,33.0,-8.0
42,,Geoff SwaimG. Swaim JAC,10,14,55,34.6,8.9,36.0,-6.0
43,,Jake ButtJ. Butt DEN,10,25,75,43.9,11.0,47.0,+4.0
44,,C.J. UzomahC. Uzomah CIN,9,22,57,40.8,7.6,39.0,-5.0
45,,Blake JarwinB. Jarwin DAL,8,19,64,42.0,9.4,42.0,-3.0
46,,Jesse JamesJ. James DET,5,28,52,41.9,5.6,32.0,-14.0
47,,Jace SternbergerJ. Sternberger GB,11,28,69,42.1,10.1,40.0,-7.0
48,,Josh OliverJ. Oliver JAC,10,25,58,44.3,9.1,43.0,-5.0
49,,Luke WillsonL. Willson OAK,6,30,74,47.3,11.8,112.0,+63.0
50,,Adam ShaheenA. Shaheen CHI,6,22,71,44.4,8.0,60.0,+10.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Dawson KnoxD. Knox BUF,6,24,69,43.1,11.6,46.0,-5.0
52,,Tyler HigbeeT. Higbee LAR,9,28,59,43.9,6.0,70.0,+18.0
Tier 7,
53,,Kahale WarringK. Warring HOU,10,33,74,52.3,11.9,57.0,+4.0
54,,Tyler KroftT. Kroft BUF,6,29,63,46.5,8.6,53.0,-1.0
55,,Mo Alie-CoxM. Alie-Cox IND,6,42,84,61.1,10.9,62.0,+7.0
56,,Josh HillJ. Hill NO,9,39,69,57.9,8.0,48.0,-8.0
57,,Jordan AkinsJ. Akins HOU,10,37,73,58.8,8.2,67.0,+10.0
58,,Demetrius HarrisD. Harris CLE,7,41,72,54.9,6.8,56.0,-2.0
59,,Jeff HeuermanJ. Heuerman DEN,10,21,66,51.5,7.3,55.0,-4.0
60,,Foster MoreauF. Moreau OAK,6,36,89,63.4,13.6,68.0,+8.0
61,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,,30,147,45.4,30.8,91.0,+30.0
62,,Jason CroomJ. Croom BUF,6,39,95,62.7,14.3,106.0,+44.0
63,,Jacob HollisterJ. Hollister SEA,11,35,96,64.6,17.1,80.0,+17.0
64,,Rhett EllisonR. Ellison NYG,11,43,82,61.2,9.3,120.0,+56.0
Tier 8,
65,,Ed DicksonE. Dickson SEA,11,43,80,62.6,8.4,65.0,0.0
66,,Xavier GrimbleX. Grimble PIT,7,38,81,64.4,11.5,73.0,+7.0
67,,Blake BellB. Bell KC,12,40,79,60.0,8.0,54.0,-13.0
68,,Virgil GreenV. Green LAC,12,49,79,67.3,6.9,64.0,-4.0
69,,Garrett CelekG. Celek SF,4,48,81,67.4,8.5,93.0,+24.0
70,,James O'ShaughnessyJ. O'Shaughnessy JAC,10,55,73,64.3,6.7,87.0,+17.0
71,,Dan ArnoldD. Arnold NO,9,52,89,70.7,8.7,122.0,+51.0
72,,Nick O'LearyN. O'Leary MIA,5,35,97,72.3,11.7,186.0,+114.0
73,,Nick BoyleN. Boyle BAL,8,48,82,67.5,9.6,69.0,-4.0
74,,Maxx WilliamsM. Williams ARI,12,47,91,68.6,11.7,86.0,+12.0
75,,Dalton SchultzD. Schultz DAL,8,66,77,72.7,3.3,78.0,+3.0
76,,Jeremy SprinkleJ. Sprinkle WAS,10,57,100,79.8,11.9,76.0,0.0
77,,Anthony FirkserA. Firkser TEN,11,59,95,75.4,9.9,170.0,+93.0
78,,Drew SampleD. Sample CIN,9,53,95,77.0,12.5,66.0,-12.0
79,,Luke StockerL. Stocker ATL,9,56,91,77.1,8.6,136.0,+57.0
80,,Dwayne AllenD. Allen MIA,5,56,110,72.3,18.6,89.0,+9.0
81,,Jordan LeggettJ. Leggett TB,7,56,82,68.9,6.0,150.0,+69.0
82,,Ryan GriffinR. Griffin NYJ,4,41,84,62.0,13.5,74.0,-8.0
83,,Logan PaulsenL. Paulsen ATL,9,54,119,84.9,16.1,154.0,+71.0
84,,Zach GentryZ. Gentry PIT,7,61,116,88.0,13.4,144.0,+60.0
85,,Trevon WescoT. Wesco NYJ,4,50,112,79.0,22.7,131.0,+46.0
Tier 9,
86,,Stephen AndersonS. Anderson NE,10,60,94,73.2,11.6,102.0,+16.0
87,,Troy FumagalliT. Fumagalli DEN,10,54,97,81.7,11.1,143.0,+56.0
88,,Seth DeValveS. DeValve CLE,7,63,114,81.9,14.1,72.0,-16.0
89,,Darren FellsD. Fells HOU,10,67,118,90.6,16.0,88.0,-1.0
90,,Antony AuclairA. Auclair TB,7,70,123,90.6,13.8,149.0,+59.0
