Rank,WSID,Quarterbacks (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Lamar JacksonL. Jackson BAL,,1,2,1.3,0.5
2,,Patrick MahomesP. Mahomes KC,,1,2,1.7,0.5
3,,Russell WilsonR. Wilson SEA,,3,7,3.9,0.9
4,,Kyler MurrayK. Murray ARI,,3,7,4.2,1.2
Tier 2,
5,,Dak PrescottD. Prescott DAL,,3,12,5.3,1.3
6,,Deshaun WatsonD. Watson HOU,,3,11,5.9,1.7
7,,Josh AllenJ. Allen BUF,,4,10,7.0,1.3
8,,Aaron RodgersA. Rodgers GB,,5,13,9.5,1.9
Tier 3,
9,,Drew BreesD. Brees NO,,6,15,9.6,1.8
10,,Matt RyanM. Ryan ATL,,4,16,9.8,1.7
11,,Carson WentzC. Wentz PHI,,5,14,10.9,1.9
12,,Matthew StaffordM. Stafford DET,,8,18,13.1,1.8
13,,Tom BradyT. Brady TB,,5,23,13.7,4.0
14,,Ryan TannehillR. Tannehill TEN,,10,21,15.5,2.4
15,,Baker MayfieldB. Mayfield CLE,,6,26,15.5,3.5
16,,Daniel JonesD. Jones NYG,,8,22,16.3,2.6
Tier 4,
17,,Ben RoethlisbergerB. Roethlisberger PIT,,9,24,17.1,3.2
18,,Jared GoffJ. Goff LAR,,13,28,18.0,2.7
19,,Kirk CousinsK. Cousins MIN,,14,27,19.6,3.1
20,,Jimmy GaroppoloJ. Garoppolo SF,,15,28,20.9,2.7
21,,Philip RiversP. Rivers IND,,14,31,22.0,3.7
22,,Sam DarnoldS. Darnold NYJ,,17,30,23.4,2.2
23,,Teddy BridgewaterT. Bridgewater CAR,,15,34,23.8,3.9
24,,Gardner Minshew IIG. Minshew JAC,,15,31,24.4,3.9
25,,Ryan FitzpatrickR. Fitzpatrick MIA,,19,32,26.2,3.0
26,,Cam NewtonC. Newton FA,,14,37,25.5,5.6
27,,Derek CarrD. Carr LV,,20,33,26.8,2.4
28,,Drew LockD. Lock DEN,,20,32,27.0,2.4
Tier 5,
29,,Dwayne HaskinsD. Haskins WAS,,26,36,30.6,1.9
30,,Jameis WinstonJ. Winston FA,,6,37,27.9,7.7
31,,Nick FolesN. Foles CHI,,19,41,32.4,3.9
32,,Mitch TrubiskyM. Trubisky CHI,,19,38,30.5,3.0
33,,Tyrod TaylorT. Taylor LAC,,14,36,28.9,5.5
34,,Andy DaltonA. Dalton CIN,,27,40,34.0,2.6
35,,Jacoby BrissettJ. Brissett IND,,30,45,35.0,3.7
36,,Marcus MariotaM. Mariota LV,,31,43,37.0,3.1
Tier 6,
37,,Joe BurrowJ. Burrow FA,,15,39,25.0,5.9
38,,Jarrett StidhamJ. Stidham NE,,27,43,34.9,4.6
39,,Tua TagovailoaT. Tagovailoa FA,,27,41,35.1,3.0
40,,Justin HerbertJ. Herbert FA,,32,44,37.5,3.9
41,,Taysom HillT. Hill NO,,34,44,38.3,2.3
42,,Case KeenumC. Keenum CLE,,40,45,41.7,1.8
43,,Jalen HurtsJ. Hurts FA,,38,46,42.0,2.6
44,,Josh RosenJ. Rosen MIA,,37,54,43.3,5.3
45,,Joe FlaccoJ. Flacco FA,,35,60,44.7,9.9
46,,Jordan LoveJ. Love FA,,39,45,42.0,2.5
Tier 7,
47,,Nick MullensN. Mullens SF,,37,52,43.0,5.5
48,,Kyle AllenK. Allen WAS,,42,51,46.7,3.7
49,,Will GrierW. Grier CAR,,42,65,51.3,9.4

50,,Jacob EasonJ. Eason FA,,45,49,47.7,1.9
51,,Brian HoyerB. Hoyer NE,,39,51,45.0,6.0
52,,Brett HundleyB. Hundley ARI,,50,50,50.0,0.0
53,,Jake FrommJ. Fromm FA,,48,53,50.5,2.5
54,,Matt MooreM. Moore FA,,44,72,58.0,14.0
55,,Cole McDonaldC. McDonald FA,,46,82,64.0,18.0
56,,Anthony GordonA. Gordon FA,,47,64,55.5,8.5
57,,Chase DanielC. Daniel DET,,48,58,53.0,5.0
Tier 8,
58,,Mason RudolphM. Rudolph PIT,,56,77,66.5,10.5
