Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,3,2.2,0.4
3,,Ezekiel ElliottE. Elliott DAL,RB3,,2,5,4.0,1.1
4,,Michael ThomasM. Thomas NO,WR1,,4,4,4.0,0.0
5,,Dalvin CookD. Cook MIN,RB4,,2,13,4.9,1.9
Tier 2,
6,,DeAndre HopkinsD. Hopkins HOU,WR2,,6,11,6.8,1.3
7,,Tyreek HillT. Hill KC,WR3,,6,12,8.8,2.6
8,,Davante AdamsD. Adams GB,WR4,,6,17,8.8,2.0
9,,Alvin KamaraA. Kamara NO,RB5,,3,16,9.3,3.1
10,,Julio JonesJ. Jones ATL,WR5,,7,18,11.2,1.9
Tier 3,
11,,Chris GodwinC. Godwin TB,WR6,,7,19,12.8,2.8
12,,Aaron JonesA. Jones GB,RB6,,8,21,14.2,2.1
13,,Derrick HenryD. Henry TEN,RB7,,8,26,14.3,0.6
14,,Mike EvansM. Evans TB,WR7,,10,18,14.5,2.9
15,,George KittleG. Kittle SF,TE1,,9,48,15.2,7.8
16,,Joe MixonJ. Mixon CIN,RB8,,3,33,16.1,5.1
17,,Leonard FournetteL. Fournette JAC,RB9,,13,29,17.4,2.9
18,,Nick ChubbN. Chubb CLE,RB10,,13,29,18.8,3.3
19,,Travis KelceT. Kelce KC,TE2,,9,25,18.8,7.8
20,,Amari CooperA. Cooper DAL,WR8,,18,28,19.4,2.4
Tier 4,
21,,Kenny GolladayK. Golladay DET,WR9,,17,30,20.2,2.2
22,,Austin EkelerA. Ekeler LAC,RB11,,8,40,22.3,7.1
23,,Josh JacobsJ. Jacobs OAK,RB12,,16,37,22.8,2.1
24,,D.J. MooreD. Moore CAR,WR10,,17,53,23.7,4.1
25,,Odell Beckham Jr.O. Beckham CLE,WR11,,12,32,26.1,4.2
26,,Todd GurleyT. Gurley LAR,RB13,,16,42,27.5,5.9
27,,Keenan AllenK. Allen LAC,WR12,,17,44,28.6,5.6
28,,Allen RobinsonA. Robinson CHI,WR13,,24,56,29.2,4.8
Tier 5,
29,,Miles SandersM. Sanders PHI,RB14,,21,38,31.1,5.3
