name,pos,tm,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,redpECR,redpSD
Saquon Barkley,RB,NYG,1.8,2.7,0.4,1.4,0.5,5.9,1.8
Todd Gurley,RB,LAR,1.8,2.7,1,1.6,0.5,1.3,0.6
DeAndre Hopkins,WR,HOU,3.4,4.9,1.6,1.2,0.6,2.4,1
Ezekiel Elliott,RB,DAL,5,7.2,2.1,3.3,0.5,2.9,1.1
Odell Beckham,WR,NYG,5.4,7.7,1.2,3,0.9,3.2,1.1
Alvin Kamara,RB,NOS,6.2,8.9,1.2,3.7,0.5,5.7,1.8
Christian McCaffrey,RB,CAR,7,10,3.2,5.3,0.5,11.3,2.3
Michael Thomas,WR,NOS,7.6,10.7,1.6,2.4,0.5,5.3,1.4
Davante Adams,WR,GBP,9.2,12.8,2.9,4.2,1.2,7,1.4
Melvin Gordon,RB,LAC,11.2,15.7,2.9,5.8,0.6,6.9,1.8
Tyreek Hill,WR,KCC,11.4,15.8,2.1,5.4,1,12.1,3
Antonio Brown,WR,PIT,12.6,17.4,1.4,6.8,0.6,1.1,0.4
Julio Jones,WR,ATL,14.2,19.5,2.7,8.6,1.6,4,1.2
Mike Evans,WR,TBB,14.8,20.3,2.9,8.9,0.7,10.7,2.4
Joe Mixon,RB,CIN,17,23.5,2.1,7.8,0.8,14.1,2.4
David Johnson,RB,ARI,17,23.5,2.1,8.6,1.3,2.6,1.1
JuJu Smith-Schuster,WR,PIT,17.4,23.8,6.9,6.8,2.8,20.3,4.2
Keenan Allen,WR,LAC,19.6,26.7,4.2,9,1.2,6.4,1.3
Adam Thielen,WR,MIN,21.4,29.1,10.5,12.4,1.1,14.2,3.6
Nick Chubb,RB,CLE,22,30.2,7.4,9.1,1.1,50.9,8.1
Stefon Diggs,WR,MIN,23,31.2,2.4,11.7,1.1,12.2,2.9
James Conner,RB,PIT,23.4,32,3.9,10,0.7,52.7,17.4
A.J. Green,WR,CIN,24.6,33.3,3.9,13.8,1.2,7.2,1.3
Travis Kelce,TE,KCC,25.6,35.6,5.7,1.1,0.3,2.1,0.4
Leonard Fournette,RB,JAC,26.2,35.7,10,13,1.6,7,1.8
Brandin Cooks,WR,LAR,26.8,36.2,3.9,14.6,1.1,21.5,4.7
Sony Michel,RB,NEP,27.2,37,3.2,14,1.2,33.5,5.9
Le'Veon Bell,RB,PIT,27.4,37.3,2.9,12.6,1.2,8.2,6.6
Amari Cooper,WR,DAL,29.2,39.3,10.5,11.3,1.7,15.2,3.4
Dalvin Cook,RB,MIN,29.2,39.6,6.9,11.4,1.3,10.1,1.8
Zach Ertz,TE,PHI,29.8,41.1,8.8,2.4,0.5,3.1,0.7
Kerryon Johnson,RB,DET,30.8,41.7,6,16.2,1.3,31.2,5.3
T.Y. Hilton,WR,IND,32.6,43.7,3.6,17.8,1,10.8,2.2
Corey Davis,WR,TEN,33.8,45.3,4.9,16.1,1.6,28.1,6
Derrius Guice,RB,WAS,35.4,47.7,3.5,15.9,1.8,,
Kenny Golladay,WR,DET,35.6,47.6,5.3,17.2,0.9,50.8,7.5
Robert Woods,WR,LAR,36,48.1,4.9,21.7,2.2,34.4,5.7
Jarvis Landry,WR,CLE,38.4,51.2,7.3,19.7,1.5,23.4,4.3
Patrick Mahomes,QB,KCC,38.6,6.4,4.7,1,0,14.2,3.4
Aaron Jones,RB,GBP,39,52.3,4.9,16.2,2.4,46.7,8.3
Phillip Lindsay,RB,DEN,44.8,59.8,6.4,19.6,1.7,84,8.1
D.J. Moore,WR,CAR,45.2,60,16.7,21.6,2.8,56.3,8.4
George Kittle,TE,SFO,45.8,61.9,12.4,2.6,0.5,13.4,2.4
Calvin Ridley,WR,ATL,47,62.3,5.3,25.9,3,61.9,8.1
Aaron Rodgers,QB,GBP,48.4,9.4,7.6,4,1.6,1.1,0.4
Alshon Jeffery,WR,PHI,48.4,64.1,5.2,28.2,2.7,34.1,7.6
Cooper Kupp,WR,LAR,49.6,65.7,6.2,21.4,1.4,35.1,5
Allen Robinson,WR,CHI,50.4,66.7,10.4,24.9,2.7,19.4,4.7
Courtland Sutton,WR,DEN,50.6,66.9,12.6,25.2,2.8,74,9.2
Chris Godwin,WR,TBB,52.4,69.3,10,27.3,2.3,56,8.4
Andrew Luck,QB,IND,53.6,11.2,10.6,4.6,1.6,9.9,3.6
Deshaun Watson,QB,HOU,57.8,12.8,8.5,3.6,1.4,5.3,2.3
Tevin Coleman,RB,ATL,59.4,78.5,7.7,22,2.3,27.5,4.3
Will Fuller,WR,HOU,59.6,78.5,7.6,32.2,4.7,37.9,5.5
O.J. Howard,TE,TBB,60.4,80.5,8.9,4.8,0.8,15.5,3.3
Marlon Mack,RB,IND,61,80.5,18.4,25.1,2.9,37.8,6.5
Kenyan Drake,RB,MIA,61.2,80.8,3.7,28.8,2.7,17.6,2.8
Russell Wilson,QB,SEA,61.4,14.2,14,6.2,1.4,3.1,1.4
Tarik Cohen,RB,CHI,62,81.8,14.5,22.4,2.8,40.9,5.3
Carson Wentz,QB,PHI,62.6,14.6,23.4,5.8,2.1,12.5,4.8
Sammy Watkins,WR,KCC,62.8,82.5,7.4,27.3,3.6,31.5,6.2
Royce Freeman,RB,DEN,63.8,84.1,8,25.2,4.1,20,3.5
Evan Engram,TE,NYG,64.6,85.8,13.6,5.8,1,6.9,1.9
Devonta Freeman,RB,ATL,65.2,85.8,14.6,20.1,2.4,11.9,1.8
Jared Goff,QB,LAR,66.6,16.3,13.6,5,1.7,16.1,2.8
Kareem Hunt,RB,FA,68,89.4,13.9,23.1,4.8,7.9,1.7
Cam Newton,QB,CAR,69,17.3,13.1,6.6,0.8,4.1,1.5
David Njoku,TE,CLE,69.6,92.1,7.3,5.4,0.9,12.3,2.5
Jordan Howard,RB,CHI,70.2,92.2,7.6,23.4,3.1,12.4,1.7
Mark Ingram,RB,NOS,71.8,94.2,9.6,29.4,2.7,24.4,4.3
Rashaad Penny,RB,SEA,72.8,95.4,24.6,22.8,2.7,36.1,7.3
Golden Tate,WR,PHI,73.4,96,11.8,36.3,4.1,22.6,3.8
Sterling Shepard,WR,NYG,75.2,98.3,10.9,42.2,4,44.8,5.9
Mike Williams,WR,LAC,75.6,98.8,9.7,34,3.4,54.7,9.4
Anthony Miller,WR,CHI,76.4,99.8,7.8,35.6,1.8,61.1,10.5
Tyler Boyd,WR,CIN,76.6,100,10,32.8,2.9,97.7,11.2
Christian Kirk,WR,ARI,77.4,101.1,8.5,32.2,2.9,71.6,8.5
Marvin Jones,WR,DET,77.6,101.3,6.1,35,2.7,21.4,3.8
Doug Baldwin,WR,SEA,79,103.1,14.9,31.6,4.9,14.2,3.7
Emmanuel Sanders,WR,DEN,79,103.1,24.7,42.7,6.3,29.4,5.3
Rob Gronkowski,TE,NEP,79.4,104.3,18,6.6,1.2,1.1,0.2
James White,RB,NEP,79.6,104,10.9,26,1.7,47.4,6.4
Derrick Henry,RB,TEN,87.2,113.5,28.2,27.9,2.8,19.8,3.5
Hunter Henry,TE,LAC,87.4,114.3,9.9,7.6,0.7,42,2
Matt Breida,RB,SFO,90.2,117.3,8.4,34.1,2.5,38.8,7.2
Lamar Miller,RB,HOU,90.8,118.1,12.5,36.4,3.2,19.3,3.5
Josh Gordon,WR,NEP,90.8,118,35.9,37.7,13.4,23.7,6.1
Kirk Cousins,QB,MIN,91.4,28,14.4,10.2,0.9,8.4,2.2
Chris Carson,RB,SEA,95.4,123.8,28.2,40.6,8.7,32.2,5.9
Dion Lewis,RB,TEN,95.8,124.3,9.9,36.3,2.5,25.5,3.7
Ronald Jones,RB,TBB,96,124.6,18.2,32.9,4.2,43.9,8.9
Jerick McKinnon,RB,SFO,97,125.8,31.5,30.7,3.4,,
Dante Pettis,WR,SFO,98.4,127.5,9.7,51.3,8.9,85.6,9.8
Tyler Lockett,WR,SEA,98.6,127.8,14.9,40.8,5.5,52.2,9
Michael Gallup,WR,DAL,99,128.3,6.5,44.2,2.6,59.4,10.2
Robby Anderson,WR,NYJ,99.2,128.5,37.2,58.1,11,33.5,5.9
Jay Ajayi,RB,PHI,101,130.8,25.4,35.6,3.1,19.6,3
John Brown,WR,BAL,102.6,132.8,11.8,46,4.9,57,10
Baker Mayfield,QB,CLE,103.2,34.5,24.8,8.6,1.3,33.7,2.1
Eric Ebron,TE,IND,105.8,137,18.3,9.5,1.1,18.4,3.5
Matt Ryan,QB,ATL,107,36.7,15,13.8,2.2,13.9,3.2
Duke Johnson,RB,CLE,108.4,140,10.1,40.2,1.9,39.1,6.8
Trey Burton,TE,CHI,109.4,141.5,11.8,10.9,1.4,8.4,2.1
Chris Thompson,RB,WAS,110.2,142.2,26.2,42.6,4.1,35.5,6.4
James Washington,WR,PIT,111.8,144.3,28.6,45.4,6.1,75.2,10.5
Alex Collins,RB,BAL,113,145.7,8.7,43.6,6.5,16.5,2.6
T.J. Yeldon,RB,JAC,113.6,146.5,20.3,44.6,7.1,64,6.1
Mitchell Trubisky,QB,CHI,115.4,41.8,10.9,15,2,22,3
Devin Funchess,WR,CAR,115.8,149.3,41.2,42.4,8.5,34.4,6.1
Marquise Goodwin,WR,SFO,116.8,150.6,18.7,49.6,6.7,28.2,6.3
DeVante Parker,WR,MIA,117,150.8,13.9,52,4,52.3,9.3
Keke Coutee,WR,HOU,117.4,151.3,29.8,48.1,3.3,100.1,8.8
Tre'Quan Smith,WR,NOS,118,152.1,50,50.6,8.2,84.1,12.7
Dallas Goedert,TE,PHI,118.2,152.2,21.2,13.4,3,30.5,5.4
LeSean McCoy,RB,BUF,119,153.2,15.4,44,3.4,16.5,2.8
Kenny Stills,WR,MIA,121.4,156.3,23.6,64.9,5.7,38.1,7.9
Jimmy Garoppolo,QB,SFO,122.8,46.5,11.7,13.4,1.8,13,3.1
Matthew Stafford,QB,DET,122.8,46.5,20.5,15,1.1,8.8,2.2
Marquez Valdes-Scantling,WR,GBP,123.4,158.8,10.9,48,5.4,111.2,15.2
Jamison Crowder,WR,WAS,127,163.3,30.9,54.3,6.5,36,5.7
Drew Brees,QB,NOS,127.2,49.3,17.7,18.1,3.7,6,1.7
Nelson Agholor,WR,PHI,128.4,165,48,56.1,5.1,39.1,6
Antonio Callaway,WR,CLE,129.4,166.3,27.9,49.9,3.6,92.3,10.8
Demaryius Thomas,WR,HOU,130,167,51.6,46.3,9,19.8,4.2
Jamaal Williams,RB,GBP,130,166.8,28.2,52.4,8.1,29.2,5.7
Giovani Bernard,RB,CIN,130.3,167.1,20.8,50.6,4.4,47.8,5.7
John Ross,WR,CIN,130.6,167.8,18.1,71.7,7.5,63.6,11.4
Nyheim Hines,RB,IND,131.6,168.7,23.6,40.2,1.7,62.9,7.7
Isaiah Crowell,RB,NYJ,132,169.2,7.1,46.8,2.6,34.7,5.1
Jack Doyle,TE,IND,133.2,170.5,14.4,14.1,1.5,12,3.2
Tom Brady,QB,NEP,133.8,53.8,25,20.2,1.8,3.4,1.4
Dede Westbrook,WR,JAC,134.2,172.3,26.2,55.8,6.3,60.8,9.3
Josh Adams,RB,PHI,134.4,172.2,14.4,50.1,5.2,93.5,6.5
D.J. Chark,WR,JAC,135.8,174.2,24.4,72.4,6.3,98.5,11.4
Mike Gesicki,TE,MIA,136.8,174.9,16,14.1,1.4,23.5,4
Jordan Reed,TE,WAS,137,175.2,22.2,14.6,1.5,10.4,2.5
Quincy Enunwa,WR,NYJ,137.2,176,20.3,56.9,7.2,69.3,8.5
Julian Edelman,WR,NEP,138,177,47.4,60.9,7,42.9,7
Randall Cobb,WR,GBP,138.5,177.6,27.3,60.3,7.6,40.5,7.5
Kyle Rudolph,TE,MIN,139.2,177.8,29.9,12.1,3.2,7.6,1.7
Philip Rivers,QB,LAC,139.6,57.9,16.2,19.7,2.3,11.6,2.4
Austin Hooper,TE,ATL,140.4,179.3,23.8,15.9,1.6,22.4,3.5
Jameis Winston,QB,TBB,140.8,58.7,20.8,15.1,2.3,25.5,3
Elijah McGuire,RB,NYJ,141.5,180.9,21.5,57.1,6.2,79.3,8
Austin Ekeler,RB,LAC,141.6,181.1,22.2,41.2,6.7,58.4,7.8
Jimmy Graham,TE,GBP,142.4,181.7,24.3,16.4,3.7,5.5,1.8
Marcus Mariota,QB,TEN,142.4,59.9,17.4,18.7,1.9,16.8,2.8
Carlos Hyde,RB,JAC,142.6,182.3,8.8,44.8,6,27.3,5.3
Taywan Taylor,WR,TEN,143.8,184.2,21.8,64.2,6,75.8,10.9
Lamar Jackson,QB,BAL,144.8,61.6,13.8,14.9,3.1,35.4,2.5
Dak Prescott,QB,DAL,145.4,62.1,29.6,16.6,3.5,18.7,2.8
Sam Darnold,QB,NYJ,145.8,62.3,15.6,22.8,1.1,29.9,2.1
Rex Burkhead,RB,NEP,147,187.7,5.8,52.9,5,26.5,5.8
D'Onta Foreman,RB,HOU,147.8,188.7,22.9,46.3,2.2,64,10.5
DaeSean Hamilton,WR,DEN,150.3,192.2,41.3,62.2,10.7,113.9,9.2
Mark Andrews,TE,BAL,152,193.3,32,23.9,4.3,40.3,7.5
Curtis Samuel,WR,CAR,153.2,195.8,15.8,66.9,13.9,96.2,10.7
Geronimo Allison,WR,GBP,154,196.8,14.6,64.9,7.3,69.8,10.9
Chris Hogan,WR,NEP,154,196.8,26.4,71.4,9.6,22.8,6.2
Larry Fitzgerald,WR,ARI,155.4,198.6,40.6,70.6,6.3,16.6,3.5
Ito Smith,RB,ATL,155.6,198.3,15.1,47,3.7,91.6,7.6
Michael Crabtree,WR,BAL,156,199.3,35.7,55.7,9,29,5.1
Donte Moncrief,WR,JAC,157.8,201.5,18.5,60.7,4.6,69.3,8.6
Gus Edwards,RB,BAL,158.3,201.6,50.2,60.1,10.6,96.3,3.9
Ben Roethlisberger,QB,PIT,159.4,72.6,15.6,19.6,3,11,2.9
Paul Richardson,WR,WAS,162.2,207,21.4,82.8,3.9,65,8.7
Tyrell Williams,WR,LAC,162.8,207.7,20.8,71.2,4.3,59.9,9
Marqise Lee,WR,JAC,164.2,209.4,6,72.4,6.9,57.8,14.6
Taylor Gabriel,WR,CHI,165,210.4,19,82.6,5.5,89.6,9.7
Keelan Cole,WR,JAC,166.5,212.3,16.2,71.6,8.2,48.4,13
Kenneth Dixon,RB,BAL,166.7,211.9,33.6,62.6,9.5,66.2,6.8
Albert Wilson,WR,MIA,167,212.9,27,87.3,7.3,81,8.3
Vance McDonald,TE,PIT,167.2,211.6,23.1,20,2.7,22.9,3.8
Hayden Hurst,TE,BAL,167.2,211.6,21.4,24.8,2.7,29.1,4.9
Josh Rosen,QB,ARI,167.6,79.2,33.9,23,2.7,34.2,2.1
Jared Cook,TE,OAK,170.3,215.4,21.7,20,1.7,19.1,3.9
Josh Reynolds,WR,LAR,170.8,217.6,29.5,63.2,8.8,115,10.2
Josh Doctson,WR,WAS,170.8,217.6,19.2,64.7,5.6,56,8
Mohamed Sanu,WR,ATL,171,217.8,10,83.5,6.8,63.2,8.1
Latavius Murray,RB,MIN,173,219.6,19.3,59.4,4.8,50.2,6.9
Gerald Everett,TE,LAR,173.3,219,18,25.9,4.6,32.1,3.5
Greg Olsen,TE,CAR,177,223.4,18.3,23.3,3.7,5.4,1.6
Spencer Ware,RB,KCC,178,225.7,7.4,53.6,13.8,63.3,5.9
David Moore,WR,SEA,178,226.5,23.2,78.7,10.1,128.1,18.3
Corey Clement,RB,PHI,178.5,226.3,9.4,60.1,6.6,49.7,6.4
Kelvin Benjamin,WR,KCC,179.3,228.1,22.9,88,2.6,43.8,6.5
Chris Herndon IV,TE,NYJ,179.7,226.6,33.6,24.3,5,46.7,8
Adrian Peterson,RB,WAS,182,230.6,16.4,58.2,2.9,41.3,10.6
Theo Riddick,RB,DET,182.3,230.9,11.4,57.3,5.8,53.2,5.6
DeSean Jackson,WR,TBB,183.4,233.1,24.2,80.8,4.7,61.1,8.7
Josh Allen,QB,BUF,183.8,92.7,5.8,24.3,0.7,32.6,2
Pierre Garcon,WR,SFO,184.3,234.2,40.3,88.7,6.2,37.9,5.8
Zay Jones,WR,BUF,185.2,235.3,17.1,68.1,6.3,91.7,8.6
Equanimeous St. Brown,WR,GBP,185.2,235.3,15.6,77,8.5,105.1,14.4
John Kelly,RB,LAR,185.3,234.6,19,61.7,2.1,73.5,6.5
Andy Dalton,QB,CIN,185.5,94.2,6.5,26.8,1,22.8,3.1
Chase Edmonds,RB,ARI,186.5,236,21,65.4,7.8,70.8,7
Derek Carr,QB,OAK,186.8,95.3,12.8,25.6,1.1,21.6,3.2
Kalen Ballage,RB,MIA,188,237.9,8.2,58.3,7.8,71.7,8.8
Jordy Nelson,WR,OAK,188.3,239.2,12.1,81.3,6.6,42.4,7.2
Roc Thomas,RB,MIN,188.5,238.5,27.5,,,,
Delanie Walker,TE,TEN,191,240.2,10.7,27.8,3.6,6.7,1.9
Willie Snead,WR,BAL,191,242.5,19.8,85.9,5.5,89.3,8.3
Ian Thomas,TE,CAR,192,241.4,37,24.3,3.9,56.4,6.3
Jaylen Samuels,RB,PIT,192,242.7,25.5,66.3,10.5,41.3,9.7
Ty Montgomery,RB,BAL,192.7,243.6,36.4,67,8.2,49.3,5.9
Jordan Wilkins,RB,IND,195.5,247,4.7,63.9,2.7,52.4,9.1
Tyler Eifert,TE,CIN,196,246.1,36.6,31.3,3.3,15.8,3.7
Marshawn Lynch,RB,OAK,196,247.6,29.4,70.8,7.9,24.3,3.9
Cameron Meredith,WR,NOS,199.5,252.9,19.3,79.1,7.6,60.7,9.7
Jonnu Smith,TE,TEN,200,250.9,4.9,22.6,2.7,38.9,4.1
Cameron Brate,TE,TBB,203.3,254.8,6.2,25.8,3.8,18.3,3.4
Adam Humphries,WR,TBB,203.5,257.8,3.5,74.2,10.8,104.5,9.7
Martavis Bryant,WR,OAK,203.7,258.1,11.9,88.5,5.3,83.7,22.7
Jalen Richard,RB,OAK,204,257.3,11,71.8,13.5,79.7,6.8
Alex Smith,QB,WAS,206.5,113.2,14.2,29.2,1.9,17.1,3.2
Blake Bortles,QB,JAC,208,114.6,18.5,31.3,2.5,21.9,3.3
Allen Hurns,WR,DAL,208.3,263.7,13.1,86.6,7.8,51.3,8.7
Deon Cain,WR,IND,208.3,263.7,18,90.9,6.2,,
Ryan Grant,WR,IND,208.7,264.2,24.6,91,4.8,73.8,11.1
Robert Foster,WR,BUF,210.5,266.4,1.5,80.6,4.2,165,14.2
Austin Seferian-Jenkins,TE,JAC,211,264,15.1,28.6,3.8,20.4,4.3
Adam Shaheen,TE,CHI,211,264,5,30.1,2.1,40.2,8.5
Ryan Tannehill,QB,MIA,211.3,117.8,16.7,30,1.4,26.7,2.4
Mark Walton,RB,CIN,211.3,266.2,14.7,68.3,3.7,90.3,8.5
C.J. Anderson,RB,LAR,212,267,7,64.4,6.4,44.2,7.5
Ricky Seals-Jones,TE,ARI,213.7,267.2,16.4,24.5,2.7,19.4,3.7
Chris Conley,WR,KCC,215.5,272.6,,80.5,2.5,110.5,7.9
Bilal Powell,RB,NYJ,216.3,272.2,39.2,71.9,5.5,43.3,6.5
