name,pos,tm,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,redpECR,redpSD
Ryan Switzer,WR,PIT,258,324.5,12,115.8,14.6,121,11.3
Robert Griffin,QB,BAL,258.1,165.9,,50,3.7,64,5.4
Mike Glennon,QB,ARI,258.4,166.3,,50.3,3.7,66.2,3.7
Rod Smith,RB,DAL,258.9,323.7,,83.8,3.8,74.3,7.2
Brock Osweiler,QB,MIA,258.9,166.8,,50.8,5.6,52.3,6.3
Paxton Lynch,QB,FA,259.4,167.4,,51.3,4,56.8,14.4
Alfred Morris,RB,SFO,259.5,324.4,,84.4,8.1,36.3,11.8
Trevor Siemian,QB,MIN,259.9,167.9,,51.8,2.1,50,3.3
Jonathan Stewart,RB,NYG,260.4,325.5,,85.3,7.4,74.8,7.8
C.J. Prosise,RB,SEA,260.5,325.6,,85.4,4.2,78.4,6.3
Blaine Gabbert,QB,TEN,260.9,169,,52.8,4,47.3,3.1
Matt Barkley,QB,BUF,261.1,169.2,,53,6,55,6
Mike White,QB,DAL,261.1,169.2,,53,5,65.7,7.7
Jeremy Hill,RB,NEP,261.1,326.3,,86,4.1,66.4,9.5
Alfred Blue,RB,HOU,261.7,327.1,,86.6,3.4,79.3,9.2
Coby Fleener,TE,FA,262.1,324.4,,53,7,32,0
Maxx Williams,TE,BAL,262.3,324.6,,53.2,4.2,63.9,8.9
Anthony Firkser,TE,TEN,262.4,324.7,,53.3,9.1,,
Damien Williams,RB,KCC,263.9,329.7,,88.8,8.4,92.1,6.4
Seth DeValve,TE,CLE,264.1,326.7,,55,6.7,53.4,5.4
DeAndre Washington,RB,OAK,264.1,329.9,,89,6.4,83.8,5.8
Mike Gillislee,RB,FA,264.3,330.2,,89.2,3.2,74,10.1
Trenton Cannon,RB,NYJ,264.5,330.4,26.5,89.9,2.5,99,7.3
Virgil Green,TE,LAC,264.9,327.7,,55.8,5.3,38.1,6.2
Samaje Perine,RB,WAS,265,331,13,83.9,5.6,66.5,11.9
Bo Scarbrough,RB,SEA,265.7,331.9,,90.6,5.1,93.5,15.7
Chris Ivory,RB,BUF,265.9,332.1,,90.8,4,61,7.2
A.J. Derby,TE,MIA,268.1,331.4,,59,1.6,58.1,8.6
Erik Swoope,TE,IND,268.4,331.8,,59.3,6.8,62.4,7
Cameron Artis-Payne,RB,CAR,268.9,335.7,,93.8,9.9,92.1,5.6
Ryan Griffin,TE,HOU,269.1,332.6,,60,7.2,33.1,5.9
Marcus Murphy,RB,BUF,269.5,336.4,,94.4,8.6,89.1,7.5
Jordan Leggett,TE,NYJ,270.1,333.8,,61,6.4,54.5,5.9
Darren Sproles,RB,PHI,270.9,338.1,,95.8,4.4,68.8,5.6
Kyle Juszczyk,RB,SFO,271.1,338.4,,96,3.3,79.4,8.5
Boston Scott,RB,PHI,271.1,338.4,,96,8,84,12.3
Robert Kelley,RB,WAS,271.9,339.3,,96.8,3.3,65.8,10.2
Paul Perkins,RB,NYG,271.9,339.3,,96.8,4.8,91.3,8.3
Charcandrick West,RB,KCC,271.9,339.3,,96.8,9.5,99.3,10.4
Jeremy Sprinkle,TE,WAS,273.1,337.3,,64,10.6,81.7,5.5
Jacquizz Rodgers,RB,TBB,273.5,341.2,,98.4,5.6,85.1,7.7
De'Angelo Henderson,RB,NYJ,273.5,341.2,,98.4,3.4,87.6,8.1
Darrel Williams,RB,KCC,275.7,343.9,,100.6,5,94.4,3.6
Jonathan Williams,RB,IND,275.8,344,,100.7,6.8,85.6,13.1
Bucky Hodges,TE,PIT,276.8,341.6,,67.7,3.8,,
Thomas Rawls,RB,FA,277.1,345.6,,102,9,93.9,14.6
Benny Cunningham,RB,CHI,277.4,345.9,,102.3,6.9,98.1,5.8
Shane Vereen,RB,NOS,278.6,347.4,,103.5,9.5,96.5,7.5
Stevan Ridley,RB,PIT,280.1,349.2,,105,9,102.2,6.6
J.D. McKissic,RB,SEA,280.6,349.8,,105.5,9.5,99,9.9
Taquan Mizzell,RB,CHI,281.6,351,,106.5,9.5,131.5,1.5
Orleans Darkwa,RB,FA,281.8,351.2,,106.7,7.6,90.8,11.4
Charles Sims,RB,FA,284.1,354,,109,9,88,9.9
