"player","pos","team","age","draft_year","ecr_1qb","ecr_2qb","ecr_pos","value_1qb","value_2qb","scrape_date","fp_id"
"Tee Higgins","WR","CIN",27,2020,44.7,55.2,20.5,3673,2870,"2026-01-02","19211"
"Chase Brown","RB","CIN",25.8,2023,45.6,59.8,14.8,3596,2576,"2026-01-02","25324"
"Jalen Hurts","QB","PHI",27.4,2020,46.3,8.7,6.8,3537,8559,"2026-01-02","19275"
"Josh Jacobs","RB","GB",27.9,2019,46.4,61.8,15,3529,2457,"2026-01-02","18269"
"RJ Harvey","RB","DEN",24.9,2025,47.6,61.4,14,3431,2481,"2026-01-02","27142"
"2026 Pick 1.05","PICK",NA,NA,NA,48.52,40.03,NA,3357,4099,"2026-01-02",NA
"Kyren Williams","RB","LAR",25.4,2022,48.9,65.4,15.5,3328,2258,"2026-01-02","23059"
"Sam LaPorta","TE","DET",25,2023,48.9,60.1,6.6,3328,2557,"2026-01-02","22978"
"Travis Etienne Jr.","RB","JAC",26.9,2021,50.1,64.9,19.5,3235,2285,"2026-01-02","19231"
"DK Metcalf","WR","PIT",28.1,2019,53.2,77.8,32.2,3008,1687,"2026-01-02","18219"
"Luther Burden III","WR","CHI",22.1,2025,54.2,66.8,25.7,2938,2185,"2026-01-02","27016"
"2026 Pick 1.06","PICK",NA,NA,NA,56.84,48.1625,NA,2761,3386,"2026-01-02",NA
"Colston Loveland","TE","CHI",21.7,2025,57,69.4,5.4,2751,2055,"2026-01-02","26006"
"Travis Hunter","WR","JAC",22.6,2025,57.6,74.6,30.8,2712,1819,"2026-01-02","26034"
"Michael Pittman Jr.","WR","IND",28.2,2020,57.8,87.2,35.3,2700,1353,"2026-01-02","19278"
"Ricky Pearsall","WR","SF",25.3,2024,58.4,74.2,30.3,2662,1836,"2026-01-02","26214"
"Jordan Addison","WR","MIN",23.9,2023,59.4,72.8,28.2,2600,1898,"2026-01-02","23107"
"Tucker Kraft","TE","GB",25.2,2023,59.8,72.8,5.6,2576,1898,"2026-01-02","25298"
"Kenneth Walker III","RB","SEA",25.2,2022,60.2,76.2,18.8,2551,1752,"2026-01-02","23021"
"Harold Fannin Jr.","TE","CLE",21.5,2025,61,74.4,5.8,2504,1828,"2026-01-02","27050"
"Justin Herbert","QB","LAC",27.8,2020,61,14.6,7.7,2504,7450,"2026-01-02","18635"
"Kyle Pitts Sr.","TE","ATL",25.2,2021,63.4,86.6,8.4,2367,1372,"2026-01-02","20164"
"Christian Watson","WR","GB",26.6,2022,63.6,81,32.5,2356,1565,"2026-01-02","23886"
"Javonte Williams","RB","DAL",25.7,2021,63.8,78,19.8,2345,1679,"2026-01-02","22739"
"Cam Skattebo","RB","NYG",23.9,2025,64,78.6,19.8,2334,1656,"2026-01-02","27166"
"Derrick Henry","RB","BAL",32,2016,64.4,79,19.2,2312,1640,"2026-01-02","15514"
"2026 Pick 1.07","PICK",NA,NA,NA,65.01,56.18,NA,2279,2804,"2026-01-02",NA
"Terry McLaurin","WR","WAS",30.3,2019,68.8,83.4,34.3,2085,1479,"2026-01-02","18466"
"Brandon Aiyuk","WR","SF",27.8,2020,69.7,83.5,44.8,2041,1476,"2026-01-02","19252"
"Caleb Williams","QB","CHI",24.1,2024,69.8,15.4,8.8,2036,7312,"2026-01-02","23084"
"2027 Mid 1st","PICK",NA,NA,NA,70.3454702686898,61.6079702686898,NA,2010,2468,"2026-01-02",NA
"2027 1st","PICK",NA,NA,NA,70.3689077686898,61.3468244353564,NA,2009,2484,"2026-01-02",NA
"Courtland Sutton","WR","DEN",30.2,2018,71,84,32.3,1980,1458,"2026-01-02","17253"
"Dalton Kincaid","TE","BUF",26.2,2023,71.3,83.8,11.2,1966,1465,"2026-01-02","25247"
"DJ Moore","WR","CHI",28.7,2018,71.6,104.6,37.8,1952,899,"2026-01-02","17265"
"2026 Pick 1.08","PICK",NA,NA,NA,73.03,64.0775,NA,1887,2329,"2026-01-02",NA
"Xavier Worthy","WR","KC",22.7,2024,74.2,90.2,36.7,1836,1261,"2026-01-02","23019"
"Davante Adams","WR","LAR",33,2014,74.2,91.6,37,1836,1220,"2026-01-02","12123"
"C.J. Stroud","QB","HOU",24.2,2023,75.7,26.1,15.2,1773,5686,"2026-01-02","23071"
"Wan'Dale Robinson","WR","NYG",25,2022,76,92,38.3,1760,1208,"2026-01-02","22985"
"George Kittle","TE","SF",32.2,2017,78.6,92.6,8.4,1656,1192,"2026-01-02","16499"
"2028 1st","PICK",NA,NA,NA,79.8643780373795,70.8422947040462,NA,1607,1987,"2026-01-02",NA
"D'Andre Swift","RB","CHI",27,2020,80.2,95.6,23.7,1595,1110,"2026-01-02","19210"
"2026 Pick 1.09","PICK",NA,NA,NA,80.915,71.845,NA,1568,1941,"2026-01-02",NA
