"player","pos","team","age","draft_year","ecr_1qb","ecr_2qb","ecr_pos","value_1qb","value_2qb","scrape_date","fp_id"
"Bam Knight","RB","ARI",24.7,2022,219.2,221.2,72.2,61,58,"2026-01-02","24901"
"Jalen Royals","WR","KC",22.9,2025,220.4,228.4,93.6,59,49,"2026-01-02","27076"
"2026 Pick 3.07","PICK",NA,NA,NA,220.52,211.785,NA,59,72,"2026-01-02",NA
"Pat Freiermuth","TE","PIT",27.2,2021,220.6,226.2,33.6,59,52,"2026-01-02","20163"
"Tua Tagovailoa","QB","MIA",27.8,2020,221.2,88.3,29.8,58,1318,"2026-01-02","19198"
"Keaton Mitchell","RB","BAL",24,2023,224,228.8,62,54,49,"2026-01-02","25360"
"2026 Pick 3.08","PICK",NA,NA,NA,225.51,216.7275,NA,52,64,"2026-01-02",NA
"Ryan Flournoy","WR","DAL",26.2,2024,225.7,224,87.8,52,54,"2026-01-02","26398"
"Jake Tonges","TE","SF",26.5,2022,226,233.5,34.5,52,43,"2026-01-02","24778"
"Nick Chubb","RB","HOU",30,2018,226.5,233,79.2,51,44,"2026-01-02","17246"
"2027 3rd","PICK",NA,NA,NA,226.95422026869,217.860886935356,NA,51,63,"2026-01-02",NA
"Mike Gesicki","TE","CIN",30.3,2018,227,233.6,35.8,51,43,"2026-01-02","17272"
"MarShawn Lloyd","RB","GB",25,2024,227.2,233.2,72.8,50,44,"2026-01-02","23118"
"2027 Mid 3rd","PICK",NA,NA,NA,227.45172026869,218.66984526869,NA,50,62,"2026-01-02",NA
"Joshua Palmer","WR","BUF",26.3,2021,227.6,237,96.8,50,40,"2026-01-02","22845"
"Aaron Rodgers","QB","PIT",42.1,2005,228.6,130.8,34.7,49,486,"2026-01-02","9001"
"Jaylin Lane","WR","WAS",23.7,2025,229.2,239.8,100.3,48,37,"2026-01-02","27454"
"Luke McCaffrey","WR","WAS",24.8,2024,229.2,238.2,101,48,39,"2026-01-02","26328"
"Jarquez Hunter","RB","LAR",23,2025,230,228.8,68.3,47,49,"2026-01-02","24335"
"2026 Pick 3.09","PICK",NA,NA,NA,230.38,221.46,NA,47,58,"2026-01-02",NA
"Andrei Iosivas","WR","CIN",26.2,2023,231.5,239,95.7,46,38,"2026-01-02","25335"
"Devin Singletary","RB","NYG",28.3,2019,231.8,241.8,78.3,45,36,"2026-01-02","18280"
"2026 Pick 3.10","PICK",NA,NA,NA,235.135,225.9625,NA,42,52,"2026-01-02",NA
"Ja'Tavion Sanders","TE","CAR",22.8,2024,235.8,233.4,37.6,41,44,"2026-01-02","24334"
"Devaughn Vele","WR","NO",28.1,2024,236,242.4,96.3,41,35,"2026-01-02","26409"
"Isaac Guerendo","RB","SF",25.5,2024,236,242,76,41,36,"2026-01-02","26392"
"2028 3rd","PICK",NA,NA,NA,236.44969053738,227.356357204046,NA,41,50,"2026-01-02",NA
"John Metchie III","WR","NYJ",25.5,2022,237.3,233,97.2,40,44,"2026-01-02","22895"
"Michael Carter","RB","ARI",26.7,2021,237.5,232,80.8,40,45,"2026-01-02","22728"
"Will Shipley","RB","PHI",23.3,2024,237.6,242.6,75.8,39,35,"2026-01-02","22930"
"Trevor Etienne","RB","CAR",21.5,2025,238.8,244.8,79,38,33,"2026-01-02","25393"
"Colby Parkinson","TE","LAR",27,2020,239,237,35.5,38,40,"2026-01-02","19372"
"2026 Pick 3.11","PICK",NA,NA,NA,239.785,230.3025,NA,37,47,"2026-01-02",NA
"Darnell Washington","TE","PIT",24.4,2023,243.4,246.8,39,34,32,"2026-01-02","22967"
"Kendrick Bourne","WR","SF",30.4,2017,244,247.7,112.2,34,31,"2026-01-02","17066"
"2026 Pick 3.12","PICK",NA,NA,NA,244.31,234.5425,NA,34,42,"2026-01-02",NA
"Jonnu Smith","TE","PIT",30.4,2017,244.6,245.4,36.2,33,33,"2026-01-02","16460"
"Roman Wilson","WR","PIT",24.5,2024,245.8,249.8,106.2,33,30,"2026-01-02","26160"
"Savion Williams","WR","GB",24.1,2025,246,252.2,99.6,32,28,"2026-01-02","27144"
"Justin Fields","QB","NYJ",26.8,2021,246.3,137,34.7,32,420,"2026-01-02","19781"
"2027 Late 3rd","PICK",NA,NA,NA,246.89797026869,237.56234526869,NA,32,40,"2026-01-02",NA
"KeAndre Lambert-Smith","WR","LAC",24.2,2025,248.2,255.5,106.4,31,26,"2026-01-02","24372"
"Noah Gray","TE","KC",26.7,2021,248.4,251.2,39.8,31,29,"2026-01-02","19539"
"2026 Pick 4.01","PICK",NA,NA,NA,248.73,238.7375,NA,30,38,"2026-01-02",NA
"Marcus Mariota","QB","WAS",32.2,2015,250,344.8,40,29,3,"2026-01-02","13890"
"Cole Kmet","TE","CHI",26.8,2020,250.8,253.8,37.4,29,27,"2026-01-02","19229"
"Calvin Austin III","WR","PIT",26.8,2022,251.2,246.2,98.4,29,32,"2026-01-02","23739"
"Jordan Whittington","WR","LAR",25.3,2024,251.8,258,106.8,28,24,"2026-01-02","23135"
"Tyrod Taylor","QB","NYJ",36.4,2011,252,176.5,45.2,28,166,"2026-01-02","10007"
"2026 Pick 4.02","PICK",NA,NA,NA,253.095,242.935,NA,27,35,"2026-01-02",NA
"LeQuint Allen Jr.","RB","JAC",21.4,2025,253.2,259.2,81.3,27,24,"2026-01-02","27285"
"DeAndre Hopkins","WR","BAL",33.6,2013,254.7,261.3,112.6,26,23,"2026-01-02","11606"
"Tahj Brooks","RB","CIN",23.6,2025,255,250.4,72.3,26,29,"2026-01-02","26212"
"Olamide Zaccheaus","WR","CHI",28.4,2019,256,261,110.4,26,23,"2026-01-02","18864"
"Geno Smith","QB","LV",35.2,2013,256.3,149.3,34.7,25,314,"2026-01-02","11687"
"Konata Mumpfield","WR","LAR",23.2,2025,256.3,250.7,101,25,29,"2026-01-02","27449"
"2026 Pick 4.03","PICK",NA,NA,NA,257.42,247.045,NA,25,32,"2026-01-02",NA
"Austin Ekeler","RB","WAS",NA,NA,258,265.7,88,24,20,"2026-01-02","16483"
"Tyquan Thornton","WR","KC",25.4,2022,258.3,254.3,108.4,24,27,"2026-01-02","22913"
"Xavier Hutchinson","WR","HOU",25.6,2023,258.5,262,114,24,22,"2026-01-02","25332"
"2026 Pick 4.04","PICK",NA,NA,NA,261.655,250.98,NA,22,29,"2026-01-02",NA
"Kirk Cousins","QB","ATL",37.4,2012,261.7,196.5,36.3,22,104,"2026-01-02","11177"
"Jaleel McLaughlin","RB","DEN",25.3,2023,262.8,262.2,80.8,22,22,"2026-01-02","25876"
"Mack Hollins","WR","NE",32.3,2017,263,258.3,106.6,22,24,"2026-01-02","16489"
"Samaje Perine","RB","CIN",30.3,2017,263,250.7,86,22,29,"2026-01-02","16423"
"Noah Fant","TE","CIN",28.1,2019,264,267.8,44.2,21,19,"2026-01-02","17527"
"Jerome Ford","RB","CLE",26.3,2022,264.2,260.8,81.7,21,23,"2026-01-02","22921"
"2027 Early 4th","PICK",NA,NA,NA,264.72047026869,254.41984526869,NA,21,27,"2026-01-02",NA
"Zach Ertz","TE","WAS",35.1,2013,265,267,45.5,21,20,"2026-01-02","11689"
"2026 Pick 4.05","PICK",NA,NA,NA,265.785,254.6175,NA,20,26,"2026-01-02",NA
"Jalen Nailor","WR","MIN",26.8,2022,266,259.7,109,20,23,"2026-01-02","24177"
"Jameis Winston","QB","NYG",32,2015,266,345.8,41,20,3,"2026-01-02","13891"
"Antonio Gibson","RB","NE",27.5,2020,266.5,272,87.5,20,18,"2026-01-02","19624"
"Darren Waller","TE","MIA",33.3,2015,266.7,261.3,43.8,20,23,"2026-01-02","14104"
"Adam Thielen","WR","PIT",NA,NA,267.2,268.8,119.4,20,19,"2026-01-02","13429"
"2026 Pick 4.06","PICK",NA,NA,NA,269.765,257.9325,NA,19,24,"2026-01-02",NA
"Xavier Restrepo","WR","TEN",23.7,2025,270.5,290.5,118.6,18,11,"2026-01-02","27066"
"Luke Musgrave","TE","GB",25.3,2023,271.2,275,44.2,18,16,"2026-01-02","25282"
"Jordan James","RB","SF",21.8,2025,271.7,275,82.5,18,16,"2026-01-02","27310"
"Raheim Sanders","RB","CLE",23.6,2025,271.7,277.3,81.4,18,16,"2026-01-02","24351"
"Efton Chism III","WR","NE",24.2,2025,272,275.2,111,18,16,"2026-01-02","27445"
"Ja'Lynn Polk","WR","NO",23.7,2024,272,295.5,132,18,10,"2026-01-02","26205"
"Kalel Mullings","RB","TEN",23.2,2025,273.5,293.5,87.5,17,11,"2026-01-02","27045"
"2026 Pick 4.07","PICK",NA,NA,NA,273.595,261.215,NA,17,23,"2026-01-02",NA
"Jalen Milroe","QB","SEA",23.1,2025,275.7,154.5,39.3,16,278,"2026-01-02","22884"
"Tai Felton","WR","MIN",22.8,2025,276,278.7,119,16,15,"2026-01-02","27182"
"Dyami Brown","WR","JAC",26.2,2021,277,270,108.8,16,18,"2026-01-02","20113"
"Elijah Mitchell","RB","NE",NA,NA,277,280.5,92,16,14,"2026-01-02","22813"
"2026 Pick 4.08","PICK",NA,NA,NA,277.265,264.4375,NA,16,21,"2026-01-02",NA
"Taysom Hill","TE","NO",35.4,2017,279,269,48.2,15,19,"2026-01-02","17115"
"Dawson Knox","TE","BUF",29.1,2019,279.3,271,41.2,15,18,"2026-01-02","18631"
"2027 4th","PICK",NA,NA,NA,280.407553602023,268.324428602023,NA,14,19,"2026-01-02",NA
"2026 Pick 4.09","PICK",NA,NA,NA,280.825,267.5525,NA,14,20,"2026-01-02",NA
"Roschon Johnson","RB","CHI",24.9,2023,281,282.3,92,14,14,"2026-01-02","25322"
"2027 Mid 4th","PICK",NA,NA,NA,281.09797026869,269.04609526869,NA,14,19,"2026-01-02",NA
"Tyler Lockett","WR","LV",33.3,2015,281.5,303,118,14,8,"2026-01-02","13971"
"Emari Demercado","RB","ARI",27,2023,282.3,266.3,84.2,14,20,"2026-01-02","25654"
"KaVontae Turpin","WR","DAL",29.4,2022,284,275.7,115.8,13,16,"2026-01-02","18520"
"2026 Pick 4.10","PICK",NA,NA,NA,284.285,270.57,NA,13,18,"2026-01-02",NA
"Jeremy McNichols","RB","WAS",30,2017,284.7,268,86.8,13,19,"2026-01-02","16445"
"Jahan Dotson","WR","PHI",25.8,2022,285.7,298,129.4,13,10,"2026-01-02","23101"
"Spencer Rattler","QB","NO",25.3,2024,286,350,45.2,13,3,"2026-01-02","23081"
"2026 Pick 4.11","PICK",NA,NA,NA,287.635,273.515,NA,12,17,"2026-01-02",NA
"2028 4th","PICK",NA,NA,NA,289.903023870713,277.819898870713,NA,12,15,"2026-01-02",NA
"2026 Pick 4.12","PICK",NA,NA,NA,290.89,276.41,NA,11,16,"2026-01-02",NA
"Jordan Watkins","WR","SF",23.9,2025,292.5,292,119.4,11,11,"2026-01-02","27486"
"Ty Johnson","RB","BUF",28.3,2019,293,271.7,84.2,11,18,"2026-01-02","18406"
"2026 Pick 5.01","PICK",NA,NA,NA,294.055,279.275,NA,10,15,"2026-01-02",NA
"Tutu Atwell","WR","LAR",26.2,2021,294.7,296.7,118,10,10,"2026-01-02","20126"
"Miles Sanders","RB","DAL",28.7,2019,295.3,297,94.4,10,10,"2026-01-02","18283"
"2027 Late 4th","PICK",NA,NA,NA,295.40422026869,281.50734526869,NA,10,14,"2026-01-02",NA
"Nick Westbrook-Ikhine","WR","MIA",28.8,2020,295.5,299,116,10,9,"2026-01-02","19747"
"Cade Stover","TE","HOU",25.6,2024,296.7,295,50.6,10,10,"2026-01-02","25269"
"2026 Pick 5.02","PICK",NA,NA,NA,297.11,282.06,NA,10,14,"2026-01-02",NA
"Jalen Tolbert","WR","DAL",26.8,2022,298,294.3,117,10,10,"2026-01-02","23770"
"Greg Dulcich","TE","MIA",25.8,2022,298.7,283,46.6,9,14,"2026-01-02","23153"
"Dillon Gabriel","QB","CLE",25,2025,299.3,348.5,43.7,9,3,"2026-01-02","23150"
"2026 Pick 5.03","PICK",NA,NA,NA,300.035,284.735,NA,9,13,"2026-01-02",NA
"2026 Pick 5.04","PICK",NA,NA,NA,302.86,287.3475,NA,9,12,"2026-01-02",NA
"Rasheen Ali","RB","BAL",24.9,2024,304.5,285,90.6,8,13,"2026-01-02","25983"
"2026 Pick 5.05","PICK",NA,NA,NA,305.575,289.93,NA,8,12,"2026-01-02",NA
"Tyler Higbee","TE","LAR",33,2016,306,305.7,48.6,8,8,"2026-01-02","15623"
"Elijah Moore","WR","DEN",25.8,2021,307,304,116,8,8,"2026-01-02","20114"
"2027 Early 5th","PICK",NA,NA,NA,308.01047026869,292.84984526869,NA,8,11,"2026-01-02",NA
"2026 Pick 5.06","PICK",NA,NA,NA,308.195,292.5075,NA,8,11,"2026-01-02",NA
"Jalin Hyatt","WR","NYG",24.3,2023,309,319,134.2,7,6,"2026-01-02","25251"
"2026 Pick 5.07","PICK",NA,NA,NA,310.715,295.0475,NA,7,10,"2026-01-02",NA
"Malachi Corley","WR","CLE",23.8,2024,311,323,133.5,7,5,"2026-01-02","26023"
"A.J. Dillon","RB","PHI",27.7,2020,312.7,310.3,99.2,7,7,"2026-01-02","19358"
"Erick All Jr.","TE","CIN",25.3,2024,313,325.5,58,7,5,"2026-01-02","23837"
"2026 Pick 5.08","PICK",NA,NA,NA,313.14,297.4675,NA,7,10,"2026-01-02",NA
"2026 Pick 5.09","PICK",NA,NA,NA,315.485,299.825,NA,6,9,"2026-01-02",NA
"Thomas Fidone II","TE","NYG",23.3,2025,316.5,308.5,52.5,6,7,"2026-01-02","23039"
"2026 Pick 5.10","PICK",NA,NA,NA,317.78,302.1425,NA,6,9,"2026-01-02",NA
"Elijah Higgins","TE","ARI",25.2,2023,318.3,301,51,6,9,"2026-01-02","23119"
"2027 5th","PICK",NA,NA,NA,318.427553602023,302.95609526869,NA,6,8,"2026-01-02",NA
"Jimmy Horn Jr.","WR","CAR",23.3,2025,318.5,302.5,118.4,6,9,"2026-01-02","27294"
"2027 Mid 5th","PICK",NA,NA,NA,318.90172026869,303.23359526869,NA,6,8,"2026-01-02",NA
"Dameon Pierce","RB","KC",25.9,2022,319,302,94.7,6,9,"2026-01-02","22947"
"Justice Hill","RB","BAL",28.1,2019,319.5,302,90.6,6,9,"2026-01-02","18256"
"2026 Pick 5.11","PICK",NA,NA,NA,320.02,304.45,NA,6,8,"2026-01-02",NA
"Tyler Conklin","TE","LAC",30.4,2018,321.7,318.7,54.3,5,6,"2026-01-02","17598"
"2026 Pick 5.12","PICK",NA,NA,NA,322.215,306.74,NA,5,8,"2026-01-02",NA
"Brandin Cooks","WR","BUF",32.3,2014,322.5,301,119.4,5,9,"2026-01-02","12122"
"2028 5th","PICK",NA,NA,NA,327.923023870713,312.45156553738,NA,5,7,"2026-01-02",NA
"2027 Late 5th","PICK",NA,NA,NA,328.37047026869,312.78484526869,NA,5,7,"2026-01-02",NA
"Chris Brooks","RB","GB",26,2023,328.4,325.2,78.7,5,5,"2026-01-02","25823"
"Tommy Tremble","TE","CAR",25.6,2021,333,313,52.5,4,7,"2026-01-02","22795"
"Phil Mafah","RB","DAL",23.2,2025,335.5,316.5,100.3,4,6,"2026-01-02","22928"
"Nick Nash","WR","ATL",NA,NA,335.8,335.8,120,4,4,"2026-01-02","27263"
"Demarcus Robinson","WR","SF",31.3,2016,336.5,317,127.7,4,6,"2026-01-02","15665"
"Noah Brown","WR","WAS",30,2017,337.3,337.3,121.5,4,4,"2026-01-02","16443"
"Mitchell Evans","TE","CAR",22.8,2025,338,313.5,48.8,4,7,"2026-01-02","27138"
"Diontae Johnson","WR","FA",NA,NA,339.8,339.8,124,4,4,"2026-01-02","18615"
"Greg Dortch","WR","ARI",27.6,2019,341,341,125.2,3,3,"2026-01-02","18585"
"Devontez Walker","WR","BAL",24.5,2024,342.6,342.6,126.8,3,3,"2026-01-02","26011"
"Grant Calcaterra","TE","PHI",27.1,2022,343,343,51,3,3,"2026-01-02","24180"
"Damien Martinez","RB","GB",NA,NA,343.7,340.5,94,3,4,"2026-01-02","25976"
"Sterling Shepard","WR","TB",32.9,2016,345,342.8,127,3,3,"2026-01-02","15569"
"Javon Baker","WR","SF",NA,NA,345.3,345.3,129.5,3,3,"2026-01-02","22885"
"Treylon Burks","WR","WAS",25.8,2022,346.4,346.4,130.6,3,3,"2026-01-02","22905"
"Quinn Ewers","QB","MIA",22.6,2025,346.8,156.5,42,3,265,"2026-01-02","23680"
"Isaiah Hodgins","WR","NYG",27.2,2020,346.8,346.8,131,3,3,"2026-01-02","19375"
"JuJu Smith-Schuster","WR","KC",29.1,2017,346.8,346.8,131,3,3,"2026-01-02","16427"
"Arian Smith","WR","NYJ",24.2,2025,347,323.5,125.3,3,5,"2026-01-02","22965"
"Cam Akers","RB","SEA",26.5,2020,347.2,344,97.5,3,3,"2026-01-02","19268"
"Will Dissly","TE","LAC",29.5,2018,347.7,347.7,55.7,3,3,"2026-01-02","18049"
"Austin Hooper","TE","NE",31.2,2016,349,323,55.8,3,5,"2026-01-02","15581"
"Hunter Long","TE","JAC",27.4,2021,349,328,57,3,5,"2026-01-02","22783"
"Tyler Badie","RB","DEN",25.9,2022,349,345.8,99.3,3,3,"2026-01-02","23812"
"Raheem Mostert","RB","LV",NA,NA,349,345.8,99.3,3,3,"2026-01-02","14338"
"Joe Milton III","QB","DAL",25.8,2024,349.1,349.1,44.3,3,3,"2026-01-02","25967"
"Luke Schoonmaker","TE","DAL",27.3,2023,349.5,349.5,57.5,3,3,"2026-01-02","25267"
"Daniel Bellinger","TE","NYG",25.3,2022,349.8,349.8,57.8,3,3,"2026-01-02","24238"
"Jacob Cowing","WR","SF",24.9,2024,350.3,350.3,134.5,3,3,"2026-01-02","25289"
"George Holani","RB","SEA",26,2024,351.2,325,101.5,3,5,"2026-01-02","22915"
"Jeremy Ruckert","TE","NYJ",25.4,2022,352,352,60,3,3,"2026-01-02","23742"
"Joe Flacco","QB","CIN",41,2008,352.6,352.6,47.8,3,3,"2026-01-02","9300"
"Aidan O'Connell","QB","LV",27.3,2023,352.6,352.6,47.8,3,3,"2026-01-02","24330"
"Zamir White","RB","LV",26.3,2022,353.2,329.5,103.5,3,5,"2026-01-02","20095"
"Deshaun Watson","QB","CLE",NA,NA,353.2,353.2,48.4,3,3,"2026-01-02","16398"
"Dylan Laube","RB","LV",26.1,2024,353.2,350,103.5,3,3,"2026-01-02","26194"
"Will Levis","QB","TEN",26.5,2023,354,354,49.2,3,3,"2026-01-02","22987"
"Stone Smartt","TE","NYJ",27.2,2022,354.5,354.5,62.5,3,3,"2026-01-02","24621"
"Jake Bobo","WR","SEA",27.4,2023,354.8,354.8,139,3,3,"2026-01-02","25339"
"Van Jefferson","WR","TEN",29.4,2020,355.1,355.1,139.3,2,2,"2026-01-02","19483"
"Josh Oliver","TE","MIN",28.8,2019,355.2,355.2,63.2,2,2,"2026-01-02","18487"
"Russell Wilson","QB","NYG",37.1,2012,355.4,355.4,50.6,2,2,"2026-01-02","11180"
"Will Howard","QB","PIT",24.3,2025,355.4,355.4,50.6,2,2,"2026-01-02","25972"
"Kenny Pickett","QB","LV",27.6,2022,355.6,355.6,50.8,2,2,"2026-01-02","22722"
"Trey Lance","QB","LAC",25.7,2021,355.8,355.8,51,2,2,"2026-01-02","20082"
"Gardner Minshew II","QB","KC",29.6,2019,356.4,356.4,51.6,2,2,"2026-01-02","18562"
"Allen Lazard","WR","FA",NA,NA,356.8,356.8,141,2,2,"2026-01-02","17301"
"Zach Wilson","QB","MIA",26.4,2021,357,357,52.2,2,2,"2026-01-02","22679"
"Foster Moreau","TE","NO",28.7,2019,357,357,65,2,2,"2026-01-02","18397"
"Tyler Huntley","QB","BAL",27.9,2020,357.1,357.1,52.3,2,2,"2026-01-02","19297"
"Brady Cook","QB","NYJ",NA,NA,357.3,357.3,52.5,2,2,"2026-01-02","27161"
"Marquez Valdes-Scantling","WR","PIT",31.2,2018,357.3,357.3,141.5,2,2,"2026-01-02","17528"
"Charlie Kolar","TE","BAL",26.9,2022,357.5,357.5,65.5,2,2,"2026-01-02","22756"
"Riley Leonard","QB","IND",23.3,2025,358,358,53.2,2,2,"2026-01-02","25373"
"Tanner McKee","QB","PHI",25.7,2023,358,358,53.2,2,2,"2026-01-02","24740"
"Davis Allen","TE","LAR",24.9,2023,358,358,66,2,2,"2026-01-02","23761"
"Zay Jones","WR","ARI",30.8,2017,358.8,358.8,143,2,2,"2026-01-02","16431"
"Jermaine Burton","WR","FA",NA,NA,358.8,358.8,143,2,2,"2026-01-02","22956"
"Gabe Davis","WR","BUF",26.8,2020,359.3,359.3,143.5,2,2,"2026-01-02","19398"
"Jimmy Garoppolo","QB","LAR",34.2,2014,359.8,359.8,55,2,2,"2026-01-02","12208"
"Curtis Samuel","WR","BUF",29.4,2017,359.8,359.8,144,2,2,"2026-01-02","16434"
"Jawhar Jordan","RB","HOU",NA,NA,360.2,357,110.5,2,2,"2026-01-02","26329"
"Jake Browning","QB","CIN",29.7,2019,360.8,360.8,56,2,2,"2026-01-02","18557"
"Brock Wright","TE","DET",27.1,2021,361,361,69,2,2,"2026-01-02","23341"
"Jamari Thrash","WR","CLE",25,2024,361.8,361.8,146,2,2,"2026-01-02","26162"
"Mason Rudolph","QB","PIT",30.5,2018,362.2,362.2,57.4,2,2,"2026-01-02","17234"
"Davis Mills","QB","HOU",27.2,2021,364.5,364.5,59.7,2,2,"2026-01-02","22799"
"Evan Hull","RB","NO",NA,NA,364.7,361.5,115,2,2,"2026-01-02","25325"
"Carson Wentz","QB","MIN",33,2016,365.5,365.5,60.7,2,2,"2026-01-02","15520"
"Tyson Bagent","QB","CHI",25.6,2023,367.8,367.8,63,2,2,"2026-01-02","25321"
"Tyler Scott","WR","LAR",24.2,2023,368.8,368.8,153,2,2,"2026-01-02","25442"
"Max Brosmer","QB","MIN",24.8,2025,369.1,369.1,64.3,2,2,"2026-01-02","27580"
"Jonathan Mingo","WR","DAL",24.7,2023,369.3,369.3,153.5,2,2,"2026-01-02","23030"
"Sam Howell","QB","PHI",25.3,2022,369.5,369.5,64.7,2,2,"2026-01-02","23045"
"Andy Dalton","QB","CAR",38.2,2011,370,370,65.2,2,2,"2026-01-02","9907"
"Joshua Dobbs","QB","NE",NA,NA,372.5,372.5,67.7,2,2,"2026-01-02","16417"
"Malik Davis","RB","DAL",NA,NA,373.2,370,123.5,2,2,"2026-01-02","24205"
"Cooper Rush","QB","BAL",32.1,2017,373.3,373.3,68.5,2,2,"2026-01-02","16477"
"Kyle McCord","QB","PHI",23.3,2025,373.8,373.8,69,2,2,"2026-01-02","23066"
"Mitchell Trubisky","QB","BUF",NA,NA,374.8,374.8,70,2,2,"2026-01-02","16381"
"Jarrett Stidham","QB","DEN",NA,NA,374.8,374.8,70,2,2,"2026-01-02","18604"
"Drew Lock","QB","SEA",29.1,2019,376.3,376.3,71.5,2,2,"2026-01-02","18225"
"Nick Mullens","QB","JAC",NA,NA,377.3,377.3,72.5,1,1,"2026-01-02","16726"
"Stetson Bennett IV","QB","LAR",28.2,2023,377.8,377.8,73,1,1,"2026-01-02","23927"
"Bailey Zappe","QB","CLE",NA,NA,386.3,386.3,81.5,1,1,"2026-01-02","24027"
