gsis_id,pfr_id,mfl_id,sleeper_id,fantasy_data_id,rotowire_id,sportradar_id,rotoworld_id,yahoo_id,espn_id,stats_id,first_name,last_name,name,mergename,pos,team,age,salary_avg,fa_year,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,rdpECR,rdpSD,draft_year,college,draft_round,draft_pick,draft_rookieadp,draft_2QBrookieadp,height,weight,armLength,handsize,forty,twenty-split,ten-split,bench,vertical,broad,shuttle,cone,RAS,offSnaps,offSnapsPct,gms,paATTs,paCMPs,paYDs,paTDs,paINTs,pa_aya,tm_paATTs,ruATTs,ruYDs,ruTDs,tm_ruATTs,tm_ruYDs,ms_ruATTs,tgts,recs,reYDs,reTDs,reAYDs,wopr,racr,adot,yac,ms_tgts,ms_AYDs,tm_tgts,tm_AYDs,1Ds,tm_1Ds,ms_1Ds,ppr,ppr/g
00-0033897,MixoJo00,13131,4018,18858,11707,7797f36e-87e8-4282-b6d2-bdb1774fc3b3,12147,30161,3116385,820727,Joe,Mixon,"Mixon, Joe",Joe Mixon,RB,CIN,23.1,1.36,2021,12.4,17.4,3.4,6.3,1.5,9,2.5,2017,Oklahoma,2,16,4,4,73,220,NA,NA,4.5,2.67,1.56,21,35,118,4.32,7.15,8.79,595,0.5968,14,,,,,,,542,237,1168,8,357,1676,0.66,55,43,296,1,9,0.16,32.89,0.16,328,0.1,0,530,4357,74,273,0.27,243.4,17.39
00-0032144,GordMe00,12151,2320,16776,10064,0f8ccece-d663-4069-944b-f318f64c60b7,10284,28403,2576434,606516,Melvin,Gordon,"Gordon, Melvin",Melvin Gordon,RB,LAC,26.3,2.67,2020,14.6,20.3,3.4,7.3,1.2,14.4,4.5,2015,Wisconsin,1,15,3,,73,215,32.375,9.75,4.52,2.66,1.62,19,35,126,4.07,7.04,9.1,524,0.5266,12,,,,,,,512,175,885,10,398,1873,0.44,66,50,490,4,-23,0.19,-21.3,-0.35,526,0.13,-0.01,508,3961,68,313,0.22,271.5,22.63
00-0034791,ChubNi00,13610,4988,19798,12886,4bd60b33-9fbf-4156-ba2b-8264ac37b418,13161,31005,3128720,822857,Nick,Chubb,"Chubb, Nick",Nick Chubb,RB,CLE,23.6,1.85,2022,15.2,21.1,3.5,7.5,1.7,8,2.7,2018,Georgia,2,3,7,4,71,227,32,9.625,4.52,2.67,1.62,29,38.5,128,4.25,7.09,9.42,395,0.3621,16,,,,,,,571,192,996,8,469,2082,0.41,29,20,149,2,59,0.08,2.53,2.03,176,0.05,0.01,635,6312,52,297,0.18,194.5,12.16
00-0027944,JoneJu02,10271,947,13291,7242,0b3217b9-ba37-4222-95cb-a7a222441e8b,6475,24793,13982,456614,Julio,Jones,"Jones, Julio",Julio Jones,WR,ATL,30.5,14.25,2021,15.5,21.3,2.7,8,1.5,3.4,1.2,2011,Alabama,1,6,,,75,220,33.75,9.75,4.34,2.47,1.5,17,38.5,135,4.25,6.66,9.98,818,0.7717,16,,,,,,,615,2,12,,351,1573,0.01,170,113,1676,8,2420,0.74,0.69,14.24,449,0.28,0.45,603,5322,81,322,0.25,329.8,20.61
00-0032187,JohnDa08,12171,2391,16847,10148,2c8670ae-0c23-4d20-9d2b-f4c3e25f8938,10404,28474,2508176,552409,David,Johnson,"Johnson, David",David Johnson,RB,ARI,27.7,13,2022,15.9,22.1,4.1,8,1.7,5.1,1.4,2015,Northern Iowa,3,22,16,,73,224,NA,NA,4.5,2.61,1.57,25,41.5,127,4.27,6.82,9.91,749,0.7951,16,,,,,,,494,258,941,7,353,1341,0.73,76,50,446,3,63,0.25,7.08,0.83,385,0.16,0.01,466,4310,73,212,0.34,248.7,15.54
00-0033893,CookDa01,13128,4029,18872,11700,8960d61e-433b-41ea-a7ad-4e76be87b582,12138,30154,3116593,824080,Dalvin,Cook,"Cook, Dalvin",Dalvin Cook,RB,MIN,24,1.59,2021,18,24.9,3.7,9.3,2,10.6,2,2017,Florida State,2,9,5,5,70,210,32.375,9.25,4.525,2.665,1.615,22,30.5,116,4.53,7.27,4.49,491,0.4672,11,,,,,,,606,133,615,2,357,1493,0.37,49,40,305,2,-71,0.11,-4.3,-1.45,384,0.08,-0.02,589,4305,37,284,0.13,156,14.18
00-0032241,GurlTo01,12150,2315,16771,10147,14263792-d1d3-4b0c-85f7-2a85b4aed6f1,10288,28398,2977644,694641,Todd,Gurley,"Gurley, Todd",Todd Gurley,RB,LAR,25,14.38,2024,18.4,25.4,9.1,9.2,3.1,11.3,3.7,2015,Georgia,1,10,2,,73,227,31.5,10,NA,NA,NA,17,NA,NA,NA,NA,NA,825,0.75,14,,,,,,,565,256,1251,17,412,1913,0.62,81,59,580,4,53,0.23,10.94,0.65,587,0.15,0.01,536,4644,96,349,0.28,368.1,26.29
00-0031544,CoopAm00,12175,2309,16765,10055,00f88be8-45f9-4237-b2b8-3271ec790d07,10310,28392,2976499,650914,Amari,Cooper,"Cooper, Amari",Amari Cooper,WR,DAL,25.2,5.67,2020,20,27.2,4.8,9.2,2.2,11.8,1.9,2015,Alabama,1,4,1,,73,210,31.5,10,4.42,2.63,1.61,NA,33.5,120,3.98,6.71,8.87,323,0.31,15,,,,,,,556,2,20,,385,1576,0.01,108,75,1004,7,732,0.39,1.37,6.78,415,0.18,0.17,599,4209,40,305,0.13,219.4,14.63
00-0030506,KelcTr00,11244,1466,15048,8783,c3859e06-5f23-4302-a71b-04820a899d5f,8411,26686,15847,448240,Travis,Kelce,"Kelce, Travis",Travis Kelce,TE,KCC,29.9,9.37,2022,21.3,29.9,4.5,1.2,0.4,1,0,2013,Cincinnati,3,1,19,,77,260,NA,NA,4.66,2.77,1.66,NA,35,124,4.47,7.14,8.9,993,0.9502,16,,,,,,,583,,,,387,1855,,150,103,1336,10,1401,0.6,0.95,9.34,574,0.27,0.28,559,4977,68,346,0.2,296.6,18.54
00-0027793,BrowAn04,9988,536,11056,6454,16e33176-b73e-49b7-b0aa-c405b47a706e,5698,24171,13934,406214,Antonio,Brown,"Brown, Antonio",Antonio Brown,WR,OAK,31.1,16.71,2022,22.1,30,3.2,11.1,1.8,9.8,2.1,2010,Central Michigan,6,26,,,70,181,NA,NA,4.55,2.625,1.565,13,33.5,105,4.18,6.98,4.28,998,0.8943,15,,,,,,,687,,,,345,1445,,169,104,1297,15,1899,0.63,0.68,11.24,485,0.25,0.37,676,5177,63,338,0.19,323.7,21.58
00-0030279,AlleKe00,11222,1479,15076,8627,5f424505-f29f-433c-b3f2-1a143a04a010,8379,26699,15818,557210,Keenan,Allen,"Allen, Keenan",Keenan Allen,WR,LAC,27.3,11.25,2021,22.8,30.9,6.5,10.1,2.5,11.1,1.5,2013,California,3,14,14,,74,211,30.875,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,0.798,15,,,,,,,512,9,75,,398,1873,0.02,137,97,1196,6,1183,0.61,1.01,8.64,408,0.27,0.3,508,3961,66,313,0.21,260.1,17.34
00-0031588,DiggSt00,12186,2449,16906,10133,a1c40664-b265-4083-aad2-54b4c734f2c5,10380,28534,2976212,694041,Stefon,Diggs,"Diggs, Stefon",Stefon Diggs,WR,MIN,25.7,14.4,2024,22.9,31.1,4.2,11.2,1.6,14.8,2,2015,Maryland,5,10,33,,72,191,31.25,10,4.46,2.58,1.53,11,35,115,4.24,7.03,6.6,874,0.8316,15,,,,,,,606,10,62,,357,1493,0.03,148,102,1021,9,1266,0.58,0.81,8.55,453,0.25,0.29,589,4305,52,284,0.18,264.3,17.62
