gsis_id,pfr_id,mfl_id,sleeper_id,fantasy_data_id,rotowire_id,sportradar_id,rotoworld_id,yahoo_id,espn_id,stats_id,first_name,last_name,name,mergename,pos,team,age,salary_avg,fa_year,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,rdpECR,rdpSD,draft_year,college,draft_round,draft_pick,draft_rookieadp,draft_2QBrookieadp,height,weight,armLength,handsize,forty,twenty-split,ten-split,bench,vertical,broad,shuttle,cone,RAS,offSnaps,offSnapsPct,gms,paATTs,paCMPs,paYDs,paTDs,paINTs,pa_aya,tm_paATTs,ruATTs,ruYDs,ruTDs,tm_ruATTs,tm_ruYDs,ms_ruATTs,tgts,recs,reYDs,reTDs,reAYDs,wopr,racr,adot,yac,ms_tgts,ms_AYDs,tm_tgts,tm_AYDs,1Ds,tm_1Ds,ms_1Ds,ppr,ppr/g
00-0034184,EdwaGu00,13850,5248,20239,13123,3ffc3993-461e-4477-9def-c9633b7feac1,13606,31424,3051926,739799,Gus,Edwards,"Edwards, Gus",Gus Edwards,RB,BAL,24.3,0.57,2020,216.6,272.6,41.7,76.1,11.8,64.8,9.9,2018,Rutgers,,,100,,73,238,32.625,9.125,4.57,2.61,1.7,17,34.5,123,4.29,7.27,8.35,286,0.2405,11,,,,,,,555,137,718,2,528,2352,0.26,2,2,20,,3,0.01,6.67,1.5,17,0,0,522,4760,38,330,0.12,87.8,7.98
00-0034440,JackJu01,13620,5131,20064,12724,e6c3f896-0223-4fc2-be09-c959ea4a475c,13350,31221,3116136,830844,Justin,Jackson,"Jackson, Justin",Justin Jackson,RB,LAC,24.3,0.57,2021,218.1,274.4,37.5,70.6,11.9,56.3,10.1,2018,Northwestern,7,33,100,43,72,199,30.625,9.25,4.5,2.62,1.57,14,38.5,122,4.07,6.81,9.22,149,0.1497,8,,,,,,,512,50,206,2,398,1873,0.13,19,15,135,,-14,0.05,-9.64,-0.74,152,0.04,0,508,3961,19,313,0.06,61.1,7.64
00-0034457,AdamJo03,13611,5136,20075,12563,23b17031-de21-412d-8182-5a4bca1049a1,13218,31567,3932420,884549,Josh,Adams,"Adams, Josh",Josh Adams,RB,PHI,22.8,0.52,2020,219.3,275.9,49.2,79.1,15.1,88.7,15.7,2018,Notre Dame,,,100,47,74,225,33.75,9.25,4.56,2.63,1.64,18,34,122,NA,6.83,8.68,252,0.2308,12,,,,,,,598,120,511,3,398,1585,0.3,13,7,58,,-4,0.03,-14.5,-0.31,65,0.02,0,567,4051,26,309,0.08,81.9,6.83
,,14093,6007,20743,13473,ce079a73-5884-4184-909a-8feafd4645d9,14167,31972,3923397,,Ryquell,Armstead,"Armstead, Ryquell",Ryquell Armstead,RB,JAC,,0.72,2023,220.6,277.5,37.3,66.6,10.9,71,11.5,2019,Temple,5,2,,,71,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0034830,HursHa00,13680,4973,19843,12467,1b125fc4-5dd9-4eb9-a42f-048e61ca42b7,13098,30995,3924365,881956,Hayden,Hurst,"Hurst, Hayden",Hayden Hurst,TE,BAL,26,2.76,2023,220.7,275.5,49.4,27.6,4.4,31.8,3.1,2018,South Carolina,1,25,100,35,76,245,32.75,9.75,4.67,2.71,1.63,16,31.75,120,4.37,7.19,8.1,275,0.2313,9,,,,,,,555,,,,528,2352,,23,13,163,1,165,0.09,0.99,7.17,74,0.04,0.03,522,4760,8,330,0.02,35.3,3.92
00-0031228,GabrTa00,11975,1903,16129,9864,4b3677f5-712e-43f2-b7bb-51ac6f291b86,10162,28234,17437,752062,Taylor,Gabriel,"Gabriel, Taylor",Taylor Gabriel,WR,CHI,28.5,6.5,2022,220.9,279.2,21.7,92.5,13,78.7,7.4,2014,Abilene Christian,,,100,,68,165,NA,NA,4.45,2.52,1.55,17,40,125,4.26,6.89,8.33,830,0.7721,16,,,,,,,510,9,61,,466,1932,0.02,93,67,688,2,1049,0.44,0.66,11.28,237,0.19,0.23,501,4473,34,283,0.12,153.9,9.62
00-0029664,GordJo02,10960,1244,14587,8415,b228c353-bb1f-4ba8-aa6d-d18ecf297259,8282,26561,15705,503496,Josh,Gordon,"Gordon, Josh",Josh Gordon,WR,NEP,28.3,2.02,2020,221.3,279.7,48.6,83.9,15.7,81.2,30.5,2012,Baylor,,,,,75,225,32.25,9.25,4.57,2.69,1.62,13,35.5,122,NA,NA,7.24,69,0.0632,12,,,,,,,571,,,,469,2082,,71,41,737,4,922,0.27,0.8,12.99,281,0.11,0.15,635,6312,29,297,0.1,138.7,11.56
00-0033895,EverGe00,13236,4089,18935,11737,ebeceb00-57e0-4b74-9cf7-853da2afed18,12284,30157,3918639,838487,Gerald,Everett,"Everett, Gerald",Gerald Everett,TE,LAR,25.1,1.51,2021,224.2,279.6,23.9,30,3,26.7,2.9,2017,South Alabama,2,12,26,34,75,240,33,8.5,4.6,2.67,1.61,22,37.5,126,4.33,6.99,9.22,380,0.3455,16,,,,,,,565,,,,412,1913,,51,33,320,3,305,0.19,1.05,5.98,149,0.1,0.07,536,4644,18,349,0.05,83,5.19
00-0028002,CobbRa00,10308,928,13227,7256,3283f152-d373-43b3-b88f-f6f261c48e81,6497,24851,14053,465949,Randall,Cobb,"Cobb, Randall",Randall Cobb,WR,DAL,29,5,2020,224.2,283.2,37.1,87.4,10.4,82.8,11.2,2011,Kentucky,2,32,,,70,192,31,9.375,4.55,2.66,1.6,16,33.5,115,4.34,7.08,3.5,466,0.4339,9,,,,,,,639,,,,346,1718,,61,38,384,2,508,0.21,0.76,8.33,233,0.1,0.09,628,5459,18,299,0.06,88.4,9.82
,,14284,6178,20964,13476,a1a73c32-c409-4ee0-8a7b-0ae589db85c8,,32046,4361606,,Darwin,Thompson,"Thompson, Darwin",Darwin Thompson,RB,KCC,,0.66,2023,225.3,283.1,67.1,71.3,17.1,71.2,11.1,2019,Utah State,6,42,,,68,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14114,5884,20789,13428,d3cc6f89-56d8-45e9-87f0-3a1a56f97bc6,13943,32038,4036163,,Kelvin,Harmon,"Harmon, Kelvin",Kelvin Harmon,WR,WAS,22.7,0.66,2023,226.1,285.5,51.5,90.1,15.2,115,15.3,2019,North Carolina State,6,33,,,74,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0032411,DixoKe00,12632,3208,17969,10989,997525cb-5d0d-4f3b-bd56-7488b62627ec,11284,29368,2971888,693062,Kenneth,Dixon,"Dixon, Kenneth",Kenneth Dixon,RB,BAL,25.6,0.68,2020,226.4,284.5,40.4,76.9,11.4,77.1,13.5,2016,Louisiana Tech,4,36,14,9,70,228,31.375,9.5,4.58,2.73,1.57,18,37.5,121,4.28,6.97,7.51,152,0.1278,6,,,,,,,555,60,333,2,528,2352,0.11,7,6,51,,-6,0.02,-8.5,-0.86,54,0.01,0,522,4760,22,330,0.07,56.4,9.4
00-0033858,SmitJo01,13193,4144,18990,11807,e4f25a37-74de-4bfb-b6c9-f50a4fab0b87,12344,30213,3054212,743749,Jonnu,Smith,"Smith, Jonnu",Jonnu Smith,TE,TEN,24,0.78,2021,229,285.3,55.3,32.1,4.4,38.7,5.9,2017,Florida International,3,36,37,48,75,248,32.875,9.25,4.62,2.71,1.66,22,38,127,4.18,7.48,8.67,611,0.6197,10,,,,,,,432,,,,454,2023,,30,19,246,3,165,0.14,1.49,5.5,191,0.07,0.05,428,3297,10,263,0.04,61.6,6.16
00-0025418,OlseGr00,8687,58,1658,5206,587d0a98-7ec5-45a5-adba-8af26e8f256b,4190,8285,10475,230925,Greg,Olsen,"Olsen, Greg",Greg Olsen,TE,CAR,34.4,8.55,2021,229.1,285.4,43.6,29.2,3.5,18,3.3,2007,Miami,1,31,,,77,255,32.625,10.25,4.55,2.66,1.62,23,36.5,116.5,4.47,7.04,9.66,429,0.4055,9,,,,,,,562,,,,459,2435,,38,27,291,4,337,0.16,0.86,8.87,84,0.07,0.08,549,4219,18,344,0.05,80.1,8.9
00-0029567,FoleNi00,10699,1029,13723,8066,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,7475,25798,14877,403189,Nick,Foles,"Foles, Nick",Nick Foles,QB,JAC,30.6,22,2023,231.4,137.6,25.3,29.9,1.6,26.9,1.5,2012,Arizona,3,25,,,78,243,34.25,10.625,5.09,2.955,1.805,NA,32,110,4.73,7.19,4.57,357,0.3269,5,195,141,1413,7,4,7.25,598,9,17,,398,1585,0.02,,,,,,,,,2,,,567,4051,7,309,0.02,78.22,15.64
00-0033911,TaylTa00,13167,4125,18971,11880,29972cbe-2912-49df-916b-200eead9a218,12203,30185,3059760,750698,Taywan,Taylor,"Taylor, Taywan",Taywan Taylor,WR,TEN,24.5,0.92,2021,235.5,297,35.2,96.1,7.3,103.2,13.6,2017,Western Kentucky,3,8,30,32,71,203,32.625,9.25,4.5,2.56,1.52,13,35.5,132,4.21,6.57,9.26,446,0.4523,13,,,,,,,432,1,,,454,2023,0,56,37,466,1,757,0.36,0.62,13.52,161,0.13,0.23,428,3297,19,263,0.07,89.6,6.89
00-0028434,BaldDo00,10527,988,13460,7963,e1b29179-074b-4c91-8797-763b76ac618a,6825,25105,14221,399777,Doug,Baldwin,"Baldwin, Doug",Doug Baldwin,WR,FA,30.9,,,237,298.9,48.7,100.9,9.4,,,2011,Stanford,,,,,70,192,NA,NA,4.53,2.58,1.59,6,37,123,4.31,6.61,6.08,711,0.6651,13,,,,,,,427,,,,532,2542,,73,50,618,5,809,0.43,0.76,11.08,156,0.18,0.22,400,3740,32,281,0.11,141.8,10.91
00-0034400,WilkJo01,13789,5100,19979,12942,070850a3-7387-4836-b3eb-b1c8f8731aab,13276,31139,3051891,749205,Jordan,Wilkins,"Wilkins, Jordan",Jordan Wilkins,RB,IND,25.1,0.68,2022,237.1,297.4,31.9,78.3,7.5,81.5,7.3,2018,Ole Miss,5,32,100,46,73,216,30.125,9.375,4.58,2.74,1.61,16,36.5,120,4.27,NA,7.22,198,0.1743,13,,,,,,,643,60,336,1,405,1726,0.15,17,16,85,,-25,0.04,-3.4,-1.47,105,0.03,-0.01,631,4726,17,332,0.05,64.1,4.93
00-0025399,LyncMa00,8670,745,12386,5202,82bce0be-9a87-4b6d-a85b-623bf8d1674e,4186,8266,10456,269221,Marshawn,Lynch,"Lynch, Marshawn",Marshawn Lynch,RB,FA,33.3,,,239.4,300.2,23.2,,,,,2007,California,1,12,,,71,215,NA,NA,4.52,2.67,1.6,20,35.5,125,4.58,7.09,7.4,209,0.2006,6,,,,,,,556,90,376,3,385,1576,0.23,19,15,84,,54,0.06,1.56,2.84,90,0.03,0.01,599,4209,26,305,0.09,79,13.17
,,14059,5870,20841,13491,0042266b-cb28-4012-bfd2-06650badad97,13963,31838,3917792,,Daniel,Jones,"Jones, Daniel",Daniel Jones,QB,NYG,22.2,6.42,2024,239.8,146.3,44.2,31.4,3.1,35.2,1.8,2019,Duke,1,6,,,77,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14127,5947,20876,13517,73e194d1-a4b7-4de4-b1c2-3c24ef502918,14220,32231,3916433,,Jakobi,Meyers,"Meyers, Jakobi",Jakobi Meyers,WR,NEP,22.8,0.59,2022,240.3,302.9,50,107,17.9,102.8,19.1,2019,North Carolina State,,,,,74,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027874,ThomDe03,9884,560,11197,6440,6e444737-a1e1-4ddd-b963-cd6a9496fde0,5700,23997,13216,335172,Demaryius,Thomas,"Thomas, Demaryius",Demaryius Thomas,WR,NEP,31.6,2.91,2020,240.4,303,38.6,101.6,13.4,99.2,15.7,2010,Georgia Tech,1,24,,,75,229,32.5,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,0.3282,15,,,,,,,586,,,,393,1907,,89,59,677,5,587,0.32,1.15,6.6,277,0.15,0.14,596,4191,15,279,0.05,156.7,10.45
,,14103,5873,20925,13531,9c04ad60-9726-42d3-9836-7d95723f8eb6,13972,31958,4035015,,Riley,Ridley,"Ridley, Riley",Riley Ridley,WR,CHI,23.1,0.8,2023,241.9,304.9,55.5,101.9,14.7,127.8,13.3,2019,Georgia,4,24,,,73,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031590,AjayJa00,12154,2452,16909,10082,bb78a66a-a8ec-4294-8858-c7e5a1d15106,10361,28537,2573300,590921,Jay,Ajayi,"Ajayi, Jay",Jay Ajayi,RB,FA,26.2,,,242.7,304.2,43,82.9,11.7,88.9,12.5,2015,Boise State,5,13,15,,72,223,32,10,4.57,2.66,1.59,19,39,121,4.1,7.1,9.08,120,0.1099,4,,,,,,,598,45,184,3,398,1585,0.11,6,5,20,,18,0.02,1.11,3,30,0.01,0,567,4051,12,309,0.04,43.4,10.85
00-0031257,RichPa01,11681,2279,16694,9215,cf1a34f1-1aa7-45a1-b2b3-ffbecc8834f7,9545,27573,16781,560223,Paul,Richardson,"Richardson, Paul",Paul Richardson,WR,WAS,27.3,8,2023,243.7,307,15.5,98.2,7.7,83.8,11.4,2014,Colorado,2,13,27,,72,183,32.625,8.875,4.4,2.58,1.56,NA,37.75,124,4.28,7.06,7.95,368,0.3608,7,,,,,,,508,2,9,,415,1776,0,35,20,262,2,431,0.18,0.61,12.31,47,0.07,0.11,497,4080,12,240,0.05,59.1,8.44
,,14085,5967,20912,13590,33b0227d-4c21-4e71-b4cd-be35f7db9123,14245,31960,3916148,,Tony,Pollard,"Pollard, Tony",Tony Pollard,RB,DAL,,0.8,2023,245.4,307.4,61.8,75.9,16.6,69,13.8,2019,Memphis,4,26,,,72,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0033681,ColeKe00,13412,4622,19514,12388,a8c96abf-a911-47a0-ac16-dd51a8782b5e,12539,30396,3071572,791008,Keelan,Cole,"Cole, Keelan",Keelan Cole,WR,JAC,26.3,0.56,2020,247,311.1,31.3,95.2,9.4,97.4,9.5,2017,Kentucky Wesleyan,,,100,,73,194,NA,NA,4.64,2.68,1.64,NA,NA,NA,4.45,6.74,3.6,687,0.6606,13,,,,,,,534,,,,357,1537,,70,38,491,1,662,0.33,0.74,9.46,136,0.13,0.18,519,3611,25,248,0.1,93.1,7.16
00-0032775,RobiDe01,12785,3286,18047,11163,46b16198-116f-4913-85db-2bc21462bd66,11438,29360,3043116,727279,Demarcus,Robinson,"Robinson, Demarcus",Demarcus Robinson,WR,KCC,24.9,0.71,2020,247.5,311.7,54.3,98.1,11,95.7,15.5,2016,Florida,4,28,43,,73,203,33,9.5,4.61,2.725,1.61,9,34,123,4.225,6.755,5.48,419,0.401,14,,,,,,,583,,,,387,1855,,33,22,288,4,346,0.14,0.83,10.48,116,0.06,0.07,559,4977,12,346,0.03,74.8,5.34
00-0031806,BrowMa03,12386,2588,17053,10202,0e7e6cbb-0e88-4a74-b457-1753851e37f3,10674,28990,2570986,604724,Malcolm,Brown,"Brown, Malcolm",Malcolm Brown,RB,LAR,26.3,1.65,2021,247.6,310.1,28.1,77.6,9.2,66.8,8.2,2015,Texas,,,100,,71,222,32.75,10.25,4.59,2.69,1.61,19,34.5,117,4.15,6.86,8,123,0.1118,10,,,,,,,565,43,212,,412,1913,0.1,7,5,52,1,18,0.02,2.89,2.57,39,0.01,0,536,4644,12,349,0.03,37.4,3.74
00-0030549,EifeTy00,11250,1388,14918,8782,14ecf9dd-3a77-4847-8e62-407cd1182f1c,8408,26644,15788,508968,Tyler,Eifert,"Eifert, Tyler",Tyler Eifert,TE,CIN,28.9,4,2020,248.6,308.5,42.4,32.8,3.7,26.9,3.3,2013,Notre Dame,1,21,9,,78,255,33.125,9.125,4.68,2.76,1.65,22,35.5,119,4.32,6.92,9.38,133,0.1334,4,,,,,,,542,,,,357,1676,,19,15,179,1,166,0.08,1.08,8.74,54,0.04,0.04,530,4357,10,273,0.04,38.9,9.73
00-0030414,WareSp00,11199,1601,15261,8625,bbb63a36-8613-4675-8e5e-34200d245ff0,8594,26817,16020,540526,Spencer,Ware,"Ware, Spencer",Spencer Ware,RB,IND,27.7,1.3,2020,249.1,311.9,40.7,78.6,8.3,92.8,16.6,2013,LSU,6,26,100,,70,229,NA,NA,4.67,NA,NA,17,35.5,119,4.32,7.12,6.29,247,0.2364,11,,,,,,,583,51,246,2,387,1855,0.13,23,20,224,,44,0.07,5.09,1.91,242,0.04,0.01,559,4977,23,346,0.07,79,7.18
00-0030663,SneaWi00,11951,1911,16141,9284,8482bc94-0eb0-4e92-8f99-ced135f3cd5d,9989,28026,17258,591586,Willie,Snead,"Snead, Willie",Willie Snead,WR,BAL,26.8,3.5,2020,249.8,314.5,34.8,99.6,9.8,91.5,10.6,2014,Ball State,,,100,,71,205,33,10.25,4.615,2.64,1.57,11,34.75,116,4.41,7.21,3.07,821,0.6905,14,,,,,,,555,1,13,,528,2352,0,95,62,651,1,775,0.39,0.84,8.16,278,0.18,0.16,522,4760,38,330,0.12,134.4,9.6
,,14088,5918,20741,13637,f3c3c5ba-2788-4708-bbc5-4ea525d06a81,,32043,3705353,,Rodney,Anderson,"Anderson, Rodney",Rodney Anderson,RB,CIN,,0.66,2023,250.2,313.2,58.1,77.3,12.9,96.4,10.7,2019,Oklahoma,6,38,,,72,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14074,6153,20984,13670,a2e0f742-e608-4e29-99cd-e7cd765afba1,14175,32026,3932449,,Dexter,Williams,"Williams, Dexter",Dexter Williams,RB,GBP,,0.67,2023,250.8,313.9,59.3,69.7,18.4,77.5,12.1,2019,Notre Dame,6,21,,,71,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0033611,SealRi00,13382,4531,19410,11876,52735659-a294-4f64-a7f4-3591450834e5,12463,30494,3051806,744568,Ricky,Seals-Jones,"Seals-Jones, Ricky",Ricky Seals-Jones,TE,ARI,24.4,0.64,2020,253,313.7,54.9,34.8,4.9,33.6,9.2,2017,Texas A&M,,,100,,77,243,33.125,9.625,4.69,2.75,1.63,17,29.5,121,4.33,7.46,4,536,0.569,15,,,,,,,494,,,,353,1341,,70,34,343,1,704,0.34,0.49,10.06,98,0.15,0.16,466,4310,14,212,0.07,74.3,4.95
,,14126,6148,20988,13445,497758de-5f0b-481f-8c68-7aa5e21df322,,32447,3915399,,Preston,Williams,"Williams, Preston",Preston Williams,WR,MIA,22.4,0.58,2022,254.3,320,66.3,95.1,9.8,124.3,16.2,2019,Colorado State,,,,,76,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14057,5854,20859,13736,94325301-e0ad-4a9f-a0e5-ffec0f529be3,13992,31874,3924327,,Drew,Lock,"Lock, Drew",Drew Lock,QB,DEN,22.8,1.75,2023,254.6,162.1,50.8,32.4,3.3,38.6,6.5,2019,Missouri,2,10,,,76,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14076,6144,20990,13548,478fcd24-2617-41d5-a900-b272aa6ef515,14042,32014,4035222,,Trayveon,Williams,"Williams, Trayveon",Trayveon Williams,RB,CIN,21.8,0.68,2023,255.5,319.6,52.6,79.3,11.2,93.3,9.1,2019,Texas A&M,6,9,,,68,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14209,5973,20899,13786,dc83f7af-7b30-4c4a-9c93-f67bd8db954b,,31901,3921690,,Josh,Oliver,"Oliver, Josh",Josh Oliver,TE,JAC,,1.06,2023,255.5,316.6,71.6,32.8,9,42.9,8.6,2019,San Jose State,3,5,,,77,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14124,5962,20835,13628,7e8f4076-25e1-41e5-8e71-f70397a3729d,14195,32006,3124537,,Keesean,Johnson,"Johnson, KeeSean",KeeSean Johnson,WR,ARI,22.8,,,256.8,323,73.3,98.1,19.2,96.3,20.8,2019,Fresno State,6,1,,,73,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0032208,DorsPh00,12188,2334,16790,10208,c682e8ea-fe48-45d2-af60-682a6125ab22,10381,28417,2579604,596417,Phillip,Dorsett,"Dorsett, Phillip",Phillip Dorsett,WR,NEP,26.6,2.6,2020,257.2,323.5,19.7,104.6,10.5,93.3,12.3,2015,Miami,1,29,13,,70,192,30.25,9.375,4.33,2.535,1.535,13,37.5,125.5,4.095,6.8,9.15,399,0.3566,11,,,,,,,572,4,29,,478,2037,0.01,42,32,290,3,417,0.21,0.7,9.93,100,0.09,0.12,487,3518,19,305,0.06,81.9,7.45
00-0030107,RiddTh00,11188,1517,15126,8763,62d4e94c-443f-44ed-9404-c6d6bdd9aa64,8485,26822,15994,508985,Theo,Riddick,"Riddick, Theo",Theo Riddick,RB,DEN,28.3,2.5,2020,257.4,321.9,25.3,80.7,10.3,79.8,8.5,2013,Notre Dame,6,31,100,,69,201,30,8.625,4.695,2.695,1.625,14,32,118,4.37,7.04,3.07,415,0.386,14,,,,,,,572,40,171,,401,1626,0.1,75,61,384,,65,0.21,5.91,0.87,406,0.13,0.02,571,3847,24,263,0.09,116.5,8.32
00-0026986,CrabMi00,9427,455,9331,5961,fe767946-236d-4c04-9c59-5e3edd51acfe,5135,9274,12563,324799,Michael,Crabtree,"Crabtree, Michael",Michael Crabtree,WR,FA,31.9,,,259.3,326.1,26.2,109.6,17.2,109.8,24,2009,Texas Tech,1,10,,,73,215,32.5,9.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,805,0.677,16,,,,,,,555,,,,528,2352,,100,54,607,3,1104,0.45,0.55,11.04,122,0.19,0.23,522,4760,35,330,0.11,132.7,8.29
00-0032054,PerrBr02,12197,2331,16787,10069,0dc98d11-34e4-46f6-96a6-7707c6f29500,10357,28414,2972460,652808,Breshad,Perriman,"Perriman, Breshad",Breshad Perriman,WR,TBB,25.9,4,2020,259.5,326.3,36.4,107,12.4,97.6,11.4,2015,Central Florida,1,26,9,,74,215,32,9.25,4.31,2.4,1.56,18,36.5,127,NA,NA,9.93,218,0.1998,10,,,,,,,571,4,2,,469,2082,0.01,25,16,340,2,493,0.11,0.69,19.72,75,0.04,0.08,635,6312,13,297,0.04,62.2,6.22
00-0026176,NelsJo00,9118,175,4556,5691,9f2aebe4-b654-4f0e-a437-ec46f20b6bfe,4731,8813,11270,227442,Jordy,Nelson,"Nelson, Jordy",Jordy Nelson,WR,FA,34.2,,,260,326.9,45.6,111,19.8,,,2008,Kansas State,2,5,,,75,217,34.125,10.125,4.51,2.64,1.57,NA,31,123,4.35,7.03,7.19,841,0.8071,15,,,,,,,556,1,-2,,385,1576,0,88,63,739,3,805,0.35,0.92,9.15,241,0.15,0.19,599,4209,36,305,0.12,154.7,10.31
00-0034406,CainDe00,13636,5101,19980,12611,3da67e95-bd15-409f-b5de-b2feb54efda7,13167,31155,3728254,867754,Deon,Cain,"Cain, Deon",Deon Cain,WR,IND,23,0.66,2022,260.5,327.5,35.3,102.7,10.2,107.4,9.6,2018,Clemson,6,11,100,33,74,202,33,8.75,4.43,2.63,1.57,11,32,114.5,4.37,6.71,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023500,GoreFr00,7877,232,5820,4400,6a2b129d-a9e5-4131-b491-82269b323f77,3205,7241,8479,157341,Frank,Gore,"Gore, Frank",Frank Gore,RB,BUF,36.3,2,2020,264.9,330.9,32.9,91.2,8.9,67.6,9.3,2005,Miami,3,1,,,69,212,30.5,10.125,4.63,NA,NA,NA,34,109,4.16,6.96,5.16,330,0.3587,14,,,,,,,452,156,722,,371,1738,0.42,16,12,124,1,21,0.06,5.9,1.31,115,0.04,0.01,426,3490,33,224,0.15,102.6,7.33
00-0032977,HiggRa00,12656,3328,18089,10830,7e34053d-00bf-4f3f-a464-329c8f5057d0,11384,29406,3042910,741322,Rashard,Higgins,"Higgins, Rashard",Rashard Higgins,WR,CLE,24.9,2.02,2020,266,334.2,35.3,111.8,7.1,101.6,17.8,2016,Colorado State,5,35,35,41,73,198,32.25,9.75,4.665,2.72,1.67,13,32.25,118,4.57,7.24,1.85,483,0.4427,13,,,,,,,571,,,,469,2082,,54,39,572,4,593,0.19,0.96,10.98,158,0.09,0.09,635,6312,27,297,0.09,120.2,9.25
00-0032782,SmalWe00,12636,3309,18070,10806,c7d0a740-fcf2-4971-b1b6-43761d984bf9,11451,29387,3042429,728035,Wendell,Smallwood,"Smallwood, Wendell",Wendell Smallwood,RB,PHI,25.6,0.65,2020,266.3,332.6,33.1,97.2,10.6,90.8,10.9,2016,West Virginia,5,14,18,30,70,208,30.5,9.25,4.465,2.635,1.575,16,33.5,120,4.28,6.83,7.8,324,0.2967,13,,,,,,,598,87,364,3,398,1585,0.22,35,28,230,2,25,0.1,9.2,0.71,226,0.06,0.01,567,4051,31,309,0.1,117.4,9.03
00-0026158,FlacJo00,9064,19,611,5648,64797df2-efd3-4b27-86ee-1d48f7edb09f,4677,8795,11252,216342,Joe,Flacco,"Flacco, Joe",Joe Flacco,QB,DEN,34.6,22.13,2022,266.3,175.1,23.9,33.7,2.8,29.9,1.8,2008,Delaware,1,18,,,78,245,NA,9.625,4.86,2.79,1.71,NA,28.5,110,4.27,6.82,8.03,641,0.5391,9,379,232,2468,12,6,6.51,555,19,45,,528,2352,0.04,,,,,,,,,0,,,522,4760,10,330,0.03,139.22,15.47
00-0025396,GinnTe00,8673,695,12109,5214,3aef6950-1c19-4454-a3d0-0afe9634ea9f,4168,8263,10453,246804,Ted,Ginn,"Ginn Jr., Ted",Ted Ginn,WR,NOS,34.3,3.67,2020,266.6,335,15.5,108.4,8.4,79.5,13.8,2007,Ohio State,1,9,,,71,180,29.5,8.75,4.43,2.53,1.52,NA,NA,NA,NA,NA,NA,196,0.1865,5,,,,,,,519,3,26,,471,2025,0.01,30,17,209,2,464,0.19,0.45,15.47,48,0.06,0.15,503,3149,11,322,0.03,52.5,10.5
00-0031273,BratCa00,12110,2214,16593,10008,5afe93fd-0caf-4cca-83fc-7f405bebfa3e,10193,28267,17453,552926,Cameron,Brate,"Brate, Cameron",Cameron Brate,TE,TBB,28.1,6.8,2024,267.6,330.8,44.8,32.9,2.9,29.7,4.3,2014,Harvard,,,100,,77,245,NA,NA,4.82,2.77,1.72,24,33.5,117,4.53,7.21,6.9,534,0.4789,15,,,,,,,624,,,,389,1525,,49,30,289,6,418,0.16,0.69,8.53,51,0.08,0.06,620,6629,18,344,0.05,94.9,6.33
00-0031418,SefeAu00,11697,2222,16608,9241,e78261de-af00-4530-824c-500addbe9f98,9400,27566,16795,593347,Austin,Seferian-Jenkins,"Seferian-Jenkins, Austin",Austin Seferian-Jenkins,TE,FA,26.9,,,268,331.3,22.6,44.3,10.3,30.5,7.5,2014,Washington,2,6,20,,77,262,33.75,9.75,NA,NA,NA,20,NA,NA,NA,NA,NA,221,0.2125,5,,,,,,,534,,,,357,1537,,20,11,90,1,95,0.08,0.95,4.75,36,0.04,0.03,519,3611,6,248,0.02,26,5.2
00-0034808,KellJo00,13619,5076,19957,12555,27156b0b-e82d-4d02-8a04-ca1891d77110,13212,31145,3915381,879766,John,Kelly,"Kelly, John",John Kelly,RB,LAR,22.9,0.66,2022,269.6,336.5,37.7,84,9.7,94.6,11.8,2018,Tennessee,6,2,26,30,70,205,31.375,9.375,4.69,2.74,1.63,15,35,120,4.39,7.13,4.18,50,0.0455,3,,,,,,,565,27,74,,412,1913,0.07,3,2,27,,-6,0.01,-4.5,-2,27,0.01,0,536,4644,7,349,0.02,12.1,4.03
