"count_col","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"924","15781","8196",NA,"00-0037566",NA,NA,"34609",NA,NA
"925","15782","8176","GrayDa02","00-0037828",NA,"4689546","34061",NA,NA
"926","15783","8185","JohnJo12","00-0037460",NA,NA,"34601",NA,NA
"927","15784","8222",NA,NA,NA,NA,"34557",NA,NA
"928","15785","8204",NA,"00-0037091",NA,"4259305","34185",NA,NA
"929","15786","8180","NailJa00","00-0037291",NA,"4382466","34147",NA,NA
"930","15787","8188","ThorTy00","00-0038104",NA,"4362921","34005",NA,NA
"931","15788","8117","TolbJa00","00-0037666",NA,"4249417","34044",NA,NA
"932","15789","8167","WatsCh00","00-0038124",NA,"4248528","33989",NA,NA
"933","15790","8229",NA,"00-0037343",NA,NA,"34494",NA,NA
"934","15791","8186",NA,"00-0037187",NA,NA,"34412",NA,NA
"935","15792","8202",NA,NA,NA,"4360174","34158",NA,NA
"936","15793","8115",NA,"00-0037436",NA,NA,"34623",NA,NA
"937","15794","8130","McBrTr01","00-0037744",NA,"4361307","34010",NA,NA
"938","15795","8127","KolaCh00","00-0038046",NA,"4241263","34084",NA,NA
"939","15796","8145","RuckJe00","00-0037805",NA,"4361372","34057",NA,NA
"940","15797","8172","DulcGr00","00-0037252",NA,"4367209","34036",NA,NA
"941","15798","8131","LikeIs00","00-0037838",NA,"4361050","34095",NA,NA
"942","15799","8110","FergJa00","00-0038041",NA,"4242355","34085",NA,NA
"943","15800","8181","HeywCo00","00-0037304",NA,"4241961","34163",NA,NA
"944","15801","8215",NA,"00-0037369",NA,NA,"34664",NA,NA
"945","15802","8111","OttoCa00","00-0038129",NA,"4243331","34062",NA,NA
"946","15803","8214","TurnCo00","00-0037078",NA,"4361438","34105",NA,NA
"947","15804","8177","CalcGr00","00-0037086",NA,"4241374","34154",NA,NA
"948","15805","8289",NA,NA,NA,"4372099","33957",NA,NA
"949","15806","8355","ThibKa00","00-0037611",NA,"4426326","33960",NA,NA
"950","15807","8287","OjabDa00","00-0038142",NA,"4426507","34000",NA,NA
"951","15808","8385",NA,NA,NA,"4426659","33985",NA,NA
"952","15809","8398",NA,NA,NA,"4567962","33981",NA,NA
