posteam,player_id,name,pos,gms,yfs,opps,carries,ruTDs,targets,recs,reTDs,ppr,yfs/opps,ppr/opp,opps/g,carries/opps,tgts/opps,TDs/opp
IND,00-0029273,"Turbin, Robert",RB,2,13,6,4,0,2,1,0,2.3,2.167,0.383,3,0.667,0.333,0
MIN,00-0032104,"Abdullah, Ameer",RB,2,10,2,0,0,2,1,0,2,5,1,1,0,1,0
LA,00-0033760,"Davis, Justin",RB,2,19,2,2,0,0,0,0,1.9,9.5,0.95,1,1,0,0
NYG,00-0026153,"Stewart, Jonathan",RB,3,17,6,6,0,0,0,0,1.7,2.833,0.283,2,1,0,0
CHI,00-0031595,"Burton, Michael",RB,1,6,1,0,0,1,1,0,1.6,6,1.6,1,0,1,0
TEN,00-0030711,"Fluellen, David",RB,2,16,4,4,0,0,0,0,1.6,4,0.4,2,1,0,0
LAC,00-0032897,"Watt, Derek",RB,3,5,4,3,0,1,1,0,1.5,1.25,0.375,1.333,0.75,0.25,0
JAX,00-0032593,"Wilds, Brandon",RB,3,15,6,6,0,0,0,0,1.5,2.5,0.25,2,1,0,0
CAR,00-0030465,"Barner, Kenjon",RB,1,3,1,0,0,1,1,0,1.3,3,1.3,1,0,1,0
GB,00-0032794,"Vitale, Dan",RB,1,2,2,0,0,2,1,0,1.2,1,0.6,2,0,1,0
NO,00-0032975,"Williams, Jonathan",RB,3,1,4,3,0,1,1,0,1.1,0.25,0.275,1.333,0.75,0.25,0
IND,00-0030432,"Michael, Christine",RB,1,9,2,2,0,0,0,0,0.9,4.5,0.45,2,1,0,0
WAS,00-0032371,"Kelley, Rob",RB,2,8,4,4,0,0,0,0,0.8,2,0.2,2,1,0,0
SEA,00-0032602,"McKissic, J.D.",RB,3,8,4,3,0,1,0,0,0.8,2,0.2,1.333,0.75,0.25,0
IND,00-0033955,"McNichols, Jeremy",RB,1,4,2,2,0,0,0,0,0.4,2,0.2,2,1,0,0
IND,00-0030780,"Hewitt, Ryan",RB,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
BUF,00-0028063,"Jones, Taiwan",RB,2,0,2,0,0,2,0,0,0,0,0,1,0,1,0
