Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
82,,Dante PettisD. Pettis SF,WR37,,65,96,82.5,2.3
83,,Kenyan DrakeK. Drake MIA,RB31,,59,93,84.0,3.3
84,,Evan EngramE. Engram NYG,TE8,,63,106,85.3,8.0
85,,Tevin ColemanT. Coleman ATL,RB32,,52,120,86.3,3.9
86,,Golden TateG. Tate PHI,WR38,,55,98,86.8,4.9
87,,Jameis WinstonJ. Winston TB,QB9,,70,130,88.3,8.4
88,,Christian KirkC. Kirk ARI,WR39,,79,101,89.6,4.4
89,,Sterling ShepardS. Shepard NYG,WR40,,80,112,90.1,8.5
90,,Jared GoffJ. Goff LAR,QB10,,56,103,90.8,5.5
91,,Rob GronkowskiR. Gronkowski NE,TE9,,65,135,91.1,8.9
92,,Rashaad PennyR. Penny SEA,RB33,,83,115,92.3,8.7
93,,Matt BreidaM. Breida SF,RB34,,60,123,93.9,9.7
94,,Ben RoethlisbergerB. Roethlisberger PIT,QB11,,90,105,94.8,2.4
95,,Curtis SamuelC. Samuel CAR,WR41,,79,122,97.4,3.9
Tier 8,
96,,Elijah McGuireE. McGuire NYJ,RB35,,83,125,98.9,9.8
97,,Keke CouteeK. Coutee HOU,WR42,,88,146,101.4,9.5
98,,Baker MayfieldB. Mayfield CLE,QB12,,87,114,102.4,3.9
99,,Anthony MillerA. Miller CHI,WR43,,88,159,102.4,8.4
100,,Royce FreemanR. Freeman DEN,RB36,,71,142,103.5,11.6
101,,Dede WestbrookD. Westbrook JAC,WR44,,87,124,103.5,7.5
102,,Emmanuel SandersE. Sanders DEN,WR45,,43,184,104.6,28.1
103,,Michael GallupM. Gallup DAL,WR46,,96,113,105.4,4.3
104,,Kenneth DixonK. Dixon BAL,RB37,,79,134,105.8,9.2
105,,Jay AjayiJ. Ajayi PHI,RB38,,85,152,108.3,8.9
106,,Mitch TrubiskyM. Trubisky CHI,QB13,,95,127,109.3,5.9
107,,Gus EdwardsG. Edwards BAL,RB39,,84,186,110.1,7.4
108,,Adam HumphriesA. Humphries TB,WR47,,86,242,110.1,8.8
109,,Marquise GoodwinM. Goodwin SF,WR48,,99,183,112.2,12.8
110,,Carson WentzC. Wentz PHI,QB14,,77,118,113.3,9.1
111,,Delanie WalkerD. Walker TEN,TE10,,93,136,113.4,10.1
112,,Philip RiversP. Rivers LAC,QB15,,95,117,113.6,3.1
113,,Robert FosterR. Foster BUF,WR49,,88,151,116.5,10.5
114,,Dion LewisD. Lewis TEN,RB40,,111,130,117.8,5.8
115,,Lamar JacksonL. Jackson BAL,QB16,,114,158,119.9,9.2
116,,Tom BradyT. Brady NE,QB17,,114,131,122.9,5.0
117,,Jack DoyleJ. Doyle IND,TE11,,92,135,107.4,11.7
118,,John BrownJ. Brown BAL,WR50,,107,174,132.5,12.3
119,,Jared CookJ. Cook OAK,TE12,,72,139,111.7,20.0
120,,Geronimo AllisonG. Allison GB,WR51,,58,209,132.7,26.5
121,,Kareem HuntK. Hunt FA,RB41,,51,149,114.9,16.8
Tier 9,
122,,Jimmy GaroppoloJ. Garoppolo SF,QB18,,114,157,138.8,12.5
123,,Dak PrescottD. Prescott DAL,QB19,,91,150,120.2,12.8
124,,Trey BurtonT. Burton CHI,TE13,,92,142,121.2,14.0
125,,Jamison CrowderJ. Crowder WAS,WR52,,111,203,124.8,8.2
126,,Larry FitzgeraldL. Fitzgerald ARI,WR53,,68,223,125.0,12.2
127,,Nyheim HinesN. Hines IND,RB42,,103,156,130.0,8.3
128,,Kirk CousinsK. Cousins MIN,QB20,,114,152,131.6,11.4
129,,Chris Herndon IVC. Herndon NYJ,TE14,,106,140,133.1,5.1
130,,Austin HooperA. Hooper ATL,TE15,,94,192,133.6,5.5
131,,Rex BurkheadR. Burkhead NE,RB43,,93,183,134.5,19.1
132,,Duke JohnsonD. Johnson CLE,RB44,,88,178,138.2,16.1
133,,Jordan ReedJ. Reed WAS,TE16,,127,153,139.2,7.0
134,,D'Onta ForemanD. Foreman HOU,RB45,,125,230,141.6,18.1
135,,Ronald Jones IIR. Jones TB,RB46,,100,259,142.0,23.2
136,,Antonio CallawayA. Callaway CLE,WR54,,128,160,142.0,10.7
137,,John RossJ. Ross CIN,WR55,,128,218,142.9,23.0
138,,Greg OlsenG. Olsen CAR,TE17,,100,142,122.9,10.4
139,,Kenny StillsK. Stills MIA,WR56,,123,208,144.6,9.9
140,,Latavius MurrayL. Murray MIN,RB47,,109,194,144.7,18.1
141,,Kyle RudolphK. Rudolph MIN,TE18,,106,174,145.7,12.0
142,,DaeSean HamiltonD. Hamilton DEN,WR57,,75,193,148.4,25.4
143,,Isaiah CrowellI. Crowell NYJ,RB48,,112,185,148.7,17.1
144,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR58,,122,219,149.2,20.3
145,,Josh AdamsJ. Adams PHI,RB49,,119,185,129.6,16.0
146,,Josh AllenJ. Allen BUF,QB21,,118,172,152.9,6.5
147,,Vance McDonaldV. McDonald PIT,TE19,,127,195,157.1,10.1
148,,Austin EkelerA. Ekeler LAC,RB50,,93,188,157.2,18.9
149,,Sam DarnoldS. Darnold NYJ,QB22,,148,167,157.4,3.5
150,,Quincy EnunwaQ. Enunwa NYJ,WR59,,111,221,157.6,23.8
151,,Matthew StaffordM. Stafford DET,QB23,,154,169,159.8,4.4
152,,Chicago (CHI)CHI DST,DST1,,139,160,139.9,0.3
153,,Ito SmithI. Smith ATL,RB51,,89,212,161.5,18.9
Tier 10,
154,,Chris ThompsonC. Thompson WAS,RB52,,118,190,165.6,21.2
155,,Jimmy GrahamJ. Graham GB,TE20,,127,169,146.9,8.1
156,,DeSean JacksonD. Jackson TB,WR60,,109,240,147.6,15.4
157,,Marcus MariotaM. Mariota TEN,QB24,,160,180,167.8,4.8
158,,Baltimore (BAL)BAL DST,DST2,,143,165,148.8,3.2
159,,Jacksonville (JAC)JAC DST,DST3,,145,166,150.6,6.0
160,,Andy DaltonA. Dalton CIN,QB25,,158,192,170.5,4.1
161,,Greg ZuerleinG. Zuerlein LAR,K1,,163,182,170.5,3.6
162,,Jamaal WilliamsJ. Williams GB,RB53,,128,240,171.0,9.6
163,,T.J. YeldonT. Yeldon JAC,RB54,,143,265,172.3,23.4
164,,Peyton BarberP. Barber TB,RB55,,131,227,174.3,21.5
165,,Alex CollinsA. Collins BAL,RB56,,123,256,155.6,24.7
166,,Spencer WareS. Ware KC,RB57,,99,189,157.2,22.2
167,,Minnesota (MIN)MIN DST,DST4,,152,167,157.5,2.3
168,,C.J. AndersonC. Anderson LAR,RB58,,104,234,176.5,22.0
169,,Justin TuckerJ. Tucker BAL,K2,,168,183,177.5,3.8
170,,Derek CarrD. Carr OAK,QB26,,159,197,177.7,8.6
171,,James WashingtonJ. Washington PIT,WR61,,90,198,178.8,17.1
172,,Los Angeles (LAR)LAR DST,DST5,,144,175,161.5,4.1
173,,Adrian PetersonA. Peterson WAS,RB59,,100,192,180.8,8.5
174,,Doug MartinD. Martin OAK,RB60,,119,257,163.5,31.0
175,,Taylor GabrielT. Gabriel CHI,WR62,,147,190,163.9,8.9
176,,Los Angeles (LAC)LAC DST,DST6,,158,199,164.6,0.9
177,,Harrison ButkerH. Butker KC,K3,,171,215,182.7,5.2
178,,Houston (HOU)HOU DST,DST7,,159,176,165.3,1.4
179,,Zay JonesZ. Jones BUF,WR63,,106,226,166.5,17.8
