PLAYERID,DRAFTYEAR,POSITION,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE
109,1987,RB,,,,,,,,
110,1987,CB,4.59,2.66,1.6,7,26,908,4.16,
111,1987,CB,,,,,,,,
112,1987,CB,4.38,2.54,1.52,7,35,1006,4.22,
113,1987,WR,4.6,2.64,1.58,2,37.5,1003,4.38,
114,1987,OC,5.1,2.98,1.79,20,25.5,804,4.79,
115,1987,WR,4.51,2.59,1.62,,35,1000,4.38,
116,1987,WR,4.48,2.6,1.59,2,25,901,4.36,
117,1987,DE,,,,,,,,
118,1987,CB,,,,,,,,
119,1987,CB,,,,,,,,
120,1987,WR,4.53,2.65,1.61,4,31.5,909,,
121,1987,CB,,,,12,,,,
122,1987,FS,4.58,2.59,1.57,14,31,1000,4.55,
123,1987,WR,4.54,2.63,1.59,10,30.5,1007,4.32,
124,1987,RB,4.6,2.67,1.59,16,33.5,1001,4.25,
125,1987,TE,4.82,2.83,1.71,,26,900,4.34,
126,1987,DT,4.93,2.84,1.67,22,25,901,4.48,
127,1987,FB,,,,,28,808,4.49,
128,1987,K,,,,,,,,
129,1987,P,,,,,,,,
130,1987,LB,,,,,,,,
131,1987,WR,4.35,2.54,1.55,1,28,905,4.21,
132,1987,OG,,,,,,,,
133,1987,OC,5.41,3.08,1.81,15,24.5,709,4.34,
134,1987,LB,4.82,2.76,1.66,19,28,900,4.15,
135,1987,OC,5.03,2.93,1.73,24,31,810,4.46,
136,1987,OT,,,,,,,,
137,1987,WR,4.41,2.59,1.54,,,,,
138,1987,LB,4.64,2.64,1.57,20,36.5,911,4.42,
139,1987,DT,4.95,2.9,1.74,18,27,802,4.67,
140,1987,OT,,,,,,,,
141,1987,LB,4.77,2.71,1.69,,31,908,4.43,
142,1987,RB,,,,,,,,
143,1987,WR,4.53,2.64,1.58,7,32,908,4.12,
144,1987,RB,,,,,,,,
145,1987,OT,5.09,2.91,1.69,21,24,900,4.43,
146,1987,WR,,,,,,,,
147,1987,FB,4.61,2.73,1.63,19,33,909,3.99,
148,1987,DE,,,,19,,,,
149,1987,WR,4.64,2.61,1.6,5,30.5,906,4.36,
150,1987,OG,5.4,3.13,1.86,20,28.5,900,4.63,
151,1987,DT,,,,,,,,
152,1987,K,,,,,,,,
153,1987,TE,4.89,2.85,1.73,16,30.5,904,4.48,
154,1987,WR,4.67,2.71,1.62,11,24,809,,
155,1987,QB,4.83,2.75,1.67,8,24,810,4.41,
156,1987,K,,,,,,,,
157,1987,OG,5.36,3.06,1.78,22,22.5,,4.83,
158,1987,DT,4.86,2.83,1.72,17,,,,
159,1987,DT,5.14,2.97,1.78,23,24,800,4.77,
160,1987,TE,4.73,2.77,1.71,14,27.5,811,4.37,
161,1987,LB,,,,,,,,
162,1987,QB,,,,,,,,
163,1987,QB,,,,,,,,
164,1987,DE,,,,,,,,
165,1987,TE,4.78,2.76,1.71,18,25.5,804,4.34,
166,1987,OT,5.52,3.22,1.88,,22,705,5,
167,1987,FB,4.71,2.71,1.59,18,31,908,4.16,
168,1987,OC,,,,,,,,
169,1987,OT,5.23,3,1.76,22,25.5,810,5.01,
170,1987,DT,,,,,,,,
171,1987,OG,,,,,,,,
172,1987,TE,,,,,,,,
173,1987,WR,4.61,2.62,1.57,,32.5,807,4.43,
174,1987,OC,4.97,2.88,1.71,25,26.5,807,4.6,
175,1987,DE,4.85,2.78,1.6,27,28,803,4.41,
176,1987,P,,,,,,,,
177,1987,OT,5.51,3.15,1.83,16,25,701,4.77,
178,1987,OG,5.53,3.2,1.95,21,21,,,
179,1987,OT,5.21,3.02,1.8,23,25.5,811,4.87,
180,1987,RB,4.55,2.62,1.58,14,30.5,907,4.15,
181,1987,FS,4.66,2.68,1.65,,29,905,4.19,
182,1987,QB,,,,,,,,
183,1987,RB,4.75,2.87,1.73,10,29,904,4.51,
184,1987,LB,4.76,2.75,1.64,16,33.5,1004,4.36,
185,1987,CB,,,,,,,,
186,1987,TE,,,,,,,,
187,1987,WR,4.64,2.66,1.61,2,30,908,,
188,1987,CB,,,,,,,,
189,1987,WR,4.67,2.69,1.61,8,30.5,904,4.44,
190,1987,DE,4.96,2.91,1.68,,25,903,4.56,
191,1987,TE,4.84,2.77,1.72,16,31,903,4.63,
192,1987,WR,4.5,2.58,1.57,4,29,903,4.35,
193,1987,DT,,,,,,,,
194,1987,QB,4.95,2.84,1.73,,28,900,4.51,
195,1987,WR,4.55,2.58,1.59,7,29,904,4.14,
196,1987,QB,,,,,,,,
197,1987,RB,4.44,2.65,1.6,14,31,911,4.4,
198,1987,RB,,,,,,,,
199,1987,RB,4.47,2.61,1.67,9,32.5,910,4.18,
200,1987,OG,5.46,3.18,1.88,,20.5,704,4.88,
201,1987,QB,,,,,,,,
202,1987,CB,,,,,,,,
203,1987,LB,,,,,,,,
204,1987,WR,4.55,2.6,1.56,2,31,1003,4.21,
205,1987,RB,4.81,2.78,1.68,20,29.5,805,4.75,
206,1987,LB,,,,,,,,
207,1987,WR,,,,,,,,
208,1987,CB,,,,,,,,
209,1987,RB,,,,,,,,
210,1987,RB,4.6,2.69,1.61,13,30,908,4.02,
211,1987,LB,4.83,2.76,1.63,12,30,905,4.29,
212,1987,CB,,,,,,,,
213,1987,DE,5.05,2.96,1.79,10,22.5,805,4.79,
214,1987,SS,4.61,2.69,1.61,18,30,810,4.3,
215,1987,FS,4.64,2.74,1.61,9,31.5,905,4.33,
216,1987,WR,4.57,2.66,1.58,,31,905,4.11,
217,1987,QB,5.15,2.93,1.75,6,26.5,808,4.63,
218,1987,DT,,,,,,,,
219,1987,CB,,,,,,,,
220,1987,WR,,,,,,,,
221,1987,WR,4.64,2.69,1.62,7,32,906,4.52,
222,1987,LB,,,,,,,,
223,1987,RB,,,,,,,,
224,1987,LB,4.78,2.76,1.68,15,30,902,4.31,
225,1987,FB,4.65,2.74,1.63,13,32,904,4.12,
226,1987,TE,,,,,,,,
227,1987,WR,,,,8,,,,
228,1987,WR,4.46,2.6,1.54,9,30,906,4.51,
229,1987,OT,5.29,3.08,1.77,18,26,801,4.71,
230,1987,LB,,,,,,,,
231,1987,DT,5.01,2.9,1.72,14,28,810,4.56,
232,1987,WR,4.42,2.54,1.53,8,32,903,4.16,
233,1987,FS,4.7,2.69,1.6,7,28,906,4.1,
234,1987,DT,4.92,2.81,1.67,21,28,905,4.53,
235,1987,QB,,,,,,,,
236,1987,RB,4.77,2.84,1.7,13,28,808,4.57,
237,1987,FB,4.89,2.81,1.64,15,28.5,804,4.09,
238,1987,CB,,,,,,,,
239,1987,LB,,,,,,,,
240,1987,TE,4.67,2.71,1.62,9,29,900,4.42,
241,1987,WR,4.5,2.59,1.57,16,35,909,4.37,
242,1987,LB,,,,,,,,
243,1987,SS,,,,,,,,
244,1987,WR,,,,,,,,
