PLAYERID,DRAFTYEAR,POSITION,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE
3915,1996,OC,5.62,3.26,1.93,,25,709,4.75,
3916,1996,RB,,,,24,,,,
3917,1996,LB,4.88,2.84,1.7,18,32,905,4.29,
3918,1996,WR,4.47,2.62,1.55,,33.5,1004,4.3,
3919,1996,OT,,,,30,,,,
3920,1996,CB,4.6,2.72,1.62,19,31.5,910,4.31,
3921,1996,FS,4.59,2.76,1.66,,33.5,,,
3922,1996,RB,4.49,2.62,1.56,14,38.5,1002,4.32,
3923,1996,OT,5.42,3.15,1.9,,26.5,802,4.66,
3924,1996,DE,4.95,2.85,1.68,23,31,909,4.59,
3925,1996,OT,,,,,,,,
3926,1996,RB,4.68,2.75,1.62,17,32.5,810,4.22,
3927,1996,OT,5.29,3.06,1.85,29,24.5,801,4.78,
3928,1996,RB,4.81,2.82,1.69,14,32,908,4.54,
3929,1996,WR,,,,,,,,
3930,1996,OG,,,,,,,,
3931,1996,DT,5.05,2.89,1.72,21,29.5,904,4.65,
3932,1996,OG,5.47,3.07,1.88,17,25.5,803,4.78,
3933,1996,SS,4.69,2.79,1.66,13,30.5,908,4.22,
3934,1996,OT,5.12,2.97,1.78,25,26.5,900,4.66,
3935,1996,LB,4.59,2.62,1.62,,34.5,1000,4.42,
3936,1996,DE,4.88,2.83,1.65,28,36,909,4.45,
3937,1996,TE,4.67,2.71,1.63,,34.5,904,4.24,
3938,1996,OT,5.61,3.3,1.99,13,24,705,5.15,
3939,1996,OT,,,,,,,,
3940,1996,OT,5.34,3.12,1.8,25,24.5,807,4.73,
3941,1996,QB,,,,,,,,
3942,1996,RB,,,,,,,,
3943,1996,OT,5.12,2.98,1.8,30,31,905,,
3944,1996,QB,5.05,2.91,1.75,,31.5,900,4.53,
3945,1996,DT,,,,,,,,
3946,1996,DB,,,,,,,,
3947,1996,FB,,,,26,,,,
3948,1996,RB,,,,,32.5,907,4.29,
3949,1996,DE,4.8,2.84,1.72,,35,1003,4.85,
3950,1996,OT,,,,,,,,
3951,1996,DE,4.78,2.76,1.67,21,31.5,907,4.3,
3952,1996,DE,,,,,,,,
3953,1996,OG,5.3,3.04,1.83,28,28,810,4.53,
3954,1996,DE,5.13,2.96,1.8,16,27.5,805,4.73,
3955,1996,DE,5.08,2.92,1.77,18,27.5,811,4.65,
3956,1996,QB,4.71,2.76,1.68,,36.5,1000,4.32,
3957,1996,OG,5.42,3.14,1.91,29,23,709,4.94,
3958,1996,OT,,,,,,,,
3959,1996,DT,,,,,,,,
3960,1996,DT,,,,,,,,
3961,1996,LB,4.81,2.75,1.62,16,32,911,4.04,
3962,1996,WR,4.67,2.72,1.6,,,903,,
3963,1996,WR,,,,,31.5,1005,4.25,
3964,1996,CB,4.54,2.6,1.53,14,38,1002,4.22,
3965,1996,QB,5.14,2.98,1.77,,25,800,4.65,
3966,1996,RB,,,,,,,,
3967,1996,DT,5.31,3.04,1.8,32,28.5,807,4.59,
3968,1996,LB,4.79,2.8,1.66,18,33,911,4.14,
3969,1996,DE,4.57,2.63,1.58,24,33,1101,4.39,
3970,1996,WR,4.82,2.83,1.69,,31,1000,4.56,
3971,1996,DT,5.5,3.13,1.88,23,26.5,803,5.25,
3972,1996,RB,,,,,,,,
3973,1996,DB,,,,,,,,
3974,1996,RB,4.39,2.56,1.55,22,37,1000,4.06,
3975,1996,SS,4.63,2.68,1.6,,33.5,1002,4.6,
3976,1996,RB,,,,,,,,
3977,1996,SS,4.59,2.69,1.58,14,37.5,1004,4.08,
3978,1996,OT,5.14,3.3,2.05,18,30,806,4.85,
3979,1996,TE,4.83,2.81,1.67,18,29,,4.31,
3980,1996,TE,4.78,2.77,1.65,20,33.5,902,4.17,
3981,1996,OG,,,,,,,,
3982,1996,SS,4.67,2.7,1.61,,33,1006,4.26,
3983,1996,DT,5.14,3,1.82,33,30.5,911,4.57,
3984,1996,DT,5.33,3.08,1.87,,25,707,5.03,
3985,1996,WR,4.59,2.68,1.66,,31.5,1000,4.2,
3986,1996,DT,,,,24,,,,
3987,1996,WR,4.84,2.78,1.63,,31,902,4.23,
3988,1996,CB,4.71,2.8,1.74,20,31.5,1001,4.46,
3989,1996,RB,,,,,,,,
3990,1996,RB,,,,,,,,
3991,1996,WR,,,,,,,,
3992,1996,OG,5.37,3.11,1.86,36,23.5,708,5,
3993,1996,DB,,,,,,,,
3994,1996,WR,4.68,2.69,1.59,,34,909,4.12,
3995,1996,OC,,,,30,30.5,904,,
3996,1996,RB,4.59,2.7,1.61,18,32.5,1002,4.26,
3997,1996,FB,4.68,2.73,1.65,24,33,909,4.16,
3998,1996,RB,,,,,,,,
3999,1996,QB,,,,,,,,
4000,1996,OC,,,,,,,,
4001,1996,DE,,,,,,,,
4002,1996,QB,5.17,3,1.78,,31,909,4.41,
4003,1996,WR,4.67,2.72,1.67,,30.5,1004,4.14,
4004,1996,OT,6.01,3.49,2.15,26,19.5,611,5.45,
4005,1996,DE,5.06,2.93,1.76,17,28.5,806,4.61,
4006,1996,WR,4.74,2.74,1.64,,32,900,4.04,
4007,1996,RB,4.76,2.76,1.59,13,37.5,1002,4.27,
4008,1996,WR,4.53,2.66,1.54,,33,1000,4.16,
4009,1996,WR,,,,,,,,
4010,1996,OG,,,,,,,,
4011,1996,OT,5.3,3.05,1.83,29,23.5,805,4.7,
4012,1996,DE,5.01,2.98,1.73,24,29.5,900,4.73,
4013,1996,WR,4.63,2.73,1.65,,35,1001,4.21,
4014,1996,LB,4.9,2.82,1.66,20,29,902,4.59,
4015,1996,DT,5.09,2.96,1.76,22,26.5,805,4.7,
4016,1996,LB,,,,,,,,
4017,1996,OG,,,,,,,,
4018,1996,DE,4.86,2.85,1.69,20,36.5,1004,4.37,
4019,1996,WR,4.5,2.62,1.58,,32.5,1000,4.46,
4020,1996,SS,,,,9,,,,
4021,1996,WR,4.9,2.8,1.71,,29.5,905,4.5,
4022,1996,DT,5.31,3.06,1.86,24,23.5,806,4.91,
4023,1996,LB,,,,22,34,904,,
4024,1996,LB,,,,17,,,,
4025,1996,LB,4.58,,,34,38.5,,,
4026,1996,WR,4.71,2.77,1.64,,33,1100,4.34,
4027,1996,CB,4.47,2.54,1.53,12,37.5,,,
4028,1996,CB,4.66,2.7,1.6,13,36.5,1000,4.41,
4029,1996,CB,4.68,2.67,1.63,19,34,901,4.1,
4030,1996,DE,4.81,2.82,1.73,25,34.5,1000,4.61,
4031,1996,WR,4.59,2.68,1.61,,32.5,907,4.2,
4032,1996,FB,4.86,2.82,1.72,,32.5,909,,
4033,1996,LB,4.53,2.58,1.54,25,33,1000,4.06,
4034,1996,OG,5.62,3.24,1.91,20,23,,5.32,
4035,1996,FS,4.58,2.66,1.6,11,33,911,4.16,
4036,1996,FS,4.52,2.65,1.57,12,34,907,4.08,
4037,1996,RB,,,,18,,,,
4038,1996,RB,,,,,,,,
4039,1996,TE,,,,,,,,
4040,1996,CB,,,,16,,,,
4041,1996,RB,,,,,,,,
4042,1996,OT,5.68,3.2,1.89,18,23,808,5.23,
4043,1996,RB,4.55,2.67,1.61,15,34,905,,
4044,1996,OT,5.08,2.93,1.75,21,27.5,900,4.74,
4045,1996,OT,5.17,3.04,1.81,24,28,811,4.95,
4046,1996,FS,4.63,2.7,1.62,21,31,907,4.2,
4047,1996,RB,,,,,,,,
4048,1996,LB,,,,,,,,
4049,1996,LB,,,,,,,,
4050,1996,FB,4.85,2.8,1.63,,31.5,907,4.29,
4051,1996,TE,,,,,27.5,902,,
4052,1996,SS,4.6,2.68,1.62,,35,910,4.5,
4053,1996,TE,,,,,,,,
4054,1996,DE,,,,,,,,
4055,1996,DE,,,,24,31,,,
4056,1996,OT,5.42,3.1,1.87,26,28,809,4.77,
4057,1996,DT,5.28,3.08,1.82,19,27,800,4.61,
4058,1996,DT,4.99,2.88,1.75,31,29.5,904,4.4,
4059,1996,WR,4.69,2.74,1.65,,29.5,909,4.52,
4060,1996,LB,4.74,2.73,1.63,24,32.5,905,4.24,
4061,1996,DB,,,,,,,,
4062,1996,DE,4.79,2.77,1.72,26,,,,
4063,1996,WR,4.6,2.69,1.6,,35,1100,4.24,
4064,1996,QB,,,,,,,,
4065,1996,LB,5.12,2.94,1.74,19,29.5,805,4.7,
4066,1996,FB,4.73,2.79,1.7,11,31,908,4.41,
4067,1996,WR,4.59,2.66,1.57,,31,1000,4.44,
4068,1996,RB,,,,,,,,
4069,1996,RB,,,,,,,,
4070,1996,LB,,,,,,,,
4071,1996,DT,,,,,,,,
4072,1996,DE,,,,,,,,
4073,1996,LB,4.55,2.66,1.59,21,38,1104,4.39,
4074,1996,CB,,,,15,,,,
4075,1996,FS,4.69,2.73,1.64,14,30.5,909,4.13,
4076,1996,DB,,,,,,,,
4077,1996,LB,,,,,,,,
4078,1996,WR,4.65,2.72,1.59,,33,1000,4.26,
4079,1996,RB,4.61,2.7,1.64,11,34.5,1002,4.41,
4080,1996,WR,,,,,,,,
4081,1996,WR,4.6,2.74,1.69,,,,,
4082,1996,LB,,,,,,,,
4083,1996,RB,,,,,,,,
4084,1996,RB,,,,,,,,
4085,1996,WR,4.69,2.71,1.64,,31.5,903,4.2,
4086,1996,OG,,,,,,,,
4087,1996,LB,4.97,2.86,1.69,18,28,,4.38,
4088,1996,RB,4.75,2.8,1.7,,30.5,909,4.2,
4089,1996,QB,4.93,2.86,1.68,,,,4.55,
4090,1996,DE,,,,,,,,
4091,1996,OG,5.6,3.24,1.9,26,20.5,707,5.1,
4092,1996,TE,4.93,2.86,1.71,,27.5,900,4.46,
4093,1996,FS,4.64,2.68,1.56,,36,910,4.1,
4094,1996,RB,,,,19,,,,
4095,1996,CB,4.66,2.73,1.6,18,32,1001,4.41,
4096,1996,DT,5.26,3.04,1.78,18,23.5,,,
4097,1996,CB,4.53,2.67,1.58,5,34.5,1000,,
4098,1996,LB,4.9,2.89,1.69,21,33.5,905,4.7,
4099,1996,FS,,,,,33.5,1002,4.1,
4100,1996,CB,4.63,2.75,1.64,11,31.5,910,4.34,
4101,1996,LB,,,,,,,,
4102,1996,OT,5.28,3.09,1.88,20,23,801,,
4103,1996,LB,4.74,2.73,1.59,11,31,901,4.61,
4104,1996,RB,4.49,2.61,1.56,25,35,1003,4.14,
4105,1996,LB,4.85,2.77,1.67,20,28.5,808,4.24,
4106,1997,RB,4.73,2.79,1.62,15,31.5,909,4.5,7.75
4107,1997,OT,5.04,2.94,1.78,,30,811,4.47,7.72
4108,1997,OT,5.24,3.02,1.86,17,28,706,4.63,8.06
4109,1997,CB,4.69,2.73,1.62,7,31,900,4.03,7.67
4110,1997,DB,,,,,,,,
4111,1997,WR,4.55,2.63,1.63,,,,,
4112,1997,RB,4.62,2.7,1.62,16,32,903,4.16,7.25
4113,1997,OT,5.22,3.1,1.8,27,30,900,,
4114,1997,WR,4.67,2.72,1.6,,33,908,4.28,7.46
4115,1997,LB,4.77,2.77,1.73,20,39.5,1002,4.2,7.57
4116,1997,DT,5.14,2.98,1.74,33,26.5,807,4.99,9.16
4117,1997,DT,,,,,,,,
4118,1997,LB,4.98,2.88,1.77,28,34,906,4.34,7.73
4119,1997,DT,,,,,,,,
4120,1997,CB,4.66,2.74,1.67,18,36,909,4.41,7.85
4121,1997,RB,4.48,2.62,1.56,15,36.5,909,,
4122,1997,WR,,,,,33.5,811,4.33,7.52
4123,1997,LB,,,,,,,,
4124,1997,LB,,,,,,,,
4125,1997,DT,5.44,3.2,1.94,22,24.5,709,4.73,8.58
4126,1997,RB,4.61,2.67,1.59,,36.5,1005,3.97,7.16
4127,1997,OT,5.42,3.11,1.82,22,28,808,4.73,8.25
4128,1997,OG,5.6,3.22,1.89,13,23,803,,
4129,1997,DE,4.64,2.75,1.63,27,37.5,1003,4.49,7.79
4130,1997,LB,,,,,,,,
4131,1997,DE,5,2.95,1.7,26,32,,,
4132,1997,OC,5.45,3.11,1.81,25,29,,,
4133,1997,OG,5.19,3.03,1.8,30,29.5,908,4.62,8.3
4134,1997,OG,5.22,3.03,1.8,21,32.5,903,4.13,
4135,1997,P,,,,,,,,
4136,1997,QB,5,2.89,1.75,,31.5,904,4.39,7.54
4137,1997,DE,4.92,2.84,1.66,16,32.5,907,4.36,7.67
4138,1997,OG,5.09,3.02,1.82,24,29,,,
4139,1997,K,,,,,,,,
4140,1997,RB,4.65,2.7,1.62,3,34,905,4.3,7.64
4141,1997,WR,4.59,2.68,1.59,,34.5,1000,4.12,7.31
4142,1997,CB,,,,14,,,,
4143,1997,OG,5.35,3.06,1.86,31,29,901,4.75,8.4
4144,1997,WR,4.65,2.71,1.61,,30.5,907,4.14,7.36
4145,1997,LB,4.8,2.8,1.68,,34,902,4.49,7.83
4146,1997,DT,5.11,3.02,1.79,23,31.5,902,4.5,8.42
4147,1997,TE,4.91,2.88,1.72,18,29.5,811,4.54,7.89
4148,1997,DE,5.12,2.97,1.77,20,29.5,905,4.48,8.01
4149,1997,DB,,,,,,,,
4150,1997,WR,4.77,2.79,1.66,,32.5,803,4.1,7.58
4151,1997,CB,4.66,2.8,1.7,14,31,908,4.44,7.51
4152,1997,RB,4.41,2.56,1.54,,,,,
4153,1997,RB,4.49,2.62,1.61,18,39,1007,4.08,7.12
4154,1997,OG,5.19,3,1.81,22,28,806,4.61,
4155,1997,DE,4.89,2.9,1.7,,30,,,
4156,1997,DE,,,,,,,,
4157,1997,DB,,,,,,,,
4158,1997,DE,,,,,,,,
4159,1997,WR,,,,,,,,
4160,1997,RB,4.61,2.72,1.69,19,34.5,1002,4.19,7.41
4161,1997,TE,4.88,2.88,1.69,15,31,911,4.47,7.76
4162,1997,WR,4.68,2.75,1.62,,34,907,3.99,7.06
4163,1997,CB,,,,20,,,,
4164,1997,SS,4.78,2.78,1.66,17,33,902,4.23,7.34
4165,1997,LB,,,,,,,,
4166,1997,DB,,,,,,,,
4167,1997,DB,,,,,,,,
4168,1997,FS,,,,16,,,,
4169,1997,OG,5.52,3.18,1.87,22,27,709,,
4170,1997,SS,4.78,2.82,1.7,10,,,,
4171,1997,WR,4.58,2.69,1.63,,31.5,907,4.32,7.4
4172,1997,OG,,,,,,,,
4173,1997,DE,5.05,2.96,1.73,23,30.5,811,4.58,8.12
4174,1997,QB,4.98,2.87,1.7,,31.5,900,4.36,7.69
4175,1997,RB,4.61,2.7,1.64,13,39,1004,4.35,7.48
4176,1997,DB,,,,,,,,
4177,1997,RB,,,,,,,,
4178,1997,RB,4.46,2.6,1.55,16,35.5,1001,4.23,7.12
4179,1997,DE,5,2.88,1.76,19,32,907,4.33,7.81
4180,1997,LB,4.55,2.62,1.59,16,,,,
4181,1997,SS,4.71,2.74,1.66,12,34.5,909,4.19,7.4
4182,1997,RB,,,,,,,,
4183,1997,FS,4.78,2.81,1.71,9,31.5,905,4.12,7.33
4184,1997,DE,,,,25,29.5,904,,
4185,1997,OG,,,,18,,,,
4186,1997,TE,4.86,2.85,1.7,19,33.5,908,4.44,7.68
4187,1997,OG,,,,25,,,,
4188,1997,OC,5.05,3.01,1.84,21,33.5,1007,4.62,8.2
4189,1997,QB,4.9,2.85,1.68,,28,804,4.42,7.69
4190,1997,RB,,,,,34,906,,
4191,1997,DT,,,,25,31.5,800,4.26,7.65
4192,1997,SS,4.64,2.73,1.61,16,39,1001,4.24,6.97
4193,1997,DB,,,,,,,,
4194,1997,OG,5.23,3.06,1.85,28,29,807,4.77,8.33
4195,1997,TE,4.84,2.83,1.69,17,30.5,904,,
4196,1997,RB,4.69,2.75,1.66,14,34.5,1004,4.24,7.39
4197,1997,DB,,,,,,,,
4198,1997,WR,4.56,2.67,1.6,,31,901,4.14,7.1
4199,1997,CB,4.61,2.67,1.57,,32.5,904,4.09,7.18
4200,1997,SS,5.02,2.94,1.8,14,28.5,,4.36,7.45
4201,1997,CB,4.55,2.62,1.6,13,29.5,809,4.31,7.76
4202,1997,LB,4.71,2.77,1.66,23,32,901,4.36,7.53
4203,1997,LB,,,,,,,,
4204,1997,LB,4.92,2.87,1.72,15,33,901,4.42,7.88
4205,1997,WR,4.55,2.65,1.62,,32,905,4.46,7.33
4206,1997,LB,4.78,2.82,1.67,21,36.5,1001,4.45,7.67
4207,1997,LB,4.52,2.66,1.62,21,38,1005,4.21,7.48
4208,1997,CB,4.53,2.66,1.61,14,35,909,4.14,7.3
4209,1997,WR,4.73,2.71,1.64,,29,809,4.5,7.83
4210,1997,WR,4.65,2.7,1.58,,35.5,904,4.53,
4211,1997,DT,5.01,2.92,1.77,20,30.5,902,4.45,8.16
4212,1997,OG,5.36,3.08,1.83,,26,805,4.67,8.25
4213,1997,DE,5.03,2.97,1.78,19,32.5,902,4.83,8.8
4214,1997,RB,,,,,,,,
4215,1997,DT,5.05,2.95,1.77,33,29.5,801,,
4216,1997,LB,4.65,2.74,1.65,29,39.5,907,4.23,7.21
4217,1997,CB,4.62,2.72,1.61,2,31.5,905,4.49,7.58
4218,1997,OT,,,,,,,,
4219,1997,DT,,,,,,,,
4220,1997,TE,4.84,2.82,1.72,,33.5,910,4.07,7.27
4221,1997,DT,5.34,3.13,1.87,,26,708,4.72,8.84
4222,1997,FB,4.92,2.85,1.72,20,34,811,4.73,8.01
4223,1997,FS,4.78,2.81,1.66,,34,908,4.22,7.27
4224,1997,FS,4.63,2.67,1.67,13,37.5,909,3.98,7.27
4225,1997,SS,4.62,2.67,1.57,18,38.5,1005,4.33,7.38
4226,1997,OG,5.21,3.03,1.81,22,27,810,4.85,8.33
4227,1997,RB,4.75,2.79,1.67,19,31,908,4.18,7.39
4228,1997,TE,,,,,,,,
4229,1997,RB,4.58,2.69,1.61,,35,907,4.38,7.82
4230,1997,CB,4.5,2.65,1.6,8,36.5,906,4.07,7.24
4231,1997,WR,4.61,2.77,1.66,,32,903,4.49,7.81
4232,1997,DT,,,,,,,,
4233,1997,TE,4.99,2.92,1.74,30,31,907,4.12,7.51
4234,1997,LB,4.82,2.77,1.68,19,38,1009,4.19,7.48
4235,1997,FS,4.76,2.86,1.76,12,36,902,4.45,7.3
4236,1997,OC,,,,26,,,,
4237,1997,LB,,,,17,34.5,903,4.46,7.54
4238,1997,CB,4.57,2.7,1.61,,33,906,4.15,7.21
4239,1997,WR,,,,,,,,
4240,1997,LB,4.87,2.83,1.69,,31,811,4.33,7.6
4241,1997,WR,,,,,,,,
4242,1997,TE,,,,16,,,,
4243,1997,QB,4.96,2.93,1.71,,30,903,4.29,7.3
4244,1997,SS,4.6,2.7,1.65,11,38,1003,4.15,7.25
4245,1997,RB,,,,11,31,,,
4246,1997,LB,4.92,2.78,1.67,,32.5,907,4.29,7.67
4247,1997,LB,,,,22,,,,
4248,1997,LB,,,,22,35.5,1000,4.4,7.62
4249,1997,LB,4.84,2.81,1.73,,35,1005,4.43,7.52
4250,1997,OT,5.77,3.35,1.94,37,21.5,709,5.4,9.18
4251,1997,LB,4.67,2.74,1.61,19,36.5,908,4.24,7.57
4252,1997,LB,,,,24,,,,
4253,1997,LB,4.91,2.89,1.74,25,30,811,4.53,7.97
4254,1997,QB,4.92,2.85,1.68,,30.5,811,4.33,7.85
4255,1997,DT,5.39,3.14,1.87,,27.5,,,
4256,1997,QB,5.01,2.86,1.74,,29,805,4.47,7.81
4257,1997,FS,4.82,2.76,1.65,21,34,909,4.5,7.82
4258,1997,DE,4.67,2.73,1.61,18,32,903,4.07,7.27
4259,1997,RB,4.46,2.59,1.6,22,36,909,4.05,7.28
4260,1997,OT,5.4,3.13,1.85,16,29,809,5.11,8.79
4261,1997,OC,,,,33,,,,
4262,1997,FB,4.77,2.75,1.65,17,32.5,902,4.52,7.54
4263,1997,DT,5.04,2.96,1.72,8,31.5,906,4.51,7.94
4264,1997,OT,5.63,3.26,1.96,25,27.5,,,
4265,1997,OT,,,,25,,,,
4266,1997,QB,5.19,3.02,1.77,,27,806,4.67,8.03
4267,1997,QB,,,,,29,810,4.28,7.92
4268,1997,WR,,,,,,,,
4269,1997,TE,5.01,2.88,1.73,15,32,904,4.32,7.45
4270,1997,LB,4.9,2.84,1.69,21,31,901,4.22,7.38
4271,1997,DE,,,,19,35,906,,
4272,1997,LB,4.94,2.92,1.78,13,35,904,4.64,7.74
4273,1997,TE,4.99,2.82,1.78,14,30.5,900,4.54,7.6
4274,1997,WR,4.59,2.7,1.61,,34.5,906,4.33,7.54
4275,1997,OC,5.33,3.1,1.88,,26.5,704,4.74,8.63
4276,1997,OT,5.57,3.22,1.92,30,22.5,1006,5.07,8.71
4277,1997,RB,,,,,,,,
4278,1997,LB,4.73,2.77,1.67,22,35.5,,,
4279,1997,WR,4.57,2.63,1.58,,31,907,4.28,7.3
4280,1997,DB,,,,,,,,
4281,1997,DE,4.83,2.82,1.7,20,33.5,904,4.59,8.14
4282,1997,RB,4.53,2.64,1.63,11,35.5,1004,4.13,7.47
4283,1997,RB,,,,,,,,
4284,1997,SS,4.75,2.8,1.73,8,39,1004,4.24,7.39
4285,1997,DE,4.71,2.74,1.63,,33,,,
4286,1997,CB,4.76,2.76,1.67,8,32,900,4.23,7.45
4287,1997,FB,4.89,2.87,1.71,15,31.5,805,4.33,7.86
4288,1997,OT,5.39,3.11,1.82,15,24.5,806,4.92,8.32
4289,1997,DB,,,,,,,,
4290,1997,CB,4.53,2.66,1.61,20,,,4.16,7.36
4291,1997,WR,4.57,2.62,1.58,,36.5,1001,3.93,6.88
4292,1997,FS,4.6,2.7,1.6,11,32,908,4.11,7.12
4293,1997,LB,4.67,2.66,1.69,28,39,1007,4.31,7.91
4294,1997,QB,5.14,2.97,1.76,,28.5,807,4.37,7.79
4295,1997,TE,4.92,2.88,1.7,27,32,904,4.29,7.63
4296,1997,OG,5.32,3.12,1.9,30,28.5,901,4.7,
4297,1997,QB,5.23,2.99,1.77,,27,801,,
4298,1997,OG,5.52,3.18,1.84,21,27.5,809,4.84,8.61
4299,1997,SS,,,,20,,,,
4300,1997,DB,,,,,,,,
4301,1997,DT,5.36,3.03,1.88,18,30,800,4.9,8.54
4302,1997,RB,4.68,2.74,1.66,,34,910,4.31,7.82
4303,1997,TE,,,,,,,,
4304,1997,LB,4.84,2.82,1.67,22,32.5,909,4.39,7.6
4305,1997,WR,4.65,2.7,1.63,,38.5,1005,4.13,7.31
4306,1997,FB,4.72,2.77,1.64,25,34,810,4.07,7.48
4307,1997,DE,4.91,2.83,1.68,28,35.5,1002,4.5,7.48
4308,1997,QB,4.78,2.75,1.62,,30,809,4.67,8.25
4309,1997,WR,4.68,2.72,1.62,,34,904,4.09,7.42
4310,1997,WR,4.55,2.65,1.6,,37,1000,,
4311,1997,OG,5.45,3.19,1.93,29,26,,,
4312,1997,FS,4.6,2.67,1.6,9,31.5,906,4.47,7.62
4313,1997,DT,5.4,3.12,1.84,24,24.5,805,4.81,8.22
4314,1997,DE,,,,19,,,,
4315,1997,LB,4.84,2.81,1.66,15,32,904,4.11,7.29
4316,1997,DE,4.87,2.91,1.75,20,30,901,4.6,8.3
4317,1997,DE,4.94,2.9,1.69,15,28.5,803,4.29,7.66
4318,1997,DT,5.38,3.1,1.82,18,27.5,807,4.69,7.98
4319,1997,LB,4.91,2.84,1.71,13,28,808,4.19,7.39
4320,1997,WR,,,,,,,,
4321,1997,CB,,,,10,,,,
4322,1997,LB,4.72,2.77,1.69,18,32,904,4.82,8.32
4323,1997,WR,4.59,2.68,1.58,,29.5,904,4.38,7.51
4324,1997,QB,5.11,2.94,1.75,,28.5,809,4.38,7.8
4325,1997,LB,,,,,,,,
4326,1997,DB,,,,,,,,
4327,1997,DT,,,,,,,,
4328,1997,FS,4.5,2.66,1.63,11,36,1002,4,7.23
4329,1997,DE,4.94,2.87,1.67,23,29.5,806,4.43,7.77
4330,1997,TE,4.96,2.83,1.69,21,32.5,904,4.5,7.81
4331,1997,CB,,,,,,,,
4332,1997,LB,,,,,,,,
4333,1997,DT,5.18,3.05,1.84,24,27.5,807,4.61,8.3
4334,1997,DE,,,,,,,,
4335,1997,Wr,,,,,,,,
4336,1997,DE,,,,27,,,,
4337,1997,OG,5.44,3.13,1.87,,24.5,803,4.56,8
4338,1997,CB,4.66,2.69,1.62,,30.5,905,4.15,7.27
4339,1997,DE,4.92,2.86,1.72,23,39,1001,4.13,7.55
4340,1997,DE,4.94,2.94,1.78,18,31,810,4.69,7.84
4341,1997,TE,,,,,,,,
4342,1997,TE,4.95,2.92,1.74,,29.5,904,4.1,7.54
4343,1997,RB,,,,,,,,
4344,1997,WR,,,,,,,,
4345,1997,TE,4.72,2.75,1.65,22,38.5,1005,4.38,7.55
4346,1997,TE,,,,,,,,
4347,1997,DB,,,,,,,,
4348,1997,OT,,,,,,,,
4349,1997,QB,,,,,,,,
4350,1997,LB,,,,19,,,,
4351,1997,TE,5,2.89,1.72,19,29.5,811,4.25,7.58
4352,1997,DT,4.9,2.89,1.68,24,26.5,709,4.72,8.36
4353,1997,TE,4.97,2.86,1.73,,33,904,4.15,7.71
4354,1997,DB,,,,,,,,
4355,1997,LB,4.74,2.74,1.66,17,32,908,4.3,7.46
4356,1997,OT,,,,33,,,,
4357,1997,WR,4.63,2.68,1.6,,31.5,908,4.29,7.34
4358,1997,TE,4.88,2.86,1.72,,30.5,903,4.32,7.48
4359,1997,LB,4.84,2.81,1.67,26,32.5,901,4.29,7.41
4360,1997,DE,4.76,2.79,1.66,,34,910,4.2,7.64
4361,1997,DE,5.07,2.97,1.76,12,29,903,4.73,7.9
4362,1997,RB,4.73,2.72,1.62,18,33,907,4.14,7.4
4363,1997,WR,,,,,,,,
4364,1997,OT,5.4,3.12,1.88,14,24,703,4.93,8.48
4365,1997,LB,,,,,,,,
4366,1997,RB,4.46,2.59,1.53,,31,1000,4.17,7.4
4367,1997,RB,4.61,2.64,1.67,9,34.5,906,4.48,7.6
4368,1997,SS,4.8,2.82,1.68,12,32.5,903,4.05,7.14
4369,1997,WR,,,,,,,,
4370,1997,DE,4.92,2.89,1.72,26,,,,
4371,1997,DE,4.83,2.82,1.69,28,33,907,4.29,7.72
4372,1997,LB,4.92,2.88,1.73,18,33.5,907,4.28,7.48
4373,1997,LB,,,,,,,,
4374,1997,LB,,,,,,,,
4375,1997,DT,5.09,3.06,1.85,22,26,808,4.67,8.16
4376,1997,DB,,,,,,,,
4377,1997,FS,4.62,2.69,1.62,,30.5,811,4.03,7.3
4378,1997,WR,4.54,2.64,1.6,,30,900,4.3,7.36
4379,1997,WR,4.82,2.8,1.68,,31.5,900,4.57,7.42
4380,1997,FB,5.03,2.93,1.74,25,28,806,,
4381,1997,DE,,,,,,,,
4382,1997,OC,5.64,3.3,1.98,28,24,,,
4383,1997,CB,4.75,2.74,1.67,6,33.5,907,4.44,7.82
4384,1997,DE,5.09,3,1.79,7,28.5,806,4.59,8.04
4385,1997,QB,,,,,,,,
4386,1997,TE,4.87,2.82,1.67,14,31.5,900,4.29,7.51
4387,1997,CB,4.68,2.77,1.67,14,34.5,910,4.46,7.22
4388,1997,LB,,,,17,,,,
4389,1997,OG,,,,,,,,
4390,1997,LB,,,,21,32,907,4.11,7.44
4391,1997,OC,,,,,,,,
4392,1997,FS,4.78,2.79,1.67,14,30.5,806,4.38,7.48
4393,1997,CB,4.61,2.72,1.69,8,36.5,911,4.16,7.19
4394,1997,LB,4.9,2.83,1.67,,31.5,900,4.31,7.25
4395,1997,OG,,,,26,,,,
4396,1997,OT,5.29,3.07,1.88,18,25.5,708,4.87,7.97
4397,1997,LB,4.84,2.83,1.71,19,31.5,908,4.49,7.74
4398,1997,OT,5.37,3.05,1.81,,26,810,4.41,7.91
4399,1997,FS,4.83,2.84,1.74,18,32.5,911,4.3,7.58
4400,1997,RB,4.62,2.77,1.64,,32,904,4.39,7.76
4401,1997,DT,5.13,2.98,1.76,25,33,906,4.52,8
4402,1997,CB,,,,17,,,,
