Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,9,1,3,1.2,0.4,1.0,0.0
2,,Justin TuckerJ. Tucker BAL,8,1,5,2.2,0.8,2.0,0.0
3,,Harrison ButkerH. Butker KC,12,2,6,3.6,1.0,3.0,0.0
4,,Stephen GostkowskiS. Gostkowski NE,10,2,10,3.7,1.0,5.0,+1.0
5,,Wil LutzW. Lutz NO,9,3,8,4.9,1.0,4.0,-1.0
Tier 2,
6,,Ka'imi FairbairnK. Fairbairn HOU,10,3,27,7.5,4.5,6.0,0.0
7,,Mason CrosbyM. Crosby GB,11,4,26,7.7,1.6,10.0,+3.0
8,,Jake ElliottJ. Elliott PHI,10,6,16,9.0,1.8,11.0,+3.0
9,,Brett MaherB. Maher DAL,8,7,14,10.1,1.9,8.0,-1.0
10,,Matt PraterM. Prater DET,5,7,19,10.7,3.0,14.0,+4.0
11,,Robbie GouldR. Gould SF,4,6,28,11.2,2.7,7.0,-4.0
12,,Michael BadgleyM. Badgley LAC,12,6,19,11.5,2.7,12.0,0.0
Tier 3,
13,,Adam VinatieriA. Vinatieri IND,6,8,17,13.3,1.7,9.0,-4.0
14,,Jason MyersJ. Myers SEA,11,7,24,15.4,3.2,13.0,-1.0
15,,Graham GanoG. Gano CAR,7,7,29,15.1,3.8,19.0,+4.0
16,,Aldrick RosasA. Rosas NYG,11,14,32,17.6,3.4,16.0,0.0
17,,Dan BaileyD. Bailey MIN,12,9,29,17.8,3.6,18.0,+1.0
18,,Chris BoswellC. Boswell PIT,7,5,24,18.6,2.1,17.0,-1.0
19,,Ryan SuccopR. Succop TEN,11,12,24,19.4,2.5,21.0,+2.0
20,,Brandon McManusB. McManus DEN,10,6,27,20.2,2.8,20.0,0.0
Tier 4,
21,,Josh LamboJ. Lambo JAC,10,11,30,22.2,3.5,24.0,+3.0
22,,Giorgio TavecchioG. Tavecchio ATL,9,10,31,19.5,5.4,15.0,-7.0
23,,Greg JosephG. Joseph CLE,7,7,33,22.1,4.2,23.0,0.0
24,,Steven HauschkaS. Hauschka BUF,6,4,29,23.9,3.0,31.0,+7.0
25,,Daniel CarlsonD. Carlson OAK,6,13,31,24.2,3.7,34.0,+9.0
26,,Cairo SantosC. Santos TB,7,15,34,24.9,3.1,54.0,+28.0
27,,Chandler CatanzaroC. Catanzaro NYJ,4,15,32,26.0,3.7,29.0,+2.0
28,,Dustin HopkinsD. Hopkins WAS,10,14,34,27.1,3.1,30.0,+2.0
Tier 5,
29,,Randy BullockR. Bullock CIN,9,7,34,29.0,2.4,48.0,+19.0
30,,Matt BryantM. Bryant FA,,13,33,22.8,6.6,41.0,+11.0
31,,Zane GonzalezZ. Gonzalez ARI,12,18,36,30.8,2.6,25.0,-6.0
32,,Eddy PineiroE. Pineiro CHI,6,18,35,31.3,2.1,28.0,-4.0
33,,Jason SandersJ. Sanders MIA,5,19,35,31.5,1.5,37.0,+4.0
34,,Austin SeibertA. Seibert CLE,7,15,37,27.9,6.3,22.0,-12.0
35,,Cody ParkeyC. Parkey FA,,20,36,25.0,6.0,33.0,-2.0
36,,Matt GayM. Gay TB,7,16,35,28.2,4.5,26.0,-10.0
37,,Andrew JacasA. Jacas SF,4,27,36,31.5,4.5,,
38,,Andrew WellockA. Wellock CAR,7,28,37,32.5,4.5,,
39,,Chris BlewittC. Blewitt FA,,31,40,35.5,4.5,42.0,+3.0
