Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,9,1,3,1.1,0.3,1.0,0.0
2,,Justin TuckerJ. Tucker BAL,8,1,15,2.6,1.6,2.0,0.0
3,,Harrison ButkerH. Butker KC,12,1,6,3.3,1.1,3.0,0.0
4,,Stephen GostkowskiS. Gostkowski NE,10,2,11,3.9,1.2,6.0,+2.0
5,,Wil LutzW. Lutz NO,9,3,11,4.9,1.1,4.0,-1.0
Tier 2,
6,,Mason CrosbyM. Crosby GB,11,6,27,8.3,2.4,10.0,+4.0
7,,Ka'imi FairbairnK. Fairbairn HOU,10,3,28,8.9,5.9,5.0,-2.0
8,,Jake ElliottJ. Elliott PHI,10,5,17,9.2,1.7,9.0,+1.0
9,,Brett MaherB. Maher DAL,8,7,18,10.5,1.8,15.0,+6.0
10,,Robbie GouldR. Gould SF,4,5,29,11.1,2.9,7.0,-3.0
11,,Michael BadgleyM. Badgley LAC,12,6,20,11.7,2.6,14.0,+3.0
12,,Matt PraterM. Prater DET,5,7,25,11.7,3.8,13.0,+1.0
13,,Adam VinatieriA. Vinatieri IND,6,5,18,12.0,2.7,8.0,-5.0
Tier 3,
14,,Jason MyersJ. Myers SEA,11,7,25,15.2,3.4,11.0,-3.0
15,,Graham GanoG. Gano CAR,7,7,29,16.2,3.9,22.0,+7.0
16,,Aldrick RosasA. Rosas NYG,11,5,32,17.3,3.5,17.0,+1.0
17,,Dan BaileyD. Bailey MIN,12,13,30,18.1,3.7,16.0,-1.0
18,,Chris BoswellC. Boswell PIT,7,5,24,18.2,3.5,18.0,0.0
19,,Ryan SuccopR. Succop TEN,11,13,24,19.7,2.3,19.0,0.0
Tier 4,
20,,Brandon McManusB. McManus DEN,10,6,29,21.0,2.7,20.0,0.0
21,,Giorgio TavecchioG. Tavecchio ATL,9,6,31,18.2,6.2,12.0,-9.0
22,,Josh LamboJ. Lambo JAC,10,7,31,22.4,4.5,24.0,+2.0
23,,Greg JosephG. Joseph CLE,7,7,32,22.7,4.2,21.0,-2.0
24,,Steven HauschkaS. Hauschka BUF,6,4,30,24.6,2.0,28.0,+4.0
25,,Daniel CarlsonD. Carlson OAK,6,13,31,25.3,3.0,29.0,+4.0
26,,Cairo SantosC. Santos TB,7,6,33,25.6,2.7,,
27,,Chandler CatanzaroC. Catanzaro NYJ,4,11,30,25.2,4.2,26.0,-1.0
28,,Dustin HopkinsD. Hopkins WAS,10,14,34,26.7,2.9,,
Tier 5,
29,,Randy BullockR. Bullock CIN,9,7,33,28.6,2.7,,
30,,Eddy PineiroE. Pineiro CHI,6,8,35,28.1,6.1,25.0,-5.0
31,,Zane GonzalezZ. Gonzalez ARI,12,19,36,30.0,3.3,,
32,,Matt BryantM. Bryant FA,,7,33,19.7,7.6,,
33,,Jason SandersJ. Sanders MIA,5,19,33,30.9,2.0,,
34,,Austin SeibertA. Seibert CLE,7,5,37,27.6,8.0,23.0,-11.0
35,,Cody ParkeyC. Parkey FA,,21,36,27.2,5.9,,
36,,Matt GayM. Gay TB,7,16,35,29.1,5.3,27.0,-9.0
37,,Andrew JacasA. Jacas SF,4,27,36,31.5,4.5,,
38,,Chris BlewittC. Blewitt FA,,31,38,33.7,3.1,,
39,,Andrew WellockA. Wellock CAR,7,28,37,32.5,4.5,,
