Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,3,1.7,0.8,1.0,0.0
2,,Christian McCaffreyC. McCaffrey CAR,RB2,7,1,6,2.4,0.9,2.0,0.0
3,,Alvin KamaraA. Kamara NO,RB3,9,1,6,3.0,1.1,4.0,+1.0
4,,Ezekiel ElliottE. Elliott DAL,RB4,8,1,51,3.7,2.4,3.0,-1.0
Tier 2,
5,,David JohnsonD. Johnson ARI,RB5,12,4,31,7.1,3.6,7.0,+2.0
6,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,13,7.6,1.3,5.0,-1.0
7,,Davante AdamsD. Adams GB,WR2,11,5,20,9.2,3.0,6.0,-1.0
8,,Travis KelceT. Kelce KC,TE1,12,8,22,9.4,2.5,16.0,+8.0
9,,Julio JonesJ. Jones ATL,WR3,9,5,16,10.3,2.2,11.0,+2.0
10,,Michael ThomasM. Thomas NO,WR4,9,7,32,12.4,3.2,9.0,-1.0
11,,Odell Beckham Jr.O. Beckham CLE,WR5,7,7,20,12.5,2.5,12.0,+1.0
12,,James ConnerJ. Conner PIT,RB6,7,4,40,12.7,4.9,10.0,-2.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,5,44,12.8,6.6,8.0,-5.0
Tier 3,
14,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,7,30,14.4,3.9,14.0,0.0
15,,Joe MixonJ. Mixon CIN,RB8,9,5,31,15.6,5.0,18.0,+3.0
16,,Tyreek HillT. Hill KC,WR7,12,7,212,19.4,7.4,15.0,-1.0
17,,Dalvin CookD. Cook MIN,RB9,12,6,44,19.7,7.1,19.0,+2.0
18,,Nick ChubbN. Chubb CLE,RB10,7,6,71,20.6,9.4,23.0,+5.0
19,,Antonio BrownA. Brown OAK,WR8,6,12,32,20.7,4.2,20.0,+1.0
20,,Todd GurleyT. Gurley LAR,RB11,9,5,52,20.8,11.3,13.0,-7.0
21,,Mike EvansM. Evans TB,WR9,7,14,33,21.4,4.4,22.0,+1.0
Tier 4,
22,,George KittleG. Kittle SF,TE2,4,8,53,24.4,5.6,30.0,+8.0
23,,Keenan AllenK. Allen LAC,WR10,12,12,34,24.9,3.5,24.0,+1.0
24,,Melvin GordonM. Gordon LAC,RB12,12,2,83,25.4,14.2,17.0,-7.0
25,,Damien WilliamsD. Williams KC,RB13,12,4,59,25.5,11.7,26.0,+1.0
26,,T.Y. HiltonT. Hilton IND,WR11,6,18,36,27.1,3.7,27.0,+1.0
27,,Zach ErtzZ. Ertz PHI,TE3,10,15,69,27.7,10.2,25.0,-2.0
28,,Amari CooperA. Cooper DAL,WR12,8,13,43,29.3,3.2,31.0,+3.0
