Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
80,,David NjokuD. Njoku CLE,TE8,7,15,121,81.4,11.3
81,,Jared CookJ. Cook NO,TE9,9,53,121,81.6,16.5
82,,Cam NewtonC. Newton CAR,QB9,7,56,114,81.6,10.7
83,,Courtland SuttonC. Sutton DEN,WR37,10,41,109,81.6,9.6
84,,Tevin ColemanT. Coleman SF,RB29,4,66,115,82.5,6.1
Tier 7,
85,,Sterling ShepardS. Shepard NYG,WR38,11,62,107,85.6,9.4
86,,Jordan HowardJ. Howard PHI,RB30,10,66,149,85.6,12.8
87,,Christian KirkC. Kirk ARI,WR39,12,50,124,87.5,11.0
88,,Jerick McKinnonJ. McKinnon SF,RB31,4,60,181,91.1,19.8
89,,LeSean McCoyL. McCoy BUF,RB32,6,76,144,94.7,13.2
90,,Jameis WinstonJ. Winston TB,QB10,7,54,118,94.9,15.9
91,,Keke CouteeK. Coutee HOU,WR40,10,74,128,96.9,9.2
92,,Latavius MurrayL. Murray NO,RB33,9,52,143,97.5,20.2
93,,Rashaad PennyR. Penny SEA,RB34,11,59,130,97.7,11.4
94,,Curtis SamuelC. Samuel CAR,WR41,7,74,141,99.2,8.7
95,,Jared GoffJ. Goff LAR,QB11,9,77,150,101.7,9.9
96,,Anthony MillerA. Miller CHI,WR42,6,74,155,102.6,17.4
97,,Dede WestbrookD. Westbrook JAC,WR43,10,73,157,102.8,11.2
98,,Larry FitzgeraldL. Fitzgerald ARI,WR44,12,58,155,104.7,20.3
99,,Ben RoethlisbergerB. Roethlisberger PIT,QB12,7,87,116,104.9,9.0
100,,Carson WentzC. Wentz PHI,QB13,10,68,150,107.1,13.0
101,,Michael GallupM. Gallup DAL,WR45,8,90,206,107.4,8.6
102,,Matt BreidaM. Breida SF,RB35,4,59,182,108.3,25.9
103,,Royce FreemanR. Freeman DEN,RB36,10,85,132,108.5,9.5
104,,Delanie WalkerD. Walker TEN,TE10,11,72,142,108.8,12.9
105,,Philip RiversP. Rivers LAC,QB14,12,91,150,109.0,9.4
Tier 8,
106,,Chris Herndon IVC. Herndon NYJ,TE11,4,92,136,114.5,15.7
107,,Nyheim HinesN. Hines IND,RB37,6,71,182,115.4,13.4
108,,Dion LewisD. Lewis TEN,RB38,11,85,193,116.4,16.5
109,,Trey BurtonT. Burton CHI,TE12,6,72,161,116.5,16.6
110,,Austin HooperA. Hooper ATL,TE13,9,72,173,117.7,15.4
111,,Emmanuel SandersE. Sanders DEN,WR46,10,75,196,118.2,26.0
112,,Mitch TrubiskyM. Trubisky CHI,QB15,6,103,154,120.0,12.0
113,,Adam HumphriesA. Humphries TEN,WR47,11,74,174,122.0,18.5
114,,Marquise GoodwinM. Goodwin SF,WR48,4,96,190,123.3,12.6
115,,Dak PrescottD. Prescott DAL,QB16,8,103,167,124.5,16.1
116,,Jack DoyleJ. Doyle IND,TE14,6,94,141,125.1,13.0
117,,Lamar JacksonL. Jackson BAL,QB17,8,95,197,126.3,21.7
118,,Tyreek HillT. Hill KC,WR49,12,20,262,66.8,70.1
119,,Tom BradyT. Brady NE,QB18,10,91,154,128.5,13.7
120,,Rex BurkheadR. Burkhead NE,RB39,10,100,186,128.8,13.5
121,,Devin FunchessD. Funchess IND,WR50,6,64,203,130.0,31.6
122,,John BrownJ. Brown BUF,WR51,6,90,160,130.2,14.2
123,,Vance McDonaldV. McDonald PIT,TE15,7,69,173,130.2,17.5
124,,Ito SmithI. Smith ATL,RB40,9,80,170,130.4,20.2
125,,Kareem HuntK. Hunt CLE,RB41,7,98,259,132.7,30.4
126,,Duke JohnsonD. Johnson CLE,RB42,7,104,195,133.8,17.9
127,,Ronald Jones IIR. Jones TB,RB43,7,83,170,133.9,20.0
128,,DeSean JacksonD. Jackson PHI,WR52,10,90,210,134.2,21.4
129,,James WashingtonJ. Washington PIT,WR53,7,65,196,134.4,24.7
130,,Jordan ReedJ. Reed WAS,TE16,10,106,153,134.9,7.6
131,,Greg OlsenG. Olsen CAR,TE17,7,108,172,134.9,12.3
132,,Jimmy GaroppoloJ. Garoppolo SF,QB19,4,114,162,136.0,15.1
133,,Austin EkelerA. Ekeler LAC,RB44,12,93,188,137.8,22.4
134,,Geronimo AllisonG. Allison GB,WR54,11,49,216,137.9,33.4
135,,Jamison CrowderJ. Crowder NYJ,WR55,4,96,189,138.1,19.7
136,,Kyle RudolphK. Rudolph MIN,TE18,12,106,161,138.3,10.9
137,,Kirk CousinsK. Cousins MIN,QB20,12,103,162,139.9,16.0
138,,Josh AllenJ. Allen BUF,QB21,6,91,162,140.7,18.8
139,,Kenneth DixonK. Dixon BAL,RB45,8,80,337,141.2,55.3
140,,Kenny StillsK. Stills MIA,WR56,5,86,241,141.6,21.5
Tier 9,
141,,Jimmy GrahamJ. Graham GB,TE19,11,121,178,145.6,10.7
142,,DaeSean HamiltonD. Hamilton DEN,WR57,10,88,209,148.7,35.2
143,,Elijah McGuireE. McGuire NYJ,RB46,4,93,275,148.9,39.4
144,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR58,11,102,212,150.6,19.9
145,,Chicago (CHI)CHI DST,DST1,6,140,145,140.3,1.1
