Rank,WSID,Quarterbacks (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Lamar JacksonL. Jackson BAL,,1,2,1.3,0.4
2,,Patrick MahomesP. Mahomes KC,,1,2,1.7,0.4
3,,Russell WilsonR. Wilson SEA,,3,7,3.8,0.9
Tier 2,
4,,Kyler MurrayK. Murray ARI,,3,7,4.5,1.3
5,,Dak PrescottD. Prescott DAL,,3,12,5.3,1.3
6,,Deshaun WatsonD. Watson HOU,,3,11,5.7,1.8
7,,Josh AllenJ. Allen BUF,,4,10,7.1,1.3
8,,Aaron RodgersA. Rodgers GB,,5,18,9.4,2.0
Tier 3,
9,,Drew BreesD. Brees NO,,6,15,9.6,1.5
10,,Matt RyanM. Ryan ATL,,4,14,9.8,1.6
11,,Carson WentzC. Wentz PHI,,5,17,10.8,2.1
12,,Matthew StaffordM. Stafford DET,,8,18,12.7,1.8
13,,Tom BradyT. Brady TB,,5,22,13.6,3.6
14,,Baker MayfieldB. Mayfield CLE,,6,26,15.4,3.3
15,,Ryan TannehillR. Tannehill TEN,,10,21,15.6,2.3
16,,Daniel JonesD. Jones NYG,,11,23,16.5,2.5
Tier 4,
17,,Ben RoethlisbergerB. Roethlisberger PIT,,11,25,17.2,2.8
18,,Jared GoffJ. Goff LAR,,9,23,17.7,2.6
19,,Kirk CousinsK. Cousins MIN,,14,27,19.6,3.2
20,,Jimmy GaroppoloJ. Garoppolo SF,,10,28,20.9,2.8
21,,Philip RiversP. Rivers IND,,15,31,21.4,3.4
22,,Sam DarnoldS. Darnold NYJ,,17,29,23.4,2.1
23,,Teddy BridgewaterT. Bridgewater CAR,,15,33,23.8,3.7
24,,Gardner Minshew IIG. Minshew JAC,,15,31,24.4,3.9
25,,Ryan FitzpatrickR. Fitzpatrick MIA,,19,34,26.6,2.9
26,,Drew LockD. Lock DEN,,21,32,26.7,2.4
27,,Derek CarrD. Carr LV,,20,33,27.0,2.6
28,,Cam NewtonC. Newton FA,,14,37,26.1,5.5
Tier 5,
29,,Dwayne HaskinsD. Haskins WAS,,28,37,30.5,1.8
30,,Jameis WinstonJ. Winston FA,,6,37,29.1,6.8
31,,Nick FolesN. Foles CHI,,19,41,32.2,4.0
32,,Mitch TrubiskyM. Trubisky CHI,,21,38,30.9,2.9
33,,Tyrod TaylorT. Taylor LAC,,14,36,28.2,5.4
34,,Andy DaltonA. Dalton CIN,,28,40,34.3,2.6
35,,Joe BurrowJ. Burrow FA,,15,31,23.2,4.1
36,,Jacoby BrissettJ. Brissett IND,,30,45,35.9,3.4
37,,Marcus MariotaM. Mariota LV,,27,43,37.2,3.2
Tier 6,
38,,Jarrett StidhamJ. Stidham NE,,26,42,33.5,4.1
39,,Tua TagovailoaT. Tagovailoa FA,,27,41,34.6,2.8
40,,Justin HerbertJ. Herbert FA,,32,44,36.8,3.4
41,,Taysom HillT. Hill NO,,34,40,38.0,1.7
42,,Jalen HurtsJ. Hurts FA,,38,44,41.4,2.1
43,,Case KeenumC. Keenum CLE,,40,45,42.0,1.8
44,,Jordan LoveJ. Love FA,,39,45,42.2,2.3
45,,Josh RosenJ. Rosen MIA,,37,54,43.2,6.2
46,,Joe FlaccoJ. Flacco FA,,35,60,46.0,10.4
Tier 7,
47,,Kyle AllenK. Allen WAS,,30,51,42.7,9.1
48,,Nick MullensN. Mullens SF,,41,52,45.0,5.0
49,,Brian HoyerB. Hoyer NE,,39,51,45.0,6.0

50,,Will GrierW. Grier CAR,,42,65,54.0,9.4
51,,Jacob EasonJ. Eason FA,,49,49,49.0,0.0
52,,Brett HundleyB. Hundley ARI,,50,50,50.0,0.0
53,,Jake FrommJ. Fromm FA,,48,53,50.5,2.5
54,,Matt MooreM. Moore FA,,44,72,58.0,14.0
55,,Cole McDonaldC. McDonald FA,,46,82,64.0,18.0
56,,Anthony GordonA. Gordon FA,,47,64,55.5,8.5
57,,Chase DanielC. Daniel DET,,48,58,53.0,5.0
Tier 8,
58,,Mason RudolphM. Rudolph PIT,,56,77,66.5,10.5
