Rank,WSID,Team DST,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Chicago (CHI)CHI DST,,1,2,1.2,0.4
2,,Baltimore (BAL)BAL DST,,2,6,2.8,1.2
3,,Jacksonville (JAC)JAC DST,,1,7,3.8,1.5
Tier 2,
4,,Minnesota (MIN)MIN DST,,1,7,4.2,1.1
5,,Los Angeles (LAR)LAR DST,,2,6,4.9,0.9
6,,Los Angeles (LAC)LAC DST,,4,7,5.8,0.9
7,,Houston (HOU)HOU DST,,4,9,7.1,1.0
Tier 3,
8,,New Orleans (NO)NO DST,,6,13,9.0,1.5
9,,Denver (DEN)DEN DST,,8,12,10.0,0.9
10,,Cleveland (CLE)CLE DST,,7,17,10.3,2.5
11,,Buffalo (BUF)BUF DST,,7,13,11.8,1.0
12,,Dallas (DAL)DAL DST,,9,15,12.4,1.4
13,,Tennessee (TEN)TEN DST,,10,18,13.6,1.7
Tier 4,
14,,New England (NE)NE DST,,11,20,14.6,2.3
15,,Seattle (SEA)SEA DST,,14,17,15.3,0.6
16,,Philadelphia (PHI)PHI DST,,10,18,16.5,1.3
17,,Atlanta (ATL)ATL DST,,8,20,17.8,1.7
18,,Carolina (CAR)CAR DST,,10,21,18.7,1.3
19,,Pittsburgh (PIT)PIT DST,,11,23,18.7,2.8
20,,Indianapolis (IND)IND DST,,9,28,19.2,4.1
21,,Arizona (ARI)ARI DST,,8,26,20.5,1.3
22,,Kansas City (KC)KC DST,,7,30,21.1,3.8
Tier 5,
23,,Detroit (DET)DET DST,,6,24,23.1,0.5
24,,Green Bay (GB)GB DST,,5,26,24.0,1.0
25,,New York (NYG)NYG DST,,4,28,24.9,1.5
26,,Washington (WAS)WAS DST,,3,32,25.4,4.0
27,,Tampa Bay (TB)TB DST,,2,31,27.0,2.6
28,,Miami (MIA)MIA DST,,1,29,27.3,1.1
29,,San Francisco (SF)SF DST,,25,31,27.8,2.0
30,,Cincinnati (CIN)CIN DST,,26,31,28.6,2.1
31,,New York (NYJ)NYJ DST,,26,30,28.3,1.5
32,,Oakland (OAK)OAK DST,,30,32,31.5,0.9
