Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Todd GurleyT. Gurley LAR,RB1,,1,2,1.2,0.4
2,,Saquon BarkleyS. Barkley NYG,RB2,,1,4,2.2,0.6
3,,Ezekiel ElliottE. Elliott DAL,RB3,,1,9,2.8,0.4
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,7,3.9,0.3
5,,Alvin KamaraA. Kamara NO,RB5,,4,7,4.9,0.3
Tier 2,
6,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,10,6.7,0.9
7,,Melvin GordonM. Gordon LAC,RB6,,5,8,6.9,0.7
8,,Davante AdamsD. Adams GB,WR2,,6,11,8.0,1.7
9,,Julio JonesJ. Jones ATL,WR3,,6,11,9.4,1.4
10,,Michael ThomasM. Thomas NO,WR4,,8,13,10.3,1.1
Tier 3,
11,,Travis KelceT. Kelce KC,TE1,,13,22,13.9,1.3
12,,Nick ChubbN. Chubb CLE,RB7,,9,21,14.2,3.5
13,,Antonio BrownA. Brown PIT,WR5,,8,30,14.6,4.3
14,,James ConnerJ. Conner PIT,RB8,,9,22,15.0,3.0
15,,Odell Beckham Jr.O. Beckham NYG,WR6,,12,20,15.0,1.6
16,,Le'Veon BellL. Bell PIT,RB9,,9,19,16.0,2.4
17,,Joe MixonJ. Mixon CIN,RB10,,12,21,16.8,2.0
18,,Tyreek HillT. Hill KC,WR7,,11,24,17.7,3.2
19,,Dalvin CookD. Cook MIN,RB11,,9,24,19.6,2.7
20,,Zach ErtzZ. Ertz PHI,TE2,,13,53,19.6,6.2
21,,David JohnsonD. Johnson ARI,RB12,,9,31,20.9,2.8
22,,Aaron JonesA. Jones GB,RB13,,17,31,21.7,3.2
23,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,12,32,22.4,4.0
24,,George KittleG. Kittle SF,TE3,,15,32,22.8,1.5
25,,A.J. GreenA. Green CIN,WR9,,23,33,24.3,0.7
26,,Mike EvansM. Evans TB,WR10,,20,27,25.4,0.8
Tier 4,
27,,Amari CooperA. Cooper DAL,WR11,,21,35,28.4,2.7
28,,T.Y. HiltonT. Hilton IND,WR12,,26,35,29.3,2.3
29,,Keenan AllenK. Allen LAC,WR13,,20,32,30.8,1.0
30,,Patrick MahomesP. Mahomes KC,QB1,,27,45,31.9,5.9
31,,Leonard FournetteL. Fournette JAC,RB14,,17,58,32.1,7.6
32,,Sony MichelS. Michel NE,RB15,,26,44,33.0,5.9
33,,Adam ThielenA. Thielen MIN,WR14,,23,39,33.7,2.1
34,,Stefon DiggsS. Diggs MIN,WR15,,30,36,33.9,1.1
35,,Brandin CooksB. Cooks LAR,WR16,,30,39,34.1,1.4
36,,Robert WoodsR. Woods LAR,WR17,,30,50,34.9,1.3
Tier 5,
37,,Kenny GolladayK. Golladay DET,WR18,,35,37,36.8,0.4
38,,Chris CarsonC. Carson SEA,RB16,,27,57,39.2,4.8
39,,Allen RobinsonA. Robinson CHI,WR19,,38,43,39.2,1.5
40,,Marlon MackM. Mack IND,RB17,,28,59,39.3,6.6
41,,Corey DavisC. Davis TEN,WR20,,38,55,42.7,4.6
42,,Cooper KuppC. Kupp LAR,WR21,,36,67,42.8,4.3
43,,Alshon JefferyA. Jeffery PHI,WR22,,36,62,43.1,4.1
44,,Phillip LindsayP. Lindsay DEN,RB18,,40,51,44.0,1.3
45,,Aaron RodgersA. Rodgers GB,QB2,,28,62,44.2,6.2
46,,Jarvis LandryJ. Landry CLE,WR23,,39,55,47.0,2.4
47,,Doug BaldwinD. Baldwin SEA,WR24,,41,50,47.1,2.6
48,,Andrew LuckA. Luck IND,QB3,,45,64,48.3,2.5
49,,Derrick HenryD. Henry TEN,RB19,,40,66,49.7,3.8
50,,Derrius GuiceD. Guice WAS,RB20,,40,83,50.0,5.1
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Kerryon JohnsonK. Johnson DET,RB21,,27,84,50.6,4.7
Tier 6,
52,,Calvin RidleyC. Ridley ATL,WR25,,43,81,53.7,7.5
53,,Devonta FreemanD. Freeman ATL,RB22,,40,83,54.4,7.4
54,,D.J. MooreD. Moore CAR,WR26,,48,73,55.6,4.7
55,,Julian EdelmanJ. Edelman NE,WR27,,29,82,56.7,9.2
56,,Deshaun WatsonD. Watson HOU,QB4,,47,68,56.8,4.4
57,,Tarik CohenT. Cohen CHI,RB23,,47,66,58.1,4.1
58,,Russell WilsonR. Wilson SEA,QB5,,54,70,60.1,5.9
59,,Lamar MillerL. Miller HOU,RB24,,56,72,61.1,2.9
60,,O.J. HowardO. Howard TB,TE4,,53,121,62.6,12.2
61,,Tyler BoydT. Boyd CIN,WR28,,55,75,62.9,3.3
62,,Tyler LockettT. Lockett SEA,WR29,,50,80,63.8,3.8
63,,Sammy WatkinsS. Watkins KC,WR30,,55,97,63.8,6.0
64,,Jerick McKinnonJ. McKinnon SF,RB25,,53,89,64.4,8.7
65,,Jordan HowardJ. Howard CHI,RB26,,52,83,66.9,7.8
66,,Marvin JonesM. Jones DET,WR31,,65,73,67.0,0.0
67,,Hunter HenryH. Henry LAC,TE5,,63,94,67.9,3.6
68,,Eric EbronE. Ebron IND,TE6,,53,106,69.1,10.5
69,,Chris GodwinC. Godwin TB,WR32,,55,75,70.3,4.6
70,,Damien WilliamsD. Williams KC,RB27,,27,133,71.8,19.0
71,,Mark IngramM. Ingram NO,RB28,,66,112,71.8,6.0
72,,Cam NewtonC. Newton CAR,QB6,,56,103,72.1,9.7
73,,Drew BreesD. Brees NO,QB7,,56,91,72.2,5.9
74,,David NjokuD. Njoku CLE,TE7,,53,78,72.3,4.4
75,,Will FullerW. Fuller HOU,WR33,,62,148,72.4,2.5
76,,James WhiteJ. White NE,RB29,,55,77,73.0,3.6
77,,Mike WilliamsM. Williams LAC,WR34,,65,79,73.6,3.1
78,,Matt RyanM. Ryan ATL,QB8,,54,87,74.3,3.6
Tier 7,
79,,Robby AndersonR. Anderson NYJ,WR35,,47,99,77.6,2.9
80,,Courtland SuttonC. Sutton DEN,WR36,,73,88,81.2,1.7
81,,LeSean McCoyL. McCoy BUF,RB30,,60,119,82.4,4.9
82,,Kenyan DrakeK. Drake MIA,RB31,,59,93,83.8,3.6
83,,Dante PettisD. Pettis SF,WR37,,78,96,84.1,4.3
84,,Evan EngramE. Engram NYG,TE8,,63,106,84.8,8.0
85,,Tevin ColemanT. Coleman ATL,RB32,,52,120,86.2,3.0
86,,Rob GronkowskiR. Gronkowski NE,TE9,,65,135,88.0,7.1
87,,Golden TateG. Tate PHI,WR38,,79,98,88.4,3.2
88,,Jameis WinstonJ. Winston TB,QB9,,70,130,89.1,9.6
89,,Sterling ShepardS. Shepard NYG,WR39,,81,112,89.7,8.8
90,,Rashaad PennyR. Penny SEA,RB33,,83,115,90.0,7.9
91,,Jared GoffJ. Goff LAR,QB10,,56,103,90.7,6.4
92,,Christian KirkC. Kirk ARI,WR40,,81,101,90.7,3.7
93,,Matt BreidaM. Breida SF,RB34,,60,115,93.7,9.2
