Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,,1,3,1.6,0.7
2,,Ezekiel ElliottE. Elliott DAL,RB2,,1,7,2.7,1.2
3,,Todd GurleyT. Gurley LAR,RB3,,1,40,4.0,3.9
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,18,4.2,1.3
5,,Alvin KamaraA. Kamara NO,RB5,,2,17,4.4,1.4
6,,Melvin GordonM. Gordon LAC,RB6,,4,14,6.4,1.4
7,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,12,7.0,1.7
8,,Davante AdamsD. Adams GB,WR2,,6,16,8.7,1.6
9,,Julio JonesJ. Jones ATL,WR3,,6,29,10.0,1.7
10,,Michael ThomasM. Thomas NO,WR4,,8,24,11.5,2.8
11,,Odell Beckham Jr.O. Beckham CLE,WR5,,6,24,12.8,3.7
12,,James ConnerJ. Conner PIT,RB7,,3,21,12.9,4.4
13,,Travis KelceT. Kelce KC,TE1,,13,22,13.2,0.8
14,,Le'Veon BellL. Bell NYJ,RB8,,5,27,14.7,4.3
Tier 2,
15,,Joe MixonJ. Mixon CIN,RB9,,7,27,16.6,3.4
16,,Antonio BrownA. Brown OAK,WR6,,8,30,17.3,5.0
17,,Zach ErtzZ. Ertz PHI,TE2,,15,25,17.4,3.4
18,,David JohnsonD. Johnson ARI,RB10,,5,46,18.2,5.1
19,,Nick ChubbN. Chubb CLE,RB11,,7,44,18.6,7.4
20,,Tyreek HillT. Hill KC,WR7,,11,36,19.7,5.5
21,,Dalvin CookD. Cook MIN,RB12,,7,40,20.9,4.5
22,,George KittleG. Kittle SF,TE3,,13,63,20.9,3.8
23,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,8,30,21.8,4.6
24,,Mike EvansM. Evans TB,WR9,,16,33,24.9,3.4
25,,A.J. GreenA. Green CIN,WR10,,16,36,26.3,2.9
26,,Aaron JonesA. Jones GB,RB13,,14,51,26.6,7.6
Tier 4,
27,,T.Y. HiltonT. Hilton IND,WR11,,12,35,28.9,2.9
28,,Patrick MahomesP. Mahomes KC,QB1,,27,45,28.9,3.6
29,,Amari CooperA. Cooper DAL,WR12,,21,38,29.4,2.6
30,,Keenan AllenK. Allen LAC,WR13,,25,35,31.2,2.4
31,,Leonard FournetteL. Fournette JAC,RB14,,19,52,31.3,10.0
32,,Adam ThielenA. Thielen MIN,WR14,,25,39,32.9,2.3
33,,Stefon DiggsS. Diggs MIN,WR15,,26,38,33.4,1.5
34,,Sony MichelS. Michel NE,RB15,,23,59,33.8,7.9
35,,Brandin CooksB. Cooks LAR,WR16,,30,42,35.0,1.9
36,,Robert WoodsR. Woods LAR,WR17,,26,50,36.0,2.7
37,,Kenny GolladayK. Golladay DET,WR18,,32,48,37.0,1.4
38,,Marlon MackM. Mack IND,RB16,,21,66,37.8,8.6
Tier 5,
39,,Cooper KuppC. Kupp LAR,WR19,,34,67,43.9,7.4
40,,Allen RobinsonA. Robinson CHI,WR20,,38,81,44.2,9.3
41,,Corey DavisC. Davis TEN,WR21,,36,79,44.9,9.7
42,,Alshon JefferyA. Jeffery PHI,WR22,,36,64,45.0,5.5
