Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,4,1.4,0.6,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,8,2.3,1.1,4.0,+2.0
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,1,6,3.1,0.8,2.0,-1.0
4,,Alvin KamaraA. Kamara NO,RB4,9,1,14,3.7,1.3,3.0,-1.0
5,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,16,6.1,1.7,5.0,0.0
Tier 2,
6,,Davante AdamsD. Adams GB,WR2,11,5,16,8.1,2.8,7.0,+1.0
7,,Melvin GordonM. Gordon LAC,RB5,12,4,19,8.2,2.9,6.0,-1.0
8,,Julio JonesJ. Jones ATL,WR3,9,5,27,9.4,2.7,16.0,+8.0
9,,David JohnsonD. Johnson ARI,RB6,12,3,42,9.9,4.7,8.0,-1.0
10,,Michael ThomasM. Thomas NO,WR4,9,7,28,11.2,3.7,10.0,0.0
11,,Travis KelceT. Kelce KC,TE1,12,12,17,12.3,0.9,17.0,+6.0
12,,Odell Beckham Jr.O. Beckham CLE,WR5,7,5,30,13.5,4.9,15.0,+3.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,4,40,13.8,4.0,9.0,-4.0
14,,James ConnerJ. Conner PIT,RB8,7,5,40,14.5,4.7,11.0,-3.0
15,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,5,30,14.8,4.7,14.0,-1.0
16,,Joe MixonJ. Mixon CIN,RB9,9,8,76,16.5,6.5,12.0,-4.0
Tier 3,
17,,Todd GurleyT. Gurley LAR,RB10,9,1,60,18.8,10.7,13.0,-4.0
18,,Dalvin CookD. Cook MIN,RB11,12,8,46,19.5,5.6,19.0,+1.0
19,,George KittleG. Kittle SF,TE2,4,15,53,20.3,5.8,26.0,+7.0
20,,Antonio BrownA. Brown OAK,WR7,6,13,32,20.5,4.4,20.0,0.0
21,,Zach ErtzZ. Ertz PHI,TE3,10,15,63,20.7,8.7,23.0,+2.0
22,,Nick ChubbN. Chubb CLE,RB12,7,11,66,23.7,9.7,21.0,-1.0
23,,Mike EvansM. Evans TB,WR8,7,15,62,24.3,4.3,18.0,-5.0
24,,Keenan AllenK. Allen LAC,WR9,12,16,36,26.8,3.5,24.0,0.0
25,,T.Y. HiltonT. Hilton IND,WR10,6,10,64,28.0,3.8,27.0,+2.0
26,,A.J. GreenA. Green CIN,WR11,9,16,58,28.7,3.8,32.0,+6.0
27,,Amari CooperA. Cooper DAL,WR12,8,21,41,29.7,3.2,29.0,+2.0
28,,Leonard FournetteL. Fournette JAC,RB13,10,18,59,30.6,9.7,30.0,+2.0
29,,Adam ThielenA. Thielen MIN,WR13,12,20,39,31.0,3.4,22.0,-7.0
30,,Stefon DiggsS. Diggs MIN,WR14,12,25,37,32.4,2.4,31.0,+1.0
31,,Damien WilliamsD. Williams KC,RB14,12,11,163,33.6,15.9,28.0,-3.0
32,,Patrick MahomesP. Mahomes KC,QB1,12,24,87,34.9,14.0,25.0,-7.0
33,,Robert WoodsR. Woods LAR,WR15,9,28,65,36.0,3.9,43.0,+10.0
34,,Julian EdelmanJ. Edelman NE,WR16,10,23,65,36.2,7.1,42.0,+8.0
35,,Brandin CooksB. Cooks LAR,WR17,9,29,55,36.7,3.7,39.0,+4.0
36,,Marlon MackM. Mack IND,RB15,6,18,84,37.1,12.0,34.0,-2.0
37,,Kenny GolladayK. Golladay DET,WR18,5,20,90,38.1,4.8,40.0,+3.0
38,,Aaron JonesA. Jones GB,RB16,11,4,80,38.8,12.9,37.0,-1.0
Tier 4,
39,,Devonta FreemanD. Freeman ATL,RB17,9,18,66,41.8,10.7,35.0,-4.0
40,,Cooper KuppC. Kupp LAR,WR19,9,33,79,42.4,6.6,47.0,+7.0
41,,Chris GodwinC. Godwin TB,WR20,7,28,96,44.0,9.9,51.0,+10.0
42,,Alshon JefferyA. Jeffery PHI,WR21,10,34,71,46.0,7.4,71.0,+29.0
43,,Derrick HenryD. Henry TEN,RB18,11,23,76,46.5,9.5,38.0,-5.0
44,,Tyler LockettT. Lockett SEA,WR22,11,32,75,47.7,9.8,54.0,+10.0
45,,Andrew LuckA. Luck IND,QB2,6,24,80,47.9,10.9,44.0,-1.0
46,,Kerryon JohnsonK. Johnson DET,RB19,5,23,112,48.3,11.7,36.0,-10.0
47,,Deshaun WatsonD. Watson HOU,QB3,10,24,77,49.8,9.8,56.0,+9.0
48,,Aaron RodgersA. Rodgers GB,QB4,11,24,74,50.6,7.0,52.0,+4.0
49,,Sammy WatkinsS. Watkins KC,WR23,12,16,101,51.1,12.6,55.0,+6.0
50,,D.J. MooreD. Moore CAR,WR24,7,37,90,51.6,9.7,58.0,+8.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Phillip LindsayP. Lindsay DEN,RB20,10,21,83,52.3,10.8,45.0,-6.0
52,,Allen RobinsonA. Robinson CHI,WR25,6,34,96,53.2,14.5,74.0,+22.0
Tier 5,
53,,Calvin RidleyC. Ridley ATL,WR26,9,32,102,55.6,9.8,49.0,-4.0
54,,Sony MichelS. Michel NE,RB21,10,19,112,57.4,14.6,41.0,-13.0
55,,Kenyan DrakeK. Drake MIA,RB22,5,18,132,57.6,19.8,53.0,-2.0
56,,O.J. HowardO. Howard TB,TE4,7,15,136,58.2,10.8,57.0,+1.0
57,,Jarvis LandryJ. Landry CLE,WR27,7,32,113,58.9,15.2,63.0,+6.0
58,,Josh JacobsJ. Jacobs OAK,RB23,6,23,243,60.0,39.9,33.0,-25.0
59,,Mark IngramM. Ingram BAL,RB24,8,19,93,61.9,12.6,48.0,-11.0
60,,Tyler BoydT. Boyd CIN,WR28,9,35,101,61.9,14.2,64.0,+4.0
61,,Tarik CohenT. Cohen CHI,RB25,6,31,100,62.4,11.1,50.0,-11.0
62,,Chris CarsonC. Carson SEA,RB26,11,27,119,63.3,16.4,61.0,-1.0
63,,Hunter HenryH. Henry LAC,TE5,12,15,94,63.6,10.5,67.0,+4.0
64,,James WhiteJ. White NE,RB27,10,23,123,64.6,18.8,60.0,-4.0
65,,Robby AndersonR. Anderson NYJ,WR29,4,38,111,65.4,14.1,76.0,+11.0
66,,Corey DavisC. Davis TEN,WR30,11,36,129,65.9,14.8,81.0,+15.0
67,,Baker MayfieldB. Mayfield CLE,QB5,7,24,131,67.6,15.3,68.0,+1.0
68,,Evan EngramE. Engram NYG,TE6,11,45,108,68.0,11.1,62.0,-6.0
69,,Mike WilliamsM. Williams LAC,WR31,12,39,90,68.6,9.2,66.0,-3.0
Tier 6,
70,,Marvin JonesM. Jones DET,WR32,5,58,102,75.1,8.8,100.0,+30.0
71,,Lamar MillerL. Miller HOU,RB28,10,57,161,75.2,12.3,75.0,+4.0
72,,Will FullerW. Fuller HOU,WR33,10,41,102,77.1,11.3,80.0,+8.0
73,,Russell WilsonR. Wilson SEA,QB6,11,24,169,77.3,22.1,77.0,+4.0
74,,David MontgomeryD. Montgomery CHI,RB29,6,18,272,77.9,44.8,46.0,-28.0
75,,Eric EbronE. Ebron IND,TE7,6,63,127,79.9,13.6,69.0,-6.0
76,,Matt RyanM. Ryan ATL,QB7,9,53,122,80.2,17.4,73.0,-3.0
77,,Dante PettisD. Pettis SF,WR34,4,55,184,82.2,15.1,83.0,+6.0
78,,Sterling ShepardS. Shepard NYG,WR35,11,48,157,82.4,15.8,89.0,+11.0
79,,Golden TateG. Tate NYG,WR36,11,47,129,82.5,14.3,97.0,+18.0
80,,Derrius GuiceD. Guice WAS,RB30,10,19,143,82.6,18.1,59.0,-21.0
81,,Jared CookJ. Cook NO,TE8,9,22,136,83.6,18.5,79.0,-2.0
82,,Tevin ColemanT. Coleman SF,RB31,4,56,188,84.5,16.6,72.0,-10.0
83,,Cam NewtonC. Newton CAR,QB8,7,47,131,86.3,17.3,93.0,+10.0
84,,Christian KirkC. Kirk ARI,WR37,12,57,223,86.8,14.2,86.0,+2.0
85,,Drew BreesD. Brees NO,QB9,9,54,162,88.2,19.8,87.0,+2.0
86,,Dede WestbrookD. Westbrook JAC,WR38,10,36,190,89.6,21.3,111.0,+25.0
87,,Courtland SuttonC. Sutton DEN,WR39,10,62,137,90.1,11.4,94.0,+7.0
88,,David NjokuD. Njoku CLE,TE9,7,53,139,91.3,17.4,82.0,-6.0
89,,Carson WentzC. Wentz PHI,QB10,10,56,125,93.9,16.4,88.0,-1.0
90,,Larry FitzgeraldL. Fitzgerald ARI,WR40,12,43,215,95.1,24.9,102.0,+12.0
91,,Latavius MurrayL. Murray NO,RB32,9,39,177,95.5,19.0,96.0,+5.0
92,,Jameis WinstonJ. Winston TB,QB11,7,50,125,97.3,14.1,105.0,+13.0
93,,Rashaad PennyR. Penny SEA,RB33,11,52,143,97.6,17.3,78.0,-15.0
94,,Keke CouteeK. Coutee HOU,WR41,10,65,196,97.7,18.8,114.0,+20.0
95,,LeSean McCoyL. McCoy BUF,RB34,6,76,143,99.8,14.9,104.0,+9.0
96,,Curtis SamuelC. Samuel CAR,WR42,7,55,198,101.8,19.0,122.0,+26.0
97,,Jared GoffJ. Goff LAR,QB12,9,68,155,102.8,16.9,91.0,-6.0
98,,Jerick McKinnonJ. McKinnon SF,RB35,4,59,190,102.8,24.9,101.0,+3.0
Tier 7,
99,,Vance McDonaldV. McDonald PIT,TE10,7,64,161,109.4,22.0,95.0,-4.0
100,,Delanie WalkerD. Walker TEN,TE11,11,69,246,110.8,28.9,136.0,+36.0
101,,Geronimo AllisonG. Allison GB,WR43,11,58,243,112.2,28.9,112.0,+11.0
102,,Royce FreemanR. Freeman DEN,RB36,10,66,149,112.4,12.9,92.0,-10.0
103,,Anthony MillerA. Miller CHI,WR44,6,75,220,112.4,29.5,138.0,+35.0
104,,Ben RoethlisbergerB. Roethlisberger PIT,QB13,7,77,161,113.9,17.9,109.0,+5.0
105,,Jordan HowardJ. Howard PHI,RB37,10,66,193,114.3,25.1,84.0,-21.0
106,,Dion LewisD. Lewis TEN,RB38,11,66,181,115.0,24.1,124.0,+18.0
107,,Dak PrescottD. Prescott DAL,QB14,8,77,156,115.8,15.7,123.0,+16.0
108,,Austin HooperA. Hooper ATL,TE12,9,69,159,116.4,19.5,107.0,-1.0
109,,Trey BurtonT. Burton CHI,TE13,6,82,175,119.6,16.0,135.0,+26.0
110,,Philip RiversP. Rivers LAC,QB15,12,91,168,119.6,15.7,115.0,+5.0
111,,Ronald Jones IIR. Jones TB,RB39,7,71,235,120.8,29.0,98.0,-13.0
112,,Lamar JacksonL. Jackson BAL,QB16,8,68,186,121.3,24.0,132.0,+20.0
113,,Nyheim HinesN. Hines IND,RB40,6,60,245,121.7,28.2,119.0,+6.0
114,,Michael GallupM. Gallup DAL,WR45,8,86,210,122.7,28.5,184.0,+70.0
115,,Kyler MurrayK. Murray ARI,QB17,12,56,202,119.3,32.7,99.0,-16.0
116,,Chris Herndon IVC. Herndon NYJ,TE14,4,69,153,124.7,16.7,137.0,+21.0
117,,N'Keal HarryN. Harry NE,WR46,10,33,270,119.5,45.6,90.0,-27.0
118,,DeSean JacksonD. Jackson PHI,WR47,10,88,242,126.0,23.7,142.0,+24.0
119,,Austin EkelerA. Ekeler LAC,RB41,12,80,185,126.8,22.8,110.0,-9.0
120,,Miles SandersM. Sanders PHI,RB42,10,60,289,106.0,45.8,70.0,-50.0
121,,Mitch TrubiskyM. Trubisky CHI,QB18,6,68,184,128.6,17.7,128.0,+7.0
122,,Jack DoyleJ. Doyle IND,TE15,6,72,236,129.8,30.8,160.0,+38.0
123,,Matt BreidaM. Breida SF,RB43,4,66,217,131.0,26.4,147.0,+24.0
124,,DaeSean HamiltonD. Hamilton DEN,WR48,10,58,242,131.2,33.9,156.0,+32.0
125,,Josh AllenJ. Allen BUF,QB19,6,68,167,135.4,21.7,134.0,+9.0
126,,John BrownJ. Brown BUF,WR49,6,45,220,135.6,26.8,194.0,+68.0
127,,Emmanuel SandersE. Sanders DEN,WR50,10,67,214,131.6,38.7,113.0,-14.0
128,,Devin FunchessD. Funchess IND,WR51,6,81,229,137.3,31.1,143.0,+15.0
129,,Kenny StillsK. Stills MIA,WR52,5,65,261,137.4,32.7,175.0,+46.0
130,,Ito SmithI. Smith ATL,RB44,9,80,261,137.8,29.3,118.0,-12.0
131,,Jordan ReedJ. Reed WAS,TE16,10,94,236,138.1,20.6,183.0,+52.0
Tier 8,
132,,James WashingtonJ. Washington PIT,WR53,7,62,267,140.1,47.3,106.0,-26.0
133,,Tom BradyT. Brady NE,QB20,10,103,177,141.9,17.3,127.0,-6.0
134,,Robert FosterR. Foster BUF,WR54,6,55,261,142.7,40.0,168.0,+34.0
135,,Greg OlsenG. Olsen CAR,TE17,7,94,257,144.2,23.9,157.0,+22.0
136,,Duke JohnsonD. Johnson CLE,RB45,7,80,199,141.6,23.6,186.0,+50.0
137,,Darrell HendersonD. Henderson LAR,RB46,9,46,309,132.3,51.4,139.0,+2.0
138,,D'Onta ForemanD. Foreman HOU,RB47,10,98,238,147.4,28.3,120.0,-18.0
139,,Kyle RudolphK. Rudolph MIN,TE18,12,106,258,147.5,23.4,133.0,-6.0
140,,Jimmy GaroppoloJ. Garoppolo SF,QB21,4,94,197,148.1,19.4,130.0,-10.0
141,,Carlos HydeC. Hyde KC,RB48,12,83,245,149.4,37.7,125.0,-16.0
142,,Kirk CousinsK. Cousins MIN,QB22,12,103,200,144.6,18.9,116.0,-26.0
143,,Jimmy GrahamJ. Graham GB,TE19,11,104,255,150.8,28.8,150.0,+7.0
144,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR55,11,65,270,155.6,40.9,149.0,+5.0
145,,Tyrell WilliamsT. Williams OAK,WR56,6,49,240,155.8,37.7,148.0,+3.0
146,,Jamison CrowderJ. Crowder NYJ,WR57,4,97,258,147.4,31.4,201.0,+55.0
147,,Peyton BarberP. Barber TB,RB49,7,76,329,159.0,48.8,129.0,-18.0
148,,Adrian PetersonA. Peterson WAS,RB50,10,85,256,156.4,35.7,146.0,-2.0
149,,Kareem HuntK. Hunt CLE,RB51,7,85,235,154.8,32.4,85.0,-64.0
150,,Marquise GoodwinM. Goodwin SF,WR58,4,107,268,161.3,41.8,196.0,+46.0
151,,Donte MoncriefD. Moncrief PIT,WR59,7,58,262,167.2,35.6,171.0,+20.0
152,,Chris ThompsonC. Thompson WAS,RB52,10,92,257,158.3,24.1,173.0,+21.0
153,,Adam HumphriesA. Humphries TEN,WR60,11,82,319,163.8,47.2,208.0,+55.0
154,,Jamaal WilliamsJ. Williams GB,RB53,11,110,241,166.7,25.8,170.0,+16.0
155,,D.K. MetcalfD. Metcalf SEA,WR61,11,64,325,162.8,49.4,108.0,-47.0
156,,Kalen BallageK. Ballage MIA,RB54,5,108,264,174.7,29.3,152.0,-4.0
157,,Mohamed SanuM. Sanu ATL,WR62,9,107,270,171.0,30.8,215.0,+58.0
158,,Matthew StaffordM. Stafford DET,QB23,5,116,202,167.2,16.8,151.0,-7.0
159,,Derek CarrD. Carr OAK,QB24,6,118,241,172.4,14.7,162.0,+3.0
160,,Sam DarnoldS. Darnold NYJ,QB25,4,116,241,168.0,15.3,154.0,-6.0
161,,Quincy EnunwaQ. Enunwa NYJ,WR63,4,109,247,175.6,28.0,242.0,+81.0
162,,Marqise LeeM. Lee JAC,WR64,10,86,262,176.8,32.9,226.0,+64.0
163,,Devante ParkerD. Parker MIA,WR65,5,102,228,176.9,26.2,169.0,+6.0
164,,Andy DaltonA. Dalton CIN,QB26,9,125,241,178.8,20.5,188.0,+24.0
165,,Mark AndrewsM. Andrews BAL,TE20,8,92,267,178.9,34.8,199.0,+34.0
166,,Chicago (CHI)CHI DST,DST1,6,140,248,145.0,22.0,159.0,-7.0
Tier 9,
167,,Parris CampbellP. Campbell IND,WR66,6,58,262,167.4,39.7,126.0,-41.0
168,,Dallas GoedertD. Goedert PHI,TE21,10,121,255,172.6,34.6,178.0,+10.0
169,,C.J. AndersonC. Anderson DET,RB55,5,126,257,177.6,27.8,181.0,+12.0
170,,Albert WilsonA. Wilson MIA,WR67,5,74,285,179.5,41.4,213.0,+43.0
171,,Mecole HardmanM. Hardman KC,WR68,12,58,313,167.0,47.6,103.0,-68.0
172,,Mike GesickiM. Gesicki MIA,TE22,5,121,335,184.6,44.4,212.0,+40.0
173,,Tre'Quan SmithT. Smith NO,WR69,9,109,261,188.7,27.4,165.0,-8.0
174,,Mike DavisM. Davis CHI,RB56,6,119,283,190.4,32.2,187.0,+13.0
175,,Jacksonville (JAC)JAC DST,DST2,10,145,249,155.2,18.9,177.0,+2.0
176,,T.J. HockensonT. Hockenson DET,TE23,5,92,319,170.6,44.0,121.0,-55.0
177,,Marcus MariotaM. Mariota TEN,QB27,11,125,254,191.5,21.6,197.0,+20.0
178,,Noah FantN. Fant DEN,TE24,10,78,299,180.1,46.9,140.0,-38.0
179,,Los Angeles (LAR)LAR DST,DST3,9,145,257,161.6,19.8,176.0,-3.0
180,,Jalen RichardJ. Richard OAK,RB57,6,89,283,185.9,45.3,204.0,+24.0
181,,Taylor GabrielT. Gabriel CHI,WR70,6,147,285,194.9,24.5,263.0,+82.0
182,,Damien HarrisD. Harris NE,RB58,10,80,317,182.8,55.5,141.0,-41.0
183,,David MooreD. Moore SEA,WR71,11,124,263,201.9,26.3,255.0,+72.0
184,,Baltimore (BAL)BAL DST,DST4,8,140,251,166.8,27.7,182.0,-2.0
185,,Elijah McGuireE. McGuire NYJ,RB59,4,98,289,192.3,41.3,249.0,+64.0
