Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
91,,Ryan GrantR. Grant FA,,87,123,94.1,8.4
92,,Cordarrelle PattersonC. Patterson CHI,,63,124,97.7,8.1
93,,Rashard HigginsR. Higgins FA,,75,120,93.0,8.2
94,,Pierre GarconP. Garcon FA,,84,106,93.9,3.6
95,,Dez BryantD. Bryant FA,,76,124,90.3,10.2
96,,Cameron MeredithC. Meredith NO,,83,146,99.2,10.6
97,,Breshad PerrimanB. Perriman TB,,68,123,99.3,7.9
Tier 9,
98,,Jake KumerowJ. Kumerow GB,,79,167,101.7,15.9
99,,Phillip DorsettP. Dorsett NE,,79,121,103.2,5.5
100,,Deon CainD. Cain IND,,78,110,100.0,7.4
101,,Kelvin BenjaminK. Benjamin FA,,72,116,95.0,7.3
102,,Keith KirkwoodK. Kirkwood NO,,80,117,103.8,6.7
103,,J'Mon MooreJ. Moore GB,,90,165,100.2,17.1
104,,Jermaine KearseJ. Kearse FA,,96,134,105.3,8.3
105,,Trent TaylorT. Taylor SF,,98,125,106.8,5.7
106,,Kendrick BourneK. Bourne SF,,85,116,101.7,5.2
107,,Chester RogersC. Rogers FA,,92,120,107.7,3.9
108,,Rishard MatthewsR. Matthews FA,,95,113,106.2,3.1
109,,Laquon TreadwellL. Treadwell MIN,,95,132,111.1,6.8
110,,Jordan MatthewsJ. Matthews SF,,91,122,108.2,8.0
111,,Allen HurnsA. Hurns DAL,,86,142,110.8,9.6
Tier 10,
112,,Dontrelle InmanD. Inman FA,,79,164,111.5,29.2
113,,Tim PatrickT. Patrick DEN,,61,140,118.3,15.5
114,,Mike WallaceM. Wallace FA,,86,161,121.2,22.2
115,,Corey ColemanC. Coleman FA,,101,148,125.7,15.9
116,,Demarcus RobinsonD. Robinson KC,,96,132,115.0,15.6
117,,Trey QuinnT. Quinn WAS,,69,146,116.6,21.3
118,,Travis BenjaminT. Benjamin LAC,,80,127,118.2,5.9
119,,Jakeem GrantJ. Grant MIA,,93,133,118.2,11.1
120,,Isaiah McKenzieI. McKenzie BUF,,85,141,121.2,11.2
121,,Justin WatsonJ. Watson TB,,82,149,121.6,24.8
122,,Bruce EllingtonB. Ellington NE,,97,134,121.6,13.1
123,,Zach PascalZ. Pascal IND,,110,160,132.2,16.9
124,,Chad WilliamsC. Williams ARI,,105,130,122.2,9.0
125,,J.J. NelsonJ. Nelson OAK,,121,161,132.7,13.3
126,,Jaron BrownJ. Brown SEA,,111,128,122.4,4.9
127,,Brice ButlerB. Butler MIA,,116,143,124.6,9.9
128,,Jarius WrightJ. Wright CAR,,110,137,126.2,8.8
129,,Trent SherfieldT. Sherfield ARI,,118,167,137.0,16.1
130,,Ryan SwitzerR. Switzer PIT,,94,142,128.8,9.5
131,,Dan ArnoldD. Arnold NO,,103,153,118.0,20.4
132,,Austin CarrA. Carr NO,,126,158,141.8,11.6
133,,Seth RobertsS. Roberts OAK,,109,166,134.6,18.8
134,,Cody LatimerC. Latimer FA,,121,149,134.8,9.1
135,,Tavon AustinT. Austin DAL,,94,149,123.0,20.9
136,,Chris MooreC. Moore BAL,,98,133,123.3,14.6
137,,N'Keal HarryN. Harry FA,,23,105,64.0,41.0
138,,Torrey SmithT. Smith CAR,,108,150,128.8,15.0
139,,Andre RobertsA. Roberts BUF,,107,181,140.0,25.5
140,,Mack HollinsM. Hollins PHI,,115,157,142.2,8.4
141,,Tajae SharpeT. Sharpe TEN,,105,165,143.8,16.7
142,,Terrance WilliamsT. Williams FA,,125,182,145.6,19.3
143,,Cody CoreC. Core CIN,,134,168,145.6,12.1
144,,Martavis BryantM. Bryant FA,,98,133,119.7,15.5
Tier 11,
145,,Richie JamesR. James SF,,114,162,147.4,12.1
146,,Josh GordonJ. Gordon FA,,87,100,93.5,6.5
147,,DeAndre CarterD. Carter HOU,,125,162,141.3,13.4
148,,Aldrick RobinsonA. Robinson FA,,109,145,128.0,14.8
149,,Marcell AtemanM. Ateman OAK,,119,145,129.3,11.3
150,,Brandon LaFellB. LaFell FA,,126,155,144.3,12.0
151,,Josh BellamyJ. Bellamy NYJ,,135,157,144.8,8.3
152,,D.K. MetcalfD. Metcalf FA,,106,114,110.0,4.0
153,,Alex EricksonA. Erickson CIN,,151,163,155.2,4.5
154,,Noah BrownN. Brown DAL,,137,163,148.0,11.4
155,,TJ JonesT. Jones FA,,119,176,148.5,24.4
156,,Bennie FowlerB. Fowler NYG,,136,171,155.8,12.1
157,,Kevin WhiteK. White ARI,,97,180,156.0,15.3
158,,Justin HardyJ. Hardy ATL,,131,143,137.7,5.0
159,,Leonte CarrooL. Carroo FA,,147,156,151.0,3.2
160,,Russell ShepardR. Shepard FA,,112,167,142.3,22.8
161,,Braxton BerriosB. Berrios NE,,138,155,144.7,7.4
162,,Josh MaloneJ. Malone CIN,,132,159,147.0,11.2
163,,Amara DarbohA. Darboh SEA,,140,159,147.0,8.5
164,,Maurice HarrisM. Harris NE,,136,170,157.8,13.0
165,,Shelton GibsonS. Gibson PHI,,143,173,158.0,10.7
166,,Vyncint SmithV. Smith HOU,,143,175,163.4,11.0
167,,De'Anthony ThomasD. Thomas FA,,129,177,159.3,18.7
168,,Cam BatsonC. Batson TEN,,139,164,153.3,10.5
169,,Jordan LasleyJ. Lasley BAL,,151,159,154.0,3.6
170,,Marvin HallM. Hall CHI,,135,173,154.3,15.5
171,,Jaleel ScottJ. Scott BAL,,152,158,154.3,2.6
172,,Deonte ThompsonD. Thompson FA,,146,162,154.7,6.6
173,,Auden TateA. Tate CIN,,148,161,155.7,5.6
174,,Brandon PowellB. Powell DET,,151,178,163.8,12.3
175,,Daurice FountainD. Fountain IND,,153,162,157.0,3.7
Tier 12,
176,,Michael FloydM. Floyd FA,,145,172,158.7,11.0
177,,Terrelle PryorT. Pryor FA,,112,183,159.0,33.2
178,,Trevor DavisT. Davis GB,,144,177,166.0,12.9
179,,Damiere ByrdD. Byrd FA,,143,154,148.5,5.5
180,,Darius JenningsD. Jennings TEN,,147,176,161.7,11.8
181,,Dwayne HarrisD. Harris OAK,,144,166,155.0,11.0
182,,Eli RogersE. Rogers PIT,,145,178,165.7,14.7
183,,Justin HunterJ. Hunter FA,,158,181,171.3,8.4
184,,Charone PeakeC. Peake NYJ,,153,164,158.5,5.5
185,,Marcus JohnsonM. Johnson IND,,152,169,160.5,8.5
186,,Allen LazardA. Lazard GB,,152,169,160.5,8.5
187,,Isaiah FordI. Ford MIA,,154,168,161.0,7.0
188,,Brandon ZylstraB. Zylstra MIN,,157,171,164.0,7.0
189,,Pharoh CooperP. Cooper ARI,,149,181,165.0,16.0
190,,Andy JonesA. Jones DET,,163,180,171.7,6.9
191,,Khadarel HodgeK. Hodge LAR,,165,182,176.3,6.6
192,,Ray-Ray McCloudR. McCloud BUF,,179,186,181.7,3.1
