Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,2,1.3,0.5
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,5,2.7,0.9
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,2,9,3.4,1.2
4,,Alvin KamaraA. Kamara NO,RB4,9,2,7,3.7,1.0
5,,Melvin GordonM. Gordon LAC,RB5,12,4,9,6.3,1.1
6,,Todd GurleyT. Gurley LAR,RB6,9,1,42,6.8,4.9
7,,DeAndre HopkinsD. Hopkins HOU,WR1,10,6,12,7.0,1.9
Tier 2,
8,,Davante AdamsD. Adams GB,WR2,11,6,20,9.3,2.4
9,,Julio JonesJ. Jones ATL,WR3,9,6,16,10.5,1.5
10,,Odell Beckham Jr.O. Beckham CLE,WR4,7,6,24,11.7,3.9
11,,Michael ThomasM. Thomas NO,WR5,9,8,25,12.0,3.6
12,,Travis KelceT. Kelce KC,TE1,12,13,13,13.0,0.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,4,40,13.3,4.9
14,,James ConnerJ. Conner PIT,RB8,7,5,27,14.1,4.4
15,,David JohnsonD. Johnson ARI,RB9,12,5,31,15.5,4.9
Tier 3,
16,,Joe MixonJ. Mixon CIN,RB10,9,9,40,17.9,2.9
17,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,8,33,18.3,5.9
18,,Zach ErtzZ. Ertz PHI,TE2,10,15,53,19.1,7.9
19,,Antonio BrownA. Brown OAK,WR7,6,8,26,19.2,4.6
20,,George KittleG. Kittle SF,TE3,4,15,53,20.2,3.1
21,,Nick ChubbN. Chubb CLE,RB11,7,5,40,20.2,4.6
22,,Dalvin CookD. Cook MIN,RB12,12,9,46,21.6,4.3
23,,Mike EvansM. Evans TB,WR8,7,16,33,24.0,3.2
Tier 4,
24,,Tyreek HillT. Hill KC,WR9,12,11,73,26.4,8.2
25,,A.J. GreenA. Green CIN,WR10,9,16,32,26.7,2.9
26,,T.Y. HiltonT. Hilton IND,WR11,6,10,35,28.7,3.6
27,,Patrick MahomesP. Mahomes KC,QB1,12,28,54,28.7,3.5
28,,Amari CooperA. Cooper DAL,WR12,8,24,38,29.2,2.6
29,,Keenan AllenK. Allen LAC,WR13,12,20,35,29.3,2.6
30,,Leonard FournetteL. Fournette JAC,RB13,10,17,52,32.2,10.4
31,,Adam ThielenA. Thielen MIN,WR14,12,25,36,32.9,2.3
32,,Stefon DiggsS. Diggs MIN,WR15,12,30,37,33.1,1.3
33,,Sony MichelS. Michel NE,RB14,10,19,46,33.2,8.6
34,,Aaron JonesA. Jones GB,RB15,11,14,66,33.7,10.3
35,,Marlon MackM. Mack IND,RB16,6,17,60,36.0,10.5
36,,Robert WoodsR. Woods LAR,WR16,9,33,55,36.0,1.6
37,,Brandin CooksB. Cooks LAR,WR17,9,30,49,36.0,1.8
38,,Kenny GolladayK. Golladay DET,WR18,5,34,64,38.2,3.6
Tier 5,
39,,Julian EdelmanJ. Edelman NE,WR19,10,33,58,41.1,7.2
40,,Damien WilliamsD. Williams KC,RB17,12,17,89,41.2,21.1
41,,Cooper KuppC. Kupp LAR,WR20,9,34,74,42.2,6.3
