Rank,WSID,Rookies (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
67,,Greg DortchG. Dortch NYJ,WR27,4,21,46,84,64.5,11.6
68,,Jarrett StidhamJ. Stidham NE,QB6,10,22,37,64,55.7,4.1
69,,Bruce AndersonB. Anderson TB,RB26,7,,22,92,62.1,16.1
70,,LJ ScottL. Scott Michigan State,RB27,,22,33,97,56.3,21.3
71,,Devine OzigboD. Ozigbo NO,RB28,9,22,44,71,56.8,8.5
72,,Dillon MitchellD. Mitchell MIN,WR28,12,,42,83,64.7,10.2
73,,Drew SampleD. Sample CIN,TE11,9,23,48,91,68.0,16.4
74,,Ryan FinleyR. Finley CIN,QB7,9,24,57,81,68.3,9.1
75,,Terry GodwinT. Godwin CAR,WR29,7,22,43,78,67.4,7.8
76,,Alize MackA. Mack NO,TE12,9,22,49,94,73.8,16.5
77,,Wes HillsW. Hills ARI,RB29,12,24,49,95,69.0,20.0
78,,Gardner MinshewG. Minshew JAC,QB8,10,23,65,84,73.3,8.4
79,,Jazz FergusonJ. Ferguson SEA,WR30,11,22,47,89,66.0,17.4
80,,Ty JohnsonT. Johnson DET,RB30,5,21,60,92,75.0,11.4
81,,Isaac NautaI. Nauta DET,TE13,5,22,65,96,79.8,12.0
82,,Tyree JacksonT. Jackson BUF,QB9,6,21,64,82,76.0,7.0
83,,Damarea CrockettD. Crockett HOU,RB31,10,21,58,90,76.5,12.3
84,,Cody ThompsonC. Thompson KC,WR31,12,23,66,92,76.8,10.8
85,,Ashton DulinA. Dulin IND,WR32,6,,62,95,77.0,11.8
86,,Stanley Morgan Jr.S. Morgan CIN,WR33,9,22,75,83,77.3,3.3
87,,Anthony JohnsonA. Johnson TB,WR34,7,,71,85,78.3,5.1
88,,Emmanuel ButlerE. Butler NO,WR35,9,22,66,68,67.0,1.0
89,,C.J. ConradC. Conrad NYG,TE14,11,,69,91,78.7,9.2
90,,Dax RaymondD. Raymond CHI,TE15,6,,76,97,85.3,7.7
91,,Easton StickE. Stick LAC,QB10,12,23,78,90,85.3,4.4
92,,Tyre BradyT. Brady JAC,WR36,10,24,72,89,83.0,7.8
93,,Brett RypienB. Rypien DEN,QB11,10,23,77,96,87.0,6.7
94,,Nick BrossetteN. Brossette NE,RB32,10,23,69,83,76.0,7.0
95,,Darrin HallD. Hall GB,RB33,11,22,73,96,87.8,9.2
96,,Jalin MooreJ. Moore NYJ,RB34,4,23,75,94,84.7,7.8
97,,Keelan DossK. Doss OAK,WR37,6,,77,93,84.7,6.5
98,,Kerrith WhyteK. Whyte CHI,RB35,6,22,75,91,85.7,7.5
99,,Trevon WescoT. Wesco NYJ,TE16,4,23,83,94,89.0,4.6
100,,Clayton ThorsonC. Thorson PHI,QB12,10,23,80,99,90.7,7.9
