Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,5,1.6,0.9,1.0,0.0
2,,Christian McCaffreyC. McCaffrey CAR,RB2,7,1,8,2.3,1.1,2.0,0.0
3,,Alvin KamaraA. Kamara NO,RB3,9,1,13,3.0,1.4,3.0,0.0
4,,DeAndre HopkinsD. Hopkins HOU,WR1,10,4,12,5.9,1.4,5.0,+1.0
Tier 2,
5,,Davante AdamsD. Adams GB,WR2,11,4,22,6.3,3.0,8.0,+3.0
6,,Ezekiel ElliottE. Elliott DAL,RB4,8,1,70,7.7,7.0,4.0,-2.0
7,,Julio JonesJ. Jones ATL,WR3,9,4,19,8.8,2.5,11.0,+4.0
8,,David JohnsonD. Johnson ARI,RB5,12,1,37,8.9,4.6,6.0,-2.0
9,,Travis KelceT. Kelce KC,TE1,12,7,25,10.0,2.6,15.0,+6.0
10,,Michael ThomasM. Thomas NO,WR4,9,4,19,10.5,3.2,10.0,0.0
11,,Odell Beckham Jr.O. Beckham CLE,WR5,7,4,27,11.2,3.6,12.0,+1.0
12,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,4,28,12.1,4.5,14.0,+2.0
Tier 3,
13,,James ConnerJ. Conner PIT,RB6,7,2,46,13.5,5.3,9.0,-4.0
14,,Le'Veon BellL. Bell NYJ,RB7,4,2,41,13.9,5.0,7.0,-7.0
15,,Nick ChubbN. Chubb CLE,RB8,7,1,38,16.3,4.5,19.0,+4.0
16,,Dalvin CookD. Cook MIN,RB9,12,5,37,16.9,4.5,17.0,+1.0
17,,Tyreek HillT. Hill KC,WR7,12,10,32,17.0,4.9,16.0,-1.0
18,,Mike EvansM. Evans TB,WR8,7,7,31,18.3,3.2,22.0,+4.0
19,,Joe MixonJ. Mixon CIN,RB10,9,8,39,19.6,5.1,18.0,-1.0
20,,Keenan AllenK. Allen LAC,WR9,12,11,39,20.6,4.1,24.0,+4.0
21,,Todd GurleyT. Gurley LAR,RB11,9,2,46,21.4,7.9,13.0,-8.0
22,,Antonio BrownA. Brown OAK,WR10,6,11,47,23.0,6.0,21.0,-1.0
Tier 4,
23,,Adam ThielenA. Thielen MIN,WR11,12,10,49,26.2,4.7,23.0,0.0
24,,Stefon DiggsS. Diggs MIN,WR12,12,17,45,27.1,4.4,34.0,+10.0
25,,George KittleG. Kittle SF,TE2,4,9,52,27.4,5.9,29.0,+4.0
26,,Kerryon JohnsonK. Johnson DET,RB12,5,15,55,28.8,7.2,28.0,+2.0
27,,Amari CooperA. Cooper DAL,WR13,8,10,55,29.5,6.6,32.0,+5.0
28,,Leonard FournetteL. Fournette JAC,RB13,10,15,60,30.6,8.1,26.0,-2.0
29,,Aaron JonesA. Jones GB,RB14,11,14,68,31.3,8.1,31.0,+2.0
30,,Zach ErtzZ. Ertz PHI,TE3,10,15,51,32.3,6.7,27.0,-3.0
31,,Devonta FreemanD. Freeman ATL,RB15,9,8,57,33.8,7.4,30.0,-1.0
32,,Brandin CooksB. Cooks LAR,WR14,9,19,65,34.3,6.9,39.0,+7.0
33,,Julian EdelmanJ. Edelman NE,WR15,10,18,63,34.5,8.8,37.0,+4.0
34,,Robert WoodsR. Woods LAR,WR16,9,18,63,34.9,7.5,41.0,+7.0
35,,Chris GodwinC. Godwin TB,WR17,7,17,79,38.3,9.2,50.0,+15.0
Tier 5,
36,,Patrick MahomesP. Mahomes KC,QB1,12,20,69,38.4,7.7,20.0,-16.0
37,,Chris CarsonC. Carson SEA,RB16,11,21,68,39.9,10.3,36.0,-1.0
38,,Josh JacobsJ. Jacobs OAK,RB17,6,21,201,41.7,18.2,33.0,-5.0
39,,Kenny GolladayK. Golladay DET,WR18,5,27,94,42.9,9.7,44.0,+5.0
40,,Damien WilliamsD. Williams KC,RB18,12,16,88,43.3,15.8,25.0,-15.0
41,,Tyler LockettT. Lockett SEA,WR19,11,27,94,46.9,11.9,48.0,+7.0
42,,Melvin GordonM. Gordon LAC,RB19,12,6,142,48.0,22.0,35.0,-7.0
43,,David MontgomeryD. Montgomery CHI,RB20,6,14,230,48.3,22.3,43.0,0.0
44,,Derrick HenryD. Henry TEN,RB21,11,26,80,49.3,9.7,38.0,-6.0
45,,Cooper KuppC. Kupp LAR,WR20,9,24,95,49.3,10.2,49.0,+4.0
46,,Marlon MackM. Mack IND,RB22,6,37,81,49.3,10.6,40.0,-6.0
47,,Mark IngramM. Ingram BAL,RB23,8,21,72,49.4,10.5,47.0,0.0
48,,Tyler BoydT. Boyd CIN,WR21,9,27,127,51.8,10.2,54.0,+6.0
49,,O.J. HowardO. Howard TB,TE4,7,25,92,51.8,7.8,56.0,+7.0
50,,James WhiteJ. White NE,RB24,10,19,81,51.9,12.4,51.0,+1.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Sony MichelS. Michel NE,RB25,10,23,75,52.1,10.9,46.0,-5.0
52,,Evan EngramE. Engram NYG,TE5,11,24,116,53.9,11.8,57.0,+5.0
Tier 6,
53,,T.Y. HiltonT. Hilton IND,WR22,6,46,94,55.6,11.0,42.0,-11.0
54,,D.J. MooreD. Moore CAR,WR23,7,27,131,57.8,13.4,59.0,+5.0
55,,Calvin RidleyC. Ridley ATL,WR24,9,31,91,58.0,10.9,55.0,0.0
56,,Deshaun WatsonD. Watson HOU,QB2,10,35,267,58.3,9.1,45.0,-11.0
57,,Phillip LindsayP. Lindsay DEN,RB26,10,33,104,58.6,12.8,52.0,-5.0
58,,Alshon JefferyA. Jeffery PHI,WR25,10,28,97,58.8,10.6,63.0,+5.0
59,,Allen RobinsonA. Robinson CHI,WR26,6,39,126,59.1,13.2,70.0,+11.0
60,,Duke JohnsonD. Johnson HOU,RB27,10,29,105,59.3,17.5,71.0,+11.0
61,,Tevin ColemanT. Coleman SF,RB28,4,26,94,63.4,10.6,60.0,-1.0
62,,Hunter HenryH. Henry LAC,TE6,12,34,120,63.9,15.8,66.0,+4.0
63,,Aaron RodgersA. Rodgers GB,QB3,11,36,268,64.8,10.4,53.0,-10.0
64,,Jarvis LandryJ. Landry CLE,WR27,7,24,126,65.0,13.8,65.0,+1.0
65,,Tarik CohenT. Cohen CHI,RB29,6,20,132,66.1,13.1,69.0,+4.0
66,,Mike WilliamsM. Williams LAC,WR28,12,35,94,66.9,12.7,58.0,-8.0
67,,Austin EkelerA. Ekeler LAC,RB30,12,29,149,72.0,17.6,68.0,+1.0
68,,Robby AndersonR. Anderson NYJ,WR29,4,39,130,72.5,13.2,75.0,+7.0
69,,Miles SandersM. Sanders PHI,RB31,10,35,250,72.6,30.5,72.0,+3.0
70,,Kenyan DrakeK. Drake MIA,RB32,5,16,158,72.6,18.0,74.0,+4.0
Tier 7,
71,,A.J. GreenA. Green CIN,WR30,9,43,124,74.5,19.1,64.0,-7.0
72,,Josh GordonJ. Gordon NE,WR31,10,43,149,75.8,19.3,67.0,-5.0
73,,Latavius MurrayL. Murray NO,RB33,9,33,138,76.5,13.4,84.0,+11.0
74,,Baker MayfieldB. Mayfield CLE,QB4,7,54,272,77.2,13.6,61.0,-13.0
75,,Dede WestbrookD. Westbrook JAC,WR32,10,27,146,77.8,20.2,78.0,+3.0
76,,Derrius GuiceD. Guice WAS,RB34,10,23,150,80.1,18.8,76.0,0.0
77,,Christian KirkC. Kirk ARI,WR33,12,45,134,80.6,15.5,94.0,+17.0
78,,Matt RyanM. Ryan ATL,QB5,9,36,270,80.6,15.6,62.0,-16.0
