Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,8,1.7,0.9,1.0,0.0
2,,Christian McCaffreyC. McCaffrey CAR,RB2,7,1,8,2.3,1.1,2.0,0.0
3,,Alvin KamaraA. Kamara NO,RB3,9,1,13,2.9,1.3,3.0,0.0
4,,DeAndre HopkinsD. Hopkins HOU,WR1,10,4,18,5.8,2.1,5.0,+1.0
Tier 2,
5,,Davante AdamsD. Adams GB,WR2,11,4,22,6.6,2.8,7.0,+2.0
6,,Ezekiel ElliottE. Elliott DAL,RB4,8,1,46,7.5,5.9,4.0,-2.0
7,,David JohnsonD. Johnson ARI,RB5,12,1,26,8.8,4.9,6.0,-1.0
8,,Julio JonesJ. Jones ATL,WR3,9,4,19,8.9,2.5,10.0,+2.0
9,,Travis KelceT. Kelce KC,TE1,12,7,25,9.8,2.0,13.0,+4.0
10,,Michael ThomasM. Thomas NO,WR4,9,4,19,10.3,3.1,9.0,-1.0
11,,Odell Beckham Jr.O. Beckham CLE,WR5,7,4,27,11.3,3.7,12.0,+1.0
12,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,4,31,12.4,4.4,15.0,+3.0
Tier 3,
13,,James ConnerJ. Conner PIT,RB6,7,3,46,13.5,5.1,11.0,-2.0
14,,Le'Veon BellL. Bell NYJ,RB7,4,2,37,14.4,5.3,8.0,-6.0
15,,Nick ChubbN. Chubb CLE,RB8,7,3,37,16.2,5.3,18.0,+3.0
16,,Tyreek HillT. Hill KC,WR7,12,6,28,16.4,5.5,16.0,0.0
17,,Dalvin CookD. Cook MIN,RB9,12,5,37,17.1,4.4,19.0,+2.0
18,,Mike EvansM. Evans TB,WR8,7,7,31,18.2,3.3,21.0,+3.0
19,,Joe MixonJ. Mixon CIN,RB10,9,8,39,19.2,5.1,17.0,-2.0
20,,Keenan AllenK. Allen LAC,WR9,12,11,32,21.0,4.0,24.0,+4.0
21,,Todd GurleyT. Gurley LAR,RB11,9,5,41,21.8,7.4,14.0,-7.0
22,,Antonio BrownA. Brown OAK,WR10,6,11,48,23.0,6.6,20.0,-2.0
Tier 4,
23,,Adam ThielenA. Thielen MIN,WR11,12,10,58,25.8,4.9,23.0,0.0
24,,Stefon DiggsS. Diggs MIN,WR12,12,17,43,27.3,4.1,36.0,+12.0
25,,George KittleG. Kittle SF,TE2,4,15,52,27.6,5.8,29.0,+4.0
26,,Kerryon JohnsonK. Johnson DET,RB12,5,14,60,28.5,7.9,28.0,+2.0
27,,Damien WilliamsD. Williams KC,RB13,12,13,95,28.9,9.1,25.0,-2.0
28,,Amari CooperA. Cooper DAL,WR13,8,10,54,29.9,6.8,35.0,+7.0
29,,Aaron JonesA. Jones GB,RB14,11,11,68,31.8,7.8,32.0,+3.0
30,,Leonard FournetteL. Fournette JAC,RB15,10,16,60,31.9,7.3,27.0,-3.0
31,,Zach ErtzZ. Ertz PHI,TE3,10,15,48,32.1,6.9,26.0,-5.0
32,,Julian EdelmanJ. Edelman NE,WR14,10,18,76,33.7,8.5,38.0,+6.0
33,,Brandin CooksB. Cooks LAR,WR15,9,20,64,33.7,6.1,39.0,+6.0
34,,Devonta FreemanD. Freeman ATL,RB16,9,14,57,34.0,7.4,31.0,-3.0
35,,Robert WoodsR. Woods LAR,WR16,9,17,58,35.6,7.2,42.0,+7.0
Tier 5,
36,,Patrick MahomesP. Mahomes KC,QB1,12,19,69,39.4,8.8,22.0,-14.0
37,,Chris GodwinC. Godwin TB,WR17,7,17,79,39.6,8.3,47.0,+10.0
38,,Chris CarsonC. Carson SEA,RB17,11,21,68,41.5,10.1,40.0,+2.0
39,,Josh JacobsJ. Jacobs OAK,RB18,6,21,201,42.0,9.8,34.0,-5.0
40,,Melvin GordonM. Gordon LAC,RB19,12,6,138,42.0,18.1,33.0,-7.0
41,,Kenny GolladayK. Golladay DET,WR18,5,27,101,43.2,9.4,44.0,+3.0
42,,Tyler LockettT. Lockett SEA,WR19,11,27,124,48.7,12.5,48.0,+6.0
43,,Derrick HenryD. Henry TEN,RB20,11,21,80,48.9,9.6,41.0,-2.0
44,,David MontgomeryD. Montgomery CHI,RB21,6,15,230,49.2,14.1,46.0,+2.0
45,,Marlon MackM. Mack IND,RB22,6,37,83,49.9,10.8,37.0,-8.0
46,,Cooper KuppC. Kupp LAR,WR20,9,24,95,50.3,11.1,50.0,+4.0
47,,Mark IngramM. Ingram BAL,RB23,8,21,72,50.3,10.7,43.0,-4.0
48,,O.J. HowardO. Howard TB,TE4,7,25,82,52.6,9.0,56.0,+8.0
49,,James WhiteJ. White NE,RB24,10,21,102,52.7,11.8,52.0,+3.0
50,,Tyler BoydT. Boyd CIN,WR21,9,30,128,53.1,10.6,54.0,+4.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Evan EngramE. Engram NYG,TE5,11,25,116,53.8,11.1,57.0,+6.0
Tier 6,
52,,Sony MichelS. Michel NE,RB25,10,27,84,54.8,10.4,49.0,-3.0
53,,Alshon JefferyA. Jeffery PHI,WR22,10,28,81,56.2,9.4,62.0,+9.0
54,,Duke JohnsonD. Johnson HOU,RB26,10,29,103,57.3,17.2,87.0,+33.0
55,,Calvin RidleyC. Ridley ATL,WR23,9,31,91,58.2,10.5,55.0,0.0
56,,Deshaun WatsonD. Watson HOU,QB2,10,36,271,58.4,9.5,45.0,-11.0
57,,Phillip LindsayP. Lindsay DEN,RB27,10,33,105,58.5,11.5,51.0,-6.0
58,,T.Y. HiltonT. Hilton IND,WR24,6,46,93,58.7,11.3,30.0,-28.0
59,,D.J. MooreD. Moore CAR,WR25,7,27,134,59.0,13.1,59.0,0.0
60,,Allen RobinsonA. Robinson CHI,WR26,6,32,124,59.8,14.1,67.0,+7.0
61,,Tevin ColemanT. Coleman SF,RB28,4,36,102,63.5,10.7,64.0,+3.0
62,,Jarvis LandryJ. Landry CLE,WR27,7,24,126,63.7,13.0,65.0,+3.0
63,,Tarik CohenT. Cohen CHI,RB29,6,20,126,64.1,12.5,61.0,-2.0
64,,Hunter HenryH. Henry LAC,TE6,12,34,120,64.3,14.7,66.0,+2.0
65,,Aaron RodgersA. Rodgers GB,QB3,11,36,272,64.4,10.4,53.0,-12.0
66,,Mike WilliamsM. Williams LAC,WR28,12,38,100,66.2,13.5,60.0,-6.0
67,,Robby AndersonR. Anderson NYJ,WR29,4,39,130,70.5,14.4,69.0,+2.0
68,,Kenyan DrakeK. Drake MIA,RB30,5,16,160,71.1,20.4,70.0,+2.0
69,,A.J. GreenA. Green CIN,WR30,9,43,126,72.1,18.6,58.0,-11.0
70,,Miles SandersM. Sanders PHI,RB31,10,41,250,72.9,24.4,74.0,+4.0
Tier 7,
71,,Latavius MurrayL. Murray NO,RB32,9,23,138,74.7,11.2,86.0,+15.0
72,,Austin EkelerA. Ekeler LAC,RB33,12,42,140,75.0,17.7,68.0,-4.0
73,,Baker MayfieldB. Mayfield CLE,QB4,7,36,276,77.9,13.9,63.0,-10.0
74,,Christian KirkC. Kirk ARI,WR31,12,49,115,80.2,14.5,81.0,+7.0
75,,Josh GordonJ. Gordon NE,WR32,10,44,149,80.5,21.5,80.0,+5.0
76,,Matt RyanM. Ryan ATL,QB5,9,36,273,81.3,16.5,71.0,-5.0
77,,Derrius GuiceD. Guice WAS,RB34,10,23,150,82.3,17.9,75.0,-2.0
78,,Corey DavisC. Davis TEN,WR33,11,43,133,82.3,16.3,84.0,+6.0
79,,Dede WestbrookD. Westbrook JAC,WR34,10,27,148,83.8,21.0,85.0,+6.0
80,,Sammy WatkinsS. Watkins KC,WR35,12,47,137,84.1,15.6,78.0,-2.0
81,,Jared CookJ. Cook NO,TE7,9,9,135,85.4,21.0,72.0,-9.0
82,,Rashaad PennyR. Penny SEA,RB35,11,60,198,85.5,17.7,90.0,+8.0
83,,Will FullerW. Fuller HOU,WR36,10,49,166,85.5,14.9,77.0,-6.0
84,,Curtis SamuelC. Samuel CAR,WR37,7,53,154,86.1,15.7,98.0,+14.0
85,,Sterling ShepardS. Shepard NYG,WR38,11,55,137,88.6,14.9,83.0,-2.0
86,,Royce FreemanR. Freeman DEN,RB36,10,61,142,89.3,15.8,102.0,+16.0
87,,Marvin JonesM. Jones DET,WR39,5,64,160,89.9,13.4,100.0,+13.0
88,,Larry FitzgeraldL. Fitzgerald ARI,WR40,12,53,144,92.2,16.9,92.0,+4.0
89,,Vance McDonaldV. McDonald PIT,TE8,7,55,234,92.3,20.5,82.0,-7.0
90,,Cam NewtonC. Newton CAR,QB6,7,36,275,92.6,15.7,93.0,+3.0
91,,Carson WentzC. Wentz PHI,QB7,10,62,274,92.6,14.1,79.0,-12.0
92,,Dante PettisD. Pettis SF,WR41,4,47,149,95.2,18.2,99.0,+7.0
93,,Russell WilsonR. Wilson SEA,QB8,11,54,277,96.8,15.8,95.0,+2.0
94,,David NjokuD. Njoku CLE,TE9,7,48,233,97.6,25.2,91.0,-3.0
95,,Matt BreidaM. Breida SF,RB37,4,60,223,97.8,29.5,108.0,+13.0
96,,Jordan HowardJ. Howard PHI,RB38,10,57,201,100.9,26.0,89.0,-7.0
Tier 8,
97,,Darrell HendersonD. Henderson LAR,RB39,9,37,257,103.7,29.2,94.0,-3.0
98,,Drew BreesD. Brees NO,QB9,9,36,280,104.4,16.9,73.0,-25.0
99,,LeSean McCoyL. McCoy BUF,RB40,6,57,196,102.9,25.6,103.0,+4.0
100,,Jared GoffJ. Goff LAR,QB10,9,62,281,105.8,14.7,96.0,-4.0
101,,Dion LewisD. Lewis TEN,RB41,11,72,199,105.9,19.9,133.0,+32.0
102,,Austin HooperA. Hooper ATL,TE10,9,52,211,106.2,21.8,106.0,+4.0
103,,Jameis WinstonJ. Winston TB,QB11,7,59,283,106.8,14.3,113.0,+10.0
104,,Geronimo AllisonG. Allison GB,WR42,11,63,152,107.8,15.9,116.0,+12.0
105,,Courtland SuttonC. Sutton DEN,WR43,10,66,149,108.0,17.0,101.0,-4.0
106,,Kalen BallageK. Ballage MIA,RB42,5,65,209,108.6,25.0,112.0,+6.0
107,,Emmanuel SandersE. Sanders DEN,WR44,10,44,222,108.9,27.2,97.0,-10.0
108,,Kyler MurrayK. Murray ARI,QB12,12,69,282,115.9,25.4,105.0,-3.0
109,,Peyton BarberP. Barber TB,RB43,7,61,209,116.8,25.7,111.0,+2.0
110,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR45,11,60,233,116.9,24.3,107.0,-3.0
111,,Nyheim HinesN. Hines IND,RB44,6,71,237,117.4,32.3,126.0,+15.0
112,,Lamar JacksonL. Jackson BAL,QB13,8,62,278,120.0,23.2,119.0,+7.0
113,,Anthony MillerA. Miller CHI,WR46,6,88,241,120.4,23.6,135.0,+22.0
114,,Ben RoethlisbergerB. Roethlisberger PIT,QB14,7,63,284,121.0,18.1,110.0,-4.0
115,,Keke CouteeK. Coutee HOU,WR47,10,66,203,115.7,20.1,138.0,+23.0
116,,Dak PrescottD. Prescott DAL,QB15,8,79,279,121.5,17.5,132.0,+16.0
117,,DeSean JacksonD. Jackson PHI,WR48,10,77,210,124.0,22.2,117.0,0.0
118,,Donte MoncriefD. Moncrief PIT,WR49,7,63,241,127.3,29.2,123.0,+5.0
119,,Delanie WalkerD. Walker TEN,TE11,11,55,344,128.0,32.6,121.0,+2.0
120,,Michael GallupM. Gallup DAL,WR50,8,79,234,128.7,26.3,129.0,+9.0
121,,Golden TateG. Tate NYG,WR51,11,76,231,126.0,25.8,141.0,+20.0
122,,Ronald Jones IIR. Jones TB,RB45,7,64,200,124.5,31.7,122.0,0.0
123,,Adrian PetersonA. Peterson WAS,RB46,10,64,209,126.0,26.6,125.0,+2.0
124,,Jaylen SamuelsJ. Samuels PIT,RB47,7,68,209,129.3,31.4,115.0,-9.0
125,,Philip RiversP. Rivers LAC,QB16,12,74,289,132.5,18.8,124.0,-1.0
126,,Jamison CrowderJ. Crowder NYJ,WR52,4,89,229,131.9,25.8,147.0,+21.0
127,,John BrownJ. Brown BUF,WR53,6,58,217,133.8,19.9,156.0,+29.0
128,,Tyrell WilliamsT. Williams OAK,WR54,6,66,263,134.3,34.1,137.0,+9.0
Tier 9,
129,,Trey BurtonT. Burton CHI,TE12,6,86,246,140.3,35.1,143.0,+14.0
130,,Mitch TrubiskyM. Trubisky CHI,QB17,6,86,288,142.6,24.8,150.0,+20.0
131,,Tom BradyT. Brady NE,QB18,10,85,285,143.0,17.9,120.0,-11.0
132,,Devin SingletaryD. Singletary BUF,RB48,6,33,278,140.0,39.2,127.0,-5.0
133,,Kirk CousinsK. Cousins MIN,QB19,12,91,287,143.2,25.1,142.0,+9.0
134,,Justin JacksonJ. Jackson LAC,RB49,12,70,258,146.3,42.2,151.0,+17.0
135,,Justice HillJ. Hill BAL,RB50,8,59,275,147.1,42.9,163.0,+28.0
136,,James WashingtonJ. Washington PIT,WR55,7,81,271,149.2,38.5,114.0,-22.0
137,,Josh AllenJ. Allen BUF,QB20,6,85,286,150.7,27.2,176.0,+39.0
138,,Chris ThompsonC. Thompson WAS,RB51,10,75,320,141.0,35.7,192.0,+54.0
139,,Ito SmithI. Smith ATL,RB52,9,77,252,143.8,32.5,154.0,+15.0
140,,Kenny StillsK. Stills MIA,WR56,5,66,234,150.1,30.3,191.0,+51.0
141,,DaeSean HamiltonD. Hamilton DEN,WR57,10,97,273,146.3,32.3,216.0,+75.0
142,,Damien HarrisD. Harris NE,RB53,10,75,263,154.3,39.0,152.0,+10.0
143,,Mark AndrewsM. Andrews BAL,TE13,8,82,314,161.4,54.5,149.0,+6.0
144,,Jimmy GaroppoloJ. Garoppolo SF,QB21,4,101,291,162.2,24.3,170.0,+26.0
145,,Eric EbronE. Ebron IND,TE14,6,123,235,167.1,33.3,76.0,-69.0
146,,Jordan ReedJ. Reed WAS,TE15,10,86,338,165.3,46.8,155.0,+9.0
147,,Kareem HuntK. Hunt CLE,RB54,7,78,266,160.7,38.6,104.0,-43.0
148,,Darwin ThompsonD. Thompson KC,RB55,12,64,289,142.6,54.6,136.0,-12.0
149,,Mohamed SanuM. Sanu ATL,WR58,9,87,268,165.3,38.9,173.0,+24.0
150,,Adam HumphriesA. Humphries TEN,WR59,11,80,359,166.1,41.0,181.0,+31.0
151,,Giovani BernardG. Bernard CIN,RB56,9,102,262,158.9,30.5,213.0,+62.0
152,,Sam DarnoldS. Darnold NYJ,QB22,4,112,290,169.0,23.8,186.0,+34.0
153,,C.J. AndersonC. Anderson DET,RB57,5,106,251,162.4,28.1,189.0,+36.0
