Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Harrison ButkerH. Butker KC,,1,2,1.3,0.5
2,,Justin TuckerJ. Tucker BAL,,1,3,1.8,0.6
3,,Wil LutzW. Lutz NO,,2,4,3.3,0.8
4,,Greg ZuerleinG. Zuerlein LAR,,3,8,3.4,0.5
Tier 2,
5,,Robbie GouldR. Gould SF,,4,11,6.0,1.2
6,,Matt GayM. Gay TB,,5,15,6.6,1.6
7,,Matt PraterM. Prater DET,,6,13,6.8,0.7
8,,Stephen GostkowskiS. Gostkowski NE,,5,11,8.5,1.4
Tier 3,
9,,Michael BadgleyM. Badgley LAC,,7,19,9.7,2.6
10,,Zane GonzalezZ. Gonzalez ARI,,6,13,10.2,1.7
11,,Ka'imi FairbairnK. Fairbairn HOU,,5,26,11.0,1.3
12,,Mason CrosbyM. Crosby GB,,11,25,13.9,3.9
13,,Jake ElliottJ. Elliott PHI,,8,27,14.0,2.1
14,,Joey SlyeJ. Slye CAR,,9,18,14.1,1.7
15,,Brandon McManusB. McManus DEN,,10,17,14.6,1.8
16,,Dan BaileyD. Bailey MIN,,13,20,15.9,1.0
17,,Jason MyersJ. Myers SEA,,10,21,16.9,2.0
Tier 4,
18,,Chris BoswellC. Boswell PIT,,14,20,18.5,1.1
19,,Stephen HauschkaS. Hauschka BUF,,14,29,18.6,1.4
20,,Younghoe KooY. Koo ATL,,4,23,16.8,5.4
21,,Josh LamboJ. Lambo JAC,,12,23,20.7,1.2
22,,Brett MaherB. Maher NYJ,,18,22,20.8,1.2
23,,Austin SeibertA. Seibert CLE,,19,24,22.3,1.5
24,,Aldrick RosasA. Rosas NYG,,19,34,24.7,3.5
Tier 5,
25,,Kai ForbathK. Forbath DAL,,5,29,22.2,8.7
26,,Adam VinatieriA. Vinatieri IND,,23,30,26.2,2.0
27,,Chase McLaughlinC. McLaughlin IND,,13,15,14.0,1.0
28,,Daniel CarlsonD. Carlson LV,,24,33,27.0,2.8
29,,Dustin HopkinsD. Hopkins WAS,,23,28,27.7,0.5
30,,Ryan SuccopR. Succop TEN,,22,35,27.3,5.6
31,,Randy BullockR. Bullock CIN,,22,32,27.0,5.0
32,,Jason SandersJ. Sanders MIA,,24,31,27.5,3.5
33,,Greg JosephG. Joseph TEN,,26,36,31.0,5.0
34,,Eddy PineiroE. Pineiro CHI,,30,31,30.5,0.5
35,,Matt BryantM. Bryant FA,,28,39,33.5,5.5
