Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,5,2.2,0.6
3,,Michael ThomasM. Thomas NO,WR1,,3,4,3.0,0.0
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.2,0.6
5,,Dalvin CookD. Cook MIN,RB4,,2,7,4.9,0.8
Tier 2,
6,,Alvin KamaraA. Kamara NO,RB5,,4,16,6.5,1.7
7,,Joe MixonJ. Mixon CIN,RB6,,4,34,10.3,5.2
8,,Davante AdamsD. Adams GB,WR2,,8,16,10.4,2.1
9,,Derrick HenryD. Henry TEN,RB7,,4,28,10.6,4.9
10,,DeAndre HopkinsD. Hopkins ARI,WR3,,8,35,10.8,2.2
11,,Aaron JonesA. Jones GB,RB8,,7,27,11.4,4.8
12,,Tyreek HillT. Hill KC,WR4,,6,25,11.9,2.7
Tier 3,
13,,Julio JonesJ. Jones ATL,WR5,,8,24,12.7,2.0
14,,Chris GodwinC. Godwin TB,WR6,,7,24,14.1,1.5
15,,Travis KelceT. Kelce KC,TE1,,9,26,17.5,0.5
16,,Nick ChubbN. Chubb CLE,RB9,,7,34,18.1,6.9
17,,Austin EkelerA. Ekeler LAC,RB10,,6,40,18.7,7.7
18,,George KittleG. Kittle SF,TE2,,17,53,19.5,6.9
19,,Mike EvansM. Evans TB,WR7,,12,41,20.2,5.2
Tier 4,
20,,Leonard FournetteL. Fournette JAC,RB11,,7,34,21.5,6.3
21,,Amari CooperA. Cooper DAL,WR8,,15,36,22.4,5.0
22,,Josh JacobsJ. Jacobs LV,RB12,,9,37,22.6,3.8
23,,Lamar JacksonL. Jackson BAL,QB1,,17,38,23.3,7.8
24,,Kenny GolladayK. Golladay DET,WR9,,15,39,24.1,5.8
25,,D.J. MooreD. Moore CAR,WR10,,12,53,27.7,4.1
26,,Odell Beckham Jr.O. Beckham CLE,WR11,,12,41,28.2,4.9
27,,Kenyan DrakeK. Drake ARI,RB13,,7,71,28.5,11.3
28,,Miles SandersM. Sanders PHI,RB14,,20,42,30.5,5.7
29,,Allen RobinsonA. Robinson CHI,WR12,,21,56,31.1,3.6
30,,Todd GurleyT. Gurley ATL,RB15,,14,66,31.2,7.7
