Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,11,1,5,1.8,0.9,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,8,1,9,2.3,1.2,3.0,+1.0
3,,Christian McCaffreyC. McCaffrey CAR,7,1,7,2.9,1.1,2.0,-1.0
4,,Alvin KamaraA. Kamara NO,9,1,6,3.5,1.1,4.0,0.0
Tier 2,
5,,David JohnsonD. Johnson ARI,12,3,16,6.3,2.3,5.0,0.0
6,,Melvin GordonM. Gordon LAC,12,3,22,7.7,2.6,6.0,0.0
7,,Le'Veon BellL. Bell NYJ,4,5,17,8.3,2.4,7.0,0.0
8,,James ConnerJ. Conner PIT,7,3,16,8.7,2.2,8.0,0.0
9,,Joe MixonJ. Mixon CIN,9,4,14,8.8,2.0,9.0,0.0
10,,Todd GurleyT. Gurley LAR,9,1,23,10.2,3.8,10.0,0.0
Tier 3,
11,,Dalvin CookD. Cook MIN,12,5,18,10.9,2.3,11.0,0.0
12,,Nick ChubbN. Chubb CLE,7,6,21,12.1,3.3,12.0,0.0
13,,Damien WilliamsD. Williams KC,12,4,54,14.7,7.2,13.0,0.0
14,,Leonard FournetteL. Fournette JAC,10,7,23,15.1,2.9,14.0,0.0
15,,Aaron JonesA. Jones GB,11,5,27,16.0,3.5,15.0,0.0
16,,Marlon MackM. Mack IND,6,8,36,16.3,3.6,17.0,+1.0
17,,Devonta FreemanD. Freeman ATL,9,8,28,17.2,3.6,16.0,-1.0
Tier 4,
18,,Kerryon JohnsonK. Johnson DET,5,10,35,19.3,4.0,20.0,+2.0
19,,Derrick HenryD. Henry TEN,11,9,35,19.6,3.5,19.0,0.0
20,,Phillip LindsayP. Lindsay DEN,10,13,36,23.4,3.8,21.0,+1.0
21,,Kenyan DrakeK. Drake MIA,5,9,45,23.9,6.2,24.0,+3.0
22,,Josh JacobsJ. Jacobs OAK,6,9,38,20.7,5.1,18.0,-4.0
23,,Mark IngramM. Ingram BAL,8,10,40,24.7,3.8,23.0,0.0
24,,Sony MichelS. Michel NE,10,10,39,24.9,4.9,22.0,-2.0
25,,Chris CarsonC. Carson SEA,11,16,40,25.1,4.3,28.0,+3.0
26,,James WhiteJ. White NE,10,7,43,25.1,5.6,26.0,0.0
27,,Tarik CohenT. Cohen CHI,6,13,43,25.4,3.9,27.0,0.0
28,,David MontgomeryD. Montgomery CHI,6,8,51,24.7,6.8,25.0,-3.0
29,,Lamar MillerL. Miller HOU,10,22,53,29.3,3.9,31.0,+2.0
Tier 5,
30,,Tevin ColemanT. Coleman SF,4,22,46,31.1,3.5,30.0,0.0
31,,Derrius GuiceD. Guice WAS,10,11,47,31.6,5.6,29.0,-2.0
32,,Rashaad PennyR. Penny SEA,11,20,48,34.0,4.1,33.0,+1.0
33,,Latavius MurrayL. Murray NO,9,11,52,34.2,5.7,36.0,+3.0
34,,LeSean McCoyL. McCoy BUF,6,21,54,37.1,5.8,38.0,+4.0
35,,Royce FreemanR. Freeman DEN,10,22,49,37.6,4.2,41.0,+6.0
36,,Jordan HowardJ. Howard PHI,10,26,62,39.2,6.1,35.0,-1.0
37,,Jerick McKinnonJ. McKinnon SF,4,22,63,39.9,8.0,42.0,+5.0
38,,Austin EkelerA. Ekeler LAC,12,20,57,40.3,5.8,39.0,+1.0
39,,Dion LewisD. Lewis TEN,11,29,58,41.0,6.5,49.0,+10.0
40,,Miles SandersM. Sanders PHI,10,16,86,36.5,10.8,32.0,-8.0
41,,Ronald Jones IIR. Jones TB,7,21,68,42.0,7.9,37.0,-4.0
42,,Nyheim HinesN. Hines IND,6,29,71,42.8,6.2,43.0,+1.0
Tier 6,
43,,Darrell HendersonD. Henderson LAR,9,15,103,40.7,13.6,34.0,-9.0
44,,Matt BreidaM. Breida SF,4,15,65,45.9,7.7,52.0,+8.0
45,,Ito SmithI. Smith ATL,9,34,82,46.9,5.9,51.0,+6.0
46,,D'Onta ForemanD. Foreman HOU,10,31,71,48.7,6.7,44.0,-2.0
