Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,,1,3,1.4,0.5
2,,Ezekiel ElliottE. Elliott DAL,RB2,,1,7,2.5,1.1
3,,Christian McCaffreyC. McCaffrey CAR,RB3,,2,7,3.3,0.9
4,,Alvin KamaraA. Kamara NO,RB4,,2,7,3.7,1.0
5,,Melvin GordonM. Gordon LAC,RB5,,4,9,6.4,1.3
6,,Todd GurleyT. Gurley LAR,RB6,,1,40,6.6,4.6
7,,DeAndre HopkinsD. Hopkins HOU,WR1,,6,12,7.2,2.1
Tier 2,
8,,Davante AdamsD. Adams GB,WR2,,6,20,9.6,2.5
9,,Julio JonesJ. Jones ATL,WR3,,6,16,10.6,1.5
10,,Odell Beckham Jr.O. Beckham CLE,WR4,,6,24,11.2,3.8
11,,Michael ThomasM. Thomas NO,WR5,,8,26,12.2,3.9
12,,Travis KelceT. Kelce KC,TE1,,13,13,13.0,0.0
13,,Le'Veon BellL. Bell NYJ,RB7,,4,27,13.6,5.3
14,,James ConnerJ. Conner PIT,RB8,,7,27,14.7,4.2
15,,David JohnsonD. Johnson ARI,RB9,,5,46,15.1,5.1
Tier 3,
16,,Joe MixonJ. Mixon CIN,RB10,,9,40,17.4,2.4
17,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,,8,30,17.6,5.1
18,,Zach ErtzZ. Ertz PHI,TE2,,15,53,19.2,8.6
19,,Antonio BrownA. Brown OAK,WR7,,8,29,20.2,4.8
20,,George KittleG. Kittle SF,TE3,,15,22,20.2,3.1
21,,Nick ChubbN. Chubb CLE,RB11,,9,40,20.2,5.0
22,,Dalvin CookD. Cook MIN,RB12,,14,46,21.6,4.3
23,,Mike EvansM. Evans TB,WR8,,16,33,24.1,3.4
24,,Tyreek HillT. Hill KC,WR9,,11,73,24.9,7.8
25,,A.J. GreenA. Green CIN,WR10,,16,34,26.6,3.0
Tier 4,
26,,Patrick MahomesP. Mahomes KC,QB1,,28,54,28.9,3.8
27,,Amari CooperA. Cooper DAL,WR11,,24,38,28.9,2.6
28,,T.Y. HiltonT. Hilton IND,WR12,,10,35,29.1,3.5
29,,Keenan AllenK. Allen LAC,WR13,,20,35,30.1,2.6
30,,Leonard FournetteL. Fournette JAC,RB13,,17,52,30.9,10.8
31,,Adam ThielenA. Thielen MIN,WR14,,25,36,32.5,2.4
32,,Stefon DiggsS. Diggs MIN,WR15,,30,37,33.4,1.2
33,,Sony MichelS. Michel NE,RB14,,23,46,33.6,7.3
34,,Aaron JonesA. Jones GB,RB15,,14,66,33.6,9.2
35,,Marlon MackM. Mack IND,RB16,,17,57,35.5,9.8
36,,Brandin CooksB. Cooks LAR,WR16,,30,49,35.9,1.8
37,,Robert WoodsR. Woods LAR,WR17,,33,39,35.9,1.5
38,,Kenny GolladayK. Golladay DET,WR18,,35,48,38.1,3.0
Tier 5,
39,,Damien WilliamsD. Williams KC,RB17,,17,89,41.8,21.7
40,,Julian EdelmanJ. Edelman NE,WR19,,33,58,42.4,7.5
41,,Cooper KuppC. Kupp LAR,WR20,,34,74,42.9,7.8
42,,Allen RobinsonA. Robinson CHI,WR21,,38,75,44.9,7.2
43,,Andrew LuckA. Luck IND,QB2,,28,70,46.3,5.1
44,,Aaron RodgersA. Rodgers GB,QB3,,45,56,47.3,3.1
45,,Derrick HenryD. Henry TEN,RB18,,17,61,47.9,9.7
46,,Chris CarsonC. Carson SEA,RB19,,27,61,48.1,8.7
47,,Alshon JefferyA. Jeffery PHI,WR22,,37,62,48.1,4.8
48,,Phillip LindsayP. Lindsay DEN,RB20,,27,71,48.5,7.3
49,,Devonta FreemanD. Freeman ATL,RB21,,21,76,50.8,11.6
50,,Corey DavisC. Davis TEN,WR23,,36,79,50.9,12.9
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Kerryon JohnsonK. Johnson DET,RB22,,31,76,53.5,8.0
52,,Chris GodwinC. Godwin TB,WR24,,35,86,53.5,14.2
53,,Jarvis LandryJ. Landry CLE,WR25,,33,81,54.0,13.5
54,,Deshaun WatsonD. Watson HOU,QB4,,45,87,54.2,6.8
55,,Tarik CohenT. Cohen CHI,RB23,,40,83,55.0,9.7
56,,D.J. MooreD. Moore CAR,WR26,,38,88,55.4,8.3
57,,Doug BaldwinD. Baldwin SEA,WR27,,41,90,57.0,10.9
58,,O.J. HowardO. Howard TB,TE4,,15,78,58.5,6.7
59,,Mark IngramM. Ingram BAL,RB24,,40,84,59.2,9.7
60,,Calvin RidleyC. Ridley ATL,WR28,,48,73,60.1,7.1
Tier 6,
61,,Derrius GuiceD. Guice WAS,RB25,,44,119,61.9,9.6
62,,Tyler LockettT. Lockett SEA,WR29,,41,88,66.1,10.5
63,,Hunter HenryH. Henry LAC,TE5,,53,106,66.4,6.3
64,,Tyler BoydT. Boyd CIN,WR30,,43,113,67.5,12.7
65,,Sammy WatkinsS. Watkins KC,WR31,,38,141,67.6,14.3
66,,Baker MayfieldB. Mayfield CLE,QB5,,45,91,68.1,13.0
67,,Russell WilsonR. Wilson SEA,QB6,,54,91,68.2,9.8
68,,James WhiteJ. White NE,RB26,,51,112,68.8,12.1
69,,Mike WilliamsM. Williams LAC,WR32,,48,109,69.1,10.7
70,,Evan EngramE. Engram NYG,TE6,,53,92,69.3,9.9
71,,Lamar MillerL. Miller HOU,RB27,,57,93,72.0,8.5
72,,Robby AndersonR. Anderson NYJ,WR33,,43,102,72.1,10.3
73,,Drew BreesD. Brees NO,QB7,,54,117,72.4,10.1
74,,Matt RyanM. Ryan ATL,QB8,,54,95,74.8,11.8
75,,Golden TateG. Tate NYG,WR34,,39,102,76.8,10.9
76,,Eric EbronE. Ebron IND,TE7,,63,121,77.4,9.0
77,,Kenyan DrakeK. Drake MIA,RB28,,52,93,77.9,7.8
78,,Marvin JonesM. Jones DET,WR35,,58,107,78.2,8.9
79,,Tevin ColemanT. Coleman SF,RB29,,60,93,79.7,7.0
80,,Dante PettisD. Pettis SF,WR36,,36,102,79.8,10.4
81,,Jared CookJ. Cook NO,TE8,,53,121,81.0,14.1
82,,Will FullerW. Fuller HOU,WR37,,58,152,81.4,11.6
83,,David NjokuD. Njoku CLE,TE9,,15,121,81.6,12.4
84,,Cam NewtonC. Newton CAR,QB9,,56,114,81.9,12.6
Tier 7,
85,,Courtland SuttonC. Sutton DEN,WR38,,55,109,83.7,9.5
86,,Jordan HowardJ. Howard PHI,RB30,,59,123,84.6,11.9
87,,Sterling ShepardS. Shepard NYG,WR39,,62,107,88.2,8.5
88,,Jerick McKinnonJ. McKinnon SF,RB31,,60,181,90.5,18.5
89,,LeSean McCoyL. McCoy BUF,RB32,,76,130,91.3,10.2
90,,Latavius MurrayL. Murray NO,RB33,,52,134,91.4,21.9
91,,Jameis WinstonJ. Winston TB,QB10,,54,118,91.5,16.2
92,,Christian KirkC. Kirk ARI,WR40,,67,124,91.6,9.8
93,,Rashaad PennyR. Penny SEA,RB34,,59,126,93.9,7.2
94,,Keke CouteeK. Coutee HOU,WR41,,74,128,99.6,9.6
95,,Jared GoffJ. Goff LAR,QB11,,77,117,99.7,10.2
96,,Curtis SamuelC. Samuel CAR,WR42,,74,141,102.8,14.5
97,,Ben RoethlisbergerB. Roethlisberger PIT,QB12,,87,154,104.3,8.7
98,,Larry FitzgeraldL. Fitzgerald ARI,WR43,,67,155,104.5,22.0
99,,Royce FreemanR. Freeman DEN,RB35,,84,126,105.8,8.4
100,,Anthony MillerA. Miller CHI,WR44,,79,155,106.3,16.7
101,,Dede WestbrookD. Westbrook JAC,WR45,,73,157,106.4,14.0
102,,Delanie WalkerD. Walker TEN,TE10,,72,133,106.5,10.6
103,,Philip RiversP. Rivers LAC,QB13,,91,131,109.9,8.3
104,,Carson WentzC. Wentz PHI,QB14,,68,158,111.3,13.6
Tier 8,
105,,Michael GallupM. Gallup DAL,WR46,,90,206,113.7,23.6
106,,Austin HooperA. Hooper ATL,TE11,,72,142,114.3,14.6
107,,Nyheim HinesN. Hines IND,RB36,,71,170,114.4,9.9
108,,Dion LewisD. Lewis TEN,RB37,,89,193,114.9,12.8
109,,Matt BreidaM. Breida SF,RB38,,59,182,115.1,30.6
110,,Mitch TrubiskyM. Trubisky CHI,QB15,,103,152,116.9,9.9
111,,Chris Herndon IVC. Herndon NYJ,TE12,,92,142,117.7,16.3
112,,Jack DoyleJ. Doyle IND,TE13,,92,141,118.2,14.1
113,,Emmanuel SandersE. Sanders DEN,WR47,,75,194,118.5,26.6
114,,Lamar JacksonL. Jackson BAL,QB16,,91,158,119.2,15.5
115,,Trey BurtonT. Burton CHI,TE14,,72,136,120.9,15.6
116,,Marquise GoodwinM. Goodwin SF,WR48,,97,190,121.6,12.1
117,,Dak PrescottD. Prescott DAL,QB17,,103,162,123.8,14.2
118,,Kenneth DixonK. Dixon BAL,RB39,,80,337,126.0,26.8
119,,John BrownJ. Brown BUF,WR49,,90,148,127.8,14.1
120,,Devin FunchessD. Funchess IND,WR50,,64,203,129.6,33.2
121,,Vance McDonaldV. McDonald PIT,TE15,,72,163,130.5,16.7
122,,Kareem HuntK. Hunt CLE,RB40,,89,199,130.9,29.2
123,,James WashingtonJ. Washington PIT,WR51,,65,196,131.0,22.9
124,,Tom BradyT. Brady NE,QB18,,116,154,131.3,12.9
125,,Adam HumphriesA. Humphries TEN,WR52,,74,194,131.5,28.8
126,,Rex BurkheadR. Burkhead NE,RB41,,98,227,132.2,24.6
127,,Duke JohnsonD. Johnson CLE,RB42,,104,187,132.2,20.1
128,,Josh AllenJ. Allen BUF,QB19,,87,178,132.6,22.1
129,,Ito SmithI. Smith ATL,RB43,,80,185,133.2,23.4
130,,Jordan ReedJ. Reed WAS,TE16,,106,153,135.7,8.5
131,,Greg OlsenG. Olsen CAR,TE17,,108,163,136.2,12.7
132,,Kirk CousinsK. Cousins MIN,QB20,,95,162,137.1,17.0
133,,DeSean JacksonD. Jackson PHI,WR53,,90,210,137.3,22.0
