Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,,1,3,1.6,0.7
2,,Ezekiel ElliottE. Elliott DAL,RB2,,1,7,2.7,1.2
3,,Todd GurleyT. Gurley LAR,RB3,,1,40,4.0,3.9
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,18,4.1,1.3
5,,Alvin KamaraA. Kamara NO,RB5,,2,17,4.5,1.3
6,,Melvin GordonM. Gordon LAC,RB6,,4,14,6.4,1.4
7,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,12,7.0,1.6
8,,Davante AdamsD. Adams GB,WR2,,6,12,8.7,1.6
9,,Julio JonesJ. Jones ATL,WR3,,6,29,10.3,1.8
10,,Michael ThomasM. Thomas NO,WR4,,8,24,11.4,2.5
11,,Odell Beckham Jr.O. Beckham CLE,WR5,,6,24,12.7,3.8
12,,James ConnerJ. Conner PIT,RB7,,3,21,12.8,4.3
13,,Travis KelceT. Kelce KC,TE1,,13,22,13.5,1.8
14,,Le'Veon BellL. Bell NYJ,RB8,,5,27,14.9,4.4
15,,Joe MixonJ. Mixon CIN,RB9,,7,27,16.4,3.2
16,,Antonio BrownA. Brown OAK,WR6,,8,30,17.1,4.7
17,,Zach ErtzZ. Ertz PHI,TE2,,15,25,17.1,3.3
18,,David JohnsonD. Johnson ARI,RB10,,5,44,18.0,4.6
19,,Nick ChubbN. Chubb CLE,RB11,,7,44,18.1,7.0
20,,Tyreek HillT. Hill KC,WR7,,11,35,19.0,5.0
21,,Dalvin CookD. Cook MIN,RB12,,7,31,20.7,4.3
22,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,8,30,21.9,4.6
23,,George KittleG. Kittle SF,TE3,,13,63,22.2,8.5
Tier 2,
24,,Mike EvansM. Evans TB,WR9,,16,33,24.9,3.4
25,,A.J. GreenA. Green CIN,WR10,,16,36,26.3,2.9
26,,Aaron JonesA. Jones GB,RB13,,17,51,27.2,7.4
27,,Patrick MahomesP. Mahomes KC,QB1,,27,45,28.9,3.6
28,,T.Y. HiltonT. Hilton IND,WR11,,25,35,29.3,2.4
29,,Amari CooperA. Cooper DAL,WR12,,21,38,29.6,2.4
30,,Keenan AllenK. Allen LAC,WR13,,25,35,31.1,2.3
31,,Leonard FournetteL. Fournette JAC,RB14,,18,52,31.7,10.1
32,,Adam ThielenA. Thielen MIN,WR14,,25,39,33.0,2.4
33,,Stefon DiggsS. Diggs MIN,WR15,,26,38,33.3,1.6
34,,Sony MichelS. Michel NE,RB15,,23,59,33.9,7.8
35,,Brandin CooksB. Cooks LAR,WR16,,30,42,34.9,1.5
36,,Robert WoodsR. Woods LAR,WR17,,26,50,36.1,2.6
37,,Kenny GolladayK. Golladay DET,WR18,,32,48,37.0,1.4
38,,Marlon MackM. Mack IND,RB16,,19,66,37.8,8.6
Tier 4,
39,,Corey DavisC. Davis TEN,WR19,,36,79,43.6,7.4
40,,Allen RobinsonA. Robinson CHI,WR20,,38,81,43.7,9.4
41,,Cooper KuppC. Kupp LAR,WR21,,34,67,44.0,7.3
42,,Alshon JefferyA. Jeffery PHI,WR22,,36,64,44.4,5.2
