Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,5,2.2,0.5
3,,Michael ThomasM. Thomas NO,WR1,,3,4,3.0,0.0
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.3,0.7
5,,Dalvin CookD. Cook MIN,RB4,,2,7,4.9,0.7
Tier 2,
6,,Alvin KamaraA. Kamara NO,RB5,,4,16,6.8,1.9
7,,Aaron JonesA. Jones GB,RB6,,7,22,9.6,3.9
8,,DeAndre HopkinsD. Hopkins HOU,WR2,,8,16,9.8,2.0
9,,Derrick HenryD. Henry TEN,RB7,,4,23,10.1,4.2
10,,Davante AdamsD. Adams GB,WR3,,8,16,11.2,1.9
11,,Joe MixonJ. Mixon CIN,RB8,,4,34,11.5,5.6
12,,Tyreek HillT. Hill KC,WR4,,6,30,11.8,2.6
Tier 3,
13,,Julio JonesJ. Jones ATL,WR5,,8,25,13.0,2.1
14,,Chris GodwinC. Godwin TB,WR6,,7,24,13.7,1.4
15,,Mike EvansM. Evans TB,WR7,,12,25,16.9,3.0
16,,Nick ChubbN. Chubb CLE,RB9,,7,29,17.2,6.1
17,,Travis KelceT. Kelce KC,TE1,,9,18,17.7,0.5
18,,George KittleG. Kittle SF,TE2,,17,53,18.5,5.9
19,,Leonard FournetteL. Fournette JAC,RB10,,7,42,18.5,5.2
Tier 4,
20,,Austin EkelerA. Ekeler LAC,RB11,,6,42,21.3,8.1
21,,Josh JacobsJ. Jacobs LV,RB12,,14,37,22.4,3.7
22,,Lamar JacksonL. Jackson BAL,QB1,,19,38,22.6,7.3
23,,Amari CooperA. Cooper DAL,WR8,,16,36,23.8,4.7
24,,Kenny GolladayK. Golladay DET,WR9,,16,37,24.2,4.8
25,,D.J. MooreD. Moore CAR,WR10,,16,53,27.7,3.5
26,,Odell Beckham Jr.O. Beckham CLE,WR11,,15,36,28.6,4.8
27,,Todd GurleyT. Gurley LAR,RB13,,14,57,29.3,7.1
28,,Miles SandersM. Sanders PHI,RB14,,14,42,29.6,5.6
29,,Allen RobinsonA. Robinson CHI,WR12,,21,56,30.8,2.9
Tier 5,
