Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
64,,Sony MichelS. Michel NE,RB26,10,17,112,65.2,13.8,44.0,-20.0
65,,Hunter HenryH. Henry LAC,TE6,12,22,94,65.9,9.5,65.0,0.0
66,,Robby AndersonR. Anderson NYJ,WR30,4,36,101,66.6,13.7,73.0,+7.0
67,,Baker MayfieldB. Mayfield CLE,QB5,7,47,125,68.0,13.5,61.0,-6.0
68,,Kenyan DrakeK. Drake MIA,RB27,5,17,126,68.3,18.5,66.0,-2.0
69,,Tarik CohenT. Cohen CHI,RB28,6,35,126,70.8,17.0,57.0,-12.0
70,,Matt RyanM. Ryan ATL,QB6,9,38,126,71.7,18.0,72.0,+2.0
71,,Sammy WatkinsS. Watkins KC,WR31,12,35,151,71.8,15.8,82.0,+11.0
Tier 7,
72,,Corey DavisC. Davis TEN,WR32,11,39,137,74.9,16.9,83.0,+11.0
73,,Christian KirkC. Kirk ARI,WR33,12,36,129,75.4,15.4,77.0,+4.0
74,,Lamar MillerL. Miller HOU,RB29,10,46,134,76.3,15.4,68.0,-6.0
75,,Tevin ColemanT. Coleman SF,RB30,4,39,130,78.2,17.1,67.0,-8.0
76,,Dante PettisD. Pettis SF,WR34,4,41,148,79.7,15.6,78.0,+2.0
77,,Will FullerW. Fuller HOU,WR35,10,41,175,80.0,15.8,79.0,+2.0
78,,Marvin JonesM. Jones DET,WR36,5,45,203,81.6,13.4,97.0,+19.0
79,,Sterling ShepardS. Shepard NYG,WR37,11,49,157,83.5,14.7,93.0,+14.0
80,,Cam NewtonC. Newton CAR,QB7,7,47,150,84.1,17.3,92.0,+12.0
81,,Dede WestbrookD. Westbrook JAC,WR38,10,36,181,85.3,23.7,98.0,+17.0
82,,Jared CookJ. Cook NO,TE7,9,8,142,86.4,16.7,74.0,-8.0
83,,Carson WentzC. Wentz PHI,QB8,10,50,167,86.6,19.6,90.0,+7.0
84,,Russell WilsonR. Wilson SEA,QB9,11,38,138,86.8,20.8,89.0,+5.0
85,,Larry FitzgeraldL. Fitzgerald ARI,WR39,12,39,147,87.3,20.0,87.0,+2.0
86,,Curtis SamuelC. Samuel CAR,WR40,7,45,174,87.6,16.7,106.0,+20.0
87,,Latavius MurrayL. Murray NO,RB31,9,27,156,88.3,15.8,94.0,+7.0
88,,Eric EbronE. Ebron IND,TE8,6,62,139,92.0,20.6,75.0,-13.0
89,,Rashaad PennyR. Penny SEA,RB32,11,44,146,93.2,15.2,80.0,-9.0
90,,Derrius GuiceD. Guice WAS,RB33,10,57,168,94.0,17.3,71.0,-19.0
91,,David NjokuD. Njoku CLE,TE9,7,22,163,94.1,22.2,88.0,-3.0
92,,Drew BreesD. Brees NO,QB10,9,38,162,95.5,20.8,84.0,-8.0
93,,Courtland SuttonC. Sutton DEN,WR41,10,58,160,96.6,18.4,96.0,+3.0
94,,Miles SandersM. Sanders PHI,RB34,10,42,289,96.8,34.7,81.0,-13.0
95,,Jared GoffJ. Goff LAR,QB11,9,54,153,97.6,16.6,102.0,+7.0
96,,Vance McDonaldV. McDonald PIT,TE10,7,69,163,98.8,22.5,91.0,-5.0
Tier 8,
97,,Austin EkelerA. Ekeler LAC,RB35,12,60,170,100.8,20.5,76.0,-21.0
98,,Jameis WinstonJ. Winston TB,QB12,7,59,154,102.2,17.0,114.0,+16.0
99,,Kyler MurrayK. Murray ARI,QB13,12,54,202,102.8,25.6,105.0,+6.0
100,,Geronimo AllisonG. Allison GB,WR42,11,52,229,105.4,25.4,118.0,+18.0
101,,Royce FreemanR. Freeman DEN,RB36,10,66,172,106.8,14.9,103.0,+2.0
102,,Austin HooperA. Hooper ATL,TE11,9,53,141,107.0,19.6,107.0,+5.0
103,,Golden TateG. Tate NYG,WR43,11,37,214,110.5,31.7,125.0,+22.0
104,,Ben RoethlisbergerB. Roethlisberger PIT,QB14,7,70,156,110.7,17.1,111.0,+7.0
105,,Keke CouteeK. Coutee HOU,WR44,10,58,225,107.2,27.3,112.0,+7.0
106,,Anthony MillerA. Miller CHI,WR45,6,79,219,111.2,21.0,134.0,+28.0
