Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
69,,Taylor GabrielT. Gabriel CHI,6,58,91,69.9,7.6,84.0,+15.0
70,,Tre'Quan SmithT. Smith NO,9,49,98,70.1,9.1,60.0,-10.0
71,,David MooreD. Moore SEA,11,51,91,72.9,8.6,93.0,+22.0
72,,Zay JonesZ. Jones BUF,6,43,102,74.0,12.8,69.0,-3.0
73,,Antonio CallawayA. Callaway CLE,7,52,92,73.5,9.0,72.0,-1.0
74,,Deebo SamuelD. Samuel SF,4,48,89,68.3,10.9,52.0,-22.0
75,,A.J. BrownA. Brown TEN,11,29,87,69.4,8.1,57.0,-18.0
76,,Marquise BrownM. Brown BAL,8,34,91,68.9,13.7,62.0,-14.0
77,,Randall CobbR. Cobb DAL,8,61,104,79.0,7.6,89.0,+12.0
78,,John RossJ. Ross CIN,9,51,115,77.8,13.2,85.0,+7.0
79,,Nelson AgholorN. Agholor PHI,10,64,104,81.9,7.8,75.0,-4.0
80,,Ted GinnT. Ginn NO,9,49,108,84.2,10.2,86.0,+6.0
81,,Josh DoctsonJ. Doctson WAS,10,51,102,82.0,7.8,101.0,+20.0
82,,Paul RichardsonP. Richardson WAS,10,55,113,84.1,11.2,95.0,+13.0
83,,Andy IsabellaA. Isabella ARI,12,40,95,75.8,12.9,56.0,-27.0
84,,Equanimeous St. BrownE. St. GB,11,58,107,85.0,11.1,97.0,+13.0
85,,D.J. CharkD. Chark JAC,10,32,102,84.0,8.8,98.0,+13.0
86,,Willie SneadW. Snead BAL,8,72,106,87.1,7.8,96.0,+10.0
87,,Josh ReynoldsJ. Reynolds LAR,9,69,128,90.6,13.5,105.0,+18.0
Tier 9,
88,,Danny AmendolaD. Amendola DET,5,61,117,91.9,11.4,106.0,+18.0
89,,Demaryius ThomasD. Thomas NE,10,60,128,89.6,16.1,83.0,-6.0
90,,Cole BeasleyC. Beasley BUF,6,55,107,90.8,11.8,94.0,+4.0
91,,Taywan TaylorT. Taylor TEN,11,73,143,92.2,15.0,125.0,+34.0
92,,Trey QuinnT. Quinn WAS,10,43,104,77.0,15.0,92.0,0.0
93,,Tyreek HillT. Hill KC,12,7,185,74.5,34.7,27.0,-66.0
94,,Hakeem ButlerH. Butler ARI,12,32,107,85.2,13.2,73.0,-21.0
95,,Keelan ColeK. Cole JAC,10,55,122,93.9,8.4,87.0,-8.0
96,,Phillip DorsettP. Dorsett NE,10,58,112,94.8,8.9,88.0,-8.0
97,,Chris HoganC. Hogan CAR,7,62,118,98.6,8.3,104.0,+7.0
98,,Chris ConleyC. Conley JAC,10,74,124,99.1,9.9,133.0,+35.0
99,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,10,66,115,93.5,12.2,79.0,-20.0
100,,Breshad PerrimanB. Perriman TB,7,73,119,103.1,8.4,109.0,+9.0
101,,Rashard HigginsR. Higgins CLE,7,83,136,103.0,9.9,111.0,+10.0
102,,Ryan GrantR. Grant OAK,6,74,140,102.8,11.2,,
103,,Cameron MeredithC. Meredith NO,9,86,164,107.0,13.3,148.0,+45.0
104,,Cordarrelle PattersonC. Patterson CHI,6,69,147,106.6,11.8,128.0,+24.0
105,,Demarcus RobinsonD. Robinson KC,12,56,124,87.5,18.6,80.0,-25.0
106,,Deon CainD. Cain IND,6,91,165,113.6,16.2,100.0,-6.0
107,,Jake KumerowJ. Kumerow GB,11,81,168,112.1,16.5,122.0,+15.0
108,,Michael CrabtreeM. Crabtree FA,,70,186,107.1,23.9,113.0,+5.0
109,,Keith KirkwoodK. Kirkwood NO,9,91,178,113.6,14.8,110.0,+1.0
Tier 10,
110,,J'Mon MooreJ. Moore GB,11,92,171,118.1,24.0,136.0,+26.0
111,,Kendrick BourneK. Bourne SF,4,88,167,113.4,15.5,121.0,+10.0
112,,Chester RogersC. Rogers IND,6,95,163,114.7,12.5,118.0,+6.0
113,,Laquon TreadwellL. Treadwell MIN,12,96,148,116.2,10.7,137.0,+24.0
114,,Diontae JohnsonD. Johnson PIT,7,65,129,105.5,15.4,81.0,-33.0
115,,Trent TaylorT. Taylor SF,4,94,191,121.0,22.2,,
116,,Terry McLaurinT. McLaurin WAS,10,36,125,101.2,15.6,102.0,-14.0
117,,Travis BenjaminT. Benjamin LAC,12,72,133,101.3,15.5,112.0,-5.0
118,,Miles BoykinM. Boykin BAL,8,58,130,101.3,18.9,99.0,-19.0
119,,Justin WatsonJ. Watson TB,7,78,145,99.6,19.8,123.0,+4.0
120,,Tim PatrickT. Patrick DEN,10,97,134,112.8,9.3,132.0,+12.0
121,,Allen HurnsA. Hurns DAL,8,88,178,119.9,18.7,,
122,,Jalen HurdJ. Hurd SF,4,86,129,109.6,9.5,103.0,-19.0
123,,Jaron BrownJ. Brown SEA,11,77,139,115.8,13.3,116.0,-7.0
124,,Jermaine KearseJ. Kearse DET,5,93,190,125.8,24.0,,
125,,Jordan MatthewsJ. Matthews SF,4,83,175,122.2,18.3,130.0,+5.0
