Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,,1,3,1.7,0.7
2,,Todd GurleyT. Gurley LAR,RB2,,1,7,1.8,0.8
3,,Ezekiel ElliottE. Elliott DAL,RB3,,1,4,2.6,0.7
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,7,4.2,0.7
5,,Alvin KamaraA. Kamara NO,RB5,,3,7,4.9,0.7
Tier 2,
6,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,11,6.9,1.6
7,,Melvin GordonM. Gordon LAC,RB6,,5,10,6.9,1.0
8,,Davante AdamsD. Adams GB,WR2,,6,16,8.2,1.3
9,,Julio JonesJ. Jones ATL,WR3,,6,12,9.7,1.4
10,,Michael ThomasM. Thomas NO,WR4,,8,25,11.1,2.3
11,,James ConnerJ. Conner PIT,RB7,,9,23,13.4,3.8
12,,Travis KelceT. Kelce KC,TE1,,13,22,13.6,1.2
13,,Antonio BrownA. Brown PIT,WR5,,8,30,14.7,5.0
14,,Nick ChubbN. Chubb CLE,RB8,,9,40,15.3,4.4
15,,Odell Beckham Jr.O. Beckham NYG,WR6,,9,25,15.5,2.6
16,,Le'Veon BellL. Bell PIT,RB9,,9,27,16.5,2.9
17,,Joe MixonJ. Mixon CIN,RB10,,14,21,17.1,1.7
18,,Tyreek HillT. Hill KC,WR7,,12,25,17.3,3.3
19,,Zach ErtzZ. Ertz PHI,TE2,,13,26,17.7,3.6
Tier 3,
20,,David JohnsonD. Johnson ARI,RB11,,9,27,19.9,2.8
21,,Dalvin CookD. Cook MIN,RB12,,9,31,20.0,2.4
22,,George KittleG. Kittle SF,TE3,,13,33,21.2,3.9
23,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,6,30,22.2,4.3
24,,Aaron JonesA. Jones GB,RB13,,14,51,24.4,6.4
25,,Mike EvansM. Evans TB,WR9,,16,33,24.7,1.8
26,,A.J. GreenA. Green CIN,WR10,,16,36,25.3,1.8
Tier 4,
27,,T.Y. HiltonT. Hilton IND,WR11,,25,32,29.2,1.5
28,,Amari CooperA. Cooper DAL,WR12,,21,37,29.8,2.5
